Fairfield,2341,LIU Brooklyn,2217
4:45,2217,Tyler Nelson missed Three Point Jumper.,22,25
4:45,2341,Joel Hernandez Defensive Rebound.,22,25
4:31,2341,Foul on Zach Coleman.,22,25
4:31,2341,Zach Coleman Turnover.,22,25
4:17,2217,Matija Milin made Layup. Assisted by Ferron Flavors Jr..,24,25
3:49,2341,Jashaun Agosto Turnover.,24,25
3:49,2341,Official TV Timeout,24,25
3:32,2341,Foul on Jamall Robinson.,24,25
3:32,2217,Tyler Nelson made Free Throw.,25,25
3:32,2217,Tyler Nelson made Free Throw.,26,25
3:12,2217,Foul on Matija Milin.,26,25
3:12,2341,Julian Batts made Free Throw.,26,26
3:12,2341,Julian Batts missed Free Throw.,26,26
3:12,2217,Kevin Senghore-Peterson Defensive Rebound.,26,26
2:46,2217,Ferron Flavors Jr. made Layup.,28,26
2:35,2341,Joel Hernandez made Layup.,28,28
2:18,2217,Wassef Methnani made Layup. Assisted by Jerome Segura.,30,28
2:02,2341,Joel Hernandez missed Jumper.,30,28
2:02,2217,Tyler Nelson Defensive Rebound.,30,28
1:53,2217,Tyler Nelson missed Layup.,30,28
1:53,2341,Eral Penn Defensive Rebound.,30,28
1:44,2341,Joel Hernandez made Layup. Assisted by Julian Batts.,30,30
1:23,2217,Jerome Segura missed Jumper.,30,30
1:23,2341,Jashaun Agosto Defensive Rebound.,30,30
1:15,2341,Julian Batts made Three Point Jumper. Assisted by Jashaun Agosto.,30,33
1:00,2217,Ferron Flavors Jr. made Three Point Jumper. Assisted by Jerome Segura.,33,33
0:41,2341,Jashaun Agosto Turnover.,33,33
0:36,2217,Ferron Flavors Jr. made Three Point Jumper. Assisted by Jerome Segura.,36,33
0:30,2341,LIU Brooklyn  Timeout,36,33
0:03,2341,Joel Hernandez made Dunk. Assisted by Jashaun Agosto.,36,35
0:00,2341,End of 1st half,36,35
19:34,2341,Zach Coleman missed Three Point Jumper.,36,35
19:34,2217,Jonathan Kasibabu Defensive Rebound.,36,35
19:23,2217,Jonathan Kasibabu made Layup. Assisted by Jerome Segura.,38,35
18:57,2217,Foul on Jonathan Kasibabu.,38,35
18:57,2341,Joel Hernandez made Free Throw.,38,36
18:57,2341,Joel Hernandez missed Free Throw.,38,36
18:57,2217,Jesus Cruz Defensive Rebound.,38,36
18:35,2217,Matija Milin missed Three Point Jumper.,38,36
18:35,2341,Jashaun Agosto Defensive Rebound.,38,36
18:33,2217,Foul on Matija Milin.,38,36
18:18,2341,Raiquan Clark made Layup.,38,38
18:10,2217,Jerome Segura Turnover.,38,38
17:47,2341,Jashaun Agosto missed Three Point Jumper.,38,38
17:47,2217,Tyler Nelson Defensive Rebound.,38,38
17:39,2217,Tyler Nelson made Layup.,40,38
17:26,2341,Raiquan Clark Turnover.,40,38
17:16,2217,Jerome Segura made Layup. Assisted by Jonathan Kasibabu.,42,38
16:53,2217,Foul on Jonathan Kasibabu.,42,38
16:48,2341,Joel Hernandez missed Jumper.,42,38
16:48,2217,Fairfield Defensive Rebound.,42,38
16:29,2217,Jerome Segura Turnover.,42,38
16:29,2341,Raiquan Clark Steal.,42,38
16:24,2341,Julian Batts Turnover.,42,38
16:21,2217,Wassef Methnani Steal.,42,38
16:15,2217,Jesus Cruz missed Three Point Jumper.,42,38
16:15,2341,Julian Batts Defensive Rebound.,42,38
16:02,2217,Foul on Tyler Nelson.,42,38
15:53,2341,Zach Coleman missed Three Point Jumper.,42,38
15:53,2217,Jerome Segura Defensive Rebound.,42,38
15:40,2217,Wassef Methnani Turnover.,42,38
15:39,2341,Raiquan Clark Steal.,42,38
15:37,2341,Raiquan Clark made Layup.,42,40
15:32,2341,Official TV Timeout,42,40
15:17,2217,Tyler Nelson missed Three Point Jumper.,42,40
15:17,2341,Jashaun Agosto Defensive Rebound.,42,40
15:02,2341,Joel Hernandez missed Layup.,42,40
15:02,2341,Joel Hernandez Offensive Rebound.,42,40
14:57,2217,Foul on Matija Milin.,42,40
14:57,2341,Joel Hernandez missed Free Throw.,42,40
14:57,2341,LIU Brooklyn Deadball Team Rebound.,42,40
14:57,2341,Joel Hernandez made Free Throw.,42,41
14:43,2217,Ferron Flavors Jr. missed Three Point Jumper.,42,41
14:43,2341,Raiquan Clark Defensive Rebound.,42,41
14:35,2341,Raiquan Clark missed Layup.,42,41
14:35,2217,Jesus Cruz Defensive Rebound.,42,41
14:24,2217,Jerome Segura made Layup.,44,41
14:22,2341,Foul on Jashaun Agosto.,44,41
14:22,2217,Jerome Segura missed Free Throw.,44,41
14:22,2341,Zach Coleman Defensive Rebound.,44,41
14:18,2217,Foul on Kevin Senghore-Peterson.,44,41
14:03,2341,Zach Coleman made Layup. Assisted by Julian Batts.,44,43
13:53,2217,Kevin Senghore-Peterson missed Layup.,44,43
13:53,2341,Joel Hernandez Defensive Rebound.,44,43
13:28,2341,Joel Hernandez made Three Point Jumper. Assisted by Julian Batts.,44,46
13:08,2217,Tyler Nelson made Layup. Assisted by Jesus Cruz.,46,46
12:48,2341,Raiquan Clark Turnover.,46,46
12:31,2341,Foul on Julian Batts.,46,46
12:19,2217,Tyler Nelson made Three Point Jumper. Assisted by Jesus Cruz.,49,46
12:02,2217,Foul on Jerome Segura.,49,46
12:02,2341,Julius van Sauers missed Free Throw.,49,46
12:02,2217,Jesus Cruz Defensive Rebound.,49,46
11:48,2217,Kevin Senghore-Peterson missed Three Point Jumper.,49,46
11:48,2341,Julian Batts Defensive Rebound.,49,46
11:40,2341,Jashaun Agosto missed Jumper.,49,46
11:40,2341,Joel Hernandez Offensive Rebound.,49,46
11:35,2217,Foul on Jesus Cruz.,49,46
11:35,2341,Official TV Timeout,49,46
11:35,2341,Julian Batts made Free Throw.,49,47
11:35,2341,Julian Batts missed Free Throw.,49,47
11:35,2341,LIU Brooklyn Deadball Team Rebound.,49,47
11:35,2341,Julian Batts made Free Throw.,49,48
11:12,2217,Tyler Nelson missed Jumper.,49,48
11:12,2341,Julius van Sauers Defensive Rebound.,49,48
11:08,2341,Joel Hernandez missed Jumper.,49,48
11:08,2217,Kevin Senghore-Peterson Defensive Rebound.,49,48
10:58,2217,Jerome Segura Turnover.,49,48
10:58,2341,Joel Hernandez Steal.,49,48
10:54,2217,Foul on Ferron Flavors Jr..,49,48
10:54,2341,Julian Batts missed Free Throw.,49,48
10:54,2341,LIU Brooklyn Deadball Team Rebound.,49,48
10:54,2341,Julian Batts made Free Throw.,49,49
10:48,2217,Ferron Flavors Jr. Turnover.,49,49
10:47,2341,Julian Batts Steal.,49,49
10:42,2341,Raiquan Clark made Layup. Assisted by Julian Batts.,49,51
10:26,2217,Tyler Nelson missed Three Point Jumper.,49,51
10:26,2341,Joel Hernandez Defensive Rebound.,49,51
10:11,2341,LIU Brooklyn  Timeout,49,51
10:11,2341,Official TV Timeout,49,51
10:07,2217,Foul on Jesus Cruz.,49,51
10:07,2341,Jashaun Agosto made Free Throw.,49,52
10:07,2341,Jashaun Agosto made Free Throw.,49,53
9:50,2341,Foul on Julian Batts.,49,53
9:50,2341,Technical Foul on Julian Batts.,49,53
9:50,2341,Foul on Julian Batts.,49,53
9:50,2217,Tyler Nelson made Free Throw.,50,53
9:50,2217,Tyler Nelson made Free Throw.,51,53
9:47,2217,Tyler Nelson missed Layup.,51,53
9:47,2341,Raiquan Clark Block.,51,53
9:46,2341,Joel Hernandez Defensive Rebound.,51,53
9:41,2341,Joel Hernandez made Layup.,51,55
9:31,2341,Foul on Julius van Sauers.,51,55
9:20,2217,Jesus Cruz made Three Point Jumper. Assisted by Matija Milin.,54,55
9:06,2217,Foul on Matija Milin.,54,55
9:06,2341,Jashaun Agosto made Free Throw.,54,56
9:06,2341,Jashaun Agosto made Free Throw.,54,57
8:46,2341,Foul on Julius van Sauers.,54,57
8:39,2217,Jerome Segura made Layup.,56,57
8:21,2341,Raiquan Clark missed Layup.,56,57
8:21,2217,Kevin Senghore-Peterson Defensive Rebound.,56,57
8:10,2217,Wassef Methnani missed Three Point Jumper.,56,57
8:10,2341,Raiquan Clark Defensive Rebound.,56,57
8:02,2341,Raiquan Clark missed Layup.,56,57
8:02,2217,Wassef Methnani Defensive Rebound.,56,57
7:52,2217,Wassef Methnani made Layup.,58,57
7:37,2341,Jashaun Agosto missed Layup.,58,57
7:37,2341,Raiquan Clark Offensive Rebound.,58,57
7:36,2217,Foul on Jesus Cruz.,58,57
7:36,2341,Official TV Timeout,58,57
7:36,2341,Raiquan Clark missed Free Throw.,58,57
7:36,2341,LIU Brooklyn Deadball Team Rebound.,58,57
7:36,2341,Raiquan Clark made Free Throw.,58,58
7:18,2217,Jerome Segura made Jumper.,60,58
6:57,2341,Jashaun Agosto Turnover.,60,58
6:40,2217,Jesus Cruz made Jumper.,62,58
6:29,2341,Joel Hernandez missed Three Point Jumper.,62,58
6:29,2217,Jesus Cruz Defensive Rebound.,62,58
6:18,2217,Jerome Segura Turnover.,62,58
6:18,2341,Raul Frias Steal.,62,58
6:12,2217,Foul on Jesus Cruz.,62,58
6:12,2341,Raiquan Clark missed Free Throw.,62,58
6:12,2341,LIU Brooklyn Deadball Team Rebound.,62,58
6:12,2341,Raiquan Clark made Free Throw.,62,59
5:50,2217,Jerome Segura missed Jumper.,62,59
5:50,2341,Jashaun Agosto Defensive Rebound.,62,59
5:33,2341,Joel Hernandez missed Layup.,62,59
5:33,2217,Kevin Senghore-Peterson Defensive Rebound.,62,59
5:26,2217,Wassef Methnani made Dunk. Assisted by Jesus Cruz.,64,59
5:01,2341,Raiquan Clark made Layup.,64,61
4:51,2217,Tyler Nelson missed Jumper.,64,61
4:51,2217,Wassef Methnani Offensive Rebound.,64,61
4:48,2217,Wassef Methnani made Layup.,66,61
4:31,2341,Joel Hernandez made Jumper.,66,63
4:09,2217,Tyler Nelson made Layup.,68,63
3:57,2341,Jashaun Agosto missed Jumper.,68,63
3:57,2217,Jesus Cruz Defensive Rebound.,68,63
3:37,2341,Official TV Timeout,68,63
3:37,2217,Foul on Kevin Senghore-Peterson.,68,63
