Utah,2483,Oregon,254
2:15,254,Jayce Johnson Defensive Rebound.,19,28
1:57,254,Jayce Johnson made Dunk. Assisted by Tyler Rawson.,21,28
1:38,2483,Payton Pritchard missed Three Point Jumper.,21,28
1:38,254,Tyler Rawson Defensive Rebound.,21,28
1:15,254,Sedrick Barefield made Jumper.,23,28
0:55,2483,Troy Brown made Three Point Jumper. Assisted by Elijah Brown.,23,31
0:28,254,Justin Bibbins missed Three Point Jumper.,23,31
0:28,254,Sedrick Barefield Offensive Rebound.,23,31
0:23,2483,Foul on Mikyle McIntosh.,23,31
0:04,254,Tyler Rawson missed Three Point Jumper.,23,31
0:04,2483,Elijah Brown Defensive Rebound.,23,31
0:00,2483,End of 1st half,23,31
19:45,254,David Collette made Layup. Assisted by Tyler Rawson.,25,31
19:23,2483,Elijah Brown Turnover.,25,31
19:07,254,Justin Bibbins made Three Point Jumper. Assisted by David Collette.,28,31
18:39,2483,Elijah Brown missed Jumper.,28,31
18:39,254,Gabe Bealer Defensive Rebound.,28,31
18:29,254,Gabe Bealer made Three Point Jumper. Assisted by Justin Bibbins.,31,31
17:59,2483,Elijah Brown made Three Point Jumper.,31,34
17:36,254,Tyler Rawson made Layup.,33,34
17:30,2483,Troy Brown missed Three Point Jumper.,33,34
17:30,254,David Collette Defensive Rebound.,33,34
17:06,254,David Collette made Layup. Assisted by Tyler Rawson.,35,34
16:49,2483,Troy Brown made Layup.,35,36
16:49,254,Foul on David Collette.,35,36
16:49,2483,Troy Brown missed Free Throw.,35,36
16:49,254,Tyler Rawson Defensive Rebound.,35,36
16:32,2483,Foul on Kenny Wooten.,35,36
16:27,254,Gabe Bealer missed Three Point Jumper.,35,36
16:27,254,Tyler Rawson Offensive Rebound.,35,36
16:23,2483,Foul on Kenny Wooten.,35,36
16:23,254,Tyler Rawson missed Free Throw.,35,36
16:23,254,Utah Deadball Team Rebound.,35,36
16:23,254,Tyler Rawson made Free Throw.,36,36
16:05,254,Foul on Jayce Johnson.,36,36
16:05,2483,Troy Brown made Free Throw.,36,37
16:05,2483,Troy Brown made Free Throw.,36,38
15:48,254,Sedrick Barefield missed Layup.,36,38
15:48,254,Utah Deadball Team Rebound.,36,38
15:48,2483,Foul on Troy Brown.,36,38
15:48,2483,Official TV Timeout,36,38
15:28,254,Tyler Rawson missed Layup.,36,38
15:28,2483,Elijah Brown Defensive Rebound.,36,38
15:04,2483,Roman Sorkin made Three Point Jumper. Assisted by Elijah Brown.,36,41
14:42,2483,Foul on Payton Pritchard.,36,41
14:27,254,Jayce Johnson made Layup. Assisted by Sedrick Barefield.,38,41
14:04,2483,Roman Sorkin missed Three Point Jumper.,38,41
14:04,254,Kolbe Caldwell Defensive Rebound.,38,41
13:44,254,Justin Bibbins made Three Point Jumper.,41,41
13:14,2483,Payton Pritchard made Layup.,41,43
12:48,254,Justin Bibbins made Three Point Jumper.,44,43
12:34,2483,Elijah Brown missed Three Point Jumper.,44,43
12:34,254,Utah Defensive Rebound.,44,43
12:05,254,Tyler Rawson Turnover.,44,43
11:56,2483,Payton Pritchard missed Layup.,44,43
11:56,254,Jayce Johnson Block.,44,43
11:53,2483,Payton Pritchard Offensive Rebound.,44,43
11:53,2483,Official TV Timeout,44,43
11:26,2483,Payton Pritchard made Layup.,44,45
11:10,2483,Foul on Kenny Wooten.,44,45
10:57,254,Kolbe Caldwell missed Three Point Jumper.,44,45
10:57,2483,Troy Brown Defensive Rebound.,44,45
10:49,2483,Victor Bailey Jr. Turnover.,44,45
10:48,254,Tyler Rawson Steal.,44,45
10:30,2483,Foul on Roman Sorkin.,44,45
10:30,254,Tyler Rawson made Free Throw.,45,45
