Harvard,111,Northeastern,108
8:05,108,Rio Haskett missed Jumper.,15,32
8:05,111,Jeremy Miller Defensive Rebound.,15,32
7:57,108,Foul on Justin Bassey.,15,32
7:57,111,Official TV Timeout,15,32
7:45,111,Jeremy Miller made Layup. Assisted by Maxime Boursiquot.,15,34
7:17,108,Rio Haskett missed Jumper.,15,34
7:17,111,Jeremy Miller Defensive Rebound.,15,34
6:50,108,Foul on Rio Haskett.,15,34
6:50,111,Jeremy Miller made Free Throw.,15,35
6:50,111,Jeremy Miller made Free Throw.,15,36
6:28,108,Seth Towns Turnover.,15,36
6:26,111,Donnell Gresham Jr. Steal.,15,36
6:21,111,Donnell Gresham Jr. missed Layup.,15,36
6:21,108,Corey Johnson Defensive Rebound.,15,36
6:20,111,Foul on Anthony Green.,15,36
6:20,108,Corey Johnson missed Free Throw.,15,36
6:20,111,Maxime Boursiquot Defensive Rebound.,15,36
6:10,108,Foul on Seth Towns.,15,36
5:59,111,Devon Begley Turnover.,15,36
5:57,108,Justin Bassey Steal.,15,36
5:53,108,Justin Bassey missed Layup.,15,36
5:53,108,Chris Lewis Offensive Rebound.,15,36
5:49,108,Chris Lewis made Two Point Tip Shot.,17,36
5:29,111,Donnell Gresham Jr. missed Three Point Jumper.,17,36
5:29,108,Seth Towns Block.,17,36
5:28,111,Northeastern Offensive Rebound.,17,36
5:21,111,Vasa Pusica missed Three Point Jumper.,17,36
5:21,108,Corey Johnson Defensive Rebound.,17,36
5:11,108,Bryce Aiken made Layup.,19,36
4:46,111,Vasa Pusica made Three Point Jumper. Assisted by Bolden Brace.,19,39
4:28,111,Foul on Myles Franklin.,19,39
4:28,108,Bryce Aiken missed Free Throw.,19,39
4:28,108,Harvard Deadball Team Rebound.,19,39
4:28,108,Bryce Aiken made Free Throw.,20,39
4:12,111,Donnell Gresham Jr. Turnover.,20,39
4:03,108,Corey Johnson missed Three Point Jumper.,20,39
4:03,111,Myles Franklin Defensive Rebound.,20,39
3:44,111,Vasa Pusica missed Layup.,20,39
3:44,108,Justin Bassey Defensive Rebound.,20,39
3:34,108,Corey Johnson made Three Point Jumper. Assisted by Chris Lewis.,23,39
