South Dakota,140,UMKC,233
13:22,140,Broderick Robinson Defensive Rebound.,9,11
13:08,233,Foul on Trey Burch-Manning.,9,11
12:59,140,Tony Jackson missed Jumper.,9,11
12:59,233,Matt Mooney Defensive Rebound.,9,11
12:45,233,Brandon Armstrong missed Jumper.,9,11
12:45,233,Nick Fuller Offensive Rebound.,9,11
12:41,233,Nick Fuller Turnover.,9,11
12:40,140,Broderick Robinson Steal.,9,11
12:36,233,Foul on Tyler Peterson.,9,11
12:31,140,Robert Knar made Layup.,9,13
12:15,233,Dan Jech made Jumper.,11,13
12:08,233,Foul on Tyler Peterson.,11,13
11:58,140,Brandon McKissic made Jumper.,11,15
11:33,233,Nick Fuller missed Jumper.,11,15
11:33,140,Tony Jackson Block.,11,15
11:32,140,Tony Jackson Defensive Rebound.,11,15
11:26,140,Tony Jackson missed Three Point Jumper.,11,15
11:26,233,Dan Jech Defensive Rebound.,11,15
11:16,140,Foul on Brandon McKissic.,11,15
11:16,140,Official TV Timeout,11,15
11:16,233,Dan Jech made Free Throw.,12,15
11:16,233,Dan Jech made Free Throw.,13,15
10:52,140,Xavier Bishop missed Three Point Jumper.,13,15
10:52,233,Carlton Hurst Defensive Rebound.,13,15
10:41,233,Nick Fuller missed Three Point Jumper.,13,15
10:41,233,Dan Jech Offensive Rebound.,13,15
10:36,233,Carlton Hurst made Layup. Assisted by Dan Jech.,15,15
10:13,140,Foul on Jordan Giles.,15,15
10:13,140,Jordan Giles Turnover.,15,15
10:01,233,Triston Simpson missed Layup.,15,15
10:01,140,Marvin Nesbitt Jr. Block.,15,15
9:59,140,Robert Knar Defensive Rebound.,15,15
9:51,140,Jordan Giles missed Jumper.,15,15
9:51,233,Carlton Hurst Defensive Rebound.,15,15
9:48,140,Foul on Marvin Nesbitt Jr..,15,15
9:29,140,Foul on Marvin Nesbitt Jr..,15,15
9:21,233,Triston Simpson missed Jumper.,15,15
9:21,140,UMKC Defensive Rebound.,15,15
8:57,140,Broderick Robinson missed Layup.,15,15
8:57,233,Trey Burch-Manning Defensive Rebound.,15,15
8:31,233,Triston Simpson Turnover.,15,15
8:29,140,Xavier Bishop Steal.,15,15
8:28,140,Xavier Bishop Turnover.,15,15
8:17,233,Brandon Armstrong missed Jumper.,15,15
8:17,140,Xavier Bishop Defensive Rebound.,15,15
8:08,233,Foul on Tyler Hagedorn.,15,15
8:08,140,Isaiah Ross made Free Throw.,15,16
8:08,140,Isaiah Ross made Free Throw.,15,17
7:57,233,Matt Mooney made Three Point Jumper.,18,17
7:37,140,Jordan Giles missed Three Point Jumper.,18,17
7:37,233,Carlton Hurst Defensive Rebound.,18,17
7:22,233,Trey Burch-Manning missed Jumper.,18,17
7:22,140,Marvin Nesbitt Jr. Defensive Rebound.,18,17
7:21,233,Foul on Tyler Hagedorn.,18,17
7:21,140,Official TV Timeout,18,17
7:05,233,Foul on Dan Jech.,18,17
7:05,140,Jordan Giles made Free Throw.,18,18
7:05,140,Jordan Giles missed Free Throw.,18,18
7:05,233,Trey Burch-Manning Defensive Rebound.,18,18
6:53,140,Foul on Broderick Robinson.,18,18
6:53,233,Carlton Hurst missed Free Throw.,18,18
6:53,140,Jordan Giles Defensive Rebound.,18,18
6:45,140,Jordan Giles missed Three Point Jumper.,18,18
6:45,233,Nick Fuller Defensive Rebound.,18,18
6:30,233,Matt Mooney made Jumper. Assisted by Carlton Hurst.,20,18
6:11,140,Broderick Robinson made Three Point Jumper. Assisted by Jordan Giles.,20,21
6:04,140,Foul on Broderick Robinson.,20,21
6:04,233,Tyler Peterson made Layup. Assisted by Matt Mooney.,22,21
6:04,233,Tyler Peterson missed Free Throw.,22,21
6:04,140,Aleer Leek Defensive Rebound.,22,21
6:03,233,Foul on Matt Mooney.,22,21
6:03,140,Aleer Leek made Free Throw.,22,22
6:03,140,Aleer Leek made Free Throw.,22,23
5:43,233,Nick Fuller made Three Point Jumper. Assisted by Tyler Peterson.,25,23
5:21,140,Brandon McKissic missed Three Point Jumper.,25,23
5:21,233,Trey Burch-Manning Defensive Rebound.,25,23
5:14,233,Tyler Peterson missed Three Point Jumper.,25,23
5:14,140,UMKC Defensive Rebound.,25,23
4:59,140,Foul on Aleer Leek.,25,23
4:59,140,Aleer Leek Turnover.,25,23
4:50,233,Trey Burch-Manning Turnover.,25,23
4:49,140,Marco Smith Steal.,25,23
4:45,140,Xavier Bishop missed Layup.,25,23
4:45,233,Brandon Armstrong Defensive Rebound.,25,23
4:37,233,Trey Burch-Manning missed Jumper.,25,23
4:37,140,Aleer Leek Defensive Rebound.,25,23
4:27,140,Tony Jackson missed Three Point Jumper.,25,23
4:27,140,Aleer Leek Offensive Rebound.,25,23
4:21,140,Aleer Leek Turnover.,25,23
4:20,233,Matt Mooney Steal.,25,23
4:01,233,Matt Mooney missed Three Point Jumper.,25,23
4:01,140,Tony Jackson Defensive Rebound.,25,23
3:50,140,Xavier Bishop made Three Point Jumper.,25,26
3:37,233,Triston Simpson Turnover.,25,26
3:37,140,Foul on Marco Smith.,25,26
3:37,140,Technical Foul on Marco Smith.,25,26
3:37,140,Official TV Timeout,25,26
3:37,233,Brandon Armstrong made Free Throw.,26,26
3:37,233,Brandon Armstrong made Free Throw.,27,26
3:37,140,Marco Smith Turnover.,27,26
3:37,140,Marco Smith Turnover.,27,26
3:33,140,Foul on Xavier Bishop.,27,26
3:33,233,Triston Simpson missed Free Throw.,27,26
3:33,233,South Dakota Deadball Team Rebound.,27,26
3:33,233,Triston Simpson missed Free Throw.,27,26
3:33,140,Xavier Bishop Defensive Rebound.,27,26
3:25,140,Isaiah Ross missed Three Point Jumper.,27,26
3:25,233,Trey Burch-Manning Defensive Rebound.,27,26
3:08,233,Matt Mooney missed Three Point Jumper.,27,26
3:08,233,Nick Fuller Offensive Rebound.,27,26
3:04,233,Nick Fuller made Layup.,29,26
2:48,140,Aleer Leek missed Three Point Jumper.,29,26
2:48,233,South Dakota Deadball Team Rebound.,29,26
2:45,140,Foul on Isaiah Ross.,29,26
2:45,233,Matt Mooney made Free Throw.,30,26
2:45,233,Matt Mooney made Free Throw.,31,26
2:24,140,Xavier Bishop missed Three Point Jumper.,31,26
2:24,233,Brandon Armstrong Defensive Rebound.,31,26
2:12,233,Brandon Armstrong missed Jumper.,31,26
2:12,233,Nick Fuller Offensive Rebound.,31,26
2:05,233,Matt Mooney missed Layup.,31,26
2:05,140,Aleer Leek Defensive Rebound.,31,26
1:58,140,Brandon McKissic missed Three Point Jumper.,31,26
1:58,233,Brandon Armstrong Defensive Rebound.,31,26
1:48,233,Nick Fuller missed Layup.,31,26
1:48,140,Xavier Bishop Defensive Rebound.,31,26
1:22,140,Robert Knar missed Jumper.,31,26
1:22,140,Aleer Leek Offensive Rebound.,31,26
1:20,140,Aleer Leek made Layup.,31,28
