Christendom,2428,North Carolina Central,111180
4:52,2428,Dominique Reid made Layup. Assisted by Marius McAllister.,20,40
4:35,-1,Pete Day missed Layup.,20,40
4:35,2428,Brandon Goldsmith Block.,20,40
4:33,2428,Jordan Perkins Defensive Rebound.,20,40
4:28,2428,C.J. Wiggins missed Layup.,20,40
4:28,-1,Tommy Vander Woude Defensive Rebound.,20,40
3:59,-1,Ian Heisler made Three Point Jumper. Assisted by Nick Santschi.,23,40
3:47,2428,Jordan Perkins missed Jumper.,23,40
3:47,2428,Dominique Reid Offensive Rebound.,23,40
3:42,2428,Official TV Timeout,23,40
3:41,2428,Jordan Perkins missed Jumper.,23,40
3:41,-1,Johnny Echaniz Defensive Rebound.,23,40
3:27,-1,Michael Urankar missed Three Point Jumper.,23,40
3:27,2428,Jordan Perkins Defensive Rebound.,23,40
3:14,2428,Dominique Reid made Layup.,23,42
2:59,-1,Tommy Vander Woude missed Jumper.,23,42
2:59,2428,Alston Jones Defensive Rebound.,23,42
2:48,2428,Alston Jones made Three Point Jumper. Assisted by Larry McKnight Jr..,23,45
2:23,-1,Johnny Echaniz missed Jumper.,23,45
2:23,2428,Marius McAllister Defensive Rebound.,23,45
2:16,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Alston Jones.,23,48
1:57,-1,Michael Urankar Turnover.,23,48
1:49,-1,Foul on Nick Santschi.,23,48
1:49,2428,Alston Jones made Free Throw.,23,49
1:49,2428,Alston Jones made Free Throw.,23,50
1:40,-1,Johnny Echaniz Turnover.,23,50
1:39,2428,Alston Jones Steal.,23,50
1:38,-1,Foul on Nick Santschi.,23,50
1:38,2428,Jordan Perkins made Free Throw.,23,51
1:38,2428,Jordan Perkins made Free Throw.,23,52
1:32,-1,Pete Day missed Three Point Jumper.,23,52
1:32,2428,Alston Jones Defensive Rebound.,23,52
1:25,2428,Alston Jones missed Layup.,23,52
1:25,-1,Patrick Pennefather Defensive Rebound.,23,52
1:10,-1,Pete Day Turnover.,23,52
1:09,2428,Alston Jones Steal.,23,52
1:04,2428,Larry McKnight Jr. missed Three Point Jumper.,23,52
1:04,2428,Marius McAllister Offensive Rebound.,23,52
0:58,2428,Jordan Perkins missed Jumper.,23,52
0:58,2428,Dominique Reid Offensive Rebound.,23,52
0:54,2428,Dominique Reid made Layup.,23,54
0:39,-1,Michael Urankar missed Three Point Jumper.,23,54
0:39,2428,Alston Jones Defensive Rebound.,23,54
0:10,2428,Larry McKnight Jr. made Jumper.,23,56
0:00,2428,End of 1st half,23,56
19:54,2428,C.J. Wiggins made Layup. Assisted by Reginald Gardner Jr.,23,58
19:36,-1,Patrick Pennefather missed Layup.,23,58
19:36,2428,Brandon Goldsmith Defensive Rebound.,23,58
19:23,2428,Raasean Davis made Layup. Assisted by C.J. Wiggins.,23,60
19:10,-1,Nick Santschi Turnover.,23,60
19:10,2428,Reginald Gardner Jr Steal.,23,60
19:07,2428,Reginald Gardner Jr Turnover.,23,60
19:05,-1,Patrick Pennefather Steal.,23,60
18:56,-1,Nick Santschi missed Layup.,23,60
18:56,2428,Reginald Gardner Jr Block.,23,60
18:54,2428,C.J. Wiggins Defensive Rebound.,23,60
18:49,2428,Brandon Goldsmith missed Layup.,23,60
18:49,-1,Tommy Vander Woude Block.,23,60
18:49,2428,North Carolina Central Offensive Rebound.,23,60
18:44,2428,Brandon Goldsmith missed Three Point Jumper.,23,60
18:44,-1,Tommy Vander Woude Defensive Rebound.,23,60
18:12,-1,Tommy Vander Woude missed Layup.,23,60
18:12,2428,Zacarry Douglas Block.,23,60
18:10,2428,Zacarry Douglas Defensive Rebound.,23,60
18:06,2428,Zacarry Douglas made Layup. Assisted by C.J. Wiggins.,23,62
18:05,-1,Foul on Nick Santschi.,23,62
18:05,-1,Christendom  Timeout,23,62
18:05,2428,Official TV Timeout,23,62
18:05,2428,Zacarry Douglas made Free Throw.,23,63
18:03,2428,Foul on Zacarry Douglas.,23,63
17:45,-1,Patrick Pennefather Turnover.,23,63
17:44,2428,Brandon Goldsmith Steal.,23,63
17:41,2428,Brandon Goldsmith missed Dunk.,23,63
17:41,2428,Zacarry Douglas Offensive Rebound.,23,63
17:37,2428,Zacarry Douglas made Layup.,23,65
17:13,-1,Patrick Pennefather missed Layup.,23,65
17:13,2428,Brandon Goldsmith Defensive Rebound.,23,65
17:06,2428,Reginald Gardner Jr missed Three Point Jumper.,23,65
17:06,2428,Raasean Davis Offensive Rebound.,23,65
17:03,2428,Raasean Davis missed Layup.,23,65
17:03,2428,Raasean Davis Offensive Rebound.,23,65
17:00,2428,Raasean Davis made Two Point Tip Shot.,23,67
16:41,-1,Patrick Pennefather Turnover.,23,67
16:40,2428,Raasean Davis Steal.,23,67
16:33,2428,C.J. Wiggins made Layup.,23,69
16:16,-1,Pete Day Turnover.,23,69
16:05,-1,Foul on Ian Heisler.,23,69
16:05,2428,Alston Jones made Free Throw.,23,70
16:05,2428,Alston Jones made Free Throw.,23,71
16:05,-1,John Bailey Turnover.,23,71
16:05,2428,Jordan Perkins Steal.,23,71
16:05,2428,Larry McKnight Jr. missed Layup.,23,71
16:05,-1,Tommy Vander Woude Defensive Rebound.,23,71
16:05,-1,Ian Heisler missed Three Point Jumper.,23,71
16:05,2428,Dominique Reid Defensive Rebound.,23,71
15:40,2428,Official TV Timeout,23,71
15:40,-1,Foul on Tommy Vander Woude.,23,71
15:38,2428,Jordan Perkins missed Jumper.,23,71
15:38,2428,Jordan Perkins Offensive Rebound.,23,71
15:34,2428,Larry McKnight Jr. made Three Point Jumper. Assisted by Marius McAllister.,23,74
15:11,-1,Tommy Vander Woude Turnover.,23,74
15:06,2428,Larry McKnight Jr. made Layup.,23,76
14:44,-1,Patrick Pennefather Turnover.,23,76
14:43,2428,Marius McAllister Steal.,23,76
14:41,2428,Larry McKnight Jr. missed Layup.,23,76
14:40,-1,Tommy Vander Woude Block.,23,76
14:39,2428,Larry McKnight Jr. Offensive Rebound.,23,76
14:35,2428,Larry McKnight Jr. made Two Point Tip Shot.,23,78
14:23,-1,Pete Day missed Jumper.,23,78
14:23,2428,Marius McAllister Defensive Rebound.,23,78
14:17,2428,Alston Jones missed Layup.,23,78
14:17,-1,Johnny Echaniz Block.,23,78
14:17,-1,Johnny Echaniz Defensive Rebound.,23,78
14:05,-1,Christendom  Turnover.,23,78
13:52,2428,Alston Jones missed Jumper.,23,78
13:52,2428,John Guerra Offensive Rebound.,23,78
13:48,2428,John Guerra made Layup.,23,80
13:48,-1,Foul on Patrick Pennefather.,23,80
13:48,2428,John Guerra made Free Throw.,23,81
13:40,-1,Michael Urankar made Three Point Jumper. Assisted by Pete Day.,26,81
13:23,2428,Marius McAllister missed Layup.,26,81
13:23,2428,Marius McAllister Offensive Rebound.,26,81
13:20,2428,Marius McAllister missed Two Point Tip Shot.,26,81
13:20,-1,Pete Day Defensive Rebound.,26,81
13:09,-1,Michael Urankar missed Three Point Jumper.,26,81
13:09,2428,Dominique Reid Defensive Rebound.,26,81
13:00,2428,Marius McAllister made Layup. Assisted by Jordan Perkins.,26,83
12:43,2428,Foul on John Guerra.,26,83
12:43,-1,Patrick Pennefather missed Free Throw.,26,83
12:43,-1,Christendom Deadball Team Rebound.,26,83
12:43,-1,Patrick Pennefather missed Free Throw.,26,83
12:43,2428,Dominique Reid Defensive Rebound.,26,83
12:36,2428,Alex Mills missed Three Point Jumper.,26,83
12:36,2428,Dominique Reid Offensive Rebound.,26,83
12:30,2428,Dominique Reid missed Jumper.,26,83
12:30,2428,John Guerra Offensive Rebound.,26,83
12:22,2428,Alex Mills missed Three Point Jumper.,26,83
12:22,2428,Pablo Rivas Offensive Rebound.,26,83
12:19,2428,Pablo Rivas missed Jumper.,26,83
12:19,-1,Patrick Pennefather Defensive Rebound.,26,83
12:08,-1,Patrick Pennefather missed Jumper.,26,83
12:08,2428,Alex Mills Defensive Rebound.,26,83
11:53,2428,Jordan Perkins made Jumper.,26,85
11:39,2428,Official TV Timeout,26,85
11:21,-1,Patrick Pennefather missed Three Point Jumper.,26,85
11:21,2428,North Carolina Central Defensive Rebound.,26,85
11:02,2428,Pablo Rivas made Three Point Jumper. Assisted by John Guerra.,26,88
10:49,-1,Nick Santschi Turnover.,26,88
10:48,2428,John Guerra Steal.,26,88
10:45,2428,Pablo Rivas made Dunk. Assisted by John Guerra.,26,90
10:35,-1,Nick Santschi Turnover.,26,90
10:33,2428,John Guerra Steal.,26,90
10:30,-1,Foul on Nick Santschi.,26,90
10:30,-1,Christendom  Timeout,26,90
10:30,2428,John Guerra made Free Throw.,26,91
10:30,2428,John Guerra made Free Throw.,26,92
10:14,-1,Tommy Vander Woude Turnover.,26,92
10:14,2428,John Guerra Steal.,26,92
10:05,-1,Foul on Patrick Pennefather.,26,92
10:05,2428,John Guerra made Free Throw.,26,93
10:05,2428,John Guerra made Free Throw.,26,94
9:48,-1,Johnny Echaniz missed Three Point Jumper.,26,94
9:48,2428,Pablo Rivas Defensive Rebound.,26,94
9:40,2428,Alex Mills missed Layup.,26,94
9:40,-1,Johnny Echaniz Defensive Rebound.,26,94
9:10,-1,Patrick Pennefather missed Three Point Jumper.,26,94
9:10,2428,Pablo Rivas Defensive Rebound.,26,94
8:47,2428,Jordan Perkins made Jumper. Assisted by Pablo Rivas.,26,96
8:26,-1,Tommy Vander Woude missed Jumper.,26,96
8:26,2428,Marius McAllister Defensive Rebound.,26,96
8:18,-1,Foul on Tommy Vander Woude.,26,96
8:18,2428,John Guerra made Free Throw.,26,97
8:18,2428,John Guerra made Free Throw.,26,98
8:03,-1,Pete Day missed Three Point Jumper.,26,98
8:03,-1,Patrick Pennefather Offensive Rebound.,26,98
7:52,-1,Patrick Pennefather missed Three Point Jumper.,26,98
7:52,2428,Dominique Reid Defensive Rebound.,26,98
7:42,2428,Alston Jones missed Jumper.,26,98
7:42,2428,Dominique Reid Offensive Rebound.,26,98
7:37,2428,Dominique Reid missed Jumper.,26,98
7:37,2428,Pablo Rivas Offensive Rebound.,26,98
7:32,2428,Pablo Rivas made Two Point Tip Shot.,26,100
7:04,-1,Michael Urankar missed Three Point Jumper.,26,100
7:04,2428,Pablo Rivas Defensive Rebound.,26,100
6:53,2428,John Guerra missed Three Point Jumper.,26,100
6:53,2428,Dominique Reid Offensive Rebound.,26,100
6:43,2428,Pablo Rivas missed Three Point Jumper.,26,100
6:43,-1,Johnny Echaniz Defensive Rebound.,26,100
6:29,-1,Patrick Pennefather made Layup. Assisted by Michael Urankar.,28,100
6:13,2428,Alex Mills missed Three Point Jumper.,28,100
6:13,-1,Johnny Echaniz Defensive Rebound.,28,100
