Troy,5,UAB,2653
5:09,5,Dirk Williams made Layup. Assisted by Tyler Madison.,11,21
4:54,2653,Jordon Varnado missed Layup.,11,21
4:54,5,Tosin Mehinti Block.,11,21
4:52,5,Deion Lavender Defensive Rebound.,11,21
4:36,5,Tosin Mehinti made Jumper. Assisted by Dirk Williams.,11,23
4:32,2653,Troy  Timeout,11,23
4:22,2653,Daniel Peace Turnover.,11,23
3:53,2653,Foul on Jeremy Hollimon.,11,23
3:53,5,Official TV Timeout,11,23
3:53,5,Denzell Watts made Free Throw.,11,24
3:53,5,Denzell Watts made Free Throw.,11,25
3:28,2653,Juan Davis Jr. made Jumper. Assisted by Jeremy Hollimon.,13,25
3:14,5,Denzell Watts Turnover.,13,25
3:01,2653,Jordon Varnado missed Jumper.,13,25
3:01,5,William Lee Block.,13,25
2:59,5,Denzell Watts Defensive Rebound.,13,25
2:44,5,Chris Cokley made Jumper. Assisted by William Lee.,13,27
2:30,2653,Wesley Person missed Three Point Jumper.,13,27
2:30,5,Denzell Watts Defensive Rebound.,13,27
2:22,5,Hakeem Baxter made Layup. Assisted by William Lee.,13,29
2:02,2653,Juan Davis Jr. missed Three Point Jumper.,13,29
2:02,5,Hakeem Baxter Defensive Rebound.,13,29
1:55,5,Foul on Chris Cokley.,13,29
1:55,5,Chris Cokley Turnover.,13,29
1:40,2653,Juan Davis Jr. missed Three Point Jumper.,13,29
1:40,2653,Troy Offensive Rebound.,13,29
1:29,2653,Jeremy Hollimon missed Layup.,13,29
1:29,5,William Lee Block.,13,29
1:28,2653,Troy Offensive Rebound.,13,29
1:25,2653,Daniel Peace made Three Point Jumper. Assisted by B.J. Miller.,16,29
1:03,5,Tosin Mehinti Turnover.,16,29
0:40,5,Denzell Watts missed Layup.,16,29
0:40,5,UAB Offensive Rebound.,16,29
0:21,5,Dirk Williams made Three Point Jumper. Assisted by Tosin Mehinti.,16,32
0:01,5,Foul on Tosin Mehinti.,16,32
0:01,2653,Jeremy Hollimon made Free Throw.,17,32
0:01,2653,Jeremy Hollimon missed Free Throw.,17,32
0:01,5,Hakeem Baxter Defensive Rebound.,17,32
0:00,5,End of 1st half,16,32
19:50,2653,Kevin Baker missed Three Point Jumper.,17,32
19:50,2653,Wesley Person Offensive Rebound.,17,32
19:40,2653,DeVon Walker missed Jumper.,17,32
19:40,2653,DeVon Walker Offensive Rebound.,17,32
19:36,2653,DeVon Walker Turnover.,17,32
19:35,5,Chris Cokley Steal.,17,32
19:31,5,Chris Cokley missed Layup.,17,32
19:31,2653,Kevin Baker Defensive Rebound.,17,32
19:25,2653,Jordon Varnado missed Layup.,17,32
19:25,5,William Lee Block.,17,32
19:23,5,Deion Lavender Defensive Rebound.,17,32
19:19,5,Chris Cokley made Dunk. Assisted by Deion Lavender.,17,34
18:52,2653,Alex Hicks missed Jumper.,17,34
18:52,5,William Lee Defensive Rebound.,17,34
18:47,5,Deion Lavender Turnover.,17,34
18:28,2653,DeVon Walker missed Jumper.,17,34
18:28,5,Chris Cokley Defensive Rebound.,17,34
18:11,5,Chris Cokley Turnover.,17,34
