UNC Asheville,61,Georgia,2427
13:01,2427,Will Weeks missed Layup.,9,13
13:01,61,Yante Maten Block.,9,13
13:00,61,Derek Ogbeide Defensive Rebound.,9,13
12:54,61,William Jackson II missed Three Point Jumper.,9,13
12:54,61,Yante Maten Offensive Rebound.,9,13
12:34,61,Derek Ogbeide made Layup. Assisted by E'Torrion Wilridge.,9,15
12:14,2427,Ahmad Thomas Turnover.,9,15
11:56,61,Yante Maten missed Layup.,9,15
11:56,2427,Giacomo Zilli Block.,9,15
11:55,2427,Giacomo Zilli Defensive Rebound.,9,15
11:41,2427,Kevin Vannatta missed Layup.,9,15
11:41,61,Derek Ogbeide Block.,9,15
11:40,61,William Jackson II Defensive Rebound.,9,15
11:31,61,Juwan Parker made Three Point Jumper. Assisted by Yante Maten.,9,18
11:28,61,Georgia  Timeout,9,18
11:15,2427,Kevin Vannatta missed Three Point Jumper.,9,18
11:15,61,E'Torrion Wilridge Defensive Rebound.,9,18
11:01,61,Yante Maten missed Three Point Jumper.,9,18
11:01,2427,Raekwon Miller Defensive Rebound.,9,18
10:48,2427,MaCio Teague made Jumper.,11,18
10:36,61,Derek Ogbeide missed Jumper.,11,18
10:36,2427,MaCio Teague Defensive Rebound.,11,18
10:24,2427,MaCio Teague made Jumper.,13,18
10:03,61,Yante Maten made Layup. Assisted by Juwan Parker.,13,20
9:48,61,Foul on William Jackson II.,13,20
9:31,2427,Raekwon Miller made Three Point Jumper. Assisted by Giacomo Zilli.,16,20
9:11,61,Pape Diatta missed Jumper.,16,20
9:11,2427,Raekwon Miller Defensive Rebound.,16,20
9:00,2427,Giacomo Zilli Turnover.,16,20
8:59,61,Kenny Paul Geno Steal.,16,20
8:55,61,Yante Maten Turnover.,16,20
8:55,61,Foul on Yante Maten.,16,20
8:40,2427,MaCio Teague missed Jumper.,16,20
8:40,61,Kenny Paul Geno Defensive Rebound.,16,20
8:33,61,Yante Maten missed Layup.,16,20
8:33,61,Kenny Paul Geno Offensive Rebound.,16,20
8:31,61,Kenny Paul Geno missed Two Point Tip Shot.,16,20
8:31,61,Kenny Paul Geno Offensive Rebound.,16,20
8:29,61,Kenny Paul Geno made Two Point Tip Shot.,16,22
8:07,2427,Alec Wnuk made Jumper.,18,22
7:56,61,J.J. Frazier Turnover.,18,22
7:55,2427,Ahmad Thomas Steal.,18,22
7:44,2427,MaCio Teague missed Jumper.,18,22
7:44,61,Kenny Paul Geno Defensive Rebound.,18,22
7:22,2427,Foul on Giacomo Zilli.,18,22
7:05,61,Tyree Crump missed Three Point Jumper.,18,22
7:05,2427,Alec Wnuk Defensive Rebound.,18,22
6:53,2427,Alec Wnuk made Jumper.,20,22
6:53,61,Foul on Mike Edwards.,20,22
6:53,2427,Alec Wnuk missed Free Throw.,20,22
6:53,61,Derek Ogbeide Defensive Rebound.,20,22
6:29,61,Tyree Crump missed Jumper.,20,22
6:29,2427,Ahmad Thomas Defensive Rebound.,20,22
6:11,2427,Kevin Vannatta missed Three Point Jumper.,20,22
6:11,61,Georgia Defensive Rebound.,20,22
5:41,61,Tyree Crump missed Three Point Jumper.,20,22
5:41,2427,Alec Wnuk Defensive Rebound.,20,22
5:27,2427,Ahmad Thomas missed Three Point Jumper.,20,22
5:27,61,Mike Edwards Defensive Rebound.,20,22
5:04,61,Juwan Parker missed Three Point Jumper.,20,22
5:04,2427,MaCio Teague Defensive Rebound.,20,22
4:41,2427,Alec Wnuk made Jumper. Assisted by Kevin Vannatta.,22,22
4:22,2427,Foul on MaCio Teague.,22,22
4:22,61,J.J. Frazier made Free Throw.,22,23
4:22,61,J.J. Frazier made Free Throw.,22,24
4:22,61,J.J. Frazier made Free Throw.,22,25
4:01,2427,Raekwon Miller missed Three Point Jumper.,22,25
4:01,2427,Giacomo Zilli Offensive Rebound.,22,25
3:57,2427,Giacomo Zilli missed Jumper.,22,25
3:57,61,Derek Ogbeide Block.,22,25
3:55,61,J.J. Frazier Defensive Rebound.,22,25
3:53,61,J.J. Frazier made Layup.,22,27
3:38,61,Foul on Juwan Parker.,22,27
3:38,61,Official TV Timeout,22,27
3:38,2427,Giacomo Zilli missed Free Throw.,22,27
3:38,2427,UNC Asheville Deadball Team Rebound.,22,27
3:38,2427,Giacomo Zilli made Free Throw.,23,27
3:27,61,J.J. Frazier missed Three Point Jumper.,23,27
3:27,61,Juwan Parker Offensive Rebound.,23,27
3:22,61,Juwan Parker missed Two Point Tip Shot.,23,27
3:22,2427,Kevin Vannatta Defensive Rebound.,23,27
3:12,2427,Raekwon Miller made Three Point Jumper.,26,27
2:51,61,Juwan Parker missed Three Point Jumper.,26,27
2:51,2427,Kevin Vannatta Defensive Rebound.,26,27
2:34,2427,Will Weeks Turnover.,26,27
2:23,61,Derek Ogbeide Turnover.,26,27
2:02,2427,Ahmad Thomas Turnover.,26,27
2:01,61,Yante Maten Steal.,26,27
1:55,61,Yante Maten made Three Point Jumper. Assisted by J.J. Frazier.,26,30
1:26,2427,Ahmad Thomas missed Jumper.,26,30
1:26,61,Derek Ogbeide Defensive Rebound.,26,30
1:10,61,Derek Ogbeide Turnover.,26,30
1:10,61,Foul on Derek Ogbeide.,26,30
0:50,2427,Kevin Vannatta missed Three Point Jumper.,26,30
0:50,61,J.J. Frazier Defensive Rebound.,26,30
0:37,61,J.J. Frazier made Three Point Jumper. Assisted by Juwan Parker.,26,33
0:06,2427,Raekwon Miller missed Three Point Jumper.,26,33
0:06,61,Houston Kessler Defensive Rebound.,26,33
0:00,61,End of 1st half,26,33
19:46,61,Yante Maten made Jumper. Assisted by J.J. Frazier.,26,35
19:28,2427,Giacomo Zilli made Jumper. Assisted by David Robertson.,28,35
19:13,61,Juwan Parker missed Jumper.,28,35
19:13,2427,Kevin Vannatta Defensive Rebound.,28,35
18:57,2427,Ahmad Thomas made Jumper.,30,35
18:40,2427,Foul on Giacomo Zilli.,30,35
18:23,61,Juwan Parker missed Jumper.,30,35
18:23,2427,Ahmad Thomas Block.,30,35
18:21,2427,Ahmad Thomas Defensive Rebound.,30,35
18:17,2427,Ahmad Thomas missed Layup.,30,35
18:17,61,Yante Maten Defensive Rebound.,30,35
17:56,61,J.J. Frazier missed Jumper.,30,35
17:56,2427,David Robertson Defensive Rebound.,30,35
17:43,2427,Kevin Vannatta missed Three Point Jumper.,30,35
17:43,61,Yante Maten Defensive Rebound.,30,35
17:32,61,J.J. Frazier missed Three Point Jumper.,30,35
17:32,2427,Ahmad Thomas Defensive Rebound.,30,35
17:15,2427,David Robertson missed Jumper.,30,35
17:15,61,Yante Maten Block.,30,35
17:13,61,J.J. Frazier Defensive Rebound.,30,35
16:49,61,Juwan Parker made Jumper. Assisted by William Jackson II.,30,37
16:32,2427,MaCio Teague missed Three Point Jumper.,30,37
16:32,61,Mike Edwards Defensive Rebound.,30,37
16:24,61,Juwan Parker missed Three Point Jumper.,30,37
16:24,2427,Giacomo Zilli Defensive Rebound.,30,37
15:56,2427,Ahmad Thomas missed Jumper.,30,37
15:56,61,Juwan Parker Defensive Rebound.,30,37
15:47,61,Yante Maten made Layup. Assisted by J.J. Frazier.,30,39
15:20,61,Foul on Juwan Parker.,30,39
15:20,61,Official TV Timeout,30,39
14:54,2427,MaCio Teague made Three Point Jumper. Assisted by Raekwon Miller.,33,39
14:33,61,Yante Maten made Layup. Assisted by J.J. Frazier.,33,41
14:14,2427,Raekwon Miller missed Three Point Jumper.,33,41
14:14,61,Yante Maten Defensive Rebound.,33,41
14:05,61,Yante Maten missed Three Point Jumper.,33,41
14:05,2427,Kevin Vannatta Defensive Rebound.,33,41
13:40,2427,MaCio Teague missed Three Point Jumper.,33,41
13:40,2427,Ahmad Thomas Offensive Rebound.,33,41
13:34,2427,Will Weeks missed Layup.,33,41
13:34,61,Kenny Paul Geno Defensive Rebound.,33,41
13:22,61,Mike Edwards Turnover.,33,41
13:21,2427,Ahmad Thomas Steal.,33,41
13:19,2427,Raekwon Miller Turnover.,33,41
13:18,61,Mike Edwards Steal.,33,41
13:14,61,Yante Maten Turnover.,33,41
13:04,61,Foul on Houston Kessler.,33,41
12:50,2427,MaCio Teague made Jumper. Assisted by Alec Wnuk.,35,41
12:28,61,Jordan Harris made Three Point Jumper. Assisted by J.J. Frazier.,35,44
12:15,61,Foul on Mike Edwards.,35,44
12:02,2427,Ahmad Thomas missed Jumper.,35,44
12:02,61,Juwan Parker Defensive Rebound.,35,44
11:54,61,Official TV Timeout,35,44
11:36,61,Juwan Parker missed Jumper.,35,44
11:36,2427,Ahmad Thomas Block.,35,44
11:34,61,Georgia Offensive Rebound.,35,44
11:30,61,William Jackson II missed Three Point Jumper.,35,44
11:30,2427,Ahmad Thomas Defensive Rebound.,35,44
11:09,2427,Alec Wnuk made Jumper.,37,44
10:59,61,Derek Ogbeide missed Layup.,37,44
10:59,61,Derek Ogbeide Offensive Rebound.,37,44
10:56,61,Derek Ogbeide made Two Point Tip Shot.,37,46
10:47,2427,Alec Wnuk missed Layup.,37,46
10:47,61,Yante Maten Block.,37,46
