Furman,5,UAB,231
2:58,5,William Lee made Three Point Jumper. Assisted by Deion Lavender.,40,41
2:37,231,Foul on Kris Acox.,40,41
2:37,231,Kris Acox Turnover.,40,41
2:22,5,William Lee Turnover.,40,41
2:21,231,Devin Sibley Steal.,40,41
2:07,231,Geoff Beans made Three Point Jumper. Assisted by Kris Acox.,43,41
1:53,5,Deion Lavender made Jumper.,43,43
1:41,231,Devin Sibley made Layup. Assisted by Daniel Fowler.,45,43
1:17,5,Deion Lavender Turnover.,45,43
1:17,231,Furman  Timeout,45,43
0:59,231,Devin Sibley missed Three Point Jumper.,45,43
0:59,5,Tosin Mehinti Defensive Rebound.,45,43
0:49,5,Tosin Mehinti missed Jumper.,45,43
0:49,231,John Davis III Defensive Rebound.,45,43
0:16,231,Furman  Turnover.,45,43
0:03,5,Dirk Williams made Three Point Jumper. Assisted by Tosin Mehinti.,45,46
0:00,5,End of 1st half,45,46
19:37,231,Foul on John Davis III.,45,46
19:37,5,William Lee made Free Throw.,45,47
19:37,5,William Lee made Free Throw.,45,48
19:05,231,Geoff Beans missed Jumper.,45,48
19:05,5,Dirk Williams Defensive Rebound.,45,48
18:49,5,William Lee made Jumper. Assisted by Hakeem Baxter.,45,50
18:31,5,Foul on Hakeem Baxter.,45,50
18:19,231,Kris Acox Turnover.,45,50
17:55,5,Chris Cokley missed Jumper.,45,50
17:55,231,Geoff Beans Defensive Rebound.,45,50
17:54,5,Foul on Chris Cokley.,45,50
17:42,5,Foul on Deion Lavender.,45,50
17:40,231,John Davis III Turnover.,45,50
17:38,5,Hakeem Baxter Steal.,45,50
17:35,5,Hakeem Baxter missed Layup.,45,50
17:35,231,Geoff Beans Block.,45,50
17:35,5,UAB Offensive Rebound.,45,50
17:29,5,Tosin Mehinti Turnover.,45,50
17:26,231,Daniel Fowler Steal.,45,50
17:12,231,Geoff Beans missed Three Point Jumper.,45,50
17:12,231,Kris Acox Offensive Rebound.,45,50
17:08,231,Kris Acox made Layup.,47,50
16:49,5,William Lee missed Three Point Jumper.,47,50
16:49,231,Devin Sibley Defensive Rebound.,47,50
16:32,231,Geoff Beans made Jumper. Assisted by Daniel Fowler.,49,50
16:20,231,Foul on Devin Sibley.,49,50
16:19,231,Foul on Devin Sibley.,49,50
16:06,231,Foul on Andrew Brown.,49,50
16:06,5,Hakeem Baxter made Free Throw.,49,51
16:06,5,Hakeem Baxter missed Free Throw.,49,51
16:06,231,Andrew Brown Defensive Rebound.,49,51
15:58,5,Foul on Deion Lavender.,49,51
15:58,5,Official TV Timeout,49,51
15:58,231,John Davis III missed Free Throw.,49,51
15:58,231,Furman Deadball Team Rebound.,49,51
15:58,231,John Davis III missed Free Throw.,49,51
15:58,5,Dirk Williams Defensive Rebound.,49,51
15:38,231,Foul on Kris Acox.,49,51
15:38,5,Hakeem Baxter made Free Throw.,49,52
15:38,5,Hakeem Baxter made Free Throw.,49,53
15:14,231,John Davis III Turnover.,49,53
15:01,231,Foul on John Davis III.,49,53
14:45,5,Javien Williams missed Three Point Jumper.,49,53
14:45,5,Tosin Mehinti Offensive Rebound.,49,53
14:43,5,Tosin Mehinti missed Layup.,49,53
14:43,231,Furman Defensive Rebound.,49,53
14:43,5,Foul on Dirk Williams.,49,53
14:28,5,Foul on Tosin Mehinti.,49,53
14:21,231,Daniel Fowler missed Three Point Jumper.,49,53
14:21,5,Hakeem Baxter Defensive Rebound.,49,53
14:07,5,William Lee missed Three Point Jumper.,49,53
14:07,5,Tosin Mehinti Offensive Rebound.,49,53
14:04,231,Foul on Jalen Williams.,49,53
14:04,5,Tosin Mehinti made Free Throw.,49,54
14:04,5,Tosin Mehinti made Free Throw.,49,55
13:56,231,Furman  Timeout,49,55
13:45,231,Geoff Beans made Three Point Jumper. Assisted by Daniel Fowler.,52,55
13:16,231,Foul on Jalen Williams.,52,55
13:16,5,Chris Cokley made Free Throw.,52,56
13:16,5,Chris Cokley made Free Throw.,52,57
13:05,5,Foul on Tyler Madison.,52,57
13:05,231,Kris Acox made Free Throw.,53,57
13:05,231,Kris Acox made Free Throw.,54,57
12:54,231,Foul on Kris Acox.,54,57
12:54,5,Chris Cokley made Free Throw.,54,58
12:54,5,Chris Cokley missed Free Throw.,54,58
12:54,231,Devin Sibley Defensive Rebound.,54,58
12:47,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,57,58
12:23,5,Dirk Williams missed Layup.,57,58
12:23,231,Devin Sibley Defensive Rebound.,57,58
12:02,231,Foul on Devin Sibley.,57,58
12:02,231,Devin Sibley Turnover.,57,58
11:55,5,Foul on Dirk Williams.,57,58
11:55,5,Dirk Williams Turnover.,57,58
11:55,5,Official TV Timeout,57,58
11:24,231,Daniel Fowler missed Layup.,57,58
11:24,5,Javien Williams Block.,57,58
11:24,231,Furman Offensive Rebound.,57,58
11:24,231,Furman  Turnover.,57,58
11:13,5,Javien Williams missed Three Point Jumper.,57,58
11:13,5,Chris Cokley Offensive Rebound.,57,58
11:09,231,Foul on Geoff Beans.,57,58
11:09,5,Chris Cokley made Free Throw.,57,59
11:09,5,Chris Cokley missed Free Throw.,57,59
11:09,231,John Davis III Defensive Rebound.,57,59
10:57,231,Daniel Fowler made Layup.,59,59
10:57,5,Foul on Javien Williams.,59,59
10:57,231,Daniel Fowler made Free Throw.,60,59
10:42,5,Chris Cokley Turnover.,60,59
10:18,231,Daniel Fowler made Jumper.,62,59
10:04,231,Foul on Geoff Beans.,62,59
10:04,5,Hakeem Baxter made Free Throw.,62,60
10:04,5,Hakeem Baxter made Free Throw.,62,61
9:34,231,John Davis III missed Jumper.,62,61
9:34,231,Daniel Fowler Offensive Rebound.,62,61
9:24,231,Andrew Brown missed Layup.,62,61
9:24,5,Deion Lavender Defensive Rebound.,62,61
9:19,231,Foul on Geoff Beans.,62,61
9:19,5,Chris Cokley missed Free Throw.,62,61
9:19,5,UAB Deadball Team Rebound.,62,61
9:19,5,Chris Cokley made Free Throw.,62,62
9:16,5,Foul on Javien Williams.,62,62
9:16,231,John Davis III missed Free Throw.,62,62
9:16,231,Furman Deadball Team Rebound.,62,62
9:16,231,John Davis III missed Free Throw.,62,62
9:16,5,Dirk Williams Defensive Rebound.,62,62
9:07,5,Chris Cokley missed Layup.,62,62
9:07,231,Jalen Williams Block.,62,62
9:05,231,Jalen Williams Defensive Rebound.,62,62
8:59,231,Andrew Brown missed Three Point Jumper.,62,62
8:59,231,Jalen Williams Offensive Rebound.,62,62
8:57,5,Foul on Chris Cokley.,62,62
8:57,231,Jalen Williams made Free Throw.,63,62
8:57,231,Jalen Williams made Free Throw.,64,62
8:32,5,Hakeem Baxter missed Three Point Jumper.,64,62
8:32,231,Andrew Brown Defensive Rebound.,64,62
8:21,231,Jordan Lyons made Three Point Jumper. Assisted by John Davis III.,67,62
8:12,5,UAB  Timeout,67,62
8:12,5,Official TV Timeout,67,62
7:58,5,Dirk Williams Turnover.,67,62
7:57,231,John Davis III Steal.,67,62
7:32,231,Daniel Fowler made Three Point Jumper. Assisted by Andrew Brown.,70,62
7:14,5,Dirk Williams missed Three Point Jumper.,70,62
7:14,5,Tosin Mehinti Offensive Rebound.,70,62
6:55,5,Hakeem Baxter missed Jumper.,70,62
6:55,231,Daniel Fowler Defensive Rebound.,70,62
6:46,231,Andrew Brown made Three Point Jumper. Assisted by Jordan Lyons.,73,62
6:43,5,UAB  Timeout,73,62
6:21,5,Tosin Mehinti missed Layup.,73,62
6:21,5,Tosin Mehinti Offensive Rebound.,73,62
6:18,5,Tosin Mehinti made Layup.,73,64
6:05,231,Andrew Brown missed Jumper.,73,64
6:05,5,Deion Lavender Defensive Rebound.,73,64
5:55,231,Foul on Jordan Lyons.,73,64
5:55,5,William Lee missed Free Throw.,73,64
5:55,5,UAB Deadball Team Rebound.,73,64
5:55,5,William Lee made Free Throw.,73,65
5:28,231,Devin Sibley missed Three Point Jumper.,73,65
5:28,5,Deion Lavender Defensive Rebound.,73,65
5:17,5,Hakeem Baxter missed Three Point Jumper.,73,65
5:17,231,Devin Sibley Defensive Rebound.,73,65
5:08,231,Devin Sibley made Layup.,75,65
4:49,5,Dirk Williams missed Three Point Jumper.,75,65
4:49,231,Jordan Lyons Defensive Rebound.,75,65
4:32,5,Foul on Tosin Mehinti.,75,65
4:32,231,Devin Sibley missed Free Throw.,75,65
4:32,231,Furman Deadball Team Rebound.,75,65
4:32,231,Devin Sibley missed Free Throw.,75,65
4:32,5,William Lee Defensive Rebound.,75,65
4:17,5,Foul on Deion Lavender.,75,65
4:17,5,Deion Lavender Turnover.,75,65
3:51,231,Daniel Fowler missed Three Point Jumper.,75,65
3:51,5,Dirk Williams Block.,75,65
3:49,231,Devin Sibley Offensive Rebound.,75,65
3:43,231,Devin Sibley missed Jumper.,75,65
3:43,5,Deion Lavender Defensive Rebound.,75,65
3:38,5,Tyler Madison missed Layup.,75,65
3:38,231,Devin Sibley Defensive Rebound.,75,65
3:09,231,John Davis III made Layup.,77,65
2:56,5,Official TV Timeout,77,65
2:46,5,Hakeem Baxter missed Three Point Jumper.,77,65
2:46,231,John Davis III Defensive Rebound.,77,65
2:15,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,80,65
2:01,5,William Lee missed Three Point Jumper.,80,65
2:01,5,UAB Offensive Rebound.,80,65
1:51,5,William Lee missed Jumper.,80,65
1:51,231,Kris Acox Defensive Rebound.,80,65
1:24,231,Devin Sibley missed Jumper.,80,65
1:22,5,UAB Defensive Rebound.,80,65
1:22,231,Foul on Daniel Fowler.,80,65
1:22,5,Hakeem Baxter made Free Throw.,80,66
1:22,5,Hakeem Baxter made Free Throw.,80,67
1:11,5,Foul on Hakeem Baxter.,80,67
1:11,231,John Davis III missed Free Throw.,80,67
1:11,231,Furman Deadball Team Rebound.,80,67
1:11,231,John Davis III made Free Throw.,81,67
1:06,5,Hakeem Baxter made Jumper.,81,69
1:06,5,UAB  Timeout,81,69
1:01,5,Foul on Deion Lavender.,81,69
1:01,231,John Davis III made Free Throw.,82,69
1:01,231,John Davis III made Free Throw.,83,69
0:57,5,Tyler Madison made Three Point Jumper.,83,72
0:50,5,Foul on Deion Lavender.,83,72
0:50,231,Devin Sibley missed Free Throw.,83,72
0:50,231,Furman Deadball Team Rebound.,83,72
0:50,231,Devin Sibley missed Free Throw.,83,72
0:50,5,Tyler Madison Defensive Rebound.,83,72
0:43,5,Hakeem Baxter Turnover.,83,72
0:43,231,Devin Sibley Turnover.,83,72
0:43,5,Dirk Williams Steal.,83,72
0:43,231,Foul on Geoff Beans.,83,72
0:43,5,Dirk Williams made Free Throw.,83,73
0:43,5,Dirk Williams made Free Throw.,83,74
