Jacksonville,2065,Bethune-Cookman,294
12:59,294,J.R. Holder Steal.,13,18
12:46,294,Cody Helgeland missed Three Point Jumper.,13,18
12:46,2065,Reggie Baker Defensive Rebound.,13,18
12:28,2065,Diamante Lewis missed Three Point Jumper.,13,18
12:28,294,Darien Fernandez Defensive Rebound.,13,18
12:18,294,J.R. Holder made Jumper.,15,18
11:55,2065,Official TV Timeout,15,18
11:47,2065,Reggie Baker missed Three Point Jumper.,15,18
11:47,2065,Jeffrey Altidort Offensive Rebound.,15,18
11:29,2065,Brandon Tabb missed Three Point Jumper.,15,18
11:29,294,Jacksonville Defensive Rebound.,15,18
11:13,294,Cody Helgeland made Dunk. Assisted by Antwon Clayton.,17,18
10:40,2065,Diamante Lewis Turnover.,17,18
10:40,2065,Foul on Diamante Lewis.,17,18
10:27,294,Cody Helgeland made Three Point Jumper. Assisted by J.R. Holder.,20,18
10:12,2065,Quinton Forrest missed Three Point Jumper.,20,18
10:12,2065,Brandon Tabb Offensive Rebound.,20,18
10:07,2065,Brandon Tabb missed Jumper.,20,18
10:07,2065,Quinton Forrest Offensive Rebound.,20,18
9:55,2065,Quinton Forrest made Layup. Assisted by Brandon Tabb.,20,20
9:46,294,Darien Fernandez made Layup.,22,20
9:31,294,Foul on Antwon Clayton.,22,20
9:29,2065,Diamante Lewis missed Jumper.,22,20
9:29,294,Darien Fernandez Defensive Rebound.,22,20
9:06,294,Darien Fernandez missed Three Point Jumper.,22,20
9:06,2065,Brandon Tabb Defensive Rebound.,22,20
8:58,2065,Brandon Tabb missed Jumper.,22,20
8:58,294,Devin Harris Defensive Rebound.,22,20
8:52,294,Devin Harris missed Layup.,22,20
8:52,2065,Ulmer Manzie Block.,22,20
8:50,2065,Bethune-Cookman Defensive Rebound.,22,20
8:36,2065,Brandon Tabb made Three Point Jumper. Assisted by Jeffrey Altidort.,22,23
8:10,294,J.R. Holder missed Three Point Jumper.,22,23
8:10,294,Cody Helgeland Offensive Rebound.,22,23
8:03,2065,Foul on Ulmer Manzie.,22,23
8:03,294,Cody Helgeland made Free Throw.,23,23
8:03,294,Cody Helgeland made Free Throw.,24,23
7:48,2065,Brandon Tabb missed Jumper.,24,23
7:48,294,Cody Helgeland Block.,24,23
7:47,2065,Brandon Tabb Offensive Rebound.,24,23
7:41,2065,Reggie Baker missed Three Point Jumper.,24,23
7:41,294,Devin Harris Defensive Rebound.,24,23
7:32,294,J.R. Holder made Layup.,26,23
7:05,2065,Jeffrey Altidort missed Three Point Jumper.,26,23
7:05,294,Devin Harris Defensive Rebound.,26,23
6:53,294,Cody Helgeland missed Three Point Jumper.,26,23
6:53,2065,Reggie Baker Defensive Rebound.,26,23
6:43,2065,Quinton Forrest missed Layup.,26,23
6:43,294,Omar El Manasterly Defensive Rebound.,26,23
6:27,294,Devin Harris made Layup.,28,23
6:23,2065,Bethune-Cookman  Timeout,28,23
6:23,2065,Official TV Timeout,28,23
6:02,2065,Reggie Baker Turnover.,28,23
6:01,294,J.R. Holder Steal.,28,23
5:57,2065,Foul on Brandon Tabb.,28,23
5:44,294,Darien Fernandez Turnover.,28,23
5:43,2065,Brandon Tabb Steal.,28,23
5:37,2065,Reggie Baker missed Three Point Jumper.,28,23
5:37,294,Darius Dawkins Defensive Rebound.,28,23
5:16,294,Darius Dawkins made Three Point Jumper. Assisted by J.R. Holder.,31,23
4:53,2065,Brandon Tabb Turnover.,31,23
