South Dakota State,2724,Wichita State,2571
4:00,2724,Landry Shamet made Three Point Jumper. Assisted by Rauno Nurger.,39,33
3:41,2571,Brandon Key missed Jumper.,39,33
3:41,2724,Darral Willis Jr. Defensive Rebound.,39,33
3:31,2724,Darral Willis Jr. missed Three Point Jumper.,39,33
3:31,2724,Zach Brown Offensive Rebound.,39,33
3:24,2724,Darral Willis Jr. made Layup. Assisted by Landry Shamet.,39,35
3:21,2724,Official TV Timeout,39,35
3:12,2571,Mike Daum missed Jumper.,39,35
3:12,2571,Mike Daum Offensive Rebound.,39,35
3:09,2571,Mike Daum made Jumper.,41,35
2:43,2724,Landry Shamet made Three Point Jumper. Assisted by Austin Reaves.,41,38
2:26,2571,Mike Daum made Three Point Jumper. Assisted by Tevin King.,44,38
2:06,2724,Austin Reaves missed Jumper.,44,38
2:06,2571,Skyler Flatten Block.,44,38
2:04,2571,Mike Daum Defensive Rebound.,44,38
1:51,2571,Ian Theisen missed Three Point Jumper.,44,38
1:51,2724,Zach Brown Defensive Rebound.,44,38
1:44,2724,Zach Brown made Layup.,44,40
1:26,2571,Skyler Flatten made Layup.,46,40
1:19,2724,Zach Brown missed Layup.,46,40
1:19,2571,Tevin King Defensive Rebound.,46,40
0:48,2571,Tevin King made Jumper.,48,40
0:35,2724,Rauno Nurger made Layup. Assisted by Darral Willis Jr..,48,42
0:02,2571,Tevin King made Jumper.,50,42
0:00,2724,End of 1st half,50,42
19:52,2571,Foul on Reed Tellinghuisen.,50,42
19:45,2724,Landry Shamet made Three Point Jumper. Assisted by Conner Frankamp.,50,45
19:15,2571,Ian Theisen missed Three Point Jumper.,50,45
19:15,2571,Tevin King Offensive Rebound.,50,45
19:08,2571,Mike Daum made Three Point Jumper. Assisted by Tevin King.,53,45
18:58,2724,Landry Shamet missed Three Point Jumper.,53,45
18:58,2571,Chris Howell Defensive Rebound.,53,45
18:38,2724,Foul on Zach Brown.,53,45
18:38,2571,Mike Daum made Free Throw.,54,45
18:38,2571,Mike Daum made Free Throw.,55,45
18:12,2571,Foul on Chris Howell.,55,45
17:59,2724,Rashard Kelly missed Three Point Jumper.,55,45
17:59,2571,Mike Daum Defensive Rebound.,55,45
17:36,2571,Skyler Flatten made Three Point Jumper. Assisted by Mike Daum.,58,45
17:26,2724,Landry Shamet missed Layup.,58,45
17:26,2724,Wichita State Offensive Rebound.,58,45
17:25,2571,Foul on Ian Theisen.,58,45
17:23,2724,Conner Frankamp made Three Point Jumper.,58,48
17:10,2571,Chris Howell made Layup. Assisted by Tevin King.,60,48
16:58,2724,Conner Frankamp missed Jumper.,60,48
16:58,2571,Mike Daum Defensive Rebound.,60,48
16:48,2571,Mike Daum missed Three Point Jumper.,60,48
16:48,2724,Rashard Kelly Defensive Rebound.,60,48
16:39,2724,Zach Brown missed Three Point Jumper.,60,48
16:39,2571,Ian Theisen Defensive Rebound.,60,48
16:18,2724,Foul on Landry Shamet.,60,48
16:18,2571,Chris Howell made Free Throw.,61,48
16:18,2571,Chris Howell missed Free Throw.,61,48
16:18,2724,Zach Brown Defensive Rebound.,61,48
16:08,2724,Landry Shamet made Layup.,61,50
16:08,2571,Foul on Tevin King.,61,50
16:08,2724,Landry Shamet made Free Throw.,61,51
16:00,2724,Foul on C.J. Keyser.,61,51
16:00,2571,Mike Daum made Free Throw.,62,51
16:00,2571,Mike Daum made Free Throw.,63,51
15:37,2724,Conner Frankamp made Jumper.,63,53
15:22,2571,Mike Daum missed Layup.,63,53
15:22,2724,Landry Shamet Defensive Rebound.,63,53
15:15,2724,Darral Willis Jr. made Layup. Assisted by Landry Shamet.,63,55
15:12,2571,South Dakota State  Timeout,63,55
15:07,2571,Brandon Key Turnover.,63,55
15:07,2724,Official TV Timeout,63,55
14:57,2724,Landry Shamet missed Three Point Jumper.,63,55
14:57,2571,David Jenkins Jr. Defensive Rebound.,63,55
14:35,2571,Reed Tellinghuisen missed Three Point Jumper.,63,55
14:35,2724,Darral Willis Jr. Defensive Rebound.,63,55
14:19,2724,Conner Frankamp missed Three Point Jumper.,63,55
14:19,2724,Rauno Nurger Offensive Rebound.,63,55
14:16,2571,Foul on Mike Daum.,63,55
14:09,2724,Darral Willis Jr. made Jumper. Assisted by Landry Shamet.,63,57
13:55,2571,Mike Daum made Three Point Jumper. Assisted by Tevin King.,66,57
13:43,2724,Darral Willis Jr. made Three Point Jumper. Assisted by Landry Shamet.,66,60
13:30,2571,David Jenkins Jr. made Three Point Jumper. Assisted by Tevin King.,69,60
13:17,2724,Landry Shamet made Layup.,69,62
13:09,2724,Foul on Darral Willis Jr..,69,62
12:58,2571,David Jenkins Jr. missed Three Point Jumper.,69,62
12:58,2724,Rauno Nurger Defensive Rebound.,69,62
12:43,2724,C.J. Keyser Turnover.,69,62
12:41,2571,Tevin King Steal.,69,62
12:33,2571,Tevin King missed Layup.,69,62
12:33,2724,Rauno Nurger Defensive Rebound.,69,62
12:20,2724,Conner Frankamp missed Layup.,69,62
12:20,2571,Mike Daum Block.,69,62
12:19,2571,South Dakota State Defensive Rebound.,69,62
12:07,2571,Lane Severyn Turnover.,69,62
12:06,2724,Rashard Kelly Steal.,69,62
12:03,2724,Foul on Austin Reaves.,69,62
12:03,2724,Austin Reaves Turnover.,69,62
11:57,2571,Reed Tellinghuisen missed Layup.,69,62
11:57,2724,Shaquille Morris Block.,69,62
11:55,2724,Conner Frankamp Defensive Rebound.,69,62
11:45,2724,Austin Reaves missed Three Point Jumper.,69,62
11:45,2571,Ian Theisen Defensive Rebound.,69,62
11:32,2571,David Jenkins Jr. missed Jumper.,69,62
11:32,2724,Shaquille Morris Defensive Rebound.,69,62
11:14,2724,Conner Frankamp missed Three Point Jumper.,69,62
11:14,2724,Zach Brown Offensive Rebound.,69,62
11:11,2724,Austin Reaves missed Three Point Jumper.,69,62
11:11,2724,Rashard Kelly Offensive Rebound.,69,62
11:02,2724,Rashard Kelly Turnover.,69,62
11:02,2724,Official TV Timeout,69,62
10:42,2724,Foul on Landry Shamet.,69,62
10:42,2571,Brandon Key made Free Throw.,70,62
10:42,2571,Brandon Key missed Free Throw.,70,62
10:42,2724,Shaquille Morris Defensive Rebound.,70,62
10:16,2724,Zach Brown made Jumper.,70,64
10:16,2571,Foul on Lane Severyn.,70,64
10:16,2724,Zach Brown made Free Throw.,70,65
10:14,2571,Reed Tellinghuisen Turnover.,70,65
10:12,2724,Zach Brown Steal.,70,65
10:10,2724,Rashard Kelly missed Layup.,70,65
10:10,2571,Brandon Key Defensive Rebound.,70,65
9:47,2571,David Jenkins Jr. missed Three Point Jumper.,70,65
9:47,2571,Reed Tellinghuisen Offensive Rebound.,70,65
9:20,2571,Reed Tellinghuisen made Three Point Jumper.,73,65
9:06,2724,Shaquille Morris made Layup. Assisted by C.J. Keyser.,73,67
8:52,2571,Mike Daum made Three Point Jumper. Assisted by David Jenkins Jr..,76,67
8:37,2571,Foul on Tevin King.,76,67
8:37,2724,Rashard Kelly missed Free Throw.,76,67
8:37,2724,Wichita State Deadball Team Rebound.,76,67
8:37,2724,Rashard Kelly made Free Throw.,76,68
8:28,2571,Mike Daum missed Three Point Jumper.,76,68
8:28,2724,Rashard Kelly Defensive Rebound.,76,68
8:19,2724,Zach Brown missed Three Point Jumper.,76,68
8:19,2724,Rashard Kelly Offensive Rebound.,76,68
8:03,2571,Foul on Mike Daum.,76,68
8:03,2724,Conner Frankamp made Free Throw.,76,69
8:03,2724,Conner Frankamp made Free Throw.,76,70
8:03,2724,Conner Frankamp made Free Throw.,76,71
7:46,2571,Mike Daum Turnover.,76,71
7:44,2724,Austin Reaves Steal.,76,71
7:37,2724,Shaquille Morris made Three Point Jumper. Assisted by Rashard Kelly.,76,74
7:34,2571,South Dakota State  Timeout,76,74
7:23,2571,Brandon Key Turnover.,76,74
7:22,2724,Landry Shamet Steal.,76,74
7:10,2724,Zach Brown made Dunk. Assisted by Rashard Kelly.,76,76
7:06,2724,Foul on Austin Reaves.,76,76
7:06,2571,Brandon Key made Free Throw.,77,76
7:06,2571,Brandon Key missed Free Throw.,77,76
7:06,2724,Zach Brown Defensive Rebound.,77,76
6:43,2724,Shaquille Morris made Layup. Assisted by Conner Frankamp.,77,78
6:30,2724,Foul on Zach Brown.,77,78
6:30,2571,Tevin King missed Free Throw.,77,78
6:30,2724,Shaquille Morris Defensive Rebound.,77,78
6:08,2724,Shaquille Morris made Jumper. Assisted by Landry Shamet.,77,80
5:51,2571,Foul on Mike Daum.,77,80
5:51,2571,Mike Daum Turnover.,77,80
5:40,2571,Foul on David Jenkins Jr..,77,80
5:40,2724,Zach Brown missed Free Throw.,77,80
5:40,2724,Wichita State Deadball Team Rebound.,77,80
5:40,2724,Zach Brown made Free Throw.,77,81
5:25,2571,Brandon Key Turnover.,77,81
5:25,2724,Landry Shamet Steal.,77,81
5:16,2724,Foul on Darral Willis Jr..,77,81
5:16,2724,Darral Willis Jr. Turnover.,77,81
5:06,2571,David Jenkins Jr. missed Three Point Jumper.,77,81
5:06,2724,Rauno Nurger Defensive Rebound.,77,81
4:48,2724,Austin Reaves missed Three Point Jumper.,77,81
4:48,2571,Reed Tellinghuisen Defensive Rebound.,77,81
4:46,2724,Foul on Darral Willis Jr..,77,81
4:46,2571,Reed Tellinghuisen missed Free Throw.,77,81
4:46,2571,South Dakota State Deadball Team Rebound.,77,81
4:46,2571,Reed Tellinghuisen missed Free Throw.,77,81
4:46,2724,Zach Brown Defensive Rebound.,77,81
4:32,2724,Landry Shamet made Jumper.,77,83
4:17,2571,Reed Tellinghuisen missed Three Point Jumper.,77,83
4:17,2571,Tevin King Offensive Rebound.,77,83
4:13,2571,Tevin King made Layup.,79,83
3:44,2724,Shaquille Morris made Layup. Assisted by Landry Shamet.,79,85
3:44,2571,Foul on Reed Tellinghuisen.,79,85
3:44,2724,Official TV Timeout,79,85
3:44,2724,Shaquille Morris missed Free Throw.,79,85
3:44,2571,Mike Daum Defensive Rebound.,79,85
3:20,2724,Foul on Landry Shamet.,79,85
3:20,2571,Mike Daum made Free Throw.,80,85
3:20,2571,Mike Daum made Free Throw.,81,85
3:00,2724,Zach Brown missed Layup.,81,85
3:00,2724,Shaquille Morris Offensive Rebound.,81,85
2:57,2724,Shaquille Morris made Two Point Tip Shot.,81,87
2:43,2571,Foul on David Jenkins Jr..,81,87
2:43,2571,David Jenkins Jr. Turnover.,81,87
2:28,2724,Shaquille Morris made Dunk. Assisted by Zach Brown.,81,89
2:14,2724,Foul on Zach Brown.,81,89
2:14,2571,Tevin King made Free Throw.,82,89
2:14,2571,Tevin King made Free Throw.,83,89
1:58,2724,Landry Shamet made Layup.,83,91
1:48,2571,South Dakota State  Timeout,83,91
1:40,2571,Tevin King missed Layup.,83,91
1:40,2724,Zach Brown Defensive Rebound.,83,91
1:38,2571,Foul on Tevin King.,83,91
1:38,2724,Rashard Kelly made Free Throw.,83,92
1:38,2724,Rashard Kelly made Free Throw.,83,93
1:29,2571,Mike Daum missed Three Point Jumper.,83,93
1:29,2724,Rashard Kelly Defensive Rebound.,83,93
1:17,2724,Landry Shamet Turnover.,83,93
1:15,2571,Tevin King Steal.,83,93
1:14,2571,Brandon Key made Layup. Assisted by Tevin King.,85,93
0:56,2571,Foul on David Jenkins Jr..,85,93
0:56,2724,Zach Brown missed Free Throw.,85,93
0:56,2724,Wichita State Deadball Team Rebound.,85,93
0:56,2724,Zach Brown missed Free Throw.,85,93
0:56,2571,Mike Daum Defensive Rebound.,85,93
0:51,2571,Mike Daum missed Three Point Jumper.,85,93
0:51,2724,Rauno Nurger Defensive Rebound.,85,93
0:49,2571,Foul on David Jenkins Jr..,85,93
0:49,2724,Rauno Nurger missed Free Throw.,85,93
0:49,2724,Wichita State Deadball Team Rebound.,85,93
0:49,2724,Rauno Nurger made Free Throw.,85,94
0:42,2571,Reed Tellinghuisen missed Three Point Jumper.,85,94
0:42,2724,Rashard Kelly Defensive Rebound.,85,94
0:40,2571,Foul on Tevin King.,85,94
0:40,2724,Rashard Kelly missed Free Throw.,85,94
0:40,2724,Wichita State Deadball Team Rebound.,85,94
0:40,2724,Rashard Kelly made Free Throw.,85,95
0:34,2571,Mike Daum missed Jumper.,85,95
0:34,2724,Rashard Kelly Defensive Rebound.,85,95
0:00,2724,End of Game,85,95
