Charleston Southern,2166,Davidson,2127
6:24,2166,KiShawn Pritchett missed Three Point Jumper.,19,46
6:24,2127,Phlandrous Fleming Jr Defensive Rebound.,19,46
6:14,2127,Travis McConico Turnover.,19,46
6:04,2127,Foul on Ty Jones.,19,46
5:57,2166,Kellan Grady missed Three Point Jumper.,19,46
5:57,2127,Deontaye Buskey Defensive Rebound.,19,46
5:46,2127,Sean Price missed Three Point Jumper.,19,46
5:46,2166,Peyton Aldridge Defensive Rebound.,19,46
5:29,2166,Oskar Michelsen missed Three Point Jumper.,19,46
5:29,2127,Phlandrous Fleming Jr Defensive Rebound.,19,46
5:27,2166,Foul on Kellan Grady.,19,46
5:07,2127,Ty Jones missed Jumper.,19,46
5:07,2166,Jon Axel Gudmundsson Defensive Rebound.,19,46
5:00,2166,Jon Axel Gudmundsson made Layup.,19,48
4:59,2127,Charleston Southern  Timeout,19,48
4:47,2127,Ty Jones Turnover.,19,48
4:39,2166,Foul on KiShawn Pritchett.,19,48
4:32,2127,Jamaal David missed Three Point Jumper.,19,48
4:32,2166,KiShawn Pritchett Defensive Rebound.,19,48
4:23,2166,Jon Axel Gudmundsson made Three Point Jumper. Assisted by KiShawn Pritchett.,19,51
4:09,2127,Ty Jones missed Layup.,19,51
4:09,2127,Charleston Southern Offensive Rebound.,19,51
4:09,2166,Foul on Oskar Michelsen.,19,51
4:09,2127,Ty Jones made Free Throw.,20,51
4:09,2127,Ty Jones made Free Throw.,21,51
3:52,2166,Kellan Grady missed Jumper.,21,51
3:52,2166,Peyton Aldridge Offensive Rebound.,21,51
3:44,2166,Peyton Aldridge missed Three Point Jumper.,21,51
3:44,2127,Ty Jones Defensive Rebound.,21,51
3:21,2127,Jordan Jones missed Layup.,21,51
3:21,2166,Jon Axel Gudmundsson Defensive Rebound.,21,51
3:00,2166,Peyton Aldridge made Jumper.,21,53
2:37,2127,Ty Jones missed Jumper.,21,53
2:37,2166,Jon Axel Gudmundsson Defensive Rebound.,21,53
2:22,2166,Peyton Aldridge made Three Point Jumper. Assisted by Kellan Grady.,21,56
2:09,2127,Ty Jones missed Three Point Jumper.,21,56
2:09,2166,Kellan Grady Defensive Rebound.,21,56
1:59,2166,Davidson  Timeout,21,56
1:46,2166,Peyton Aldridge missed Three Point Jumper.,21,56
1:46,2127,Phlandrous Fleming Jr Defensive Rebound.,21,56
1:41,2127,Phlandrous Fleming Jr Turnover.,21,56
1:31,2166,Kellan Grady missed Jumper.,21,56
1:31,2127,Travis McConico Defensive Rebound.,21,56
1:17,2166,Foul on Rusty Reigel.,21,56
1:17,2127,Travis McConico missed Free Throw.,21,56
1:17,2127,Charleston Southern Deadball Team Rebound.,21,56
1:17,2127,Travis McConico missed Free Throw.,21,56
1:17,2166,Dusan Kovacevic Defensive Rebound.,21,56
0:55,2127,Foul on Sean Price.,21,56
0:43,2166,Dusan Kovacevic missed Layup.,21,56
0:43,2166,Carter Collins Offensive Rebound.,21,56
0:27,2166,Dusan Kovacevic made Jumper.,21,58
0:04,2127,Javis Howard made Jumper. Assisted by Phlandrous Fleming Jr.,23,58
0:00,2166,End of 1st half,23,58
