Nicholls,292,UT Rio Grande Valley,2447
12:00,2447,Legend Robertin made Layup. Assisted by Tevon Saddler.,17,22
11:48,292,Dan Kimasa missed Jumper.,17,22
11:48,2447,Legend Robertin Defensive Rebound.,17,22
11:40,2447,Kevin Johnson missed Three Point Jumper.,17,22
11:40,292,Jordan Jackson Defensive Rebound.,17,22
11:33,292,Lesley Varner Jr. missed Three Point Jumper.,17,22
11:33,2447,Zaquavian Smith Defensive Rebound.,17,22
11:15,2447,Tevon Saddler made Jumper.,19,22
10:53,292,Lew Stallworth made Layup.,19,24
10:37,2447,Kevin Johnson made Layup.,21,24
10:30,292,Official TV Timeout,21,24
10:17,292,Nick Dixon made Layup. Assisted by Dan Kimasa.,21,26
10:02,2447,Daniel Regis missed Layup.,21,26
10:02,292,Xavier McDaniel Jr. Defensive Rebound.,21,26
9:55,292,Nick Dixon missed Jumper.,21,26
9:55,2447,Kevin Johnson Defensive Rebound.,21,26
9:44,2447,Tevon Saddler made Three Point Jumper. Assisted by Daniel Regis.,24,26
9:30,292,Xavier McDaniel Jr. made Layup.,24,28
9:20,2447,Foul on Tevon Saddler.,24,28
9:20,2447,Tevon Saddler Turnover.,24,28
9:13,292,Xavier McDaniel Jr. Turnover.,24,28
9:11,2447,Daniel Regis Steal.,24,28
9:08,292,Foul on Javon Levi.,24,28
8:59,2447,Daniel Regis missed Layup.,24,28
8:59,292,Dan Kimasa Block.,24,28
8:56,2447,Daniel Regis Offensive Rebound.,24,28
8:55,2447,Daniel Regis Turnover.,24,28
8:42,292,Moe McDonald made Three Point Jumper. Assisted by Javon Levi.,24,31
8:23,2447,Stevie Repichowski Turnover.,24,31
8:09,292,Xavier McDaniel Jr. missed Jumper.,24,31
8:09,2447,Kimani Jackson Defensive Rebound.,24,31
8:03,292,Foul on Dan Kimasa.,24,31
7:53,2447,Roddy Peters missed Layup.,24,31
7:53,292,Xavier McDaniel Jr. Defensive Rebound.,24,31
7:43,292,Nick Dixon missed Layup.,24,31
7:43,292,UT Rio Grande Valley Offensive Rebound.,24,31
7:42,292,Official TV Timeout,24,31
7:38,292,Moe McDonald made Jumper.,24,33
7:23,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Kevin Johnson.,27,33
7:01,292,Xavier McDaniel Jr. missed Three Point Jumper.,27,33
7:01,292,Nick Dixon Offensive Rebound.,27,33
6:56,292,Nick Dixon missed Layup.,27,33
6:56,292,Nick Dixon Offensive Rebound.,27,33
6:51,292,Xavier McDaniel Jr. missed Layup.,27,33
6:51,292,Xavier McDaniel Jr. Offensive Rebound.,27,33
6:49,2447,Foul on Kimani Jackson.,27,33
6:49,292,Xavier McDaniel Jr. made Free Throw.,27,34
6:49,292,Xavier McDaniel Jr. made Free Throw.,27,35
6:40,2447,Kevin Johnson Turnover.,27,35
6:28,292,Xavier McDaniel Jr. made Layup.,27,37
6:27,292,Technical Foul on Xavier McDaniel Jr..,27,37
6:27,2447,Lafayette Rutledge made Free Throw.,28,37
6:27,2447,Lafayette Rutledge made Free Throw.,29,37
6:27,292,Foul on Xavier McDaniel Jr..,29,37
6:12,2447,Kimani Jackson made Layup. Assisted by Kevin Johnson.,31,37
6:02,292,Moe McDonald Turnover.,31,37
5:57,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,34,37
5:36,292,Nick Dixon missed Layup.,34,37
5:36,2447,Kevin Johnson Defensive Rebound.,34,37
5:30,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Kevin Johnson.,37,37
5:08,2447,Foul on Kimani Jackson.,37,37
5:08,292,Greg Bowie missed Free Throw.,37,37
5:08,292,UT Rio Grande Valley Deadball Team Rebound.,37,37
5:08,292,Greg Bowie made Free Throw.,37,38
5:02,2447,Lafayette Rutledge missed Three Point Jumper.,37,38
5:02,292,UT Rio Grande Valley Defensive Rebound.,37,38
5:00,2447,Foul on Legend Robertin.,37,38
5:00,292,Lesley Varner Jr. made Free Throw.,37,39
5:00,292,Lesley Varner Jr. missed Free Throw.,37,39
5:00,2447,Tevon Saddler Defensive Rebound.,37,39
4:55,2447,Jahvaughn Powell Turnover.,37,39
4:53,292,Lesley Varner Jr. Steal.,37,39
4:51,292,Lesley Varner Jr. made Layup.,37,41
4:37,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,40,41
4:18,292,Jordan Jackson missed Three Point Jumper.,40,41
4:18,292,Lesley Varner Jr. Offensive Rebound.,40,41
4:14,292,Lesley Varner Jr. missed Layup.,40,41
4:14,2447,Jahvaughn Powell Defensive Rebound.,40,41
4:07,2447,Lafayette Rutledge missed Three Point Jumper.,40,41
4:07,2447,Tevon Saddler Offensive Rebound.,40,41
3:58,2447,Tevon Saddler missed Layup.,40,41
3:58,2447,Kevin Johnson Offensive Rebound.,40,41
3:58,292,Foul on Lesley Varner Jr..,40,41
3:58,292,Official TV Timeout,40,41
3:58,2447,Tevon Saddler made Free Throw.,41,41
3:58,2447,Tevon Saddler made Free Throw.,42,41
3:47,292,Greg Bowie made Three Point Jumper. Assisted by Lesley Varner Jr..,42,44
3:30,2447,Jahvaughn Powell missed Layup.,42,44
3:30,292,Greg Bowie Defensive Rebound.,42,44
3:22,2447,Foul on Lafayette Rutledge.,42,44
3:22,292,Lesley Varner Jr. missed Free Throw.,42,44
3:22,292,UT Rio Grande Valley Deadball Team Rebound.,42,44
3:22,292,Lesley Varner Jr. made Free Throw.,42,45
3:22,292,Lesley Varner Jr. made Free Throw.,42,46
3:12,2447,Jahvaughn Powell missed Three Point Jumper.,42,46
3:12,2447,Nicholls Offensive Rebound.,42,46
3:06,292,Foul on Lew Stallworth.,42,46
3:06,2447,Jahvaughn Powell made Free Throw.,43,46
3:06,2447,Jahvaughn Powell missed Free Throw.,43,46
3:06,292,Dan Kimasa Defensive Rebound.,43,46
2:45,2447,Foul on Jahvaughn Powell.,43,46
2:45,292,Lew Stallworth missed Free Throw.,43,46
2:45,292,UT Rio Grande Valley Deadball Team Rebound.,43,46
2:45,292,Lew Stallworth made Free Throw.,43,47
2:34,292,Foul on Lesley Varner Jr..,43,47
2:34,2447,Tevon Saddler made Free Throw.,44,47
2:34,2447,Tevon Saddler made Free Throw.,45,47
2:18,292,Greg Bowie missed Three Point Jumper.,45,47
2:18,2447,Zaquavian Smith Defensive Rebound.,45,47
2:08,2447,Tevon Saddler made Layup.,47,47
1:55,292,Jordan Jackson missed Three Point Jumper.,47,47
1:55,292,Greg Bowie Offensive Rebound.,47,47
1:49,292,Greg Bowie made Layup.,47,49
1:39,2447,Tevon Saddler missed Three Point Jumper.,47,49
1:39,292,Moe McDonald Defensive Rebound.,47,49
1:35,2447,Foul on Daniel Regis.,47,49
1:35,292,Moe McDonald missed Free Throw.,47,49
1:35,292,UT Rio Grande Valley Deadball Team Rebound.,47,49
1:35,292,Moe McDonald made Free Throw.,47,50
1:31,292,Foul on Greg Bowie.,47,50
1:31,2447,Tevon Saddler made Free Throw.,48,50
1:31,2447,Tevon Saddler made Free Throw.,49,50
1:13,292,Dan Kimasa missed Jumper.,49,50
1:13,2447,Zaquavian Smith Defensive Rebound.,49,50
1:04,2447,Zach Young Turnover.,49,50
1:03,292,Lew Stallworth Steal.,49,50
0:59,292,Jordan Jackson made Dunk. Assisted by Moe McDonald.,49,52
0:52,2447,Nicholls  Timeout,49,52
0:45,2447,Tevon Saddler made Layup.,51,52
0:37,292,Greg Bowie missed Jumper.,51,52
0:37,2447,Maurice O'Field Defensive Rebound.,51,52
0:27,2447,Kevin Johnson Turnover.,51,52
0:04,292,Jordan Jackson missed Three Point Jumper.,51,52
0:03,2447,Maurice O'Field Block.,51,52
0:02,2447,Maurice O'Field Defensive Rebound.,51,52
0:01,2447,Maurice O'Field missed Three Point Jumper.,51,52
0:00,2447,Nicholls Offensive Rebound.,51,52
0:00,292,End of 1st half,51,52
19:39,292,Foul on Javon Levi.,51,52
19:35,2447,Tevon Saddler made Dunk.,53,52
19:25,292,Nick Dixon missed Three Point Jumper.,53,52
19:25,292,UT Rio Grande Valley Offensive Rebound.,53,52
19:22,2447,Foul on Tevon Saddler.,53,52
19:22,2447,Foul on Roddy Peters.,53,52
19:20,292,Javon Levi Turnover.,53,52
19:18,2447,Zaquavian Smith Steal.,53,52
19:15,2447,Roddy Peters missed Layup.,53,52
19:15,292,Javon Levi Defensive Rebound.,53,52
19:08,292,Moe McDonald missed Three Point Jumper.,53,52
19:08,292,Nick Dixon Offensive Rebound.,53,52
19:03,2447,Foul on Zaquavian Smith.,53,52
19:03,292,Nick Dixon made Free Throw.,53,53
19:03,292,Nick Dixon made Free Throw.,53,54
18:58,2447,Foul on Tevon Saddler.,53,54
18:58,2447,Tevon Saddler Turnover.,53,54
18:51,292,Xavier McDaniel Jr. missed Layup.,53,54
18:51,2447,Legend Robertin Defensive Rebound.,53,54
18:45,2447,Legend Robertin missed Layup.,53,54
18:45,292,Xavier McDaniel Jr. Defensive Rebound.,53,54
18:39,292,Nick Dixon made Layup.,53,56
18:39,2447,Foul on Jahvaughn Powell.,53,56
