Omaha,30,USC,2437
6:41,30,Charles Buggs made Three Point Jumper. Assisted by Elijah Stewart.,32,26
6:21,2437,Zach Jackson Turnover.,32,26
6:00,30,Elijah Stewart missed Layup.,32,26
6:00,30,Charles Buggs Offensive Rebound.,32,26
5:56,2437,Foul on Zach Pirog.,32,26
5:53,30,Elijah Stewart Turnover.,32,26
5:27,2437,Mitchell Hahn Turnover.,32,26
5:27,30,Jonah Mathews Steal.,32,26
5:27,2437,Foul on Zach Jackson.,32,26
5:21,30,Chimezie Metu missed Layup.,32,26
5:21,2437,Tre'Shawn Thurman Block.,32,26
5:21,2437,Tre'Shawn Thurman Defensive Rebound.,32,26
5:09,30,Foul on Chimezie Metu.,32,26
5:09,2437,Tre'Shawn Thurman made Free Throw.,33,26
5:09,2437,Tre'Shawn Thurman missed Free Throw.,33,26
5:09,30,Chimezie Metu Defensive Rebound.,33,26
4:28,30,Nick Rakocevic Turnover.,33,26
4:28,2437,Tra-Deon Hollins Steal.,33,26
4:25,2437,Marcus Tyus missed Three Point Jumper.,33,26
4:25,30,Elijah Stewart Defensive Rebound.,33,26
4:18,30,Jordan McLaughlin missed Layup.,33,26
4:18,30,Nick Rakocevic Offensive Rebound.,33,26
4:16,30,Nick Rakocevic missed Layup.,33,26
4:16,30,Chimezie Metu Offensive Rebound.,33,26
4:14,30,Chimezie Metu missed Two Point Tip Shot.,33,26
4:14,2437,Tre'Shawn Thurman Defensive Rebound.,33,26
4:06,2437,Tra-Deon Hollins missed Jumper.,33,26
4:06,2437,Zach Jackson Offensive Rebound.,33,26
4:04,2437,Zach Jackson Turnover.,33,26
3:43,30,Shaqquan Aaron missed Jumper.,33,26
3:43,2437,Tre'Shawn Thurman Block.,33,26
3:41,2437,Zach Jackson Defensive Rebound.,33,26
3:25,2437,Marcus Tyus missed Layup.,33,26
3:25,30,Jordan McLaughlin Defensive Rebound.,33,26
3:19,2437,Foul on Daniel Meyer.,33,26
3:19,30,Official TV Timeout,33,26
3:19,30,Shaqquan Aaron made Free Throw.,33,27
3:19,30,Shaqquan Aaron missed Free Throw.,33,27
3:19,2437,Daniel Meyer Defensive Rebound.,33,27
2:57,2437,Tre'Shawn Thurman missed Layup.,33,27
2:57,30,Chimezie Metu Defensive Rebound.,33,27
2:50,30,Shaqquan Aaron made Layup. Assisted by De'Anthony Melton.,33,29
2:50,2437,Foul on Tre'Shawn Thurman.,33,29
2:50,30,Shaqquan Aaron made Free Throw.,33,30
2:33,2437,Tra-Deon Hollins missed Three Point Jumper.,33,30
2:33,30,Shaqquan Aaron Defensive Rebound.,33,30
2:23,30,Jordan McLaughlin missed Three Point Jumper.,33,30
2:23,2437,Mitchell Hahn Defensive Rebound.,33,30
2:04,2437,Mitchell Hahn missed Three Point Jumper.,33,30
2:04,30,Charles Buggs Defensive Rebound.,33,30
1:55,30,Shaqquan Aaron made Three Point Jumper. Assisted by Elijah Stewart.,33,33
1:37,2437,Tre'Shawn Thurman Turnover.,33,33
1:37,30,De'Anthony Melton Steal.,33,33
1:30,2437,Foul on Mitchell Hahn.,33,33
1:30,30,Charles Buggs missed Free Throw.,33,33
1:30,30,USC Deadball Team Rebound.,33,33
1:30,30,Charles Buggs made Free Throw.,33,34
1:11,2437,Tre'Shawn Thurman made Jumper.,35,34
0:46,30,Jordan McLaughlin missed Three Point Jumper.,35,34
0:46,2437,Omaha Defensive Rebound.,35,34
0:29,2437,Tre'Shawn Thurman made Layup.,37,34
0:05,30,De'Anthony Melton missed Three Point Jumper.,37,34
0:05,2437,Mitchell Hahn Defensive Rebound.,37,34
0:00,30,End of 1st half,37,34
19:51,2437,Foul on Tre'Shawn Thurman.,37,34
19:44,30,Chimezie Metu missed Jumper.,37,34
19:44,2437,Tra-Deon Hollins Defensive Rebound.,37,34
19:37,2437,Tra-Deon Hollins Turnover.,37,34
19:18,30,Chimezie Metu missed Layup.,37,34
19:18,2437,Daniel Meyer Defensive Rebound.,37,34
19:12,2437,Tre'Shawn Thurman made Three Point Jumper. Assisted by Daniel Meyer.,40,34
18:55,30,Chimezie Metu Turnover.,40,34
18:55,30,Foul on Jordan McLaughlin.,40,34
18:44,2437,Tre'Shawn Thurman missed Jumper.,40,34
18:44,30,Jordan McLaughlin Defensive Rebound.,40,34
18:38,30,Jordan McLaughlin missed Three Point Jumper.,40,34
18:38,2437,Tre'Shawn Thurman Defensive Rebound.,40,34
18:29,2437,Zach Jackson Turnover.,40,34
18:17,30,Jordan McLaughlin made Layup.,40,36
18:17,2437,Foul on Zach Jackson.,40,36
18:17,30,Jordan McLaughlin made Free Throw.,40,37
18:07,2437,Marcus Tyus made Three Point Jumper. Assisted by Tra-Deon Hollins.,43,37
17:45,2437,Foul on Tra-Deon Hollins.,43,37
17:45,30,Shaqquan Aaron made Free Throw.,43,38
17:45,30,Shaqquan Aaron made Free Throw.,43,39
17:45,30,Shaqquan Aaron missed Free Throw.,43,39
17:45,2437,Mitchell Hahn Defensive Rebound.,43,39
17:35,2437,Tra-Deon Hollins missed Layup.,43,39
17:35,2437,Mitchell Hahn Offensive Rebound.,43,39
17:31,2437,Mitchell Hahn missed Two Point Tip Shot.,43,39
17:31,30,Elijah Stewart Defensive Rebound.,43,39
17:21,2437,Tre'Shawn Thurman made Layup.,45,39
17:00,30,Shaqquan Aaron missed Three Point Jumper.,45,39
17:00,2437,Tra-Deon Hollins Defensive Rebound.,45,39
16:41,2437,Tra-Deon Hollins missed Three Point Jumper.,45,39
16:41,30,Shaqquan Aaron Defensive Rebound.,45,39
16:36,30,Nick Rakocevic made Jumper.,45,41
16:04,2437,Mitchell Hahn Turnover.,45,41
16:03,30,De'Anthony Melton Steal.,45,41
16:00,30,Shaqquan Aaron made Dunk. Assisted by De'Anthony Melton.,45,43
15:30,2437,Mitchell Hahn Turnover.,45,43
15:29,30,De'Anthony Melton Steal.,45,43
15:19,30,Shaqquan Aaron Turnover.,45,43
15:19,30,Official TV Timeout,45,43
15:10,2437,Tre'Shawn Thurman missed Layup.,45,43
15:10,30,De'Anthony Melton Defensive Rebound.,45,43
14:58,30,Elijah Stewart missed Layup.,45,43
14:58,2437,Tre'Shawn Thurman Defensive Rebound.,45,43
14:29,2437,Tre'Shawn Thurman missed Three Point Jumper.,45,43
14:29,30,De'Anthony Melton Defensive Rebound.,45,43
14:16,30,De'Anthony Melton missed Jumper.,45,43
14:16,2437,Kyler Erickson Defensive Rebound.,45,43
13:49,2437,Tre'Shawn Thurman missed Jumper.,45,43
13:49,30,De'Anthony Melton Defensive Rebound.,45,43
13:37,30,Jonah Mathews missed Three Point Jumper.,45,43
13:37,2437,Tre'Shawn Thurman Defensive Rebound.,45,43
13:21,30,Foul on De'Anthony Melton.,45,43
13:21,2437,Marcus Tyus missed Jumper.,45,43
13:21,2437,Daniel Meyer Offensive Rebound.,45,43
13:17,30,Foul on Chimezie Metu.,45,43
13:17,2437,Daniel Meyer made Free Throw.,46,43
13:17,2437,Daniel Meyer made Free Throw.,47,43
13:03,30,Elijah Stewart missed Three Point Jumper.,47,43
13:03,2437,Omaha Defensive Rebound.,47,43
12:41,2437,Tra-Deon Hollins made Layup.,49,43
12:19,30,Jonah Mathews missed Three Point Jumper.,49,43
12:19,30,USC Offensive Rebound.,49,43
12:10,30,Chimezie Metu made Dunk. Assisted by Jordan McLaughlin.,49,45
11:54,2437,Daniel Norl Turnover.,49,45
11:54,30,Jonah Mathews Steal.,49,45
11:50,30,De'Anthony Melton made Dunk. Assisted by Jonah Mathews.,49,47
11:48,2437,Omaha  Timeout,49,47
11:48,30,Official TV Timeout,49,47
11:34,2437,Marcus Tyus missed Three Point Jumper.,49,47
11:34,30,Chimezie Metu Defensive Rebound.,49,47
11:19,30,Jonah Mathews missed Layup.,49,47
11:19,30,Chimezie Metu Offensive Rebound.,49,47
11:17,30,Chimezie Metu made Dunk.,49,49
10:53,2437,Tre'Shawn Thurman made Layup.,51,49
10:37,30,De'Anthony Melton Turnover.,51,49
10:37,2437,Tra-Deon Hollins Steal.,51,49
10:33,2437,Tre'Shawn Thurman made Dunk. Assisted by Tra-Deon Hollins.,53,49
10:18,2437,Foul on Daniel Norl.,53,49
10:18,30,Official TV Timeout,53,49
10:16,2437,Foul on Tre'Shawn Thurman.,53,49
10:16,30,Chimezie Metu missed Free Throw.,53,49
10:16,30,USC Deadball Team Rebound.,53,49
10:16,30,Chimezie Metu made Free Throw.,53,50
10:02,2437,Marcus Tyus missed Jumper.,53,50
10:02,30,USC Defensive Rebound.,53,50
9:41,30,Shaqquan Aaron missed Layup.,53,50
9:41,2437,Tra-Deon Hollins Defensive Rebound.,53,50
9:27,2437,Marcus Tyus missed Layup.,53,50
9:27,30,Chimezie Metu Defensive Rebound.,53,50
9:17,30,Shaqquan Aaron made Three Point Jumper. Assisted by Jordan McLaughlin.,53,53
9:03,2437,Tra-Deon Hollins missed Three Point Jumper.,53,53
9:03,30,Chimezie Metu Defensive Rebound.,53,53
8:58,30,Elijah Stewart missed Three Point Jumper.,53,53
8:58,30,Nick Rakocevic Offensive Rebound.,53,53
8:49,30,Elijah Stewart missed Layup.,53,53
8:49,30,Nick Rakocevic Offensive Rebound.,53,53
8:49,2437,Foul on Daniel Meyer.,53,53
8:49,30,Nick Rakocevic made Free Throw.,53,54
8:49,30,Nick Rakocevic missed Free Throw.,53,54
8:49,2437,Tre'Shawn Thurman Defensive Rebound.,53,54
8:34,2437,Tre'Shawn Thurman missed Three Point Jumper.,53,54
8:34,30,Shaqquan Aaron Defensive Rebound.,53,54
8:23,30,Chimezie Metu Block.,53,54
8:23,2437,Kyler Erickson missed Layup.,53,54
8:10,30,Elijah Stewart Defensive Rebound.,53,54
8:02,30,Jordan McLaughlin made Layup.,53,56
7:54,2437,Kyler Erickson missed Layup.,53,56
7:54,2437,Tre'Shawn Thurman Offensive Rebound.,53,56
7:52,2437,Tre'Shawn Thurman missed Layup.,53,56
7:52,30,USC Defensive Rebound.,53,56
7:50,30,Official TV Timeout,53,56
7:37,30,Jordan McLaughlin missed Layup.,53,56
7:37,30,Chimezie Metu Offensive Rebound.,53,56
7:35,30,Chimezie Metu missed Two Point Tip Shot.,53,56
