Fontbonne,2197,Eastern Illinois,459
6:20,-1,Tyler Schwartz Turnover.,13,30
6:18,2197,Montell Goodwin Steal.,13,30
6:16,2197,Patrick Muldoon made Dunk. Assisted by Joe Kuligoski.,13,32
6:07,-1,Orkan Bakis missed Jumper.,13,32
6:07,2197,Aboubacar Diallo Block.,13,32
6:05,2197,Montell Goodwin Defensive Rebound.,13,32
5:54,2197,Aboubacar Diallo missed Layup.,13,32
5:54,-1,James Wiggins Defensive Rebound.,13,32
5:48,-1,Dallas Haywood made Three Point Jumper. Assisted by Tyler Schwartz.,16,32
5:30,2197,Joe Kuligoski missed Three Point Jumper.,16,32
5:30,2197,Aboubacar Diallo Offensive Rebound.,16,32
5:26,-1,Foul on Tyler Schwartz.,16,32
5:26,2197,Aboubacar Diallo missed Free Throw.,16,32
5:26,2197,Eastern Illinois Deadball Team Rebound.,16,32
5:26,2197,Aboubacar Diallo missed Free Throw.,16,32
5:26,-1,Kody Ettinger Defensive Rebound.,16,32
5:11,-1,Jeff Smith missed Jumper.,16,32
5:11,2197,Aboubacar Diallo Block.,16,32
5:09,2197,Marshawn Blackmon Defensive Rebound.,16,32
5:06,2197,Marshawn Blackmon made Layup.,16,34
4:59,-1,Kody Ettinger missed Jumper.,16,34
4:59,2197,Aboubacar Diallo Block.,16,34
4:57,2197,Montell Goodwin Defensive Rebound.,16,34
4:45,2197,Marshawn Blackmon missed Jumper.,16,34
4:45,2197,Aboubacar Diallo Offensive Rebound.,16,34
4:40,2197,Montell Goodwin made Three Point Jumper. Assisted by Aboubacar Diallo.,16,37
4:29,-1,Kody Ettinger Turnover.,16,37
4:28,2197,Lucas Jones Steal.,16,37
4:22,2197,Montell Goodwin missed Jumper.,16,37
4:22,-1,Dallas Haywood Block.,16,37
4:21,2197,Eastern Illinois Offensive Rebound.,16,37
4:07,2197,Lucas Jones made Layup. Assisted by Cornell Johnston.,16,39
3:52,-1,Tyler Schwartz missed Three Point Jumper.,16,39
3:52,-1,Dallas Haywood Offensive Rebound.,16,39
3:48,-1,Dallas Haywood made Layup.,18,39
3:35,2197,Ray Crossland made Three Point Jumper. Assisted by Cornell Johnston.,18,42
3:13,-1,Kody Ettinger Turnover.,18,42
3:11,2197,Ray Crossland Steal.,18,42
3:06,2197,Casey Teson made Three Point Jumper. Assisted by Lucas Jones.,18,45
2:42,-1,Dallas Haywood made Jumper.,20,45
2:25,2197,Cornell Johnston missed Three Point Jumper.,20,45
2:25,2197,Marshawn Blackmon Offensive Rebound.,20,45
2:17,2197,Ray Crossland missed Three Point Jumper.,20,45
2:17,2197,Ray Crossland Offensive Rebound.,20,45
2:11,2197,Eastern Illinois  Timeout,20,45
2:07,-1,Foul on James Wiggins.,20,45
2:07,2197,DeVantae' Price missed Free Throw.,20,45
2:07,2197,Eastern Illinois Deadball Team Rebound.,20,45
2:05,2197,DeVantae' Price missed Free Throw.,20,45
2:05,-1,Trey Watkins Defensive Rebound.,20,45
2:00,-1,Zac Ridenhour made Layup. Assisted by Dallas Haywood.,22,45
1:48,2197,Casey Teson made Three Point Jumper. Assisted by Logan Koch.,22,48
1:24,-1,Jack Lake made Layup.,24,48
1:17,2197,Casey Teson made Three Point Jumper. Assisted by Logan Koch.,24,51
1:07,-1,Tyler Schwartz missed Three Point Jumper.,24,51
1:07,2197,Casey Teson Defensive Rebound.,24,51
1:02,2197,Casey Teson Turnover.,24,51
0:59,-1,Trey Watkins Steal.,24,51
0:58,-1,Trey Watkins made Layup.,26,51
0:47,2197,Casey Teson made Three Point Jumper. Assisted by Ray Crossland.,26,54
0:21,-1,Trey Watkins missed Three Point Jumper.,26,54
0:21,2197,Lucas Jones Defensive Rebound.,26,54
0:00,2197,End of 1st half,26,54
19:45,2197,Montell Goodwin made Three Point Jumper. Assisted by Ray Crossland.,26,57
19:31,-1,Dallas Haywood missed Jumper.,26,57
19:31,2197,Cornell Johnston Defensive Rebound.,26,57
19:18,2197,Muusa Dama made Dunk. Assisted by Ray Crossland.,26,59
19:03,-1,Kody Ettinger missed Three Point Jumper.,26,59
19:03,2197,Ray Crossland Defensive Rebound.,26,59
18:56,2197,Demetrius McReynolds made Three Point Jumper. Assisted by Montell Goodwin.,26,62
18:47,-1,Fontbonne  Timeout,26,62
18:30,-1,Trey Watkins Turnover.,26,62
18:29,2197,Montell Goodwin Steal.,26,62
18:26,2197,Montell Goodwin made Layup.,26,64
18:26,-1,Foul on Dallas Haywood.,26,64
18:26,2197,Montell Goodwin made Free Throw.,26,65
18:21,-1,Trey Watkins Turnover.,26,65
18:20,2197,Montell Goodwin Steal.,26,65
18:16,2197,Ray Crossland made Dunk. Assisted by Montell Goodwin.,26,67
17:52,2197,Foul on Muusa Dama.,26,67
17:52,-1,Jeff Smith missed Free Throw.,26,67
17:52,-1,Fontbonne Deadball Team Rebound.,26,67
17:52,-1,Jeff Smith missed Free Throw.,26,67
17:52,2197,Muusa Dama Defensive Rebound.,26,67
17:44,2197,Demetrius McReynolds missed Three Point Jumper.,26,67
17:44,-1,Orkan Bakis Defensive Rebound.,26,67
17:33,-1,Dallas Haywood made Three Point Jumper.,29,67
17:19,-1,Foul on Orkan Bakis.,29,67
17:19,2197,Muusa Dama missed Free Throw.,29,67
17:19,2197,Eastern Illinois Deadball Team Rebound.,29,67
17:19,2197,Muusa Dama missed Free Throw.,29,67
17:19,-1,Jeff Smith Defensive Rebound.,29,67
17:09,-1,Orkan Bakis missed Three Point Jumper.,29,67
17:09,2197,Demetrius McReynolds Defensive Rebound.,29,67
17:00,2197,Logan Koch missed Three Point Jumper.,29,67
17:00,-1,Kody Ettinger Defensive Rebound.,29,67
16:50,-1,Dallas Haywood missed Three Point Jumper.,29,67
16:50,2197,Muusa Dama Defensive Rebound.,29,67
16:39,2197,Casey Teson made Three Point Jumper. Assisted by Ray Crossland.,29,70
16:12,-1,Foul on Dallas Haywood.,29,70
16:12,-1,Jeff Smith missed Free Throw.,29,70
16:12,-1,Fontbonne Deadball Team Rebound.,29,70
16:12,-1,Jeff Smith missed Free Throw.,29,70
16:12,2197,Casey Teson Defensive Rebound.,29,70
16:02,2197,Patrick Muldoon missed Jumper.,29,70
16:02,2197,Demetrius McReynolds Offensive Rebound.,29,70
15:57,2197,Patrick Muldoon missed Layup.,29,70
15:57,-1,Jeff Smith Defensive Rebound.,29,70
15:54,2197,Official TV Timeout,29,70
15:38,-1,James Wiggins made Jumper.,31,70
15:25,2197,Patrick Muldoon missed Layup.,31,70
15:25,2197,Patrick Muldoon Offensive Rebound.,31,70
15:21,2197,Patrick Muldoon missed Jumper.,31,70
15:21,2197,Demetrius McReynolds Offensive Rebound.,31,70
15:18,2197,Demetrius McReynolds made Jumper.,31,72
15:08,-1,Jack Lake missed Three Point Jumper.,31,72
15:08,2197,Aboubacar Diallo Defensive Rebound.,31,72
14:46,2197,Logan Koch Turnover.,31,72
14:45,-1,Anthony Loper Steal.,31,72
14:21,2197,Foul on Patrick Muldoon.,31,72
14:21,-1,Anthony Loper made Free Throw.,32,72
14:21,-1,Anthony Loper made Free Throw.,33,72
14:13,-1,Foul on Thomas Ritter.,33,72
14:10,2197,Patrick Muldoon made Layup. Assisted by Logan Koch.,33,74
13:55,-1,Jack Lake Turnover.,33,74
13:53,2197,Patrick Muldoon Steal.,33,74
13:51,2197,Patrick Muldoon made Dunk.,33,76
13:44,-1,Tyler Schwartz Turnover.,33,76
13:31,2197,Logan Koch missed Three Point Jumper.,33,76
13:31,2197,Marshawn Blackmon Offensive Rebound.,33,76
13:27,2197,Marshawn Blackmon Turnover.,33,76
13:27,-1,Josh Calloni Steal.,33,76
13:24,-1,Foul on Josh Calloni.,33,76
13:06,-1,Foul on Anthony Loper.,33,76
13:06,2197,Aboubacar Diallo missed Free Throw.,33,76
13:06,2197,Eastern Illinois Deadball Team Rebound.,33,76
13:06,2197,Aboubacar Diallo made Free Throw.,33,77
12:52,-1,Tyler Schwartz missed Three Point Jumper.,33,77
12:52,2197,Lucas Jones Defensive Rebound.,33,77
12:40,2197,Aboubacar Diallo missed Jumper.,33,77
12:40,2197,Joe Kuligoski Offensive Rebound.,33,77
12:38,2197,Joe Kuligoski made Jumper.,33,79
12:38,-1,Foul on Josh Calloni.,33,79
12:38,2197,Joe Kuligoski missed Free Throw.,33,79
12:38,2197,Marshawn Blackmon Offensive Rebound.,33,79
12:36,2197,Marshawn Blackmon missed Jumper.,33,79
12:36,-1,James Wiggins Defensive Rebound.,33,79
12:15,-1,Josh Calloni made Jumper.,35,79
11:59,-1,Foul on Tyler Schwartz.,35,79
11:59,2197,Marshawn Blackmon missed Free Throw.,35,79
11:59,2197,Eastern Illinois Deadball Team Rebound.,35,79
11:59,2197,Marshawn Blackmon made Free Throw.,35,80
11:56,-1,Tyler Schwartz Turnover.,35,80
11:56,2197,Official TV Timeout,35,80
11:34,2197,Joe Kuligoski Turnover.,35,80
11:33,-1,Zac Ridenhour Steal.,35,80
11:26,-1,James Wiggins missed Layup.,35,80
11:26,2197,Aboubacar Diallo Block.,35,80
11:23,2197,Joe Kuligoski Defensive Rebound.,35,80
11:12,2197,Lucas Jones missed Three Point Jumper.,35,80
11:12,2197,Joe Kuligoski Offensive Rebound.,35,80
11:07,-1,Foul on James Wiggins.,35,80
11:07,2197,Aboubacar Diallo missed Free Throw.,35,80
11:07,2197,Eastern Illinois Deadball Team Rebound.,35,80
11:07,2197,Aboubacar Diallo made Free Throw.,35,81
10:57,-1,Foul on Jayden Hatcher.,35,81
10:49,2197,Foul on DeVantae' Price.,35,81
10:46,-1,Anthony Loper missed Jumper.,35,81
10:46,2197,Lucas Jones Block.,35,81
10:44,2197,DeVantae' Price Defensive Rebound.,35,81
10:39,-1,Foul on Orkan Bakis.,35,81
10:39,2197,Marshawn Blackmon missed Free Throw.,35,81
10:39,-1,Anthony Loper Defensive Rebound.,35,81
10:20,2197,Foul on Joe Kuligoski.,35,81
10:20,-1,Orkan Bakis made Free Throw.,36,81
10:20,-1,Orkan Bakis missed Free Throw.,36,81
10:20,2197,DeVantae' Price Defensive Rebound.,36,81
9:53,2197,Joe Kuligoski made Three Point Jumper. Assisted by Logan Koch.,36,84
9:19,-1,Zac Ridenhour Turnover.,36,84
9:17,2197,Lucas Jones Steal.,36,84
9:15,2197,Marshawn Blackmon made Layup. Assisted by Lucas Jones.,36,86
8:56,2197,Foul on Logan Koch.,36,86
8:56,-1,James Wiggins made Free Throw.,37,86
8:56,-1,James Wiggins made Free Throw.,38,86
8:45,2197,Marshawn Blackmon missed Jumper.,38,86
8:45,-1,James Wiggins Defensive Rebound.,38,86
8:39,-1,James Wiggins missed Jumper.,38,86
8:39,2197,Lucas Jones Defensive Rebound.,38,86
8:18,2197,Marshawn Blackmon Turnover.,38,86
8:17,-1,Zac Ridenhour Steal.,38,86
8:14,-1,Zac Ridenhour missed Layup.,38,86
8:14,2197,Marshawn Blackmon Block.,38,86
8:11,2197,Lucas Jones Defensive Rebound.,38,86
8:06,2197,Joe Kuligoski missed Three Point Jumper.,38,86
8:06,-1,Logan Kelley-Wolff Defensive Rebound.,38,86
7:56,-1,Anthony Loper Turnover.,38,86
7:54,2197,Logan Koch Steal.,38,86
7:40,2197,DeVantae' Price missed Jumper.,38,86
7:40,-1,Logan Kelley-Wolff Block.,38,86
7:38,-1,Zac Ridenhour Defensive Rebound.,38,86
7:28,2197,Foul on Marshawn Blackmon.,38,86
7:28,2197,Official TV Timeout,38,86
7:28,-1,Zac Ridenhour made Free Throw.,39,86
7:28,-1,Zac Ridenhour missed Free Throw.,39,86
7:28,2197,Lucas Jones Defensive Rebound.,39,86
7:18,2197,DeVantae' Price Turnover.,39,86
7:17,-1,Zac Ridenhour Steal.,39,86
7:14,-1,Zac Ridenhour missed Layup.,39,86
7:14,-1,Zac Ridenhour Offensive Rebound.,39,86
7:10,-1,Tyler Schwartz Turnover.,39,86
7:08,2197,Lucas Jones Steal.,39,86
7:04,2197,DeVantae' Price made Layup. Assisted by Logan Koch.,39,88
6:49,-1,Garrett McDowell missed Three Point Jumper.,39,88
6:49,2197,DeVantae' Price Defensive Rebound.,39,88
6:42,2197,Marshawn Blackmon made Dunk. Assisted by DeVantae' Price.,39,90
6:15,-1,Kody Ettinger made Jumper.,41,90
6:05,2197,Eastern Illinois  Turnover.,41,90
5:47,-1,Tyler Schwartz Turnover.,41,90
5:47,2197,Logan Koch Steal.,41,90
5:47,-1,Foul on Murphy Hamer.,41,90
5:47,2197,Aboubacar Diallo missed Free Throw.,41,90
5:47,2197,Eastern Illinois Deadball Team Rebound.,41,90
5:47,2197,Aboubacar Diallo made Free Throw.,41,91
5:37,-1,Tyler Schwartz missed Jumper.,41,91
5:37,-1,Kody Ettinger Offensive Rebound.,41,91
5:32,-1,Kody Ettinger missed Jumper.,41,91
5:32,2197,Aboubacar Diallo Defensive Rebound.,41,91
5:17,2197,Aboubacar Diallo missed Jumper.,41,91
5:17,2197,Lucas Jones Offensive Rebound.,41,91
5:14,2197,Lucas Jones made Layup.,41,93
5:03,-1,Garrett McDowell missed Jumper.,41,93
5:03,2197,Lucas Jones Block.,41,93
5:01,2197,Lucas Jones Defensive Rebound.,41,93
4:46,2197,Logan Koch Turnover.,41,93
4:32,2197,Foul on Aboubacar Diallo.,41,93
4:32,-1,Logan Kelley-Wolff made Free Throw.,42,93
4:32,-1,Logan Kelley-Wolff made Free Throw.,43,93
4:22,2197,Logan Koch missed Three Point Jumper.,43,93
4:22,-1,Fontbonne Defensive Rebound.,43,93
4:01,-1,Murphy Hamer missed Three Point Jumper.,43,93
4:01,2197,DeVantae' Price Defensive Rebound.,43,93
3:33,2197,Logan Koch missed Three Point Jumper.,43,93
3:33,-1,Logan Kelley-Wolff Defensive Rebound.,43,93
3:30,2197,Foul on Aboubacar Diallo.,43,93
3:30,2197,Official TV Timeout,43,93
3:30,-1,Logan Kelley-Wolff missed Free Throw.,43,93
3:30,-1,Fontbonne Deadball Team Rebound.,43,93
3:30,-1,Logan Kelley-Wolff made Free Throw.,44,93
3:11,2197,DeVantae' Price missed Jumper.,44,93
3:11,2197,Aboubacar Diallo Offensive Rebound.,44,93
3:08,2197,DeVantae' Price made Layup.,44,95
2:48,-1,Josh Calloni missed Three Point Jumper.,44,95
2:48,2197,DeVantae' Price Defensive Rebound.,44,95
2:27,2197,Marshawn Blackmon missed Layup.,44,95
2:27,-1,Anthony Loper Defensive Rebound.,44,95
2:18,-1,Garrett McDowell made Jumper. Assisted by Zac Ridenhour.,46,95
1:46,2197,Aboubacar Diallo made Layup.,46,97
1:37,-1,James Wiggins made Three Point Jumper. Assisted by Zac Ridenhour.,49,97
1:11,2197,Aboubacar Diallo missed Jumper.,49,97
1:11,2197,DeVantae' Price Offensive Rebound.,49,97
1:07,2197,DeVantae' Price made Jumper.,49,99
0:55,-1,Josh Calloni missed Jumper.,49,99
0:55,2197,DeVantae' Price Defensive Rebound.,49,99
0:34,2197,Marshawn Blackmon missed Three Point Jumper.,49,99
0:34,2197,Aboubacar Diallo Offensive Rebound.,49,99
0:22,2197,Marshawn Blackmon made Layup. Assisted by Logan Koch.,49,101
0:13,-1,Josh Calloni missed Jumper.,49,101
0:13,2197,Lucas Jones Defensive Rebound.,49,101
0:00,2197,End of Game,49,101
