Lipscomb,2132,Cincinnati,288
14:05,288,Foul on Nathan Moran.,2,14
14:05,2132,Jacob Evans made Free Throw.,2,15
14:05,2132,Jacob Evans missed Free Throw.,2,15
14:05,288,George Brammeier Defensive Rebound.,2,15
13:45,288,Aaron Korn missed Three Point Jumper.,2,15
13:45,2132,Troy Caupain Defensive Rebound.,2,15
13:38,2132,Troy Caupain made Layup.,2,17
13:22,288,George Brammeier missed Layup.,2,17
13:22,2132,Tre Scott Block.,2,17
13:21,288,George Brammeier Offensive Rebound.,2,17
13:20,288,George Brammeier made Layup.,4,17
12:55,2132,Kyle Washington made Jumper. Assisted by Tre Scott.,4,19
12:36,288,Michael Buckland missed Jumper.,4,19
12:36,2132,Troy Caupain Defensive Rebound.,4,19
12:29,288,Foul on Aaron Korn.,4,19
12:29,2132,Jarron Cumberland made Free Throw.,4,20
12:29,2132,Jarron Cumberland made Free Throw.,4,21
12:12,288,Garrison Mathews made Three Point Jumper. Assisted by George Brammeier.,7,21
11:50,2132,Tre Scott Turnover.,7,21
11:50,288,Kenny Cooper Steal.,7,21
11:50,2132,Official TV Timeout,7,21
11:22,288,Garrison Mathews made Three Point Jumper. Assisted by George Brammeier.,10,21
10:59,288,Foul on Josh Williams.,10,21
10:59,2132,Kyle Washington missed Free Throw.,10,21
10:59,2132,Cincinnati Deadball Team Rebound.,10,21
10:59,2132,Kyle Washington missed Free Throw.,10,21
10:59,288,Garrison Mathews Defensive Rebound.,10,21
10:39,288,Josh Williams Turnover.,10,21
10:38,2132,Kyle Washington Steal.,10,21
10:25,288,Foul on Garrison Mathews.,10,21
10:11,2132,Kyle Washington made Jumper.,10,23
9:57,288,Aaron Korn missed Layup.,10,23
9:57,288,George Brammeier Offensive Rebound.,10,23
9:54,288,George Brammeier made Two Point Tip Shot.,12,23
9:35,2132,Kyle Washington missed Jumper.,12,23
9:35,288,Aaron Korn Defensive Rebound.,12,23
9:27,288,Aaron Korn Turnover.,12,23
9:13,2132,Troy Caupain missed Three Point Jumper.,12,23
9:13,288,Josh Williams Defensive Rebound.,12,23
9:11,2132,Foul on Kyle Washington.,12,23
8:57,288,Garrison Mathews missed Three Point Jumper.,12,23
8:57,2132,Kevin Johnson Defensive Rebound.,12,23
8:50,2132,Jacob Evans missed Jumper.,12,23
8:50,288,Garrison Mathews Defensive Rebound.,12,23
8:40,288,Rob Marberry Turnover.,12,23
8:25,2132,Justin Jenifer Steal.,12,23
