Houston Baptist,269,Marquette,2277
15:15,269,Official TV Timeout,8,14
15:13,269,Jajuan Johnson made Jumper.,8,16
14:43,2277,Cody Stetler missed Jumper.,8,16
14:43,269,Traci Carter Defensive Rebound.,8,16
14:35,269,Jajuan Johnson missed Three Point Jumper.,8,16
14:35,2277,Braxton Bonds Defensive Rebound.,8,16
14:29,2277,Colter Lasher missed Three Point Jumper.,8,16
14:29,2277,Asa Cantwell Offensive Rebound.,8,16
14:21,2277,Asa Cantwell made Three Point Jumper. Assisted by Cody Stetler.,11,16
13:56,269,Luke Fischer made Jumper. Assisted by Traci Carter.,11,18
13:39,2277,Reveal Chukwujekwu made Jumper. Assisted by Braxton Bonds.,13,18
13:21,269,Jajuan Johnson made Three Point Jumper. Assisted by Traci Carter.,13,21
12:55,2277,Alex Fountain missed Jumper.,13,21
12:55,2277,Braxton Bonds Offensive Rebound.,13,21
12:54,269,Foul on Traci Carter.,13,21
12:30,2277,Alex Fountain made Three Point Jumper. Assisted by Colter Lasher.,16,21
12:13,269,Duane Wilson missed Three Point Jumper.,16,21
12:13,2277,Jalen Weber Defensive Rebound.,16,21
12:05,2277,Colter Lasher Turnover.,16,21
11:54,269,Sam Hauser made Three Point Jumper. Assisted by Traci Carter.,16,24
11:39,2277,Jalen Weber made Three Point Jumper. Assisted by Colter Lasher.,19,24
11:19,269,Traci Carter made Layup. Assisted by Duane Wilson.,19,26
10:56,2277,Alex Fountain missed Jumper.,19,26
10:56,269,Sam Hauser Defensive Rebound.,19,26
10:33,269,Katin Reinhardt made Dunk. Assisted by Traci Carter.,19,28
10:27,2277,Colter Lasher Turnover.,19,28
10:27,269,Official TV Timeout,19,28
10:14,2277,Foul on Cody Stetler.,19,28
10:14,269,Luke Fischer made Free Throw.,19,29
10:14,269,Luke Fischer made Free Throw.,19,30
9:49,2277,Cody Stetler missed Jumper.,19,30
9:49,269,Haanif Cheatham Defensive Rebound.,19,30
9:41,269,Haanif Cheatham missed Layup.,19,30
9:41,269,Luke Fischer Offensive Rebound.,19,30
9:34,269,Luke Fischer made Two Point Tip Shot.,19,32
9:16,2277,Atif Russell missed Three Point Jumper.,19,32
9:16,269,Sam Hauser Defensive Rebound.,19,32
9:03,269,Haanif Cheatham made Jumper. Assisted by Sam Hauser.,19,34
8:48,269,Foul on Katin Reinhardt.,19,34
8:48,2277,William Gates Jr. made Free Throw.,20,34
8:48,2277,William Gates Jr. made Free Throw.,21,34
8:31,2277,Foul on Asa Cantwell.,21,34
8:31,269,Haanif Cheatham missed Free Throw.,21,34
8:31,269,Marquette Deadball Team Rebound.,21,34
