Arkansas State,2628,TCU,2032
4:03,2628,Alex Robinson Defensive Rebound.,21,26
3:46,2628,Desmond Bane missed Three Point Jumper.,21,26
3:46,2032,Rashad Lindsey Defensive Rebound.,21,26
3:35,2032,Rashad Lindsey missed Three Point Jumper.,21,26
3:35,2032,Arkansas St Offensive Rebound.,21,26
3:33,2628,Official TV Timeout,21,26
3:18,2628,Foul on Chris Washburn.,21,26
3:18,2032,Deven Simms made Free Throw.,22,26
3:18,2032,Deven Simms made Free Throw.,23,26
3:02,2628,Chris Washburn missed Jumper.,23,26
3:02,2032,Nelson Nweke Defensive Rebound.,23,26
2:50,2628,Foul on Chris Washburn.,23,26
2:50,2032,C.J. Foster missed Free Throw.,23,26
2:50,2032,Arkansas St Deadball Team Rebound.,23,26
2:50,2032,C.J. Foster missed Free Throw.,23,26
2:50,2032,Nelson Nweke Offensive Rebound.,23,26
2:47,2032,Devin Carter made Three Point Jumper. Assisted by Nelson Nweke.,26,26
2:15,2628,Desmond Bane missed Three Point Jumper.,26,26
2:15,2628,Kenrich Williams Offensive Rebound.,26,26
2:12,2032,Foul on Devin Carter.,26,26
2:12,2628,Kenrich Williams made Free Throw.,26,27
2:12,2628,Kenrich Williams missed Free Throw.,26,27
2:12,2032,Nelson Nweke Defensive Rebound.,26,27
1:43,2032,Nelson Nweke missed Layup.,26,27
1:43,2628,Kenrich Williams Block.,26,27
1:42,2628,Vladimir Brodziansky Defensive Rebound.,26,27
1:34,2628,Kenrich Williams made Jumper.,26,29
1:05,2032,Devin Carter made Three Point Jumper. Assisted by C.J. Foster.,29,29
0:42,2628,Alex Robinson Turnover.,29,29
0:28,2032,C.J. Foster missed Three Point Jumper.,29,29
0:28,2628,Vladimir Brodziansky Defensive Rebound.,29,29
0:25,2032,Foul on Nelson Nweke.,29,29
0:25,2628,Vladimir Brodziansky missed Free Throw.,29,29
0:25,2628,TCU Deadball Team Rebound.,29,29
0:25,2628,Vladimir Brodziansky made Free Throw.,29,30
0:25,2628,TCU  Timeout,29,30
0:03,2032,Deven Simms Turnover.,29,30
0:02,2628,Alex Robinson Turnover.,29,30
0:02,2032,Deven Simms Steal.,29,30
0:01,2032,Deven Simms missed Three Point Jumper.,29,30
0:00,2032,Arkansas St Deadball Team Rebound.,29,30
0:00,2628,End of 1st half,29,30
19:41,2628,Alex Robinson missed Three Point Jumper.,29,30
19:41,2032,Arkansas St Defensive Rebound.,29,30
19:25,2032,Devin Carter made Layup. Assisted by C.J. Foster.,31,30
19:04,2628,Karviar Shepherd missed Jumper.,31,30
19:04,2032,Nelson Nweke Defensive Rebound.,31,30
18:55,2032,Donte Thomas missed Layup.,31,30
18:55,2628,Karviar Shepherd Block.,31,30
18:55,2032,Arkansas St Offensive Rebound.,31,30
18:43,2628,Foul on Jaylen Fisher.,31,30
18:34,2032,Nelson Nweke Turnover.,31,30
18:33,2628,Alex Robinson Steal.,31,30
18:30,2628,Alex Robinson made Layup. Assisted by Karviar Shepherd.,31,32
18:06,2628,Foul on Karviar Shepherd.,31,32
17:51,2628,Foul on Karviar Shepherd.,31,32
17:51,2032,Donte Thomas missed Free Throw.,31,32
17:51,2032,Arkansas St Deadball Team Rebound.,31,32
17:51,2032,Donte Thomas missed Free Throw.,31,32
17:51,2628,Kenrich Williams Defensive Rebound.,31,32
17:32,2032,Foul on Donte Thomas.,31,32
17:32,2628,Alex Robinson missed Free Throw.,31,32
17:32,2628,TCU Deadball Team Rebound.,31,32
17:32,2628,Alex Robinson made Free Throw.,31,33
17:11,2032,Devin Carter missed Jumper.,31,33
17:11,2628,Kenrich Williams Defensive Rebound.,31,33
17:01,2628,Kenrich Williams missed Jumper.,31,33
17:01,2628,JD Miller Offensive Rebound.,31,33
16:57,2628,JD Miller made Layup.,31,35
16:29,2032,Deven Simms missed Layup.,31,35
16:29,2628,JD Miller Defensive Rebound.,31,35
16:23,2628,JD Miller missed Jumper.,31,35
16:23,2032,Rashad Lindsey Defensive Rebound.,31,35
16:16,2032,C.J. Foster missed Layup.,31,35
16:16,2628,Vladimir Brodziansky Block.,31,35
16:16,2032,Arkansas St Offensive Rebound.,31,35
16:16,2032,Arkansas St  Timeout,31,35
16:16,2628,Official TV Timeout,31,35
16:04,2032,Deven Simms Turnover.,31,35
16:03,2628,Alex Robinson Steal.,31,35
15:45,2628,Alex Robinson missed Layup.,31,35
15:45,2032,Tamas Bruce Defensive Rebound.,31,35
15:39,2032,Rashad Lindsey missed Layup.,31,35
15:39,2628,Kenrich Williams Block.,31,35
15:38,2032,Arkansas St Offensive Rebound.,31,35
15:37,2628,Official TV Timeout,31,35
15:19,2032,Devin Carter made Three Point Jumper. Assisted by Deven Simms.,34,35
15:03,2628,JD Miller missed Three Point Jumper.,34,35
15:03,2628,Kenrich Williams Offensive Rebound.,34,35
14:53,2032,Foul on C.J. Foster.,34,35
14:51,2628,JD Miller missed Jumper.,34,35
14:51,2628,Kenrich Williams Offensive Rebound.,34,35
14:46,2032,Foul on Tamas Bruce.,34,35
14:46,2628,JD Miller made Free Throw.,34,36
14:46,2628,JD Miller made Free Throw.,34,37
14:35,2628,Foul on Kenrich Williams.,34,37
14:35,2032,Salif Boudie missed Free Throw.,34,37
14:35,2032,Arkansas St Deadball Team Rebound.,34,37
14:35,2032,Salif Boudie missed Free Throw.,34,37
14:35,2628,JD Miller Defensive Rebound.,34,37
14:27,2628,Alex Robinson missed Jumper.,34,37
14:27,2032,Deven Simms Block.,34,37
14:26,2032,Rashad Lindsey Defensive Rebound.,34,37
14:22,2628,Foul on Vladimir Brodziansky.,34,37
14:22,2032,Deven Simms made Free Throw.,35,37
14:22,2032,Deven Simms missed Free Throw.,35,37
14:22,2628,Kenrich Williams Defensive Rebound.,35,37
14:22,2032,Foul on Salif Boudie.,35,37
13:56,2628,Vladimir Brodziansky made Jumper. Assisted by JD Miller.,35,39
13:42,2032,Salif Boudie Turnover.,35,39
13:42,2032,Foul on Salif Boudie.,35,39
13:32,2032,Foul on Connor Kern.,35,39
13:32,2628,Vladimir Brodziansky made Free Throw.,35,40
13:32,2628,Vladimir Brodziansky made Free Throw.,35,41
13:18,2032,Donte Thomas made Layup. Assisted by Connor Kern.,37,41
13:01,2628,Vladimir Brodziansky made Layup. Assisted by Alex Robinson.,37,43
13:01,2032,Foul on Donte Thomas.,37,43
13:01,2628,Vladimir Brodziansky made Free Throw.,37,44
12:38,2032,Donte Thomas missed Dunk.,37,44
12:38,2628,JD Miller Defensive Rebound.,37,44
12:29,2628,JD Miller missed Jumper.,37,44
12:29,2032,Connor Kern Defensive Rebound.,37,44
12:24,2032,Devin Carter missed Three Point Jumper.,37,44
12:24,2628,Alex Robinson Defensive Rebound.,37,44
12:02,2628,JD Miller made Jumper.,37,46
12:01,2628,TCU  Timeout,37,46
12:01,2628,Official TV Timeout,37,46
11:39,2032,Deven Simms made Jumper. Assisted by Devin Carter.,39,46
11:22,2628,Malique Trent Turnover.,39,46
11:07,2032,Deven Simms missed Jumper.,39,46
11:07,2628,Vladimir Brodziansky Block.,39,46
11:06,2032,Devin Carter Offensive Rebound.,39,46
11:03,2032,Devin Carter missed Layup.,39,46
11:03,2628,Vladimir Brodziansky Block.,39,46
11:02,2032,C.J. Foster Offensive Rebound.,39,46
11:01,2628,Foul on Kenrich Williams.,39,46
11:01,2032,C.J. Foster missed Free Throw.,39,46
11:01,2032,Arkansas St Deadball Team Rebound.,39,46
11:01,2032,C.J. Foster made Free Throw.,40,46
10:52,2628,Malique Trent missed Three Point Jumper.,40,46
10:52,2032,C.J. Foster Defensive Rebound.,40,46
10:44,2032,Deven Simms Turnover.,40,46
10:27,2032,Foul on Deven Simms.,40,46
10:27,2628,Jaylen Fisher made Free Throw.,40,47
10:27,2628,Jaylen Fisher missed Free Throw.,40,47
10:27,2032,Tamas Bruce Defensive Rebound.,40,47
10:02,2032,Tamas Bruce missed Jumper.,40,47
10:02,2032,C.J. Foster Offensive Rebound.,40,47
