UMKC,2571,South Dakota State,140
3:03,2571,Ian Theisen made Layup.,31,29
2:44,140,Broderick Robinson missed Three Point Jumper.,31,29
2:44,2571,Sergio El Darwich Defensive Rebound.,31,29
2:31,2571,A.J. Hess missed Layup.,31,29
2:31,2571,Andre Wallace Offensive Rebound.,31,29
2:27,2571,Andre Wallace made Three Point Jumper.,31,32
2:03,140,Broderick Newbill missed Layup.,31,32
2:03,140,Kyle Steward Offensive Rebound.,31,32
2:00,140,Kyle Steward missed Jumper.,31,32
2:00,140,Kyle Steward Offensive Rebound.,31,32
1:58,2571,Foul on Ian Theisen.,31,32
1:48,140,LaVell Boyd missed Three Point Jumper.,31,32
1:48,140,Broderick Robinson Offensive Rebound.,31,32
1:35,140,Isaiah Ross Turnover.,31,32
1:21,2571,Ian Theisen Turnover.,31,32
1:03,140,Broderick Newbill Turnover.,31,32
0:50,140,Foul on LaVell Boyd.,31,32
0:46,2571,Mike Daum Turnover.,31,32
0:44,140,LaVell Boyd Steal.,31,32
0:41,140,LaVell Boyd missed Layup.,31,32
0:41,2571,Mike Daum Defensive Rebound.,31,32
0:31,2571,Sergio El Darwich Turnover.,31,32
0:05,140,Isaiah Ross missed Three Point Jumper.,31,32
0:05,2571,Reed Tellinghuisen Defensive Rebound.,31,32
0:00,2571,End of 1st half,31,32
19:49,140,Foul on Darnell Tillman.,31,32
19:49,2571,Mike Daum made Free Throw.,31,33
19:49,2571,Mike Daum made Free Throw.,31,34
19:37,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,34,34
19:15,140,Foul on Darnell Tillman.,34,34
19:15,2571,Mike Daum made Free Throw.,34,35
19:15,2571,Mike Daum made Free Throw.,34,36
19:01,140,LaVell Boyd missed Jumper.,34,36
19:01,2571,Reed Tellinghuisen Block.,34,36
19:00,2571,Reed Tellinghuisen Defensive Rebound.,34,36
18:51,2571,Reed Tellinghuisen made Layup. Assisted by Sergio El Darwich.,34,38
18:41,140,Kyle Steward missed Jumper.,34,38
18:41,2571,Sergio El Darwich Defensive Rebound.,34,38
18:25,140,Foul on Darnell Tillman.,34,38
18:25,2571,Mike Daum made Free Throw.,34,39
18:25,2571,Mike Daum made Free Throw.,34,40
18:03,2571,Foul on Reed Tellinghuisen.,34,40
18:00,140,LaVell Boyd missed Three Point Jumper.,34,40
18:00,2571,Tevin King Defensive Rebound.,34,40
17:40,2571,A.J. Hess made Three Point Jumper. Assisted by Sergio El Darwich.,34,43
17:24,140,Isaiah Ross missed Three Point Jumper.,34,43
17:24,140,Duane Clark Offensive Rebound.,34,43
17:20,140,Duane Clark Turnover.,34,43
17:20,140,Foul on Duane Clark.,34,43
17:10,2571,Sergio El Darwich missed Layup.,34,43
17:10,140,Kyle Steward Defensive Rebound.,34,43
17:02,140,Broderick Robinson Turnover.,34,43
17:02,140,Foul on Broderick Robinson.,34,43
16:55,2571,Sergio El Darwich Turnover.,34,43
16:54,140,Xavier Bishop Steal.,34,43
16:51,2571,Foul on Tevin King.,34,43
16:51,140,LaVell Boyd made Free Throw.,35,43
16:51,140,LaVell Boyd made Free Throw.,36,43
16:41,2571,Mike Daum missed Jumper.,36,43
16:41,2571,Sergio El Darwich Offensive Rebound.,36,43
16:29,140,Foul on Isaiah Ross.,36,43
16:24,2571,Mike Daum Turnover.,36,43
16:23,140,LaVell Boyd Steal.,36,43
16:19,140,LaVell Boyd Turnover.,36,43
16:19,2571,A.J. Hess Steal.,36,43
16:15,2571,A.J. Hess made Layup. Assisted by Andre Wallace.,36,45
16:15,140,Foul on Grant Leach.,36,45
16:15,2571,A.J. Hess missed Free Throw.,36,45
16:15,140,LaVell Boyd Defensive Rebound.,36,45
15:59,140,LaVell Boyd made Three Point Jumper. Assisted by Grant Leach.,39,45
15:57,140,UMKC  Timeout,39,45
15:57,2571,Official TV Timeout,39,45
15:43,2571,Mike Daum made Dunk.,39,47
15:25,140,LaVell Boyd missed Jumper.,39,47
15:25,2571,Reed Tellinghuisen Block.,39,47
15:24,2571,Reed Tellinghuisen Defensive Rebound.,39,47
15:23,140,Foul on Duane Clark.,39,47
15:23,2571,Official TV Timeout,39,47
15:23,2571,Andre Wallace missed Free Throw.,39,47
15:23,140,Kyle Steward Defensive Rebound.,39,47
15:09,140,Duane Clark made Layup. Assisted by Kyle Steward.,41,47
14:48,2571,Andre Wallace made Three Point Jumper. Assisted by Skyler Flatten.,41,50
14:40,140,Kyle Steward Turnover.,41,50
14:20,2571,Reed Tellinghuisen made Layup. Assisted by A.J. Hess.,41,52
14:10,140,Duane Clark made Layup. Assisted by Xavier Bishop.,43,52
14:00,2571,Andre Wallace missed Three Point Jumper.,43,52
14:00,140,Duane Clark Defensive Rebound.,43,52
13:52,140,Grant Leach missed Jumper.,43,52
13:52,2571,A.J. Hess Defensive Rebound.,43,52
13:31,2571,Skyler Flatten missed Three Point Jumper.,43,52
13:31,140,Xavier Bishop Defensive Rebound.,43,52
13:24,2571,Foul on Andre Wallace.,43,52
13:24,140,Xavier Bishop missed Free Throw.,43,52
13:24,140,UMKC Deadball Team Rebound.,43,52
13:24,140,Xavier Bishop made Free Throw.,44,52
13:09,2571,Reed Tellinghuisen made Jumper. Assisted by A.J. Hess.,44,54
13:03,140,Isaiah Ross made Three Point Jumper.,47,54
12:39,2571,Mike Daum Turnover.,47,54
12:38,140,Kyle Steward Steal.,47,54
12:34,140,Kyle Steward missed Layup.,47,54
12:34,140,Kyle Steward Offensive Rebound.,47,54
12:31,140,Kyle Steward made Layup.,49,54
12:16,2571,Andre Wallace made Three Point Jumper. Assisted by Skyler Flatten.,49,57
11:58,140,Kyle Steward made Three Point Jumper. Assisted by LaVell Boyd.,52,57
11:36,2571,Mike Daum made Layup.,52,59
11:29,140,LaVell Boyd Turnover.,52,59
11:29,140,Foul on LaVell Boyd.,52,59
11:29,2571,Official TV Timeout,52,59
11:16,2571,Skyler Flatten made Layup. Assisted by Andre Wallace.,52,61
11:16,140,Foul on Isaiah Ross.,52,61
11:16,2571,Skyler Flatten made Free Throw.,52,62
10:50,140,Isaiah Ross made Layup. Assisted by Xavier Bishop.,54,62
10:33,2571,Andre Wallace made Jumper.,54,64
10:16,140,Xavier Bishop missed Three Point Jumper.,54,64
10:16,2571,Skyler Flatten Defensive Rebound.,54,64
9:51,140,Foul on Aleer Leek.,54,64
9:51,2571,Ian Theisen made Free Throw.,54,65
