Cornell,2344,Longwood,172
5:35,2344,Longwood Defensive Rebound.,25,20
5:08,2344,B.K. Ashe made Three Point Jumper.,25,23
4:53,172,Stone Gettings missed Jumper.,25,23
4:53,2344,B.K. Ashe Block.,25,23
4:50,172,Steven Julian Offensive Rebound.,25,23
4:43,172,Matt Morgan made Layup.,27,23
4:23,2344,Damarion Geter missed Layup.,27,23
4:23,2344,Damarion Geter Offensive Rebound.,27,23
4:19,172,Foul on Stone Gettings.,27,23
4:19,2344,Kamil Chapman made Free Throw.,27,24
4:19,2344,Kamil Chapman made Free Throw.,27,25
3:58,172,Matt Morgan made Three Point Jumper. Assisted by Josh Warren.,30,25
3:42,2344,B.K. Ashe made Layup.,30,27
3:32,172,Bryan Knapp made Jumper.,32,27
3:15,2344,Kamil Chapman missed Three Point Jumper.,32,27
3:15,172,Steven Julian Defensive Rebound.,32,27
3:03,2344,Foul on Kamil Chapman.,32,27
3:03,172,Cornell  Timeout,32,27
3:03,172,Matt Morgan missed Free Throw.,32,27
3:03,172,Cornell Deadball Team Rebound.,32,27
3:03,172,Matt Morgan made Free Throw.,33,27
2:45,2344,B.K. Ashe missed Three Point Jumper.,33,27
2:45,172,Steven Julian Defensive Rebound.,33,27
2:29,172,Jack Gordon missed Three Point Jumper.,33,27
2:29,2344,B.K. Ashe Defensive Rebound.,33,27
2:18,2344,Damarion Geter Turnover.,33,27
2:12,2344,Foul on Damarion Geter.,33,27
2:12,172,Matt Morgan made Free Throw.,34,27
2:12,172,Matt Morgan made Free Throw.,35,27
1:49,2344,B.K. Ashe made Three Point Jumper.,35,30
1:38,172,Jack Gordon missed Three Point Jumper.,35,30
1:38,2344,B.K. Ashe Defensive Rebound.,35,30
1:29,172,Foul on Josh Warren.,35,30
1:28,2344,Spencer Franklin missed Free Throw.,35,30
1:28,2344,Longwood Deadball Team Rebound.,35,30
1:28,2344,Spencer Franklin missed Free Throw.,35,30
1:28,172,Josh Warren Defensive Rebound.,35,30
1:12,2344,Foul on Spencer Franklin.,35,30
1:12,172,Matt Morgan made Free Throw.,36,30
1:12,172,Matt Morgan made Free Throw.,37,30
0:43,2344,Damarion Geter missed Jumper.,37,30
0:43,172,Josh Warren Block.,37,30
0:40,2344,Spencer Franklin Offensive Rebound.,37,30
0:34,2344,Spencer Franklin missed Jumper.,37,30
0:33,2344,Jordan Cintron Offensive Rebound.,37,30
0:31,2344,Jordan Cintron missed Jumper.,37,30
0:31,2344,Damarion Geter Offensive Rebound.,37,30
0:01,2344,B.K. Ashe missed Jumper.,37,30
0:01,172,Terrance McBride Defensive Rebound.,37,30
0:01,172,Cornell  Timeout,37,30
0:00,2344,End of 1st half,37,30
19:50,172,Matt Morgan made Layup. Assisted by Stone Gettings.,39,30
19:25,2344,Jahleem Montague missed Jumper.,39,30
19:25,172,Matt Morgan Defensive Rebound.,39,30
19:09,172,Jack Gordon made Three Point Jumper. Assisted by Matt Morgan.,42,30
18:47,2344,Chris Shields missed Three Point Jumper.,42,30
18:47,2344,JaShaun Smith Offensive Rebound.,42,30
18:42,2344,JaShaun Smith made Layup.,42,32
18:34,172,Matt Morgan missed Three Point Jumper.,42,32
18:34,2344,Jahleem Montague Defensive Rebound.,42,32
18:14,2344,B.K. Ashe missed Jumper.,42,32
18:14,172,Stone Gettings Defensive Rebound.,42,32
18:08,172,Jack Gordon missed Three Point Jumper.,42,32
18:08,2344,Longwood Defensive Rebound.,42,32
17:48,2344,JaShaun Smith made Three Point Jumper.,42,35
17:37,172,Jack Gordon Turnover.,42,35
17:13,2344,Kamil Chapman missed Jumper.,42,35
17:13,172,Terrance McBride Defensive Rebound.,42,35
17:02,172,Terrance McBride made Layup.,44,35
16:39,2344,Jahleem Montague made Jumper.,44,37
16:30,172,Steven Julian Turnover.,44,37
16:13,2344,Damarion Geter made Jumper.,44,39
15:45,172,Steven Julian made Jumper. Assisted by Jack Gordon.,46,39
15:32,2344,B.K. Ashe Turnover.,46,39
15:30,172,Steven Julian Steal.,46,39
15:27,2344,Foul on B.K. Ashe.,46,39
15:27,172,Cornell  Timeout,46,39
15:27,172,Steven Julian made Free Throw.,47,39
15:27,172,Steven Julian made Free Throw.,48,39
15:04,2344,JaShaun Smith made Jumper.,48,41
14:35,172,Josh Warren missed Layup.,48,41
14:35,2344,Damarion Geter Block.,48,41
14:35,172,Josh Warren Offensive Rebound.,48,41
14:35,172,Josh Warren missed Jumper.,48,41
14:35,2344,Damarion Geter Block.,48,41
14:35,2344,Damarion Geter Defensive Rebound.,48,41
14:20,2344,Kamil Chapman made Three Point Jumper. Assisted by JaShaun Smith.,48,44
14:01,172,Matt Morgan missed Three Point Jumper.,48,44
14:01,2344,B.K. Ashe Defensive Rebound.,48,44
13:51,2344,Kamil Chapman missed Three Point Jumper.,48,44
13:51,2344,Damarion Geter Offensive Rebound.,48,44
13:44,2344,Kamil Chapman missed Layup.,48,44
13:44,172,Josh Warren Defensive Rebound.,48,44
13:38,172,Matt Morgan missed Three Point Jumper.,48,44
13:38,2344,Kamil Chapman Defensive Rebound.,48,44
13:24,2344,B.K. Ashe missed Three Point Jumper.,48,44
13:24,172,Josh Warren Defensive Rebound.,48,44
13:06,172,Matt Morgan made Layup.,50,44
12:51,2344,Chris Shields made Dunk.,50,46
12:40,172,Josh Warren made Dunk. Assisted by Steven Julian.,52,46
12:21,2344,JaShaun Smith missed Layup.,52,46
12:21,2344,Longwood Offensive Rebound.,52,46
12:14,172,Bryan Knapp missed Jumper.,52,46
12:14,2344,B.K. Ashe Defensive Rebound.,52,46
11:59,2344,JaShaun Smith missed Jumper.,52,46
11:59,172,Joel Davis Defensive Rebound.,52,46
11:52,172,Bryan Knapp made Jumper.,54,46
11:19,2344,Spencer Franklin missed Layup.,54,46
11:19,172,Steven Julian Block.,54,46
11:18,2344,Jordan Cintron Offensive Rebound.,54,46
11:15,2344,Longwood  Turnover.,54,46
10:54,172,Steven Julian missed Three Point Jumper.,54,46
10:54,2344,Damarion Geter Defensive Rebound.,54,46
