Marist,93,Murray State,2368
2:37,93,Foul on Terrell Miller Jr..,28,39
2:32,2368,David Knudsen Turnover.,28,39
2:31,93,Ja Morant Steal.,28,39
2:28,93,Jonathan Stark made Layup. Assisted by Ja Morant.,28,41
2:05,2368,Ryan Funk Turnover.,28,41
2:04,93,Ja Morant Steal.,28,41
2:02,93,Jonathan Stark made Layup. Assisted by Ja Morant.,28,43
1:58,2368,Marist  Timeout,28,43
1:41,2368,Brian Parker made Layup.,30,43
1:41,93,Foul on Ja Morant.,30,43
1:41,2368,Brian Parker made Free Throw.,31,43
1:29,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Jonathan Stark.,31,46
1:02,93,Foul on Jonathan Stark.,31,46
1:02,2368,Austin Williams made Free Throw.,32,46
1:02,2368,Austin Williams missed Free Throw.,32,46
1:02,93,Anthony Smith Defensive Rebound.,32,46
1:01,2368,Foul on David Knudsen.,32,46
1:01,93,Anthony Smith made Free Throw.,32,47
1:01,93,Anthony Smith made Free Throw.,32,48
0:54,2368,Austin Williams Turnover.,32,48
0:53,93,Shaq Buchanan Steal.,32,48
0:51,93,Shaq Buchanan made Dunk.,32,50
0:33,2368,David Knudsen missed Three Point Jumper.,32,50
0:33,93,Anthony Smith Defensive Rebound.,32,50
0:12,93,Murray State  Timeout,32,50
0:01,93,Jonathan Stark made Jumper.,32,52
0:00,93,End of 1st half,32,52
19:36,93,Jalen Dupree missed Jumper.,32,52
19:36,2368,Tobias Sjoberg Defensive Rebound.,32,52
19:14,2368,Lasse Gummerus missed Three Point Jumper.,32,52
19:14,93,Terrell Miller Jr. Defensive Rebound.,32,52
18:49,93,Terrell Miller Jr. made Three Point Jumper. Assisted by Jonathan Stark.,32,55
18:25,2368,Brian Parker missed Layup.,32,55
18:25,93,Jalen Dupree Block.,32,55
18:23,93,Terrell Miller Jr. Defensive Rebound.,32,55
18:19,93,Shaq Buchanan made Dunk. Assisted by Ja Morant.,32,57
18:02,2368,Brian Parker missed Three Point Jumper.,32,57
18:02,93,Ja Morant Defensive Rebound.,32,57
17:55,2368,Foul on Brian Parker.,32,57
17:55,93,Ja Morant made Free Throw.,32,58
17:55,93,Ja Morant missed Free Throw.,32,58
17:55,2368,Ryan Funk Defensive Rebound.,32,58
17:31,2368,Brian Parker made Jumper.,34,58
17:01,93,Ja Morant missed Three Point Jumper.,34,58
17:01,93,Murray State Offensive Rebound.,34,58
16:58,2368,Foul on Tobias Sjoberg.,34,58
16:57,93,Jonathan Stark missed Jumper.,34,58
16:57,2368,Lasse Gummerus Defensive Rebound.,34,58
16:44,2368,Ryan Funk made Three Point Jumper. Assisted by Tobias Sjoberg.,37,58
16:14,93,Terrell Miller Jr. made Layup. Assisted by Ja Morant.,37,60
15:45,2368,Brian Parker made Three Point Jumper. Assisted by Tobias Sjoberg.,40,60
15:27,93,Terrell Miller Jr. made Layup. Assisted by Ja Morant.,40,62
15:27,2368,Foul on Lasse Gummerus.,40,62
15:27,93,Murray State  Timeout,40,62
15:27,93,Terrell Miller Jr. missed Free Throw.,40,62
15:27,2368,Connor McClenaghan Defensive Rebound.,40,62
15:12,2368,Aleksandar Dozic made Three Point Jumper. Assisted by David Knudsen.,43,62
14:45,93,Brion Sanchious made Layup. Assisted by Terrell Miller Jr..,43,64
14:18,2368,David Knudsen missed Jumper.,43,64
14:18,93,Terrell Miller Jr. Defensive Rebound.,43,64
14:12,93,Jonathan Stark missed Three Point Jumper.,43,64
14:12,93,Shaq Buchanan Offensive Rebound.,43,64
14:07,93,Shaq Buchanan made Layup.,43,66
13:45,2368,Aleksandar Dozic made Three Point Jumper. Assisted by David Knudsen.,46,66
13:35,93,Jonathan Stark missed Three Point Jumper.,46,66
13:35,93,Murray State Offensive Rebound.,46,66
13:25,93,Shaq Buchanan made Dunk. Assisted by Ja Morant.,46,68
13:13,2368,Austin Williams Turnover.,46,68
13:13,2368,Foul on Austin Williams.,46,68
13:02,93,Jonathan Stark missed Layup.,46,68
13:02,2368,Connor McClenaghan Block.,46,68
