Tenn-Martin,344,Mississippi State,2630
6:42,2630,Foul on Terrence Parker.,22,25
6:42,344,Abdul Ado made Free Throw.,22,26
6:42,344,Abdul Ado made Free Throw.,22,27
6:12,2630,Fatodd Lewis Turnover.,22,27
6:11,344,Quinndary Weatherspoon Steal.,22,27
5:57,344,Xavian Stapleton missed Three Point Jumper.,22,27
5:57,2630,DelFincko Bogan Defensive Rebound.,22,27
5:50,2630,Matthew Butler made Three Point Jumper. Assisted by DelFincko Bogan.,25,27
5:26,344,Tyson Carter missed Three Point Jumper.,25,27
5:26,2630,Fatodd Lewis Defensive Rebound.,25,27
5:18,344,Foul on Quinndary Weatherspoon.,25,27
5:15,2630,Matthew Butler made Three Point Jumper. Assisted by Darius Thompson.,28,27
4:52,344,Xavian Stapleton missed Jumper.,28,27
4:52,344,Lamar Peters Offensive Rebound.,28,27
4:42,344,Nick Weatherspoon made Three Point Jumper. Assisted by Tyson Carter.,28,30
4:14,2630,Fatodd Lewis made Jumper.,30,30
3:57,344,Nick Weatherspoon made Layup.,30,32
3:37,2630,Fatodd Lewis Turnover.,30,32
3:37,2630,Foul on Fatodd Lewis.,30,32
3:37,344,Official TV Timeout,30,32
3:25,344,Nick Weatherspoon made Three Point Jumper. Assisted by Tyson Carter.,30,35
2:51,2630,Darius Thompson missed Three Point Jumper.,30,35
2:51,344,Lamar Peters Block.,30,35
2:49,2630,Kahari Beaufort Offensive Rebound.,30,35
2:41,2630,Kahari Beaufort missed Jumper.,30,35
2:41,344,Schnider Herard Defensive Rebound.,30,35
2:35,344,Tyson Carter missed Three Point Jumper.,30,35
2:35,2630,Darius Thompson Defensive Rebound.,30,35
2:13,344,Foul on Schnider Herard.,30,35
2:13,2630,Kahari Beaufort made Free Throw.,31,35
2:13,2630,Kahari Beaufort missed Free Throw.,31,35
2:13,344,Aric Holman Defensive Rebound.,31,35
2:06,344,Lamar Peters made Three Point Jumper. Assisted by Quinndary Weatherspoon.,31,38
1:37,2630,Parrish Hewitt Turnover.,31,38
1:36,344,Nick Weatherspoon Steal.,31,38
1:23,344,Lamar Peters missed Three Point Jumper.,31,38
1:23,344,Abdul Ado Offensive Rebound.,31,38
1:18,344,Abdul Ado Turnover.,31,38
0:47,2630,Jailen Gill made Jumper. Assisted by Dominique Williams.,33,38
0:39,344,Mississippi State  Timeout,33,38
0:25,344,Quinndary Weatherspoon missed Jumper.,33,38
0:25,344,Aric Holman Offensive Rebound.,33,38
0:22,2630,Foul on Matthew Butler.,33,38
0:22,344,Aric Holman missed Free Throw.,33,38
0:22,344,Mississippi State Deadball Team Rebound.,33,38
0:22,344,Aric Holman made Free Throw.,33,39
0:04,2630,DelFincko Bogan missed Three Point Jumper.,33,39
0:04,344,Abdul Ado Defensive Rebound.,33,39
0:00,344,End of 1st half,33,39
19:48,2630,Jailen Gill missed Jumper.,33,39
19:48,344,Aric Holman Defensive Rebound.,33,39
19:27,344,Aric Holman made Layup. Assisted by Tyson Carter.,33,41
19:06,344,Foul on Aric Holman.,33,41
19:06,2630,Jailen Gill made Free Throw.,34,41
19:06,2630,Jailen Gill missed Free Throw.,34,41
19:06,344,Abdul Ado Defensive Rebound.,34,41
18:51,344,Quinndary Weatherspoon missed Three Point Jumper.,34,41
18:51,344,Abdul Ado Offensive Rebound.,34,41
18:50,2630,Foul on Mike Fofana.,34,41
18:35,344,Tyson Carter missed Three Point Jumper.,34,41
18:35,2630,Fatodd Lewis Defensive Rebound.,34,41
18:24,2630,DelFincko Bogan missed Layup.,34,41
18:24,344,Abdul Ado Block.,34,41
18:23,344,Abdul Ado Defensive Rebound.,34,41
18:06,344,Abdul Ado missed Jumper.,34,41
18:06,344,Aric Holman Offensive Rebound.,34,41
18:04,344,Aric Holman made Layup.,34,43
17:48,2630,Fatodd Lewis missed Jumper.,34,43
17:48,344,Aric Holman Defensive Rebound.,34,43
17:44,2630,Foul on Fatodd Lewis.,34,43
17:42,344,Tyson Carter missed Three Point Jumper.,34,43
17:42,344,Quinndary Weatherspoon Offensive Rebound.,34,43
17:23,344,Nick Weatherspoon made Three Point Jumper. Assisted by Tyson Carter.,34,46
17:04,2630,Fatodd Lewis missed Jumper.,34,46
17:04,344,Abdul Ado Block.,34,46
17:03,344,Quinndary Weatherspoon Defensive Rebound.,34,46
17:00,344,Tyson Carter made Layup. Assisted by Quinndary Weatherspoon.,34,48
16:58,2630,UT Martin  Timeout,34,48
16:58,344,Official TV Timeout,34,48
16:45,2630,Matthew Butler made Jumper.,36,48
16:26,344,Nick Weatherspoon missed Three Point Jumper.,36,48
16:26,344,Quinndary Weatherspoon Offensive Rebound.,36,48
16:23,344,Quinndary Weatherspoon made Jumper.,36,50
16:02,2630,Jailen Gill Turnover.,36,50
16:01,344,Quinndary Weatherspoon Steal.,36,50
15:59,2630,Foul on Jailen Gill.,36,50
15:59,344,Official TV Timeout,36,50
15:59,344,Quinndary Weatherspoon made Free Throw.,36,51
15:59,344,Quinndary Weatherspoon made Free Throw.,36,52
15:47,2630,Kahari Beaufort Turnover.,36,52
15:46,344,Quinndary Weatherspoon Steal.,36,52
15:42,344,Xavian Stapleton made Dunk. Assisted by Quinndary Weatherspoon.,36,54
15:26,2630,Dominique Williams missed Jumper.,36,54
15:26,344,Abdul Ado Defensive Rebound.,36,54
15:01,344,Abdul Ado made Layup. Assisted by Xavian Stapleton.,36,56
14:37,2630,Kahari Beaufort missed Jumper.,36,56
14:37,344,Abdul Ado Defensive Rebound.,36,56
14:16,2630,Foul on Terrence Parker.,36,56
14:16,344,Quinndary Weatherspoon made Free Throw.,36,57
14:16,344,Quinndary Weatherspoon made Free Throw.,36,58
14:00,344,Foul on Eli Wright.,36,58
13:53,2630,Matthew Butler missed Jumper.,36,58
13:53,2630,Fatodd Lewis Offensive Rebound.,36,58
13:51,2630,Fatodd Lewis missed Jumper.,36,58
13:51,2630,Matthew Butler Offensive Rebound.,36,58
13:50,2630,Matthew Butler made Jumper.,38,58
13:35,344,Xavian Stapleton Turnover.,38,58
13:35,344,Foul on Xavian Stapleton.,38,58
13:22,2630,DelFincko Bogan made Jumper.,40,58
12:48,344,Eli Wright missed Three Point Jumper.,40,58
12:48,344,Schnider Herard Offensive Rebound.,40,58
12:47,2630,Foul on Fatodd Lewis.,40,58
12:47,344,Schnider Herard missed Free Throw.,40,58
12:47,344,Mississippi State Deadball Team Rebound.,40,58
12:47,344,Schnider Herard missed Free Throw.,40,58
12:47,2630,Fatodd Lewis Defensive Rebound.,40,58
12:45,344,Foul on Xavian Stapleton.,40,58
12:41,2630,Matthew Butler missed Three Point Jumper.,40,58
12:41,2630,DelFincko Bogan Offensive Rebound.,40,58
12:36,2630,DelFincko Bogan made Jumper.,42,58
12:36,344,Foul on Xavian Stapleton.,42,58
12:17,2630,Dominique Williams made Jumper.,44,58
12:15,2630,UT Martin  Timeout,44,58
12:15,344,Official TV Timeout,44,58
11:58,344,Aric Holman made Three Point Jumper. Assisted by Quinndary Weatherspoon.,44,61
11:45,2630,Darius Thompson made Three Point Jumper. Assisted by DelFincko Bogan.,47,61
11:21,344,Aric Holman made Dunk. Assisted by Quinndary Weatherspoon.,47,63
10:55,2630,Darius Thompson missed Three Point Jumper.,47,63
10:55,344,Quinndary Weatherspoon Defensive Rebound.,47,63
10:47,344,Eli Wright missed Jumper.,47,63
10:47,2630,Darius Thompson Defensive Rebound.,47,63
10:41,2630,Matthew Butler made Three Point Jumper. Assisted by Darius Thompson.,50,63
10:17,2630,Foul on DelFincko Bogan.,50,63
10:17,344,Quinndary Weatherspoon made Free Throw.,50,64
10:17,344,Quinndary Weatherspoon made Free Throw.,50,65
10:06,2630,Dominique Williams Turnover.,50,65
10:04,344,Quinndary Weatherspoon Steal.,50,65
10:02,344,Quinndary Weatherspoon made Jumper.,50,67
9:42,2630,Fatodd Lewis Turnover.,50,67
9:41,344,Abdul Ado Steal.,50,67
9:38,344,Eli Wright made Layup.,50,69
9:27,2630,Fatodd Lewis missed Layup.,50,69
9:27,344,Abdul Ado Defensive Rebound.,50,69
9:17,344,Eli Wright made Three Point Jumper. Assisted by Aric Holman.,50,72
8:56,2630,Matthew Butler missed Jumper.,50,72
8:56,344,Aric Holman Block.,50,72
8:54,344,Quinndary Weatherspoon Defensive Rebound.,50,72
8:51,344,Quinndary Weatherspoon made Layup.,50,74
8:32,2630,Dominique Williams missed Three Point Jumper.,50,74
8:32,344,Lamar Peters Defensive Rebound.,50,74
8:18,2630,Foul on DelFincko Bogan.,50,74
8:18,344,Abdul Ado missed Free Throw.,50,74
8:18,344,Aric Holman Offensive Rebound.,50,74
8:10,344,Quinndary Weatherspoon made Three Point Jumper. Assisted by Lamar Peters.,50,77
7:33,2630,UT Martin  Turnover.,50,77
7:33,344,Official TV Timeout,50,77
7:18,344,Lamar Peters missed Three Point Jumper.,50,77
7:18,2630,DelFincko Bogan Defensive Rebound.,50,77
7:05,2630,Darius Thompson missed Jumper.,50,77
7:05,344,Lamar Peters Defensive Rebound.,50,77
6:59,344,Quinndary Weatherspoon made Layup. Assisted by Lamar Peters.,50,79
6:59,2630,Foul on DelFincko Bogan.,50,79
6:59,344,Quinndary Weatherspoon missed Free Throw.,50,79
6:59,344,Abdul Ado Offensive Rebound.,50,79
6:57,344,Abdul Ado made Dunk.,50,81
6:33,2630,Matthew Butler made Jumper.,52,81
6:14,344,Abdul Ado Turnover.,52,81
