Lamar,292,UT Rio Grande Valley,2320
7:37,292,Lew Stallworth made Layup.,19,20
7:13,2320,Joey Frenchwood Turnover.,19,20
7:11,292,Nick Dixon Steal.,19,20
7:09,292,Nick Dixon made Layup.,19,22
6:51,2320,Zjori Bosha missed Layup.,19,22
6:51,292,Gage Loy Defensive Rebound.,19,22
6:42,292,Dan Kimasa missed Layup.,19,22
6:42,2320,Nick Garth Defensive Rebound.,19,22
6:30,2320,Josh Nzeakor Turnover.,19,22
6:30,292,Nick Dixon Steal.,19,22
6:29,2320,Foul on Zjori Bosha.,19,22
6:11,292,Antonio Green missed Three Point Jumper.,19,22
6:11,292,Gage Loy Offensive Rebound.,19,22
6:07,292,Gage Loy missed Layup.,19,22
6:07,2320,Colton Weisbrod Defensive Rebound.,19,22
6:02,2320,Colton Weisbrod made Layup.,21,22
6:02,292,Foul on Gage Loy.,21,22
6:02,2320,Colton Weisbrod made Free Throw.,22,22
5:48,292,Nick Dixon missed Layup.,22,22
5:48,2320,Colton Weisbrod Defensive Rebound.,22,22
5:41,2320,Nick Garth missed Jumper.,22,22
5:41,2320,Colton Weisbrod Offensive Rebound.,22,22
5:33,2320,Dorian Chatman missed Layup.,22,22
5:33,2320,Dorian Chatman Offensive Rebound.,22,22
5:29,2320,Dorian Chatman missed Layup.,22,22
5:29,292,Lesley Varner Jr. Defensive Rebound.,22,22
5:20,292,Gage Loy made Layup. Assisted by Antonio Green.,22,24
5:07,2320,Joey Frenchwood missed Layup.,22,24
5:07,2320,Colton Weisbrod Offensive Rebound.,22,24
5:04,292,Foul on Gage Loy.,22,24
5:04,2320,Colton Weisbrod made Free Throw.,23,24
5:04,2320,Colton Weisbrod made Free Throw.,24,24
4:51,292,Foul on Xavier McDaniel Jr..,24,24
4:51,292,Xavier McDaniel Jr. Turnover.,24,24
4:29,2320,Colton Weisbrod missed Layup.,24,24
4:29,292,Xavier McDaniel Jr. Defensive Rebound.,24,24
4:17,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Nick Dixon.,24,27
4:08,2320,Marcus Owens missed Layup.,24,27
4:08,292,Lesley Varner Jr. Defensive Rebound.,24,27
4:02,292,Lesley Varner Jr. made Jumper.,24,29
3:50,292,Foul on Lesley Varner Jr..,24,29
3:50,292,Official TV Timeout,24,29
3:50,2320,Colton Weisbrod made Free Throw.,25,29
3:50,2320,Colton Weisbrod missed Free Throw.,25,29
3:50,292,Antonio Green Defensive Rebound.,25,29
3:31,2320,Foul on Christian Albright.,25,29
3:31,292,Adonis Rwabigwi missed Free Throw.,25,29
3:31,292,UT Rio Grande Valley Deadball Team Rebound.,25,29
3:31,292,Adonis Rwabigwi made Free Throw.,25,30
3:23,2320,Zjori Bosha missed Layup.,25,30
3:23,292,Antonio Green Defensive Rebound.,25,30
3:19,292,Lesley Varner Jr. missed Jumper.,25,30
3:19,292,UT Rio Grande Valley Offensive Rebound.,25,30
3:17,2320,Foul on Nick Garth.,25,30
3:10,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Antonio Green.,25,33
2:54,2320,Zjori Bosha made Jumper.,27,33
2:41,292,Lesley Varner Jr. missed Three Point Jumper.,27,33
2:41,292,Nick Dixon Offensive Rebound.,27,33
2:34,292,Lesley Varner Jr. Turnover.,27,33
2:32,2320,Zjori Bosha Steal.,27,33
2:29,2320,Christian Albright missed Three Point Jumper.,27,33
