Toledo,276,Marshall,2649
0:28,276,Aleksa Nikolic made Layup.,42,44
0:28,2649,Zach Garber made Layup.,44,44
0:28,2649,Luke Knapke missed Jumper.,44,44
0:28,276,Stevie Browning Defensive Rebound.,44,44
0:00,276,End of 1st half,44,44
19:50,276,Stevie Browning missed Layup.,44,44
19:50,2649,Jonathan Williams Block.,44,44
19:48,276,Ajdin Penava Offensive Rebound.,44,44
19:46,276,Ajdin Penava made Layup.,44,46
19:28,2649,Jaelan Sanford missed Three Point Jumper.,44,46
19:28,276,Stevie Browning Block.,44,46
19:28,2649,Toledo Offensive Rebound.,44,46
19:26,2649,Steve Taylor Jr. missed Layup.,44,46
19:26,276,Ryan Taylor Defensive Rebound.,44,46
19:09,276,Ryan Taylor made Three Point Jumper. Assisted by Jon Elmore.,44,49
18:50,2649,Jonathan Williams made Layup.,46,49
18:32,276,Austin Loop made Three Point Jumper. Assisted by Stevie Browning.,46,52
17:59,2649,Steve Taylor Jr. Turnover.,46,52
17:58,276,Ajdin Penava Steal.,46,52
17:51,2649,Foul on Jordan Lauf.,46,52
17:50,276,Stevie Browning made Jumper. Assisted by Jon Elmore.,46,54
17:33,2649,Jonathan Williams missed Jumper.,46,54
17:33,2649,Steve Taylor Jr. Offensive Rebound.,46,54
17:29,276,Foul on Ryan Taylor.,46,54
17:24,2649,Jonathan Williams missed Layup.,46,54
17:24,276,Ajdin Penava Block.,46,54
17:24,2649,Toledo Offensive Rebound.,46,54
17:19,276,Foul on Jon Elmore.,46,54
17:19,2649,Steve Taylor Jr. made Free Throw.,47,54
17:19,2649,Steve Taylor Jr. missed Free Throw.,47,54
17:19,276,Ajdin Penava Defensive Rebound.,47,54
17:08,276,Jon Elmore missed Layup.,47,54
17:08,2649,Jonathan Williams Defensive Rebound.,47,54
17:02,2649,Jordan Lauf made Three Point Jumper. Assisted by Jonathan Williams.,50,54
16:37,276,Ajdin Penava made Layup. Assisted by Aleksa Nikolic.,50,56
16:19,2649,Jonathan Williams made Three Point Jumper. Assisted by Jordan Lauf.,53,56
16:05,276,Jon Elmore made Three Point Jumper. Assisted by Ajdin Penava.,53,59
15:41,276,Foul on Ajdin Penava.,53,59
15:41,276,Official TV Timeout,53,59
15:38,2649,Steve Taylor Jr. made Layup.,55,59
15:15,276,Ajdin Penava missed Three Point Jumper.,55,59
15:15,2649,Jordan Lauf Defensive Rebound.,55,59
14:59,2649,Jonathan Williams made Three Point Jumper. Assisted by Luke Knapke.,58,59
14:48,276,Jon Elmore missed Layup.,58,59
14:48,2649,Steve Taylor Jr. Defensive Rebound.,58,59
14:18,2649,Steve Taylor Jr. made Layup.,60,59
14:05,276,Stevie Browning made Jumper.,60,61
13:44,2649,Steve Taylor Jr. made Layup.,62,61
13:44,276,Foul on Ajdin Penava.,62,61
13:44,2649,Steve Taylor Jr. missed Free Throw.,62,61
13:44,276,Jon Elmore Defensive Rebound.,62,61
13:35,276,Milan Mijovic made Layup.,62,63
13:18,2649,Foul on Luke Knapke.,62,63
13:18,2649,Luke Knapke Turnover.,62,63
13:05,276,Milan Mijovic missed Layup.,62,63
13:05,2649,Luke Knapke Block.,62,63
13:02,2649,Jordan Lauf Defensive Rebound.,62,63
12:55,2649,Steve Taylor Jr. missed Three Point Jumper.,62,63
12:55,276,Jon Elmore Defensive Rebound.,62,63
12:46,276,Jon Elmore made Layup.,62,65
12:46,2649,Foul on Lucas Antunez.,62,65
12:46,276,Jon Elmore missed Free Throw.,62,65
