Denver,38,Colorado,2172
3:18,2172,Foul on Elvin Rodriguez.,27,35
3:18,2172,Elvin Rodriguez Turnover.,27,35
3:18,38,Official TV Timeout,27,35
3:07,38,Foul on Tory Miller-Stewart.,27,35
3:07,38,Tory Miller-Stewart Turnover.,27,35
2:42,2172,Elvin Rodriguez Turnover.,27,35
2:41,38,McKinley Wright IV Steal.,27,35
2:39,38,McKinley Wright IV made Layup.,27,37
2:17,2172,Elvin Rodriguez made Jumper. Assisted by Jake Krafka.,29,37
1:51,38,Deleon Brown made Layup.,29,39
1:36,2172,Elvin Rodriguez Turnover.,29,39
1:34,38,Deleon Brown Steal.,29,39
1:32,38,Deleon Brown Turnover.,29,39
1:32,2172,Elvin Rodriguez Steal.,29,39
1:29,2172,Elvin Rodriguez made Layup.,31,39
1:14,38,D'Shawn Schwartz missed Layup.,31,39
1:14,2172,Denver Defensive Rebound.,31,39
1:12,38,Foul on Tyler Bey.,31,39
1:12,2172,Ade Murkey missed Free Throw.,31,39
1:12,38,D'Shawn Schwartz Defensive Rebound.,31,39
0:57,38,Lucas Siewert made Jumper.,31,41
0:45,2172,Ade Murkey Turnover.,31,41
0:44,38,Deleon Brown Steal.,31,41
0:38,38,D'Shawn Schwartz made Layup.,31,43
0:06,2172,Daniel Amigo made Layup. Assisted by Ade Murkey.,33,43
0:00,38,Lazar Nikolic missed Jumper.,33,43
0:00,38,Colorado Deadball Team Rebound.,33,43
0:00,38,End of 1st half,33,43
19:50,2172,Foul on Abiola Akintola.,33,43
19:50,2172,Abiola Akintola Turnover.,33,43
19:42,38,Dominique Collier missed Three Point Jumper.,33,43
19:42,2172,Jake Pemberton Defensive Rebound.,33,43
19:36,38,Foul on McKinley Wright IV.,33,43
19:29,2172,Daniel Amigo made Three Point Jumper. Assisted by Joe Rosga.,36,43
19:16,2172,Foul on Ade Murkey.,36,43
19:16,38,Namon Wright made Free Throw.,36,44
19:16,38,Namon Wright made Free Throw.,36,45
18:57,2172,Daniel Amigo missed Jumper.,36,45
18:57,38,Dominique Collier Defensive Rebound.,36,45
18:50,2172,Foul on Ade Murkey.,36,45
18:32,38,Dominique Collier missed Layup.,36,45
18:32,2172,Joe Rosga Defensive Rebound.,36,45
18:27,2172,Joe Rosga missed Three Point Jumper.,36,45
18:27,2172,Daniel Amigo Offensive Rebound.,36,45
18:25,38,Foul on George King.,36,45
18:20,2172,Joe Rosga missed Layup.,36,45
18:20,38,George King Defensive Rebound.,36,45
18:14,38,McKinley Wright IV made Layup.,36,47
17:43,2172,Daniel Amigo made Three Point Jumper.,39,47
17:32,38,McKinley Wright IV Turnover.,39,47
17:30,2172,Daniel Amigo Steal.,39,47
17:26,2172,Daniel Amigo made Layup. Assisted by Ade Murkey.,41,47
17:08,38,Dominique Collier missed Layup.,41,47
17:08,2172,Daniel Amigo Block.,41,47
17:06,38,Colorado Offensive Rebound.,41,47
16:51,38,Namon Wright made Layup.,41,49
16:43,38,Foul on Dominique Collier.,41,49
16:36,2172,Jake Pemberton made Jumper.,43,49
16:17,38,McKinley Wright IV made Layup.,43,51
15:55,38,Official TV Timeout,43,51
15:45,38,Foul on Lucas Siewert.,43,51
15:45,2172,Joe Rosga made Free Throw.,44,51
15:45,2172,Joe Rosga made Free Throw.,45,51
15:29,38,McKinley Wright IV made Jumper.,45,53
15:07,38,Foul on Lucas Siewert.,45,53
15:07,2172,Abiola Akintola missed Free Throw.,45,53
15:07,2172,Denver Deadball Team Rebound.,45,53
15:07,2172,Abiola Akintola missed Free Throw.,45,53
15:07,38,McKinley Wright IV Defensive Rebound.,45,53
15:04,38,Deleon Brown missed Three Point Jumper.,45,53
15:04,38,Tyler Bey Offensive Rebound.,45,53
15:01,2172,Foul on Abiola Akintola.,45,53
14:54,2172,Foul on Daniel Amigo.,45,53
14:54,38,Lucas Siewert made Free Throw.,45,54
14:54,38,Lucas Siewert made Free Throw.,45,55
14:34,2172,Jake Pemberton missed Three Point Jumper.,45,55
14:34,38,Lazar Nikolic Defensive Rebound.,45,55
14:26,38,Deleon Brown made Layup. Assisted by Lazar Nikolic.,45,57
14:19,2172,Denver  Timeout,45,57
14:13,38,Foul on Lazar Nikolic.,45,57
14:13,2172,Daniel Amigo missed Layup.,45,57
14:13,38,Lucas Siewert Defensive Rebound.,45,57
14:13,38,D'Shawn Schwartz missed Jumper.,45,57
14:13,38,Tyler Bey Offensive Rebound.,45,57
14:13,38,Tyler Bey missed Layup.,45,57
14:13,2172,Denver Defensive Rebound.,45,57
13:41,2172,Daniel Amigo missed Layup.,45,57
13:41,38,Lucas Siewert Block.,45,57
13:41,2172,Denver Offensive Rebound.,45,57
13:40,38,Foul on D'Shawn Schwartz.,45,57
13:40,2172,Jake Krafka missed Free Throw.,45,57
13:40,2172,Denver Deadball Team Rebound.,45,57
13:40,2172,Jake Krafka made Free Throw.,46,57
13:25,2172,Foul on Christian Mackey.,46,57
13:25,38,Tyler Bey missed Free Throw.,46,57
13:25,38,Colorado Deadball Team Rebound.,46,57
13:25,38,Tyler Bey made Free Throw.,46,58
13:14,2172,Elvin Rodriguez missed Three Point Jumper.,46,58
13:14,38,Namon Wright Defensive Rebound.,46,58
12:57,38,Lazar Nikolic made Layup.,46,60
12:38,2172,Joe Rosga missed Three Point Jumper.,46,60
12:38,38,Namon Wright Defensive Rebound.,46,60
12:36,2172,Foul on Elvin Rodriguez.,46,60
12:36,38,Namon Wright missed Free Throw.,46,60
12:36,2172,Jake Pemberton Defensive Rebound.,46,60
12:30,2172,Jake Pemberton missed Three Point Jumper.,46,60
12:30,38,Lazar Nikolic Defensive Rebound.,46,60
12:21,38,Tyler Bey made Dunk. Assisted by McKinley Wright IV.,46,62
12:15,2172,Foul on Christian Mackey.,46,62
12:15,38,Tyler Bey made Free Throw.,46,63
12:05,2172,Joe Rosga missed Three Point Jumper.,46,63
12:05,38,Tyler Bey Defensive Rebound.,46,63
11:53,38,McKinley Wright IV Turnover.,46,63
11:53,38,Official TV Timeout,46,63
11:31,2172,Joe Rosga made Three Point Jumper. Assisted by Elvin Rodriguez.,49,63
11:11,38,Dallas Walton Turnover.,49,63
10:49,2172,Daniel Amigo Turnover.,49,63
10:22,38,Dallas Walton Turnover.,49,63
10:01,2172,Elvin Rodriguez missed Layup.,49,63
10:01,38,McKinley Wright IV Block.,49,63
10:01,38,Deleon Brown Defensive Rebound.,49,63
10:01,38,Deleon Brown missed Layup.,49,63
10:01,38,Colorado Deadball Team Rebound.,49,63
10:01,38,Tyler Bey Turnover.,49,63
9:49,2172,Daniel Amigo missed Three Point Jumper.,49,63
9:49,38,George King Defensive Rebound.,49,63
9:25,38,Dallas Walton made Three Point Jumper. Assisted by Tyler Bey.,49,66
9:16,2172,Joe Rosga made Jumper. Assisted by Jake Krafka.,51,66
9:06,38,Dallas Walton missed Jumper.,51,66
9:06,2172,Jake Krafka Defensive Rebound.,51,66
9:01,2172,Elvin Rodriguez missed Layup.,51,66
9:01,38,Colorado Defensive Rebound.,51,66
8:34,38,George King missed Three Point Jumper.,51,66
8:34,2172,Denver Defensive Rebound.,51,66
8:12,38,Foul on Deleon Brown.,51,66
8:12,2172,Joe Rosga made Free Throw.,52,66
8:12,2172,Joe Rosga missed Free Throw.,52,66
8:12,38,George King Defensive Rebound.,52,66
