UNC Wilmington,2166,Davidson,350
12:17,2166,Peyton Aldridge made Three Point Jumper. Assisted by Rusty Reigel.,15,20
12:09,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,17,20
11:52,2166,Kellan Grady made Jumper.,17,22
11:38,350,Jordon Talley Turnover.,17,22
11:38,2166,Davidson  Timeout,17,22
11:26,2166,Peyton Aldridge missed Three Point Jumper.,17,22
11:26,350,Jay Estime' Defensive Rebound.,17,22
10:50,350,Jacque Brown Turnover.,17,22
10:33,2166,Peyton Aldridge missed Jumper.,17,22
10:33,2166,Peyton Aldridge Offensive Rebound.,17,22
10:30,2166,Peyton Aldridge missed Jumper.,17,22
10:30,2166,Peyton Aldridge Offensive Rebound.,17,22
10:26,2166,Jordan Watkins missed Three Point Jumper.,17,22
10:26,2166,Rusty Reigel Offensive Rebound.,17,22
10:26,350,Foul on Trey Kalina.,17,22
10:23,2166,Peyton Aldridge made Jumper. Assisted by KiShawn Pritchett.,17,24
10:10,2166,Foul on Oskar Michelsen.,17,24
10:10,350,Jaylen Fornes missed Free Throw.,17,24
10:10,350,UNC Wilmington Deadball Team Rebound.,17,24
10:10,350,Jaylen Fornes made Free Throw.,18,24
9:53,350,Foul on Jeffrey Gary.,18,24
9:48,2166,KiShawn Pritchett missed Three Point Jumper.,18,24
9:48,350,Jaylen Fornes Defensive Rebound.,18,24
9:39,350,Devontae Cacok missed Jumper.,18,24
9:39,2166,Rusty Reigel Defensive Rebound.,18,24
9:21,2166,Peyton Aldridge made Jumper.,18,26
9:07,350,Devontae Cacok missed Jumper.,18,26
9:07,2166,Peyton Aldridge Defensive Rebound.,18,26
8:58,2166,Rusty Reigel made Three Point Jumper. Assisted by Kellan Grady.,18,29
8:56,350,UNC Wilmington  Timeout,18,29
8:37,350,Jordon Talley missed Three Point Jumper.,18,29
8:37,350,Devontae Cacok Offensive Rebound.,18,29
8:32,350,Devontae Cacok missed Jumper.,18,29
8:32,2166,Davidson Defensive Rebound.,18,29
8:32,350,Foul on Jaylen Fornes.,18,29
8:21,2166,Kellan Grady missed Jumper.,18,29
8:21,350,Marcus Bryan Defensive Rebound.,18,29
8:14,350,Ty Taylor II missed Three Point Jumper.,18,29
8:14,350,Devontae Cacok Offensive Rebound.,18,29
8:05,350,Ty Taylor II missed Jumper.,18,29
8:05,350,Marcus Bryan Offensive Rebound.,18,29
8:01,350,Jordon Talley missed Three Point Jumper.,18,29
8:01,2166,Dusan Kovacevic Defensive Rebound.,18,29
7:38,2166,Rusty Reigel made Layup.,18,31
7:24,350,Ty Taylor II made Three Point Jumper. Assisted by Jordon Talley.,21,31
7:12,2166,Kellan Grady missed Three Point Jumper.,21,31
7:12,350,UNC Wilmington Defensive Rebound.,21,31
7:11,350,UNC Wilmington  Timeout,21,31
6:47,2166,Foul on KiShawn Pritchett.,21,31
6:47,350,Ty Taylor II missed Free Throw.,21,31
6:47,350,UNC Wilmington Deadball Team Rebound.,21,31
6:47,350,Ty Taylor II made Free Throw.,22,31
6:24,2166,Jordan Watkins missed Three Point Jumper.,22,31
6:24,350,Jay Estime' Defensive Rebound.,22,31
6:23,2166,Foul on Rusty Reigel.,22,31
6:23,350,Jay Estime' made Free Throw.,23,31
6:23,350,Jay Estime' missed Free Throw.,23,31
6:23,2166,Rusty Reigel Defensive Rebound.,23,31
6:11,2166,KiShawn Pritchett made Dunk. Assisted by Peyton Aldridge.,23,33
5:55,350,Jaylen Fornes missed Jumper.,23,33
5:55,2166,KiShawn Pritchett Defensive Rebound.,23,33
5:47,2166,KiShawn Pritchett missed Layup.,23,33
5:47,2166,KiShawn Pritchett Offensive Rebound.,23,33
5:43,2166,Kellan Grady missed Three Point Jumper.,23,33
5:43,2166,Davidson Offensive Rebound.,23,33
5:29,2166,Peyton Aldridge made Three Point Jumper. Assisted by Jordan Watkins.,23,36
5:21,350,Jay Estime' missed Three Point Jumper.,23,36
5:21,2166,Kellan Grady Defensive Rebound.,23,36
5:15,2166,Davidson  Timeout,23,36
4:58,350,Foul on Jordon Talley.,23,36
4:58,2166,Kellan Grady made Free Throw.,23,37
4:58,2166,Kellan Grady made Free Throw.,23,38
4:31,350,Jay Estime' made Layup. Assisted by Devontae Cacok.,25,38
4:15,2166,Foul on Will Magarity.,25,38
4:15,2166,Will Magarity Turnover.,25,38
4:06,2166,Foul on Rusty Reigel.,25,38
4:06,350,Devontae Cacok missed Free Throw.,25,38
4:06,350,UNC Wilmington Deadball Team Rebound.,25,38
4:06,350,Devontae Cacok made Free Throw.,26,38
3:43,2166,Dusan Kovacevic missed Jumper.,26,38
3:43,350,Devontae Cacok Block.,26,38
3:41,2166,Carter Collins Offensive Rebound.,26,38
3:37,2166,Kellan Grady missed Layup.,26,38
3:37,350,Jacque Brown Defensive Rebound.,26,38
3:30,350,Jay Estime' missed Layup.,26,38
3:30,2166,Dusan Kovacevic Defensive Rebound.,26,38
3:17,2166,Peyton Aldridge missed Three Point Jumper.,26,38
3:17,2166,Dusan Kovacevic Offensive Rebound.,26,38
3:15,350,Foul on Marcus Bryan.,26,38
3:15,2166,Davidson  Timeout,26,38
3:15,2166,Dusan Kovacevic made Free Throw.,26,39
3:15,2166,Dusan Kovacevic made Free Throw.,26,40
3:00,350,Ty Taylor II made Jumper.,28,40
2:36,2166,KiShawn Pritchett made Jumper.,28,42
2:20,350,Jaylen Fornes missed Jumper.,28,42
2:20,2166,Carter Collins Defensive Rebound.,28,42
2:02,2166,Peyton Aldridge missed Three Point Jumper.,28,42
2:02,350,Ty Taylor II Defensive Rebound.,28,42
1:54,350,Jacque Brown missed Jumper.,28,42
1:54,2166,Carter Collins Defensive Rebound.,28,42
1:36,350,Foul on Ty Taylor II.,28,42
1:36,2166,Peyton Aldridge made Free Throw.,28,43
1:36,2166,Peyton Aldridge made Free Throw.,28,44
1:22,350,Ty Taylor II missed Three Point Jumper.,28,44
1:22,350,Devontae Cacok Offensive Rebound.,28,44
1:19,350,Devontae Cacok Turnover.,28,44
1:01,2166,Jordan Watkins missed Three Point Jumper.,28,44
1:01,350,Devontae Cacok Defensive Rebound.,28,44
0:47,2166,Foul on Will Magarity.,28,44
0:47,350,Devontae Cacok made Free Throw.,29,44
0:47,350,Devontae Cacok made Free Throw.,30,44
0:30,2166,Peyton Aldridge made Three Point Jumper. Assisted by KiShawn Pritchett.,30,47
0:20,350,Ty Taylor II made Jumper.,32,47
0:05,2166,Peyton Aldridge made Three Point Jumper. Assisted by Kellan Grady.,32,50
0:00,2166,End of 1st half,32,50
19:41,2166,Kellan Grady missed Three Point Jumper.,32,50
19:41,350,Devontae Cacok Defensive Rebound.,32,50
19:16,350,Marcus Bryan missed Layup.,32,50
19:16,350,Devontae Cacok Offensive Rebound.,32,50
19:03,350,Ty Taylor II made Jumper.,34,50
18:41,2166,Peyton Aldridge missed Three Point Jumper.,34,50
18:41,350,Jordon Talley Defensive Rebound.,34,50
18:34,350,Ty Taylor II missed Jumper.,34,50
18:34,350,Devontae Cacok Offensive Rebound.,34,50
18:31,350,Devontae Cacok made Layup.,36,50
18:14,2166,Oskar Michelsen made Three Point Jumper. Assisted by Peyton Aldridge.,36,53
17:45,350,Jordon Talley made Jumper.,38,53
17:31,2166,Kellan Grady made Layup.,38,55
17:06,350,Marcus Bryan made Layup. Assisted by Devontae Cacok.,40,55
16:54,2166,Peyton Aldridge made Layup. Assisted by KiShawn Pritchett.,40,57
16:54,350,Foul on Ty Taylor II.,40,57
16:54,2166,Peyton Aldridge made Free Throw.,40,58
16:49,350,Jordon Talley missed Jumper.,40,58
16:49,2166,Dusan Kovacevic Defensive Rebound.,40,58
16:36,2166,Kellan Grady made Layup. Assisted by Dusan Kovacevic.,40,60
16:28,350,Ty Taylor II made Three Point Jumper. Assisted by Jordon Talley.,43,60
16:22,2166,Peyton Aldridge made Dunk. Assisted by Jon Axel Gudmundsson.,43,62
16:07,350,Ty Taylor II missed Layup.,43,62
16:07,350,Devontae Cacok Offensive Rebound.,43,62
16:03,350,Devontae Cacok Turnover.,43,62
16:03,2166,Rusty Reigel Steal.,43,62
15:56,2166,Rusty Reigel made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,43,65
15:55,350,UNC Wilmington  Timeout,43,65
15:44,350,Ty Taylor II Turnover.,43,65
15:44,2166,Rusty Reigel Steal.,43,65
15:44,2166,Davidson  Timeout,43,65
15:29,2166,Dusan Kovacevic Turnover.,43,65
15:29,2166,Foul on Dusan Kovacevic.,43,65
