Morehead St,85,IUPUI,2413
5:14,85,Aaron Brennan made Free Throw.,17,21
5:05,2413,Adrian Hicks Turnover.,17,21
5:04,85,D.J. McCall Steal.,17,21
5:04,2413,Foul on Jordan Walker.,17,21
4:57,85,D.J. McCall made Layup.,17,23
4:37,2413,Lamontray Harris Turnover.,17,23
4:14,85,Aaron Brennan missed Jumper.,17,23
4:12,2413,Lamontray Harris Defensive Rebound.,17,23
3:58,85,Foul on Elyjah Goss.,17,23
3:58,85,Official TV Timeout,17,23
3:58,2413,Adrian Hicks made Free Throw.,18,23
3:58,2413,Adrian Hicks missed Free Throw.,18,23
3:58,85,D.J. McCall Defensive Rebound.,18,23
3:58,2413,Foul on Lamontray Harris.,18,23
3:57,85,Elyjah Goss made Free Throw.,18,24
3:57,85,Elyjah Goss made Free Throw.,18,25
3:46,85,Foul on D.J. McCall.,18,25
3:46,2413,De'Von Cooper missed Free Throw.,18,25
3:46,2413,Morehead State Deadball Team Rebound.,18,25
3:46,2413,De'Von Cooper made Free Throw.,19,25
3:17,85,Nick Rogers missed Three Point Jumper.,19,25
3:15,2413,De'Von Cooper Defensive Rebound.,19,25
3:07,2413,De'Von Cooper missed Jumper.,19,25
3:06,85,Elyjah Goss Defensive Rebound.,19,25
2:57,85,Aaron Brennan missed Three Point Jumper.,19,25
2:55,85,Elyjah Goss Offensive Rebound.,19,25
2:55,2413,Foul on De'Von Cooper.,19,25
2:55,85,D.J. McCall made Free Throw.,19,26
2:55,85,D.J. McCall made Free Throw.,19,27
2:37,2413,Djimon Henson made Layup.,21,27
2:23,85,D.J. McCall missed Layup.,21,27
2:22,85,Aaron Brennan Offensive Rebound.,21,27
2:22,85,Aaron Brennan made Two Point Tip Shot.,21,29
2:07,2413,Djimon Henson missed Jumper.,21,29
2:06,85,Elyjah Goss Defensive Rebound.,21,29
1:41,85,Ron Patterson Turnover.,21,29
1:32,2413,Foul on Djimon Henson.,21,29
1:32,2413,Djimon Henson Turnover.,21,29
1:17,85,Aaron Brennan missed Layup.,21,29
1:15,85,IUPUI Offensive Rebound.,21,29
1:09,2413,Foul on Adrian Hicks.,21,29
1:09,85,Nick Rogers missed Free Throw.,21,29
1:09,85,IUPUI Deadball Team Rebound.,21,29
1:09,85,Nick Rogers missed Free Throw.,21,29
1:07,85,IUPUI Offensive Rebound.,21,29
0:56,2413,Foul on Adrian Hicks.,21,29
0:56,85,Ron Patterson made Free Throw.,21,30
0:56,85,Ron Patterson made Free Throw.,21,31
0:45,2413,Adrian Hicks made Jumper.,23,31
0:19,2413,Foul on James Baker.,23,31
0:19,85,Aaron Brennan missed Free Throw.,23,31
0:19,85,IUPUI Deadball Team Rebound.,23,31
0:19,85,Aaron Brennan made Free Throw.,23,32
0:05,2413,Adrian Hicks made Jumper.,25,32
0:00,85,End of 1st half,25,32
19:48,85,Evan Hall made Layup.,25,34
19:34,2413,Lamontray Harris made Three Point Jumper. Assisted by Jordan Walker.,28,34
19:10,85,D.J. McCall made Dunk.,28,36
18:49,2413,Djimon Henson missed Three Point Jumper.,28,36
18:45,85,IUPUI Defensive Rebound.,28,36
18:25,85,Ron Patterson Turnover.,28,36
18:25,2413,Malek Green Steal.,28,36
18:21,2413,Adrian Hicks made Layup.,30,36
18:21,85,Foul on Ron Patterson.,30,36
18:21,2413,Adrian Hicks missed Free Throw.,30,36
18:21,2413,Malek Green Offensive Rebound.,30,36
18:14,2413,Foul on Djimon Henson.,30,36
18:14,2413,Djimon Henson Turnover.,30,36
17:55,2413,Foul on Malek Green.,30,36
17:55,85,T.J. Henderson made Free Throw.,30,37
17:55,85,T.J. Henderson made Free Throw.,30,38
17:37,2413,James Baker missed Jumper.,30,38
17:36,2413,James Baker Offensive Rebound.,30,38
17:35,2413,James Baker made Two Point Tip Shot.,32,38
17:14,85,IUPUI  Timeout,32,38
17:14,85,Official TV Timeout,32,38
17:06,2413,Foul on Alonzo Chatman.,32,38
17:06,85,Aaron Brennan made Free Throw.,32,39
17:06,85,Aaron Brennan made Free Throw.,32,40
16:44,2413,Jordan Walker missed Three Point Jumper.,32,40
16:42,85,T.J. Henderson Defensive Rebound.,32,40
16:23,85,Aaron Brennan made Jumper. Assisted by D.J. McCall.,32,42
16:12,2413,James Baker Turnover.,32,42
15:49,85,Evan Hall missed Jumper.,32,42
15:49,2413,James Baker Block.,32,42
15:48,85,T.J. Henderson Offensive Rebound.,32,42
15:45,85,T.J. Henderson Turnover.,32,42
15:45,85,Official TV Timeout,32,42
15:28,2413,De'Von Cooper Turnover.,32,42
15:19,85,Foul on Maurice Kirby.,32,42
15:19,85,Maurice Kirby Turnover.,32,42
15:01,85,Foul on Ron Patterson.,32,42
14:49,2413,Adrian Hicks Turnover.,32,42
14:32,85,T.J. Henderson missed Three Point Jumper.,32,42
14:30,2413,Lamontray Harris Defensive Rebound.,32,42
14:22,85,Foul on D.J. McCall.,32,42
14:19,2413,Jordan Walker made Three Point Jumper. Assisted by Lamontray Harris.,35,42
14:06,85,Foul on Aaron Brennan.,35,42
14:06,85,Aaron Brennan Turnover.,35,42
13:49,2413,Lamontray Harris made Three Point Jumper. Assisted by De'Von Cooper.,38,42
13:33,85,D.J. McCall Turnover.,38,42
13:16,2413,Lamontray Harris missed Three Point Jumper.,38,42
13:13,85,Aaron Brennan Defensive Rebound.,38,42
12:46,85,Evan Hall missed Jumper.,38,42
12:45,2413,Adrian Hicks Defensive Rebound.,38,42
12:40,2413,Adrian Hicks made Layup.,40,42
12:34,85,Aaron Brennan made Layup. Assisted by Nick Rogers.,40,44
12:21,85,Foul on Nick Rogers.,40,44
12:04,2413,De'Von Cooper missed Three Point Jumper.,40,44
12:01,85,IUPUI Defensive Rebound.,40,44
12:01,2413,Foul on Alonzo Chatman.,40,44
11:43,85,Aaron Brennan missed Three Point Jumper.,40,44
11:41,2413,Alonzo Chatman Defensive Rebound.,40,44
11:36,85,Foul on D.J. McCall.,40,44
11:36,85,Official TV Timeout,40,44
11:36,2413,Adrian Hicks missed Free Throw.,40,44
11:36,85,Aaron Brennan Defensive Rebound.,40,44
11:20,2413,Foul on Lamontray Harris.,40,44
11:10,85,Evan Hall missed Layup.,40,44
11:10,2413,Malek Green Block.,40,44
11:10,2413,Malek Green Defensive Rebound.,40,44
10:53,2413,Lamontray Harris made Jumper.,42,44
10:28,85,Evan Hall missed Jumper.,42,44
10:27,2413,Malek Green Defensive Rebound.,42,44
10:18,85,Foul on Nick Rogers.,42,44
10:18,2413,Jordan Walker missed Free Throw.,42,44
10:18,85,Elyjah Goss Defensive Rebound.,42,44
9:59,85,Evan Hall made Layup. Assisted by Jaylen Minnett.,42,46
9:40,2413,Foul on De'Von Cooper.,42,46
9:40,2413,De'Von Cooper Turnover.,42,46
9:17,85,Ron Patterson missed Three Point Jumper.,42,46
9:15,2413,De'Von Cooper Defensive Rebound.,42,46
9:03,2413,Jordan Walker Turnover.,42,46
8:41,85,Jaylen Minnett made Three Point Jumper. Assisted by T.J. Henderson.,42,49
8:05,2413,Malek Green made Layup.,44,49
7:47,2413,Foul on Alonzo Chatman.,44,49
7:47,85,Official TV Timeout,44,49
7:47,85,Evan Hall missed Free Throw.,44,49
7:47,2413,Djimon Henson Defensive Rebound.,44,49
7:31,2413,Lamontray Harris made Jumper.,46,49
7:31,85,Foul on Evan Hall.,46,49
7:31,2413,Lamontray Harris made Free Throw.,47,49
7:04,85,Ron Patterson made Three Point Jumper.,47,52
6:43,2413,Adrian Hicks missed Jumper.,47,52
6:40,2413,Lamontray Harris Offensive Rebound.,47,52
6:31,2413,Djimon Henson missed Three Point Jumper.,47,52
6:29,85,T.J. Henderson Defensive Rebound.,47,52
6:24,85,Jaylen Minnett missed Three Point Jumper.,47,52
6:22,2413,Adrian Hicks Defensive Rebound.,47,52
6:17,85,Foul on Jaylen Minnett.,47,52
6:17,2413,Adrian Hicks made Free Throw.,48,52
6:17,2413,Adrian Hicks made Free Throw.,49,52
5:58,85,Elyjah Goss made Dunk. Assisted by Jaylen Minnett.,49,54
5:33,2413,Lamontray Harris made Jumper.,51,54
5:02,85,Aaron Brennan Turnover.,51,54
5:02,2413,Lamontray Harris Steal.,51,54
4:33,2413,Foul on Adrian Hicks.,51,54
4:33,2413,Adrian Hicks Turnover.,51,54
4:13,2413,Foul on Lamontray Harris.,51,54
4:13,85,T.J. Henderson made Free Throw.,51,55
4:13,85,T.J. Henderson made Free Throw.,51,56
3:52,2413,Jordan Walker missed Three Point Jumper.,51,56
3:50,85,Aaron Brennan Defensive Rebound.,51,56
3:18,2413,Foul on Jordan Walker.,51,56
3:18,85,Official TV Timeout,51,56
3:18,85,Jaylen Minnett made Free Throw.,51,57
3:18,85,Jaylen Minnett made Free Throw.,51,58
3:18,85,Jaylen Minnett made Free Throw.,51,59
3:03,85,Foul on Aaron Brennan.,51,59
3:03,2413,Jordan Walker missed Free Throw.,51,59
3:03,2413,Morehead State Deadball Team Rebound.,51,59
3:03,2413,Jordan Walker made Free Throw.,52,59
2:55,2413,Foul on Jordan Walker.,52,59
