Richmond,2132,Cincinnati,257
4:08,2132,Cincinnati Defensive Rebound.,8,36
4:08,257,Foul on Julius Johnson.,8,36
4:08,2132,Eliel Nsoseme missed Free Throw.,8,36
4:08,257,De'Monte Buckingham Defensive Rebound.,8,36
3:58,2132,Foul on Cane Broome.,8,36
3:58,2132,Official TV Timeout,8,36
3:58,257,Julius Johnson made Free Throw.,9,36
3:58,257,Julius Johnson missed Free Throw.,9,36
3:58,2132,Eliel Nsoseme Defensive Rebound.,9,36
3:49,2132,Jarron Cumberland missed Jumper.,9,36
3:49,257,Nathan Cayo Defensive Rebound.,9,36
3:15,257,Paul Friendshuh Turnover.,9,36
3:05,2132,Keith Williams missed Layup.,9,36
3:05,257,Jordan Madrid-Andrews Defensive Rebound.,9,36
2:41,257,Jacob Gilyard missed Three Point Jumper.,9,36
2:41,257,De'Monte Buckingham Offensive Rebound.,9,36
2:40,2132,Foul on Justin Jenifer.,9,36
2:40,257,De'Monte Buckingham missed Free Throw.,9,36
2:40,257,Richmond Deadball Team Rebound.,9,36
2:40,257,De'Monte Buckingham made Free Throw.,10,36
2:17,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,10,39
1:49,257,Foul on De'Monte Buckingham.,10,39
1:49,257,De'Monte Buckingham Turnover.,10,39
1:35,2132,Justin Jenifer Turnover.,10,39
1:14,257,Jacob Gilyard missed Layup.,10,39
1:14,2132,Trevor Moore Defensive Rebound.,10,39
1:01,257,Foul on Nathan Cayo.,10,39
1:01,2132,Tre Scott made Free Throw.,10,40
1:01,2132,Tre Scott missed Free Throw.,10,40
1:01,257,Jordan Madrid-Andrews Defensive Rebound.,10,40
0:40,257,De'Monte Buckingham made Three Point Jumper. Assisted by Nick Sherod.,13,40
0:10,2132,Jarron Cumberland missed Three Point Jumper.,13,40
0:10,257,Richmond Defensive Rebound.,13,40
0:03,2132,Foul on Jacob Evans.,13,40
0:03,257,Khwan Fore made Free Throw.,14,40
0:03,257,Khwan Fore missed Free Throw.,14,40
0:03,2132,Tre Scott Defensive Rebound.,14,40
0:00,2132,End of 1st half,14,40
19:34,257,De'Monte Buckingham missed Three Point Jumper.,14,40
19:34,2132,Gary Clark Defensive Rebound.,14,40
19:13,2132,Jacob Evans missed Three Point Jumper.,14,40
19:13,2132,Jarron Cumberland Offensive Rebound.,14,40
19:06,2132,Foul on Justin Jenifer.,14,40
19:06,2132,Justin Jenifer Turnover.,14,40
18:43,257,Nick Sherod missed Jumper.,14,40
18:43,2132,Gary Clark Defensive Rebound.,14,40
18:28,2132,Gary Clark missed Layup.,14,40
18:28,257,Solly Stansbury Defensive Rebound.,14,40
18:19,257,Nick Sherod missed Layup.,14,40
18:19,2132,Jarron Cumberland Block.,14,40
18:16,2132,Gary Clark Defensive Rebound.,14,40
18:01,2132,Jacob Evans made Three Point Jumper. Assisted by Cane Broome.,14,43
17:44,257,Grant Golden made Layup.,16,43
17:22,2132,Cane Broome made Jumper.,16,45
17:12,257,De'Monte Buckingham missed Jumper.,16,45
17:12,2132,Jarron Cumberland Defensive Rebound.,16,45
16:48,2132,Gary Clark Turnover.,16,45
16:47,257,Solly Stansbury Steal.,16,45
16:45,2132,Foul on Gary Clark.,16,45
16:38,257,Jacob Gilyard made Layup. Assisted by De'Monte Buckingham.,18,45
16:18,2132,Jacob Evans missed Three Point Jumper.,18,45
16:18,257,Khwan Fore Defensive Rebound.,18,45
15:55,257,Grant Golden missed Three Point Jumper.,18,45
15:55,2132,Jarron Cumberland Defensive Rebound.,18,45
15:28,2132,Nysier Brooks Turnover.,18,45
15:27,257,Jacob Gilyard Steal.,18,45
15:24,257,Jacob Gilyard missed Layup.,18,45
15:24,2132,Jacob Evans Block.,18,45
15:23,2132,Cane Broome Defensive Rebound.,18,45
15:17,2132,Jarron Cumberland missed Three Point Jumper.,18,45
15:17,257,Grant Golden Defensive Rebound.,18,45
15:06,257,Grant Golden Turnover.,18,45
15:05,2132,Jarron Cumberland Steal.,18,45
14:45,2132,Jacob Evans made Dunk. Assisted by Gary Clark.,18,47
14:33,257,Khwan Fore Turnover.,18,47
14:33,2132,Official TV Timeout,18,47
14:08,2132,Kyle Washington made Jumper.,18,49
13:52,257,Nathan Cayo made Jumper.,20,49
13:39,2132,Cane Broome Turnover.,20,49
13:38,257,Jacob Gilyard Steal.,20,49
13:35,257,Jacob Gilyard missed Layup.,20,49
13:35,2132,Trevor Moore Defensive Rebound.,20,49
13:21,257,Foul on Nathan Cayo.,20,49
13:08,2132,Kyle Washington Turnover.,20,49
13:07,257,Julius Johnson Steal.,20,49
12:44,257,Grant Golden missed Layup.,20,49
12:44,2132,Cane Broome Defensive Rebound.,20,49
12:32,2132,Kyle Washington made Jumper. Assisted by Trevor Moore.,20,51
12:03,257,Julius Johnson made Three Point Jumper. Assisted by Khwan Fore.,23,51
11:38,2132,Trevor Moore missed Three Point Jumper.,23,51
11:38,257,Richmond Defensive Rebound.,23,51
11:35,2132,Foul on Tre Scott.,23,51
11:35,2132,Official TV Timeout,23,51
11:18,257,Julius Johnson Turnover.,23,51
11:17,2132,Kyle Washington Steal.,23,51
11:06,257,Foul on Julius Johnson.,23,51
10:53,257,Foul on Khwan Fore.,23,51
10:53,2132,Keith Williams made Free Throw.,23,52
10:53,2132,Keith Williams missed Free Throw.,23,52
10:53,257,De'Monte Buckingham Defensive Rebound.,23,52
10:37,2132,Foul on Tre Scott.,23,52
10:31,257,Grant Golden made Layup.,25,52
10:23,2132,Cane Broome Turnover.,25,52
10:04,257,Khwan Fore Turnover.,25,52
10:04,2132,Keith Williams Steal.,25,52
10:04,257,Foul on Khwan Fore.,25,52
9:52,2132,Kyle Washington Turnover.,25,52
9:52,257,Julius Johnson Steal.,25,52
9:35,257,Julius Johnson missed Three Point Jumper.,25,52
9:35,2132,Trevor Moore Defensive Rebound.,25,52
9:15,2132,Tre Scott Turnover.,25,52
8:52,257,Nick Sherod made Layup. Assisted by Julius Johnson.,27,52
8:44,2132,Keith Williams missed Layup.,27,52
8:44,2132,Trevor Moore Offensive Rebound.,27,52
8:40,257,Foul on Grant Golden.,27,52
8:24,2132,Trevor Moore made Three Point Jumper. Assisted by Gary Clark.,27,55
8:08,257,Julius Johnson Turnover.,27,55
