Eastern Washington,2547,Seattle,331
3:42,2547,Aaron Menzies Offensive Rebound.,31,24
3:32,2547,Malik Montoya missed Three Point Jumper.,31,24
3:32,331,Sir Washington Defensive Rebound.,31,24
3:18,2547,Foul on Malik Montoya.,31,24
3:08,331,Jesse Hunt Turnover.,31,24
3:08,2547,Brendan Westendorf Steal.,31,24
3:05,331,Foul on Jesse Hunt.,31,24
3:05,2547,Brendan Westendorf made Free Throw.,31,25
3:05,2547,Brendan Westendorf made Free Throw.,31,26
2:40,2547,Foul on Zack Moore.,31,26
2:38,331,Felix Von Hofe missed Three Point Jumper.,31,26
2:38,331,Eastern Washington Offensive Rebound.,31,26
2:28,331,Sir Washington missed Layup.,31,26
2:28,2547,Emmanuel Chibuogwu Defensive Rebound.,31,26
2:12,2547,Aaron Menzies missed Jumper.,31,26
2:12,2547,Aaron Menzies Offensive Rebound.,31,26
2:11,2547,Aaron Menzies made Jumper.,31,28
1:52,331,Felix Von Hofe missed Three Point Jumper.,31,28
1:52,2547,Aaron Menzies Defensive Rebound.,31,28
1:39,2547,Brendan Westendorf made Jumper.,31,30
1:19,2547,Aaron Menzies Block.,31,30
1:19,331,Jacob Wiley missed Jumper.,31,30
1:19,2547,Brendan Westendorf Defensive Rebound.,31,30
0:56,2547,Brendan Westendorf missed Jumper.,31,30
0:56,2547,Brendan Westendorf Offensive Rebound.,31,30
0:52,2547,Emmanuel Chibuogwu missed Three Point Jumper.,31,30
0:52,2547,Malik Montoya Offensive Rebound.,31,30
0:43,2547,William Powell made Layup. Assisted by Malik Montoya.,31,32
0:43,331,Foul on Sir Washington.,31,32
0:43,2547,William Powell made Free Throw.,31,33
0:21,331,Felix Von Hofe missed Three Point Jumper.,31,33
0:21,331,Sir Washington Offensive Rebound.,31,33
0:17,331,Sir Washington missed Two Point Tip Shot.,31,33
0:17,2547,Malik Montoya Defensive Rebound.,31,33
0:04,2547,Brendan Westendorf missed Jumper.,31,33
0:04,331,Felix Von Hofe Defensive Rebound.,31,33
0:00,2547,End of 1st half,31,33
19:28,331,Bogdan Bliznyuk missed Jumper.,31,33
19:28,2547,Aaron Menzies Defensive Rebound.,31,33
19:16,2547,Brendan Westendorf missed Three Point Jumper.,31,33
19:16,331,Luka Vulikic Defensive Rebound.,31,33
19:07,331,Felix Von Hofe missed Three Point Jumper.,31,33
19:07,331,Jacob Wiley Offensive Rebound.,31,33
19:03,331,Jacob Wiley missed Jumper.,31,33
19:03,2547,Aaron Menzies Defensive Rebound.,31,33
18:42,2547,Morgan Means Turnover.,31,33
18:41,331,Cody Benzel Steal.,31,33
18:29,331,Cody Benzel missed Three Point Jumper.,31,33
18:29,2547,Aaron Menzies Defensive Rebound.,31,33
18:01,2547,Aaron Menzies made Layup. Assisted by Emmanuel Chibuogwu.,31,35
18:01,331,Foul on Cody Benzel.,31,35
18:01,2547,Aaron Menzies missed Free Throw.,31,35
18:01,331,Bogdan Bliznyuk Defensive Rebound.,31,35
17:45,331,Bogdan Bliznyuk missed Jumper.,31,35
17:45,2547,William Powell Defensive Rebound.,31,35
17:24,2547,Aaron Menzies Turnover.,31,35
17:22,331,Jacob Wiley Steal.,31,35
17:08,331,Felix Von Hofe missed Jumper.,31,35
17:08,2547,Emmanuel Chibuogwu Defensive Rebound.,31,35
16:49,2547,Aaron Menzies missed Jumper.,31,35
16:49,331,Luka Vulikic Defensive Rebound.,31,35
16:34,331,Cody Benzel missed Three Point Jumper.,31,35
16:34,2547,Emmanuel Chibuogwu Defensive Rebound.,31,35
16:18,2547,William Powell missed Jumper.,31,35
16:18,331,Jacob Wiley Block.,31,35
16:16,331,Bogdan Bliznyuk Defensive Rebound.,31,35
16:07,331,Cody Benzel missed Three Point Jumper.,31,35
16:06,2547,Seattle Deadball Team Rebound.,31,35
16:06,331,Foul on Jacob Wiley.,31,35
15:55,2547,Morgan Means made Three Point Jumper. Assisted by Brendan Westendorf.,31,38
15:34,331,Bogdan Bliznyuk made Jumper.,33,38
15:17,2547,Brendan Westendorf made Jumper.,33,40
14:49,331,Bogdan Bliznyuk missed Jumper.,33,40
14:49,2547,William Powell Defensive Rebound.,33,40
14:42,2547,William Powell made Layup.,33,42
14:11,331,Felix Von Hofe missed Three Point Jumper.,33,42
14:11,2547,William Powell Defensive Rebound.,33,42
14:00,2547,Brendan Westendorf made Layup.,33,44
14:00,331,Foul on Ty Gibson.,33,44
14:00,2547,Official TV Timeout,33,44
14:00,2547,Brendan Westendorf made Free Throw.,33,45
13:36,331,Bogdan Bliznyuk missed Jumper.,33,45
13:36,2547,Emmanuel Chibuogwu Defensive Rebound.,33,45
13:21,2547,Malik Montoya missed Three Point Jumper.,33,45
13:21,331,Bogdan Bliznyuk Defensive Rebound.,33,45
12:46,331,Bogdan Bliznyuk missed Three Point Jumper.,33,45
12:46,2547,Morgan Means Defensive Rebound.,33,45
12:25,2547,Brendan Westendorf made Jumper.,33,47
12:19,331,Eastern Washington  Timeout,33,47
11:54,331,Mario Soto missed Jumper.,33,47
11:54,2547,William Powell Defensive Rebound.,33,47
11:23,2547,Malik Montoya missed Three Point Jumper.,33,47
11:23,2547,William Powell Offensive Rebound.,33,47
11:07,2547,Morgan Means missed Three Point Jumper.,33,47
