Sam Houston State,2635,Tennessee Tech,2534
7:19,2635,Mason Ramsey made Layup. Assisted by Stephaun Adams.,32,16
7:07,2534,Dakarai Henderson missed Jumper.,32,16
7:07,2635,Stephaun Adams Defensive Rebound.,32,16
6:51,2635,Stephaun Adams Turnover.,32,16
6:50,2534,Phillip Jones Jr. Steal.,32,16
6:46,2534,Paul Baxter made Layup. Assisted by John Dewey III.,34,16
6:29,2635,Stephaun Adams missed Three Point Jumper.,34,16
6:29,2635,Tennessee Tech Offensive Rebound.,34,16
6:22,2635,Foul on Mason Ramsey.,34,16
6:22,2635,Mason Ramsey Turnover.,34,16
6:03,2534,John Dewey III missed Jumper.,34,16
6:03,2534,Albert Almanza Offensive Rebound.,34,16
6:01,2534,Albert Almanza made Layup.,36,16
5:37,2635,Mason Ramsey missed Layup.,36,16
5:37,2635,Mason Ramsey Offensive Rebound.,36,16
5:30,2635,Stephaun Adams made Three Point Jumper. Assisted by Savonte Frazier.,36,19
5:06,2534,Albert Almanza missed Layup.,36,19
5:06,2635,JaCardo Hawkins Block.,36,19
5:05,2635,JaCardo Hawkins Defensive Rebound.,36,19
4:57,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Stephaun Adams.,36,22
4:41,2534,Paul Baxter Turnover.,36,22
4:39,2635,Mason Ramsey Steal.,36,22
4:29,2635,Aleksa Jugovic Turnover.,36,22
4:28,2534,John Dewey III Steal.,36,22
4:24,2534,John Dewey III Turnover.,36,22
4:08,2635,Mason Ramsey Turnover.,36,22
3:53,2534,Jamal Williams made Jumper. Assisted by Jovante' Spivey.,38,22
3:35,2635,Stephaun Adams made Layup.,38,24
3:15,2534,John Dewey III made Jumper.,40,24
2:46,2635,JaCardo Hawkins missed Three Point Jumper.,40,24
2:46,2534,Jovante' Spivey Defensive Rebound.,40,24
2:38,2534,Jovante' Spivey missed Three Point Jumper.,40,24
2:38,2635,JaCardo Hawkins Defensive Rebound.,40,24
2:28,2635,Savonte Frazier Turnover.,40,24
2:27,2534,Dakarai Henderson Steal.,40,24
2:27,2534,Dakarai Henderson Turnover.,40,24
2:27,2635,Official TV Timeout,40,24
2:26,2534,Foul on John Dewey III.,40,24
2:26,2635,Kajon Mack made Free Throw.,40,25
2:26,2635,Kajon Mack made Free Throw.,40,26
2:03,2534,Jovante' Spivey made Layup. Assisted by Christopher Galbreath Jr..,42,26
1:31,2534,Foul on Jamal Williams.,42,26
1:31,2635,Kajon Mack made Free Throw.,42,27
1:31,2635,Kajon Mack made Free Throw.,42,28
1:07,2534,Dakarai Henderson missed Three Point Jumper.,42,28
1:07,2635,Aleksa Jugovic Defensive Rebound.,42,28
0:52,2635,Hakeem Rogers missed Layup.,42,28
0:52,2534,Christopher Galbreath Jr. Defensive Rebound.,42,28
0:45,2635,Foul on Courtney Alexander II.,42,28
0:45,2635,Courtney Alexander II Turnover.,42,28
0:45,2534,Paul Baxter made Free Throw.,43,28
0:45,2534,Paul Baxter made Free Throw.,44,28
0:32,2635,Kajon Mack made Jumper.,44,30
0:04,2635,Foul on Micaiah Henry.,44,30
0:04,2534,Paul Baxter missed Free Throw.,44,30
0:04,2534,Sam Houston St Deadball Team Rebound.,44,30
0:04,2534,Paul Baxter missed Free Throw.,44,30
0:04,2635,Courtney Alexander II Defensive Rebound.,44,30
0:00,2635,End of 1st half,44,30
19:52,2635,Kajon Mack Turnover.,44,30
19:51,2534,Paul Baxter Steal.,44,30
19:37,2534,Dakarai Henderson missed Jumper.,44,30
19:37,2534,Aurimas Majauskas Offensive Rebound.,44,30
19:32,2534,Aurimas Majauskas Turnover.,44,30
19:31,2635,Kajon Mack Steal.,44,30
19:26,2635,Markell Henderson missed Three Point Jumper.,44,30
19:26,2635,Mason Ramsey Offensive Rebound.,44,30
19:23,2635,Courtney Alexander II made Dunk. Assisted by Mason Ramsey.,44,32
18:59,2534,Paul Baxter missed Three Point Jumper.,44,32
18:59,2534,Sam Houston St Offensive Rebound.,44,32
18:53,2534,John Dewey III Turnover.,44,32
18:32,2635,Kajon Mack made Three Point Jumper. Assisted by Aleksa Jugovic.,44,35
18:23,2534,Torry Butler Turnover.,44,35
18:23,2534,Foul on Torry Butler.,44,35
18:23,2534,Sam Houston St  Timeout,44,35
18:23,2635,Official TV Timeout,44,35
18:04,2534,Foul on Aurimas Majauskas.,44,35
17:48,2635,Markell Henderson made Layup.,44,37
17:39,2534,Aurimas Majauskas missed Layup.,44,37
17:39,2635,Markell Henderson Block.,44,37
17:38,2534,Sam Houston St Offensive Rebound.,44,37
17:26,2534,John Dewey III missed Three Point Jumper.,44,37
17:26,2635,Markell Henderson Defensive Rebound.,44,37
17:12,2635,Markell Henderson missed Layup.,44,37
17:12,2534,Torry Butler Defensive Rebound.,44,37
17:03,2534,Aurimas Majauskas made Layup. Assisted by John Dewey III.,46,37
17:03,2635,Foul on Markell Henderson.,46,37
17:03,2534,Aurimas Majauskas missed Free Throw.,46,37
17:03,2635,Courtney Alexander II Defensive Rebound.,46,37
16:49,2635,Courtney Alexander II missed Layup.,46,37
16:49,2534,Torry Butler Defensive Rebound.,46,37
16:43,2534,Dakarai Henderson missed Layup.,46,37
16:43,2635,Courtney Alexander II Block.,46,37
16:42,2635,Aleksa Jugovic Defensive Rebound.,46,37
16:24,2635,Aleksa Jugovic missed Three Point Jumper.,46,37
16:24,2534,John Dewey III Defensive Rebound.,46,37
16:15,2534,Torry Butler made Layup. Assisted by John Dewey III.,48,37
15:54,2635,Aleksa Jugovic missed Three Point Jumper.,48,37
15:54,2534,Sam Houston St Defensive Rebound.,48,37
15:52,2635,Official TV Timeout,48,37
15:38,2635,Foul on Mason Ramsey.,48,37
15:30,2534,Dakarai Henderson made Three Point Jumper. Assisted by John Dewey III.,51,37
15:04,2635,Micaiah Henry Turnover.,51,37
14:53,2635,Foul on Kajon Mack.,51,37
14:35,2534,Christopher Galbreath Jr. made Layup. Assisted by John Dewey III.,53,37
14:35,2635,Foul on Micaiah Henry.,53,37
14:35,2534,Christopher Galbreath Jr. made Free Throw.,54,37
14:27,2635,Mason Ramsey missed Layup.,54,37
14:27,2534,Phillip Jones Jr. Block.,54,37
14:26,2635,Markell Henderson Offensive Rebound.,54,37
14:24,2635,Markell Henderson missed Three Point Jumper.,54,37
14:24,2534,Christopher Galbreath Jr. Defensive Rebound.,54,37
14:18,2635,Foul on Kajon Mack.,54,37
14:18,2534,John Dewey III missed Free Throw.,54,37
14:18,2534,Sam Houston St Deadball Team Rebound.,54,37
14:18,2534,John Dewey III made Free Throw.,55,37
14:02,2635,Kajon Mack missed Three Point Jumper.,55,37
14:02,2534,Paul Baxter Defensive Rebound.,55,37
13:52,2635,Foul on JaCardo Hawkins.,55,37
13:52,2534,Jovante' Spivey made Free Throw.,56,37
13:52,2534,Jovante' Spivey made Free Throw.,57,37
13:32,2635,Aleksa Jugovic missed Three Point Jumper.,57,37
13:32,2534,Jovante' Spivey Defensive Rebound.,57,37
13:22,2534,Phillip Jones Jr. Turnover.,57,37
13:21,2635,Stephaun Adams Steal.,57,37
13:14,2635,Kajon Mack missed Three Point Jumper.,57,37
13:14,2635,JaCardo Hawkins Offensive Rebound.,57,37
13:12,2635,JaCardo Hawkins missed Two Point Tip Shot.,57,37
13:12,2534,Phillip Jones Jr. Defensive Rebound.,57,37
12:53,2534,Phillip Jones Jr. missed Layup.,57,37
12:53,2635,JaCardo Hawkins Block.,57,37
12:51,2635,Kajon Mack Defensive Rebound.,57,37
12:39,2635,Mason Ramsey missed Three Point Jumper.,57,37
12:39,2635,Stephaun Adams Offensive Rebound.,57,37
12:31,2635,Kajon Mack missed Jumper.,57,37
12:31,2635,JaCardo Hawkins Offensive Rebound.,57,37
12:30,2534,Foul on Jamal Williams.,57,37
12:19,2534,Foul on Christopher Galbreath Jr..,57,37
12:17,2635,Aleksa Jugovic made Jumper. Assisted by Kajon Mack.,57,39
11:57,2534,Christopher Galbreath Jr. Turnover.,57,39
11:57,2635,Official TV Timeout,57,39
11:56,2635,JaCardo Hawkins Turnover.,57,39
11:49,2534,Jamal Williams Turnover.,57,39
11:48,2635,Aleksa Jugovic Steal.,57,39
11:42,2635,Aleksa Jugovic Turnover.,57,39
11:30,2534,Cameron Delaney Turnover.,57,39
