Lafayette,2597,St. Francis (BKN),322
4:40,2597,St. Francis BKN  Timeout,25,26
4:22,322,Foul on Lukas Jarrett.,25,26
4:20,2597,Keon Williams missed Three Point Jumper.,25,26
4:20,2597,Gunnar Olafsson Offensive Rebound.,25,26
4:16,2597,Gunnar Olafsson missed Layup.,25,26
4:16,322,Matt Klinewski Block.,25,26
4:15,322,Lukas Jarrett Defensive Rebound.,25,26
4:05,2597,Foul on Jagos Lasic.,25,26
4:05,322,Matt Klinewski made Free Throw.,26,26
4:05,322,Matt Klinewski made Free Throw.,27,26
3:44,322,Foul on Lukas Jarrett.,27,26
3:44,2597,Official TV Timeout,27,26
3:44,2597,Keon Williams missed Free Throw.,27,26
3:44,2597,St. Francis BKN Deadball Team Rebound.,27,26
3:44,2597,Keon Williams missed Free Throw.,27,26
3:44,322,Paulius Zalys Defensive Rebound.,27,26
3:31,322,Kyle Stout made Layup. Assisted by Nick Lindner.,29,26
3:13,2597,Rasheem Dunn missed Three Point Jumper.,29,26
3:13,322,Paulius Zalys Defensive Rebound.,29,26
3:06,322,Kyle Stout made Three Point Jumper. Assisted by Nick Lindner.,32,26
2:37,2597,Gunnar Olafsson made Three Point Jumper. Assisted by Glenn Sanabria.,32,29
2:15,322,Hunter Janacek missed Three Point Jumper.,32,29
2:15,2597,Gunnar Olafsson Defensive Rebound.,32,29
2:09,2597,Rasheem Dunn missed Free Throw.,32,29
2:09,2597,St. Francis BKN Deadball Team Rebound.,32,29
2:09,2597,Rasheem Dunn made Free Throw.,32,30
2:08,322,Foul on Kyle Stout.,32,30
1:58,322,Matt Klinewski made Layup. Assisted by Kyle Stout.,34,30
1:37,2597,Joshua Nurse missed Jumper.,34,30
1:37,2597,Joshua Nurse Offensive Rebound.,34,30
1:36,2597,Joshua Nurse made Jumper.,34,32
1:36,322,Foul on Matt Klinewski.,34,32
1:36,2597,Joshua Nurse missed Free Throw.,34,32
1:36,322,Matt Klinewski Defensive Rebound.,34,32
1:23,322,Kyle Stout Turnover.,34,32
1:23,2597,Darelle Porter Steal.,34,32
1:13,2597,Darelle Porter missed Jumper.,34,32
1:13,322,Hunter Janacek Defensive Rebound.,34,32
1:13,2597,Foul on Joshua Nurse.,34,32
1:13,322,Hunter Janacek made Free Throw.,35,32
1:13,322,Hunter Janacek made Free Throw.,36,32
0:48,2597,Glenn Sanabria made Three Point Jumper.,36,35
0:42,322,Lafayette  Timeout,36,35
0:36,322,Nick Lindner made Layup.,38,35
0:07,2597,Darelle Porter missed Jumper.,38,35
0:07,322,Nick Lindner Defensive Rebound.,38,35
0:04,322,Nick Lindner Turnover.,38,35
0:03,2597,Rasheem Dunn Steal.,38,35
0:00,2597,Rasheem Dunn missed Three Point Jumper.,38,35
0:00,322,Lafayette Defensive Rebound.,38,35
0:00,2597,End of 1st half,38,35
19:43,322,Matt Klinewski missed Jumper.,38,35
19:43,2597,Keon Williams Defensive Rebound.,38,35
19:37,2597,Yunus Hopkinson missed Three Point Jumper.,38,35
19:37,2597,Keon Williams Offensive Rebound.,38,35
19:24,2597,Gunnar Olafsson missed Three Point Jumper.,38,35
19:24,322,Nick Lindner Defensive Rebound.,38,35
19:16,322,Kyle Stout made Three Point Jumper. Assisted by Eric Stafford.,41,35
18:45,2597,Glenn Sanabria made Three Point Jumper.,41,38
18:32,322,Paulius Zalys Turnover.,41,38
18:31,2597,Glenn Sanabria Steal.,41,38
18:31,322,Foul on Paulius Zalys.,41,38
18:17,2597,Glenn Sanabria missed Three Point Jumper.,41,38
18:17,2597,Keon Williams Offensive Rebound.,41,38
18:02,2597,Jagos Lasic missed Jumper.,41,38
18:02,322,Paulius Zalys Defensive Rebound.,41,38
17:55,322,Kyle Stout missed Three Point Jumper.,41,38
17:55,2597,Yunus Hopkinson Defensive Rebound.,41,38
17:34,2597,Jagos Lasic made Layup. Assisted by Glenn Sanabria.,41,40
17:17,322,Kyle Stout made Layup. Assisted by Myles Cherry.,43,40
16:57,2597,Gunnar Olafsson missed Layup.,43,40
16:57,322,Myles Cherry Block.,43,40
16:55,2597,Gunnar Olafsson Offensive Rebound.,43,40
16:54,2597,Gunnar Olafsson made Layup.,43,42
16:54,322,Foul on Eric Stafford.,43,42
16:54,2597,Gunnar Olafsson missed Free Throw.,43,42
16:54,322,Matt Klinewski Defensive Rebound.,43,42
16:31,322,Matt Klinewski made Layup.,45,42
16:12,2597,Jagos Lasic Turnover.,45,42
16:12,2597,Foul on Jagos Lasic.,45,42
16:00,322,Matt Klinewski made Jumper. Assisted by Nick Lindner.,47,42
15:32,2597,Yunus Hopkinson missed Layup.,47,42
15:32,322,Matt Klinewski Block.,47,42
15:31,322,Nick Lindner Defensive Rebound.,47,42
15:24,322,Kyle Stout Turnover.,47,42
15:23,2597,Rasheem Dunn Steal.,47,42
