Rutgers,135,Minnesota,164
16:01,164,Deshawn Freeman Defensive Rebound.,7,6
15:41,164,Deshawn Freeman Turnover.,7,6
15:41,135,Nate Mason Steal.,7,6
15:38,135,Official TV Timeout,7,6
15:38,164,Foul on Corey Sanders.,7,6
15:38,135,Nate Mason made Free Throw.,7,7
15:38,135,Nate Mason missed Free Throw.,7,7
15:38,164,Deshawn Freeman Defensive Rebound.,7,7
15:24,164,Deshawn Freeman missed Jumper.,7,7
15:22,135,Jordan Murphy Defensive Rebound.,7,7
15:17,135,Nate Mason made Three Point Jumper.,7,10
15:01,164,Issa Thiam made Three Point Jumper. Assisted by Corey Sanders.,10,10
14:43,135,Jordan Murphy made Layup. Assisted by Nate Mason.,10,12
14:30,164,Geo Baker missed Three Point Jumper.,10,12
14:27,135,Jordan Murphy Defensive Rebound.,10,12
14:23,135,Dupree McBrayer missed Jumper.,10,12
14:21,164,Deshawn Freeman Defensive Rebound.,10,12
14:10,164,Issa Thiam missed Three Point Jumper.,10,12
14:08,135,Bakary Konate Defensive Rebound.,10,12
14:01,164,Foul on Deshawn Freeman.,10,12
14:01,135,Jordan Murphy made Free Throw.,10,13
14:01,135,Jordan Murphy made Free Throw.,10,14
13:56,164,Corey Sanders Turnover.,10,14
13:39,135,Bakary Konate made Dunk. Assisted by Amir Coffey.,10,16
13:20,164,Eugene Omoruyi made Jumper.,12,16
13:01,164,Foul on Geo Baker.,12,16
13:01,135,Minnesota Deadball Team Rebound.,12,16
13:01,135,Davonte Fitzgerald missed Free Throw.,12,16
13:01,135,Davonte Fitzgerald missed Free Throw.,12,16
12:58,164,Rutgers Defensive Rebound.,12,16
12:36,164,Eugene Omoruyi made Jumper.,14,16
12:23,135,Nate Mason made Jumper. Assisted by Amir Coffey.,14,18
12:03,164,Eugene Omoruyi made Layup. Assisted by Corey Sanders.,16,18
11:38,135,Amir Coffey Turnover.,16,18
11:38,135,Official TV Timeout,16,18
11:13,164,Eugene Omoruyi missed Jumper.,16,18
11:11,135,Isaiah Washington Defensive Rebound.,16,18
11:06,164,Foul on Mamadou Doucoure.,16,18
11:06,135,Jordan Murphy made Free Throw.,16,19
11:06,135,Jordan Murphy made Free Throw.,16,20
10:58,135,Foul on Dupree McBrayer.,16,20
10:58,164,Geo Baker made Free Throw.,17,20
10:58,164,Geo Baker made Free Throw.,18,20
10:55,135,Jordan Murphy missed Jumper.,18,20
10:54,164,Corey Sanders Defensive Rebound.,18,20
10:49,164,Corey Sanders missed Jumper.,18,20
10:49,135,Dupree McBrayer Block.,18,20
10:48,164,Mamadou Doucoure Offensive Rebound.,18,20
10:34,164,Mamadou Doucoure missed Jumper.,18,20
10:34,135,Reggie Lynch Block.,18,20
10:33,135,Dupree McBrayer Defensive Rebound.,18,20
10:25,135,Dupree McBrayer missed Jumper.,18,20
10:24,164,Mamadou Doucoure Defensive Rebound.,18,20
10:14,164,Eugene Omoruyi missed Jumper.,18,20
10:12,164,Mike Williams Offensive Rebound.,18,20
10:11,164,Mike Williams missed Jumper.,18,20
10:07,135,Jordan Murphy Defensive Rebound.,18,20
9:57,164,Foul on Souf Mensah.,18,20
9:57,135,Minnesota Deadball Team Rebound.,18,20
9:57,135,Dupree McBrayer missed Free Throw.,18,20
9:57,135,Dupree McBrayer made Free Throw.,18,21
9:47,164,Corey Sanders missed Jumper.,18,21
9:44,135,Jordan Murphy Defensive Rebound.,18,21
9:32,135,Isaiah Washington Turnover.,18,21
9:32,164,Issa Thiam Steal.,18,21
9:24,135,Foul on Isaiah Washington.,18,21
9:21,164,Foul on Issa Thiam.,18,21
9:21,164,Issa Thiam Turnover.,18,21
9:07,135,Dupree McBrayer missed Jumper.,18,21
9:06,135,Jordan Murphy Offensive Rebound.,18,21
9:06,135,Jordan Murphy missed Jumper.,18,21
9:05,135,Jordan Murphy made Free Throw.,18,22
9:05,135,Jordan Murphy made Free Throw.,18,23
9:05,135,Jordan Murphy made Free Throw.,18,23
9:05,164,Foul on Eugene Omoruyi.,18,21
9:05,135,Jordan Murphy made Free Throw.,18,22
9:05,135,Jordan Murphy Offensive Rebound.,18,23
8:48,164,Geo Baker missed Three Point Jumper.,18,23
8:45,135,Michael Hurt Defensive Rebound.,18,23
8:39,135,Jordan Murphy missed Three Point Jumper.,18,23
8:35,164,Issa Thiam Defensive Rebound.,18,23
8:20,164,Eugene Omoruyi missed Jumper.,18,23
8:20,135,Reggie Lynch Block.,18,23
8:20,164,Rutgers Offensive Rebound.,18,23
8:17,164,Corey Sanders missed Jumper.,18,23
8:15,135,Reggie Lynch Defensive Rebound.,18,23
8:11,135,Dupree McBrayer missed Three Point Jumper.,18,23
8:08,164,Issa Thiam Defensive Rebound.,18,23
7:59,164,Eugene Omoruyi made Jumper.,20,23
7:40,135,Reggie Lynch made Dunk. Assisted by Dupree McBrayer.,20,25
7:28,135,Official TV Timeout,20,25
7:28,135,Foul on Reggie Lynch.,20,25
7:28,164,Rutgers Deadball Team Rebound.,20,25
7:28,164,Geo Baker missed Free Throw.,20,25
7:28,164,Geo Baker made Free Throw.,21,25
7:00,135,Jordan Murphy missed Jumper.,21,25
6:58,164,Eugene Omoruyi Defensive Rebound.,21,25
6:51,164,Issa Thiam missed Three Point Jumper.,21,25
6:49,135,Reggie Lynch Defensive Rebound.,21,25
6:39,135,Dupree McBrayer missed Jumper.,21,25
6:37,135,Reggie Lynch Offensive Rebound.,21,25
6:37,135,Reggie Lynch made Two Point Tip Shot.,21,27
6:17,164,Eugene Omoruyi missed Jumper.,21,27
6:17,135,Reggie Lynch Block.,21,27
6:14,135,Jordan Murphy Defensive Rebound.,21,27
6:10,135,Michael Hurt made Layup. Assisted by Nate Mason.,21,29
6:08,164,Rutgers  Timeout,21,29
5:42,164,Corey Sanders missed Three Point Jumper.,21,29
5:40,135,Michael Hurt Defensive Rebound.,21,29
5:34,135,Jordan Murphy Turnover.,21,29
5:24,164,Corey Sanders Turnover.,21,29
5:09,135,Jordan Murphy made Dunk. Assisted by Nate Mason.,21,31
4:51,164,Mike Williams missed Three Point Jumper.,21,31
4:49,135,Jordan Murphy Defensive Rebound.,21,31
4:47,135,Jordan Murphy Turnover.,21,31
4:47,164,Deshawn Freeman Steal.,21,31
4:46,164,Deshawn Freeman made Free Throw.,22,31
4:46,164,Deshawn Freeman made Free Throw.,23,31
4:46,164,Deshawn Freeman made Free Throw.,23,31
4:46,135,Foul on Jordan Murphy.,21,31
4:46,164,Deshawn Freeman made Free Throw.,22,31
4:28,135,Foul on Jordan Murphy.,23,31
4:28,135,Jordan Murphy Turnover.,23,31
4:13,164,Deshawn Freeman missed Jumper.,23,31
4:11,135,Amir Coffey Defensive Rebound.,23,31
4:11,135,Amir Coffey made Free Throw.,23,32
4:11,135,Amir Coffey made Free Throw.,23,33
4:11,164,Foul on Corey Sanders.,23,31
4:11,135,Amir Coffey made Free Throw.,23,32
4:11,135,Amir Coffey made Free Throw.,23,33
4:02,164,Corey Sanders missed Jumper.,23,33
4:02,135,Reggie Lynch Block.,23,33
4:01,164,Rutgers Offensive Rebound.,23,33
3:46,164,Corey Sanders made Layup.,25,33
3:39,135,Davonte Fitzgerald Turnover.,25,33
3:39,164,Deshawn Freeman Steal.,25,33
3:37,164,Deshawn Freeman missed Jumper.,25,33
3:36,164,Deshawn Freeman Offensive Rebound.,25,33
3:36,164,Deshawn Freeman made Layup.,27,33
3:32,135,Minnesota  Timeout,27,33
3:18,135,Amir Coffey made Jumper. Assisted by Jamir Harris.,27,35
3:12,135,Foul on Nate Mason.,27,35
3:12,164,Corey Sanders made Free Throw.,28,35
3:12,164,Corey Sanders missed Free Throw.,28,35
3:12,135,Davonte Fitzgerald Defensive Rebound.,28,35
3:00,135,Nate Mason made Three Point Jumper. Assisted by Jamir Harris.,28,38
3:00,164,Foul on Corey Sanders.,28,38
3:00,135,Nate Mason made Free Throw.,28,39
2:44,164,Mamadou Doucoure made Free Throw.,29,39
2:44,164,Mamadou Doucoure made Free Throw.,30,39
2:44,135,Foul on Davonte Fitzgerald.,28,39
2:44,164,Mamadou Doucoure made Free Throw.,29,39
2:44,164,Mamadou Doucoure made Free Throw.,30,39
2:27,135,Jamir Harris missed Three Point Jumper.,30,39
2:24,164,Rutgers Defensive Rebound.,30,39
2:03,164,Mike Williams made Three Point Jumper. Assisted by Geo Baker.,33,39
1:43,135,Foul on Amir Coffey.,33,39
1:43,135,Amir Coffey Turnover.,33,39
1:30,164,Mike Williams Turnover.,33,39
1:11,135,Amir Coffey missed Jumper.,33,39
1:08,135,Reggie Lynch Offensive Rebound.,33,39
1:00,135,Nate Mason missed Three Point Jumper.,33,39
0:59,164,Rutgers Defensive Rebound.,33,39
0:46,164,Eugene Omoruyi Turnover.,33,39
0:46,135,Davonte Fitzgerald Steal.,33,39
0:43,135,Amir Coffey made Dunk. Assisted by Dupree McBrayer.,33,41
0:28,164,Foul on Shaquille Doorson.,33,41
0:28,164,Shaquille Doorson Turnover.,33,41
0:03,135,Reggie Lynch made Dunk. Assisted by Amir Coffey.,33,43
0:01,164,Geo Baker missed Three Point Jumper.,33,43
0:01,135,Dupree McBrayer Block.,33,43
0:01,164,Rutgers Offensive Rebound.,33,43
0:00,135,End of 1st half,33,43
