Arizona,2509,Purdue,12
7:50,2509,Matt Haarms Block.,19,27
7:49,12,Arizona Offensive Rebound.,19,27
7:49,2509,Official TV Timeout,19,27
7:44,12,Deandre Ayton missed Layup.,19,27
7:44,2509,Matt Haarms Block.,19,27
7:41,2509,Carsen Edwards Defensive Rebound.,19,27
7:20,2509,Dakota Mathias made Three Point Jumper.,19,30
7:05,12,Deandre Ayton made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,22,30
6:45,2509,Carsen Edwards made Three Point Jumper. Assisted by Dakota Mathias.,22,33
6:22,12,Allonzo Trier missed Jumper.,22,33
6:22,2509,Jacquil Taylor Defensive Rebound.,22,33
6:08,2509,Carsen Edwards made Three Point Jumper.,22,36
6:06,12,Arizona  Timeout,22,36
5:51,12,Deandre Ayton missed Three Point Jumper.,22,36
5:51,2509,Dakota Mathias Defensive Rebound.,22,36
5:38,2509,Matt Haarms made Dunk. Assisted by Dakota Mathias.,22,38
5:16,12,Brandon Randolph made Jumper.,24,38
4:57,2509,Carsen Edwards made Three Point Jumper. Assisted by Matt Haarms.,24,41
4:40,2509,Foul on P.J. Thompson.,24,41
4:40,12,Parker Jackson-Cartwright made Free Throw.,25,41
4:40,12,Parker Jackson-Cartwright missed Free Throw.,25,41
4:39,2509,Vincent Edwards made Free Throw.,25,43
4:39,2509,Vincent Edwards Defensive Rebound.,25,41
4:39,12,Foul on Emmanuel Akot.,25,41
4:39,2509,Vincent Edwards made Free Throw.,25,42
4:34,12,Brandon Randolph missed Jumper.,25,43
4:34,12,Dylan Smith Offensive Rebound.,25,43
4:32,12,Dylan Smith made Layup.,27,43
4:11,2509,Carsen Edwards Turnover.,27,43
4:00,12,Deandre Ayton Turnover.,27,43
4:00,2509,Official TV Timeout,27,43
3:46,2509,Vincent Edwards missed Layup.,27,43
3:46,12,Arizona Defensive Rebound.,27,43
3:19,12,Emmanuel Akot missed Three Point Jumper.,27,43
3:19,12,Arizona Offensive Rebound.,27,43
2:57,12,Brandon Randolph made Jumper.,29,43
2:39,12,Foul on Brandon Randolph.,29,43
2:39,2509,Dakota Mathias made Free Throw.,29,44
2:39,2509,Dakota Mathias made Free Throw.,29,45
2:27,2509,Foul on Matt Haarms.,29,45
2:27,12,Dusan Ristic missed Free Throw.,29,45
2:27,2509,Dakota Mathias Defensive Rebound.,29,45
2:09,2509,Carsen Edwards made Three Point Jumper. Assisted by Dakota Mathias.,29,48
1:52,2509,Foul on Matt Haarms.,29,48
1:52,12,Dusan Ristic made Free Throw.,30,48
1:52,12,Dusan Ristic made Free Throw.,31,48
1:32,2509,Carsen Edwards missed Three Point Jumper.,31,48
1:32,2509,Purdue Offensive Rebound.,31,48
1:32,2509,Vincent Edwards Turnover.,31,48
1:08,12,Deandre Ayton made Layup. Assisted by Parker Jackson-Cartwright.,33,48
0:52,2509,Dakota Mathias Turnover.,33,48
0:32,12,Alex Barcello missed Three Point Jumper.,33,48
0:32,2509,Carsen Edwards Defensive Rebound.,33,48
0:07,2509,Vincent Edwards made Jumper. Assisted by Dakota Mathias.,33,50
0:00,2509,End of 1st half,33,50
19:46,12,Deandre Ayton made Dunk. Assisted by Allonzo Trier.,35,50
19:30,2509,Dakota Mathias made Jumper.,35,52
19:01,12,Emmanuel Akot Turnover.,35,52
18:58,2509,Dakota Mathias Steal.,35,52
18:47,2509,Carsen Edwards made Three Point Jumper. Assisted by Vincent Edwards.,35,55
18:34,12,Arizona  Timeout,35,55
18:34,2509,Official TV Timeout,35,55
18:15,12,Brandon Randolph Turnover.,35,55
18:14,2509,Carsen Edwards Steal.,35,55
18:06,2509,Ryan Cline Turnover.,35,55
18:04,12,Dusan Ristic Steal.,35,55
18:02,12,Allonzo Trier Turnover.,35,55
18:02,2509,Carsen Edwards missed Three Point Jumper.,35,55
18:02,12,Brandon Randolph Defensive Rebound.,35,55
18:02,12,Deandre Ayton made Dunk. Assisted by Parker Jackson-Cartwright.,37,55
