Denver,526,Florida Gulf Coast,2172
2:17,526,Christian Terrell Defensive Rebound.,30,30
2:09,526,Christian Terrell missed Three Point Jumper.,30,30
2:09,526,Christian Carlyle Offensive Rebound.,30,30
2:03,526,Christian Carlyle missed Jumper.,30,30
2:03,2172,Daniel Amigo Defensive Rebound.,30,30
1:41,2172,Christian Mackey Turnover.,30,30
1:39,526,Zach Johnson Steal.,30,30
1:38,2172,Foul on Christian Mackey.,30,30
1:38,526,Zach Johnson made Free Throw.,30,31
1:38,526,Zach Johnson missed Free Throw.,30,31
1:38,2172,Daniel Amigo Defensive Rebound.,30,31
1:28,2172,Elvin Rodriguez made Layup.,32,31
1:18,526,Zach Johnson Turnover.,32,31
1:18,2172,Abiola Akintola Steal.,32,31
1:18,526,Foul on Zach Johnson.,32,31
1:18,2172,Abiola Akintola missed Free Throw.,32,31
1:18,526,Christian Terrell Defensive Rebound.,32,31
0:49,526,Zach Johnson made Three Point Jumper. Assisted by Christian Carlyle.,32,34
0:18,2172,Elvin Rodriguez missed Three Point Jumper.,32,34
0:18,526,RaySean Scott Jr. Defensive Rebound.,32,34
0:03,2172,Foul on Elvin Rodriguez.,32,34
0:03,526,Brandon Goodwin missed Free Throw.,32,34
0:03,526,Florida Gulf Coast Deadball Team Rebound.,32,34
0:03,526,Brandon Goodwin made Free Throw.,32,35
0:01,2172,Jake Pemberton Turnover.,32,35
0:01,526,Zach Johnson Steal.,32,35
0:00,526,End of 1st half,32,35
19:40,526,Christian Terrell made Layup.,32,37
19:40,2172,Foul on Jake Krafka.,32,37
19:40,526,Christian Terrell made Free Throw.,32,38
19:27,2172,Joe Rosga made Layup.,34,38
18:55,526,Antravious Simmons missed Jumper.,34,38
18:55,2172,Daniel Amigo Defensive Rebound.,34,38
18:43,2172,Joe Rosga Turnover.,34,38
18:39,526,Zach Johnson Steal.,34,38
18:36,526,Zach Johnson missed Layup.,34,38
18:36,2172,Ade Murkey Defensive Rebound.,34,38
18:25,2172,Jake Pemberton missed Jumper.,34,38
18:25,526,Ricky Doyle Defensive Rebound.,34,38
18:15,526,Zach Johnson missed Three Point Jumper.,34,38
18:15,2172,Daniel Amigo Defensive Rebound.,34,38
17:57,2172,Jake Krafka Turnover.,34,38
17:45,526,Brandon Goodwin made Three Point Jumper. Assisted by Christian Terrell.,34,41
17:28,2172,Daniel Amigo missed Jumper.,34,41
17:28,526,Brandon Goodwin Defensive Rebound.,34,41
17:18,526,Christian Terrell Turnover.,34,41
17:18,526,Foul on Christian Terrell.,34,41
16:57,2172,Joe Rosga made Jumper.,36,41
16:28,526,RaySean Scott Jr. made Jumper.,36,43
16:10,526,Foul on Ricky Doyle.,36,43
16:10,2172,Daniel Amigo made Free Throw.,37,43
16:10,2172,Daniel Amigo made Free Throw.,38,43
15:47,2172,Foul on Daniel Amigo.,38,43
15:47,526,Official TV Timeout,38,43
15:47,526,Christian Terrell made Free Throw.,38,44
15:47,526,Christian Terrell made Free Throw.,38,45
15:32,2172,Joe Rosga made Layup.,40,45
15:12,526,Christian Carlyle missed Jumper.,40,45
15:12,2172,Daniel Amigo Defensive Rebound.,40,45
14:55,2172,Daniel Amigo missed Three Point Jumper.,40,45
14:55,2172,Ade Murkey Offensive Rebound.,40,45
14:37,2172,Daniel Amigo Turnover.,40,45
14:37,2172,Foul on Daniel Amigo.,40,45
14:08,526,Brandon Goodwin missed Three Point Jumper.,40,45
