Nebraska,2368,Marist,158
2:01,158,Glynn Watson Jr. missed Two Point Tip Shot.,43,27
2:01,2368,Isaiah Lamb Defensive Rebound.,43,27
1:51,158,Foul on Jordy Tshimanga.,43,27
1:51,2368,Ryan Funk made Free Throw.,43,28
1:51,2368,Ryan Funk made Free Throw.,43,29
1:34,158,James Palmer Jr. missed Three Point Jumper.,43,29
1:34,2368,Kristinn Palsson Defensive Rebound.,43,29
1:08,2368,Brian Parker missed Three Point Jumper.,43,29
1:08,158,Thomas Allen Defensive Rebound.,43,29
0:51,2368,Foul on Austin Williams.,43,29
0:39,158,Jordy Tshimanga made Jumper.,45,29
0:08,2368,Brian Parker missed Jumper.,45,29
0:08,158,Isaac Copeland Block.,45,29
0:06,158,Jordy Tshimanga Defensive Rebound.,45,29
0:06,2368,Foul on Connor McClenaghan.,45,29
0:06,158,Jordy Tshimanga missed Free Throw.,45,29
0:06,2368,Lasse Gummerus Defensive Rebound.,45,29
0:00,2368,End of 1st half,45,29
19:46,2368,Brian Parker missed Layup.,45,29
19:46,158,Isaac Copeland Block.,45,29
19:45,2368,Marist Offensive Rebound.,45,29
19:40,158,Foul on Glynn Watson Jr..,45,29
19:40,2368,Brian Parker made Free Throw.,45,30
19:40,2368,Brian Parker made Free Throw.,45,31
19:20,158,Isaac Copeland made Jumper.,47,31
18:48,2368,Tobias Sjoberg made Layup. Assisted by Ryan Funk.,47,33
18:29,158,Isaac Copeland missed Three Point Jumper.,47,33
18:29,2368,Tobias Sjoberg Defensive Rebound.,47,33
18:10,2368,Brian Parker missed Three Point Jumper.,47,33
18:10,158,James Palmer Jr. Defensive Rebound.,47,33
17:54,158,Evan Taylor Turnover.,47,33
17:33,2368,David Knudsen Turnover.,47,33
17:31,158,Evan Taylor Steal.,47,33
17:25,158,James Palmer Jr. made Three Point Jumper. Assisted by Evan Taylor.,50,33
17:01,158,Foul on Jordy Tshimanga.,50,33
16:54,2368,Brian Parker missed Jumper.,50,33
16:54,2368,Brian Parker Offensive Rebound.,50,33
16:35,2368,Ryan Funk missed Jumper.,50,33
16:35,2368,David Knudsen Offensive Rebound.,50,33
16:31,2368,David Knudsen made Layup.,50,35
16:18,158,Isaac Copeland missed Jumper.,50,35
16:18,2368,Aleksandar Dozic Block.,50,35
16:17,158,Isaac Copeland Offensive Rebound.,50,35
16:15,158,Isaac Copeland made Jumper.,52,35
15:57,2368,David Knudsen Turnover.,52,35
15:57,2368,Official TV Timeout,52,35
15:28,158,Isaac Copeland made Jumper.,54,35
15:04,2368,Brian Parker missed Layup.,54,35
15:04,2368,Marist Offensive Rebound.,54,35
14:51,2368,Austin Williams missed Three Point Jumper.,54,35
14:51,158,Evan Taylor Defensive Rebound.,54,35
14:35,158,Evan Taylor made Three Point Jumper. Assisted by Isaac Copeland.,57,35
14:21,158,Foul on Evan Taylor.,57,35
14:09,2368,David Knudsen missed Jumper.,57,35
14:09,2368,Isaiah Lamb Offensive Rebound.,57,35
14:05,2368,Isaiah Lamb made Dunk.,57,37
13:49,158,James Palmer Jr. made Three Point Jumper. Assisted by Duby Okeke.,60,37
13:27,2368,Connor McClenaghan missed Jumper.,60,37
13:27,158,James Palmer Jr. Defensive Rebound.,60,37
13:16,158,Isaac Copeland missed Three Point Jumper.,60,37
13:16,2368,Austin Williams Defensive Rebound.,60,37
13:14,158,Foul on Duby Okeke.,60,37
12:57,2368,Andrea Bernardi Turnover.,60,37
12:56,158,Isaiah Roby Steal.,60,37
12:52,158,Glynn Watson Jr. made Layup. Assisted by Isaiah Roby.,62,37
12:31,2368,Tobias Sjoberg Turnover.,62,37
12:30,158,Glynn Watson Jr. Steal.,62,37
12:27,158,Glynn Watson Jr. made Layup. Assisted by Anton Gill.,64,37
12:26,2368,Marist  Timeout,64,37
12:26,2368,Official TV Timeout,64,37
12:14,158,Foul on Anton Gill.,64,37
12:14,2368,Brian Parker missed Free Throw.,64,37
12:14,2368,Marist Deadball Team Rebound.,64,37
12:14,2368,Brian Parker made Free Throw.,64,38
11:49,158,Isaiah Roby Turnover.,64,38
11:49,2368,Official TV Timeout,64,38
11:43,158,Foul on Thomas Allen.,64,38
11:38,158,Foul on Anton Gill.,64,38
11:38,2368,Brian Parker made Free Throw.,64,39
11:38,2368,Brian Parker made Free Throw.,64,40
11:14,158,Glynn Watson Jr. made Jumper.,66,40
10:50,2368,Tobias Sjoberg missed Jumper.,66,40
10:50,158,Glynn Watson Jr. Defensive Rebound.,66,40
10:45,158,Glynn Watson Jr. missed Jumper.,66,40
10:45,158,Glynn Watson Jr. Offensive Rebound.,66,40
10:40,158,Nebraska  Timeout,66,40
10:35,158,Anton Gill made Three Point Jumper. Assisted by Glynn Watson Jr..,69,40
10:18,2368,Isaiah Lamb missed Layup.,69,40
10:18,158,Isaiah Roby Block.,69,40
10:15,2368,Austin Williams Offensive Rebound.,69,40
10:02,2368,Austin Williams missed Jumper.,69,40
10:02,158,Jordy Tshimanga Block.,69,40
10:00,2368,Aleksandar Dozic Offensive Rebound.,69,40
9:58,2368,Aleksandar Dozic made Layup.,69,42
9:28,2368,Foul on Austin Williams.,69,42
9:28,158,Jordy Tshimanga missed Free Throw.,69,42
9:28,158,Nebraska Deadball Team Rebound.,69,42
9:28,158,Jordy Tshimanga made Free Throw.,70,42
9:19,2368,Aleksandar Dozic Turnover.,70,42
8:50,158,Anton Gill missed Three Point Jumper.,70,42
8:50,2368,Marist Defensive Rebound.,70,42
8:37,2368,Aleksandar Dozic made Three Point Jumper. Assisted by David Knudsen.,70,45
8:13,158,Evan Taylor missed Jumper.,70,45
8:13,2368,Aleksandar Dozic Defensive Rebound.,70,45
8:12,158,Foul on Jordy Tshimanga.,70,45
8:12,2368,Aleksandar Dozic missed Free Throw.,70,45
8:12,158,Isaiah Roby Defensive Rebound.,70,45
7:56,158,James Palmer Jr. missed Jumper.,70,45
7:56,2368,Austin Williams Defensive Rebound.,70,45
7:38,158,Foul on Anton Gill.,70,45
7:38,2368,Official TV Timeout,70,45
7:38,2368,Aleksandar Dozic made Free Throw.,70,46
7:38,2368,Aleksandar Dozic made Free Throw.,70,47
7:24,158,Isaac Copeland missed Jumper.,70,47
