Texas Southern,228,Clemson,2640
1:33,228,Shelton Mitchell Turnover.,31,35
1:32,2640,Derrick Bruce Steal.,31,35
1:31,228,Foul on Gabe DeVoe.,31,35
1:31,2640,Derrick Bruce made Free Throw.,32,35
1:31,2640,Derrick Bruce made Free Throw.,33,35
1:16,228,Marcquise Reed missed Jumper.,33,35
1:16,2640,Derrick Bruce Defensive Rebound.,33,35
1:10,2640,Demontrae Jefferson missed Three Point Jumper.,33,35
1:10,228,Elijah Thomas Defensive Rebound.,33,35
1:00,228,Gabe DeVoe made Three Point Jumper.,33,38
0:37,2640,Robert Lewis Turnover.,33,38
0:37,228,Clyde Trapp Steal.,33,38
0:33,228,Donte Grantham made Dunk. Assisted by Clyde Trapp.,33,40
0:28,2640,Trayvon Reed made Dunk. Assisted by Demontrae Jefferson.,35,40
0:28,228,Foul on Clyde Trapp.,35,40
0:28,2640,Trayvon Reed made Free Throw.,36,40
0:20,228,Clemson  Timeout,36,40
0:02,228,Shelton Mitchell Turnover.,36,40
0:01,2640,Marquis Salmon Steal.,36,40
0:00,228,End of 1st half,36,40
19:40,2640,Kevin Scott missed Layup.,36,40
19:40,2640,Kevin Scott Offensive Rebound.,36,40
19:38,2640,Kevin Scott made Layup.,38,40
19:21,228,Gabe DeVoe made Layup.,38,42
19:07,2640,Derrick Bruce missed Three Point Jumper.,38,42
19:07,228,Elijah Thomas Defensive Rebound.,38,42
18:45,228,Gabe DeVoe missed Jumper.,38,42
18:45,2640,Trayvon Reed Defensive Rebound.,38,42
18:37,2640,Demontrae Jefferson missed Jumper.,38,42
18:37,228,Elijah Thomas Defensive Rebound.,38,42
18:27,228,Donte Grantham missed Three Point Jumper.,38,42
18:27,2640,Derrick Bruce Defensive Rebound.,38,42
17:59,2640,Donte Clark missed Jumper.,38,42
17:59,2640,Donte Clark Offensive Rebound.,38,42
17:56,2640,Donte Clark made Jumper.,40,42
17:41,2640,Foul on Demontrae Jefferson.,40,42
17:34,228,Marcquise Reed missed Layup.,40,42
17:34,2640,Derrick Bruce Block.,40,42
17:34,228,Clemson Offensive Rebound.,40,42
17:27,228,Elijah Thomas Turnover.,40,42
17:13,2640,Donte Clark missed Three Point Jumper.,40,42
17:13,228,Donte Grantham Defensive Rebound.,40,42
17:01,228,Marcquise Reed missed Jumper.,40,42
17:01,228,Elijah Thomas Offensive Rebound.,40,42
