Oakland,2305,Kansas,2473
14:56,2305,Sviatoslav Mykhailiuk made Three Point Jumper. Assisted by Devonte' Graham.,5,14
14:30,2473,Kendrick Nunn missed Layup.,5,14
14:30,2305,Mitch Lightfoot Block.,5,14
14:28,2305,Sviatoslav Mykhailiuk Defensive Rebound.,5,14
14:07,2305,Devonte' Graham Turnover.,5,14
14:06,2473,Jalen Hayes Steal.,5,14
14:03,2473,Jalen Hayes made Layup.,7,14
13:47,2305,Marcus Garrett made Jumper.,7,16
13:20,2473,Isaiah Brock missed Jumper.,7,16
13:20,2305,Devonte' Graham Defensive Rebound.,7,16
13:13,2305,Sviatoslav Mykhailiuk made Layup.,7,18
13:13,2473,Foul on Jalen Hayes.,7,18
13:13,2473,Oakland  Timeout,7,18
13:13,2305,Sviatoslav Mykhailiuk made Free Throw.,7,19
13:00,2473,Kendrick Nunn made Three Point Jumper. Assisted by Nick Daniels.,10,19
12:38,2305,Lagerald Vick made Three Point Jumper.,10,22
12:21,2473,Nick Daniels Turnover.,10,22
12:21,2305,Devonte' Graham Steal.,10,22
12:17,2473,Foul on Nick Daniels.,10,22
12:17,2305,Devonte' Graham missed Free Throw.,10,22
12:17,2305,Kansas Deadball Team Rebound.,10,22
12:17,2305,Devonte' Graham made Free Throw.,10,23
12:02,2473,Stan Scott Turnover.,10,23
12:01,2305,Lagerald Vick Steal.,10,23
11:57,2305,Malik Newman missed Three Point Jumper.,10,23
11:57,2473,Kendrick Nunn Defensive Rebound.,10,23
11:48,2473,Kendrick Nunn made Layup.,12,23
11:34,2305,Foul on Mitch Lightfoot.,12,23
11:34,2305,Mitch Lightfoot Turnover.,12,23
11:34,2305,Official TV Timeout,12,23
11:24,2473,Isaiah Brock missed Layup.,12,23
11:24,2305,Mitch Lightfoot Defensive Rebound.,12,23
11:15,2473,Foul on Kendrick Nunn.,12,23
11:05,2473,Foul on Martez Walker.,12,23
11:05,2305,Lagerald Vick made Free Throw.,12,24
11:05,2305,Lagerald Vick made Free Throw.,12,25
10:45,2305,Foul on Marcus Garrett.,12,25
10:45,2473,Martez Walker made Free Throw.,13,25
10:45,2473,Martez Walker made Free Throw.,14,25
10:33,2305,Devonte' Graham made Jumper.,14,27
10:06,2473,Jalen Hayes missed Three Point Jumper.,14,27
10:06,2305,Mitch Lightfoot Defensive Rebound.,14,27
9:50,2305,Mitch Lightfoot made Layup. Assisted by Devonte' Graham.,14,29
9:28,2473,Kendrick Nunn missed Jumper.,14,29
9:28,2305,Mitch Lightfoot Block.,14,29
9:27,2305,Malik Newman Defensive Rebound.,14,29
9:24,2305,Sviatoslav Mykhailiuk made Dunk. Assisted by Malik Newman.,14,31
9:22,2473,Oakland  Timeout,14,31
9:10,2473,Isaiah Brock Turnover.,14,31
9:09,2305,Lagerald Vick Steal.,14,31
9:02,2305,Devonte' Graham made Jumper.,14,33
8:41,2473,Kendrick Nunn missed Three Point Jumper.,14,33
8:41,2305,Mitch Lightfoot Defensive Rebound.,14,33
8:25,2305,Foul on Devonte' Graham.,14,33
8:25,2305,Devonte' Graham Turnover.,14,33
8:02,2305,Foul on Marcus Garrett.,14,33
8:01,2473,Jalen Hayes missed Three Point Jumper.,14,33
8:01,2305,Sviatoslav Mykhailiuk Defensive Rebound.,14,33
7:51,2305,Mitch Lightfoot made Three Point Jumper. Assisted by Devonte' Graham.,14,36
7:35,2473,James Beck Turnover.,14,36
7:35,2305,Official TV Timeout,14,36
7:27,2305,Sviatoslav Mykhailiuk missed Jumper.,14,36
7:27,2473,Kendrick Nunn Defensive Rebound.,14,36
7:16,2473,Kendrick Nunn Turnover.,14,36
7:06,2305,Lagerald Vick missed Jumper.,14,36
7:06,2473,James Beck Defensive Rebound.,14,36
6:52,2473,James Beck missed Three Point Jumper.,14,36
6:52,2473,Oakland Offensive Rebound.,14,36
6:46,2473,Martez Walker missed Jumper.,14,36
6:46,2473,Oakland Offensive Rebound.,14,36
6:40,2473,Kendrick Nunn made Jumper.,16,36
6:22,2473,Foul on James Beck.,16,36
6:22,2305,Malik Newman made Free Throw.,16,37
6:22,2305,Malik Newman made Free Throw.,16,38
6:06,2473,Kendrick Nunn made Jumper.,18,38
5:54,2305,Foul on Udoka Azubuike.,18,38
5:54,2305,Udoka Azubuike Turnover.,18,38
5:35,2473,Jalen Hayes Turnover.,18,38
5:26,2473,Foul on James Beck.,18,38
5:26,2305,Devonte' Graham made Free Throw.,18,39
5:26,2305,Devonte' Graham made Free Throw.,18,40
5:13,2473,Jalen Hayes Turnover.,18,40
5:12,2305,Lagerald Vick Steal.,18,40
5:02,2305,Malik Newman missed Jumper.,18,40
5:02,2473,Martez Walker Defensive Rebound.,18,40
4:49,2473,Kendrick Nunn missed Three Point Jumper.,18,40
4:49,2305,Sviatoslav Mykhailiuk Defensive Rebound.,18,40
4:42,2305,Sviatoslav Mykhailiuk missed Layup.,18,40
4:42,2305,Mitch Lightfoot Offensive Rebound.,18,40
4:40,2305,Mitch Lightfoot made Dunk.,18,42
4:22,2473,Chris Palombizio missed Jumper.,18,42
4:22,2473,Jalen Hayes Offensive Rebound.,18,42
4:19,2473,Jalen Hayes missed Two Point Tip Shot.,18,42
4:19,2473,Jalen Hayes Offensive Rebound.,18,42
4:18,2473,Jalen Hayes made Two Point Tip Shot.,20,42
4:13,2305,Sviatoslav Mykhailiuk made Dunk. Assisted by Devonte' Graham.,20,44
4:00,2473,Kendrick Nunn made Layup.,22,44
3:38,2305,Devonte' Graham missed Jumper.,22,44
3:38,2473,James Beck Defensive Rebound.,22,44
3:30,2473,Kendrick Nunn missed Jumper.,22,44
3:30,2305,Lagerald Vick Defensive Rebound.,22,44
3:23,2473,Foul on Chris Palombizio.,22,44
3:23,2305,Official TV Timeout,22,44
3:23,2305,Mitch Lightfoot made Free Throw.,22,45
3:23,2305,Mitch Lightfoot made Free Throw.,22,46
3:14,2473,Brailen Neely Turnover.,22,46
3:14,2305,Sviatoslav Mykhailiuk Steal.,22,46
3:01,2473,Foul on Brailen Neely.,22,46
3:01,2305,Mitch Lightfoot made Free Throw.,22,47
3:01,2305,Mitch Lightfoot made Free Throw.,22,48
2:49,2473,Chris Palombizio made Jumper.,24,48
2:30,2305,Devonte' Graham Turnover.,24,48
2:16,2473,Chris Palombizio missed Three Point Jumper.,24,48
2:16,2305,Sviatoslav Mykhailiuk Defensive Rebound.,24,48
