North Carolina Central,356,Illinois,2428
3:15,2428,Foul on Jordan Perkins.,24,28
3:15,356,Mark Alstork made Free Throw.,24,29
3:15,356,Mark Alstork made Free Throw.,24,30
3:15,356,Mark Alstork made Free Throw.,24,31
3:05,356,Foul on Michael Finke.,24,31
3:05,2428,Pablo Rivas made Free Throw.,25,31
3:05,2428,Pablo Rivas missed Free Throw.,25,31
3:05,356,Illinois Deadball Team Rebound.,25,31
3:04,356,Foul on Greg Eboigbodin.,25,31
3:04,2428,Larry McKnight Jr. made Free Throw.,26,31
3:04,2428,Larry McKnight Jr. made Free Throw.,27,31
2:43,356,Mark Alstork missed Three Point Jumper.,27,31
2:43,356,Mark Alstork Offensive Rebound.,27,31
2:38,356,Mark Alstork made Jumper.,27,33
2:20,2428,C.J. Wiggins Turnover.,27,33
2:01,2428,Foul on Zacarry Douglas.,27,33
2:01,356,Mark Smith missed Free Throw.,27,33
2:01,356,Illinois Deadball Team Rebound.,27,33
2:01,356,Mark Smith missed Free Throw.,27,33
2:01,2428,North Carolina Central Deadball Team Rebound.,27,33
2:01,356,Foul on Greg Eboigbodin.,27,33
2:01,2428,Pablo Rivas made Free Throw.,28,33
2:01,2428,Pablo Rivas made Free Throw.,29,33
1:23,356,Te'Jon Lucas missed Three Point Jumper.,29,33
1:23,356,Greg Eboigbodin Offensive Rebound.,29,33
1:04,356,Michael Finke missed Three Point Jumper.,29,33
1:04,2428,Zacarry Douglas Defensive Rebound.,29,33
1:01,356,Foul on Greg Eboigbodin.,29,33
1:01,2428,Zacarry Douglas made Free Throw.,30,33
1:01,2428,Zacarry Douglas made Free Throw.,31,33
0:53,356,Mark Alstork missed Three Point Jumper.,31,33
0:53,2428,North Carolina Central Defensive Rebound.,31,33
0:45,356,Foul on Matic Vesel.,31,33
0:45,2428,Larry McKnight Jr. missed Free Throw.,31,33
0:45,2428,North Carolina Central Deadball Team Rebound.,31,33
0:45,2428,Larry McKnight Jr. made Free Throw.,32,33
0:25,2428,Foul on Pablo Rivas.,32,33
0:25,356,Mark Alstork made Free Throw.,32,34
0:25,356,Mark Alstork missed Free Throw.,32,34
0:25,2428,Pablo Rivas Defensive Rebound.,32,34
0:23,2428,North Carolina Central  Timeout,32,34
0:03,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Jordan Perkins.,35,34
0:00,356,End of 1st half,35,34
19:53,356,Te'Jon Lucas Turnover.,35,34
19:52,2428,C.J. Wiggins Steal.,35,34
19:50,356,Foul on Te'Jon Lucas.,35,34
19:34,2428,Raasean Davis missed Jumper.,35,34
19:34,356,Leron Black Defensive Rebound.,35,34
19:19,356,Leron Black missed Jumper.,35,34
19:19,2428,Brandon Goldsmith Defensive Rebound.,35,34
