Alabama A&amp;M,333,Alabama,2010
15:05,2010,Amari Goulbourne made Layup. Assisted by Mohamed Sherif.,2,10
14:49,333,Collin Sexton made Layup.,2,12
14:30,2010,De'Ederick Petty made Three Point Jumper. Assisted by Mohamed Sherif.,5,12
14:16,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,5,15
13:53,2010,Amari Goulbourne made Jumper.,7,15
13:45,333,John Petty missed Three Point Jumper.,7,15
13:45,2010,De'Ederick Petty Defensive Rebound.,7,15
13:19,2010,Amari Goulbourne made Layup. Assisted by Mohamed Sherif.,9,15
13:07,333,Collin Sexton made Layup.,9,17
12:50,2010,De'Ederick Petty missed Three Point Jumper.,9,17
12:50,333,Herb Jones Defensive Rebound.,9,17
12:44,333,Collin Sexton made Layup.,9,19
12:30,333,Foul on Collin Sexton.,9,19
12:19,2010,Jalen Reeder made Three Point Jumper. Assisted by Amari Goulbourne.,12,19
11:58,333,Avery Johnson Jr. missed Three Point Jumper.,12,19
11:58,2010,Andre Kennedy Defensive Rebound.,12,19
11:39,2010,Evan Wiley missed Three Point Jumper.,12,19
11:39,333,Avery Johnson Jr. Defensive Rebound.,12,19
11:29,333,Dazon Ingram Turnover.,12,19
11:29,333,Official TV Timeout,12,19
10:58,2010,Amari Goulbourne missed Jumper.,12,19
10:58,333,Dazon Ingram Block.,12,19
10:56,333,Avery Johnson Jr. Defensive Rebound.,12,19
10:53,333,Herb Jones made Dunk. Assisted by Avery Johnson Jr..,12,21
10:39,2010,Andre Kennedy missed Jumper.,12,21
10:39,333,Galin Smith Block.,12,21
10:36,333,Herb Jones Defensive Rebound.,12,21
10:15,333,Daniel Giddens Turnover.,12,21
10:04,333,Foul on Galin Smith.,12,21
10:04,2010,Arthur Johnson missed Free Throw.,12,21
10:04,2010,Alabama A&M Deadball Team Rebound.,12,21
10:04,2010,Arthur Johnson made Free Throw.,13,21
9:46,2010,Foul on Arthur Johnson.,13,21
9:43,333,Herb Jones missed Three Point Jumper.,13,21
9:43,2010,Andre Kennedy Defensive Rebound.,13,21
9:12,2010,Alabama A&M  Turnover.,13,21
8:52,333,Dazon Ingram made Three Point Jumper. Assisted by Herb Jones.,13,24
8:23,2010,Marcus Merriweather Turnover.,13,24
8:18,333,Avery Johnson Jr. Steal.,13,24
8:17,333,Dazon Ingram Turnover.,13,24
8:13,2010,Andre Kennedy Turnover.,13,24
8:08,333,Herb Jones missed Jumper.,13,24
8:08,2010,Marcus Merriweather Defensive Rebound.,13,24
7:53,333,Official TV Timeout,13,24
7:36,2010,Alabama A&M  Turnover.,13,24
7:16,333,Dazon Ingram missed Layup.,13,24
7:16,2010,Andre Kennedy Defensive Rebound.,13,24
7:02,2010,Andre Kennedy missed Jumper.,13,24
7:02,333,Donta Hall Block.,13,24
7:00,333,Dazon Ingram Defensive Rebound.,13,24
6:57,333,Collin Sexton made Layup. Assisted by Dazon Ingram.,13,26
6:42,2010,Marcus Merriweather missed Jumper.,13,26
6:42,333,Dazon Ingram Defensive Rebound.,13,26
6:31,333,Donta Hall missed Dunk.,13,26
6:31,2010,Alabama A&M Defensive Rebound.,13,26
6:14,2010,Andre Kennedy missed Three Point Jumper.,13,26
6:14,333,Dazon Ingram Defensive Rebound.,13,26
6:05,333,Dazon Ingram Turnover.,13,26
6:04,2010,Amari Goulbourne Steal.,13,26
6:00,2010,Amari Goulbourne missed Jumper.,13,26
6:00,333,Collin Sexton Defensive Rebound.,13,26
5:42,333,Alex Reese Turnover.,13,26
5:41,2010,Ariston Johnson Steal.,13,26
5:21,2010,Amari Goulbourne made Jumper.,15,26
5:10,333,Collin Sexton made Three Point Jumper.,15,29
4:45,333,Foul on Collin Sexton.,15,29
4:45,2010,Mohamed Sherif missed Free Throw.,15,29
4:45,333,Alex Reese Defensive Rebound.,15,29
4:33,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,15,32
4:11,2010,Mohamed Sherif missed Jumper.,15,32
4:11,333,John Petty Defensive Rebound.,15,32
4:00,2010,Foul on Mohamed Sherif.,15,32
4:00,333,Official TV Timeout,15,32
4:00,333,Galin Smith made Free Throw.,15,33
4:00,333,Galin Smith missed Free Throw.,15,33
4:00,333,Alex Reese Offensive Rebound.,15,33
3:53,333,Herb Jones missed Jumper.,15,33
3:53,333,Galin Smith Offensive Rebound.,15,33
3:49,333,John Petty made Three Point Jumper. Assisted by Galin Smith.,15,36
3:36,2010,Foul on De'Ederick Petty.,15,36
3:36,2010,De'Ederick Petty Turnover.,15,36
3:17,2010,Foul on De'Ederick Petty.,15,36
3:17,333,Herb Jones made Free Throw.,15,37
3:17,333,Herb Jones made Free Throw.,15,38
2:58,2010,Jalen Reeder missed Three Point Jumper.,15,38
2:58,2010,Alabama A&M Offensive Rebound.,15,38
2:57,333,Foul on Avery Johnson Jr..,15,38
2:57,2010,Mohamed Sherif made Free Throw.,16,38
2:57,2010,Mohamed Sherif missed Free Throw.,16,38
2:57,333,John Petty Defensive Rebound.,16,38
2:51,333,Collin Sexton made Dunk. Assisted by Avery Johnson Jr..,16,40
2:24,2010,Ariston Johnson missed Jumper.,16,40
2:24,333,Avery Johnson Jr. Defensive Rebound.,16,40
2:05,333,John Petty Turnover.,16,40
1:58,2010,Jalen Reeder made Jumper.,18,40
1:44,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,18,43
1:21,333,Foul on Galin Smith.,18,43
1:21,2010,Amari Goulbourne made Free Throw.,19,43
1:21,2010,Amari Goulbourne missed Free Throw.,19,43
1:21,333,Dazon Ingram Defensive Rebound.,19,43
1:10,333,Avery Johnson Jr. missed Three Point Jumper.,19,43
1:10,333,Dazon Ingram Offensive Rebound.,19,43
1:06,333,Dazon Ingram made Layup.,19,45
0:55,2010,Alabama A&M  Timeout,19,45
0:39,2010,Evan Wiley made Three Point Jumper. Assisted by Marcus Merriweather.,22,45
0:29,333,Alex Reese made Three Point Jumper. Assisted by Collin Sexton.,22,48
0:03,2010,Marcus Merriweather missed Jumper.,22,48
0:03,333,Alex Reese Defensive Rebound.,22,48
0:00,333,Collin Sexton made Three Point Jumper. Assisted by Alex Reese.,22,51
0:00,333,End of 1st half,22,51
19:42,2010,Evan Wiley made Three Point Jumper. Assisted by Arthur Johnson.,25,51
19:25,333,Collin Sexton missed Three Point Jumper.,25,51
19:25,333,Collin Sexton Offensive Rebound.,25,51
19:21,333,Collin Sexton made Layup.,25,53
19:21,2010,Foul on Mohamed Sherif.,25,53
19:21,333,Collin Sexton made Free Throw.,25,54
18:58,2010,Amari Goulbourne made Jumper.,27,54
18:44,333,John Petty missed Three Point Jumper.,27,54
18:44,2010,Arthur Johnson Defensive Rebound.,27,54
18:26,2010,Arthur Johnson missed Layup.,27,54
18:26,333,Donta Hall Defensive Rebound.,27,54
18:13,2010,Foul on Arthur Johnson.,27,54
18:08,333,Dazon Ingram made Layup.,27,56
17:53,333,Foul on Dazon Ingram.,27,56
17:41,2010,Mohamed Sherif missed Layup.,27,56
17:41,333,Collin Sexton Defensive Rebound.,27,56
17:32,2010,Foul on Mohamed Sherif.,27,56
17:32,333,Daniel Giddens made Free Throw.,27,57
17:32,333,Daniel Giddens made Free Throw.,27,58
17:04,2010,Alabama A&M  Timeout,27,58
17:00,2010,Alabama A&M  Turnover.,27,58
16:48,333,Dazon Ingram missed Three Point Jumper.,27,58
16:48,333,Donta Hall Offensive Rebound.,27,58
16:43,333,Donta Hall made Layup.,27,60
16:24,2010,Mohamed Sherif Turnover.,27,60
16:11,333,Alex Reese missed Three Point Jumper.,27,60
16:11,2010,Alabama A&M Defensive Rebound.,27,60
15:43,2010,De'Ederick Petty made Layup.,29,60
15:43,333,Foul on Daniel Giddens.,29,60
15:43,333,Official TV Timeout,29,60
15:43,2010,De'Ederick Petty missed Free Throw.,29,60
15:43,333,Alex Reese Defensive Rebound.,29,60
15:23,333,John Petty made Three Point Jumper. Assisted by Collin Sexton.,29,63
15:03,2010,Arthur Johnson made Three Point Jumper. Assisted by Amari Goulbourne.,32,63
14:53,333,Daniel Giddens missed Jumper.,32,63
14:53,2010,Arthur Johnson Defensive Rebound.,32,63
14:37,2010,Amari Goulbourne missed Layup.,32,63
14:37,333,Daniel Giddens Block.,32,63
14:35,333,Daniel Giddens Defensive Rebound.,32,63
14:32,333,Collin Sexton made Dunk. Assisted by Daniel Giddens.,32,65
14:03,2010,Amari Goulbourne made Three Point Jumper. Assisted by Arthur Johnson.,35,65
14:03,333,Foul on Dazon Ingram.,35,65
14:03,2010,Amari Goulbourne made Free Throw.,36,65
13:50,333,John Petty Turnover.,36,65
13:49,2010,Arthur Johnson Steal.,36,65
13:44,2010,De'Ederick Petty missed Layup.,36,65
13:44,333,Herb Jones Defensive Rebound.,36,65
13:35,333,John Petty missed Three Point Jumper.,36,65
13:35,2010,Arthur Johnson Defensive Rebound.,36,65
13:13,2010,Amari Goulbourne missed Jumper.,36,65
13:13,2010,Mohamed Sherif Offensive Rebound.,36,65
13:12,333,Foul on Daniel Giddens.,36,65
13:12,2010,Mohamed Sherif missed Free Throw.,36,65
13:12,2010,Alabama A&M Deadball Team Rebound.,36,65
13:12,2010,Mohamed Sherif missed Free Throw.,36,65
13:12,333,Herb Jones Defensive Rebound.,36,65
13:12,333,Avery Johnson Jr. missed Jumper.,36,65
13:12,2010,Arthur Johnson Defensive Rebound.,36,65
13:12,2010,Arthur Johnson missed Jumper.,36,65
13:12,2010,Arthur Johnson Offensive Rebound.,36,65
13:12,2010,Arthur Johnson made Jumper.,38,65
13:12,333,Galin Smith made Dunk. Assisted by Avery Johnson Jr..,38,67
12:47,333,Foul on Galin Smith.,38,67
12:41,2010,Amari Goulbourne missed Jumper.,38,67
12:41,333,Herb Jones Defensive Rebound.,38,67
12:34,333,Avery Johnson Jr. missed Layup.,38,67
12:34,333,Alex Reese Offensive Rebound.,38,67
12:30,333,Alex Reese Turnover.,38,67
12:29,2010,De'Ederick Petty Steal.,38,67
12:26,2010,Andre Kennedy made Layup.,40,67
12:06,333,Galin Smith made Jumper.,40,69
10:58,333,Foul on Lawson Schaffer.,40,69
10:58,333,Official TV Timeout,40,69
10:51,2010,Jalen Reeder missed Jumper.,40,69
10:51,2010,Amari Goulbourne Offensive Rebound.,40,69
10:43,2010,Andre Kennedy made Layup.,42,69
10:43,333,Foul on Galin Smith.,42,69
10:43,2010,Andre Kennedy missed Free Throw.,42,69
10:43,333,Donta Hall Defensive Rebound.,42,69
10:36,333,Herb Jones made Dunk.,42,71
10:11,2010,Andre Kennedy made Jumper.,44,71
10:07,333,Alex Reese Turnover.,44,71
10:06,2010,Amari Goulbourne Steal.,44,71
10:02,2010,Jalen Reeder made Three Point Jumper. Assisted by Amari Goulbourne.,47,71
9:54,333,Alabama  Timeout,47,71
9:47,333,John Petty made Three Point Jumper. Assisted by Dazon Ingram.,47,74
9:24,2010,Jalen Reeder made Jumper.,49,74
9:09,333,Collin Sexton missed Jumper.,49,74
9:09,333,Herb Jones Offensive Rebound.,49,74
9:06,333,Donta Hall made Dunk. Assisted by Herb Jones.,49,76
8:47,2010,Arthur Johnson made Layup.,51,76
8:39,333,John Petty made Three Point Jumper. Assisted by Dazon Ingram.,51,79
8:33,333,Alabama  Timeout,51,79
8:26,2010,Arthur Johnson made Jumper.,53,79
8:09,333,Collin Sexton made Layup.,53,81
7:49,2010,De'Ederick Petty Turnover.,53,81
7:48,333,Dazon Ingram Steal.,53,81
7:46,333,Dazon Ingram made Layup.,53,83
7:33,333,Official TV Timeout,53,83
7:15,333,Foul on Daniel Giddens.,53,83
7:15,2010,De'Ederick Petty missed Free Throw.,53,83
7:15,2010,Alabama A&M Deadball Team Rebound.,53,83
7:15,2010,De'Ederick Petty made Free Throw.,54,83
6:58,333,John Petty made Three Point Jumper. Assisted by Dazon Ingram.,54,86
6:37,2010,Evan Wiley missed Three Point Jumper.,54,86
6:37,333,John Petty Defensive Rebound.,54,86
6:28,333,John Petty made Three Point Jumper.,54,89
6:07,333,Foul on Herb Jones.,54,89
6:07,2010,De'Ederick Petty made Free Throw.,55,89
6:07,2010,De'Ederick Petty made Free Throw.,56,89
5:49,333,Alex Reese Turnover.,56,89
5:47,2010,Andre Kennedy Steal.,56,89
5:43,333,Foul on Avery Johnson Jr..,56,89
