Wake Forest,2430,UNC Greensboro,154
2:42,2430,Foul on Francis Alonso.,33,29
2:42,154,Bryant Crawford made Free Throw.,34,29
2:42,154,Bryant Crawford made Free Throw.,35,29
2:26,2430,Francis Alonso Turnover.,35,29
2:25,154,Brandon Childress Steal.,35,29
2:23,154,Bryant Crawford made Layup.,37,29
1:50,2430,Diante Baldwin Turnover.,37,29
1:49,154,Brandon Childress Steal.,37,29
1:46,154,Keyshawn Woods missed Layup.,37,29
1:46,2430,James Dickey Defensive Rebound.,37,29
1:24,2430,Francis Alonso missed Three Point Jumper.,37,29
1:24,154,Wake Forest Defensive Rebound.,37,29
1:09,154,John Collins made Layup.,39,29
0:56,154,Foul on Keyshawn Woods.,39,29
0:56,2430,Francis Alonso made Free Throw.,39,30
0:56,2430,Francis Alonso made Free Throw.,39,31
0:41,154,Keyshawn Woods made Jumper.,41,31
0:26,2430,Francis Alonso missed Three Point Jumper.,41,31
0:26,154,Keyshawn Woods Defensive Rebound.,41,31
0:03,154,Bryant Crawford missed Jumper.,41,31
0:01,2430,UNC Greensboro Deadball Team Rebound.,41,31
0:01,2430,Foul on R.J. White.,41,31
0:01,154,John Collins made Free Throw.,42,31
0:01,154,John Collins made Free Throw.,43,31
0:00,2430,End of 1st half,41,31
19:43,154,Konstantinos Mitoglou missed Layup.,43,31
19:43,154,John Collins Offensive Rebound.,43,31
19:40,2430,Foul on Jordy Kuiper.,43,31
19:40,154,John Collins made Free Throw.,44,31
19:40,154,John Collins made Free Throw.,45,31
19:33,154,Foul on Mitchell Wilbekin.,45,31
19:24,2430,R.J. White missed Jumper.,45,31
19:24,154,John Collins Defensive Rebound.,45,31
19:14,2430,Foul on Marvin Smith.,45,31
19:14,154,Konstantinos Mitoglou made Free Throw.,46,31
19:14,154,Konstantinos Mitoglou made Free Throw.,47,31
18:53,154,Foul on Austin Arians.,47,31
18:47,2430,Francis Alonso Turnover.,47,31
18:46,154,John Collins Steal.,47,31
18:20,154,Austin Arians missed Dunk.,47,31
18:20,2430,R.J. White Block.,47,31
18:19,154,Konstantinos Mitoglou Offensive Rebound.,47,31
18:16,154,Wake Forest  Turnover.,47,31
17:56,2430,R.J. White missed Jumper.,47,31
17:56,154,John Collins Defensive Rebound.,47,31
17:42,154,John Collins Turnover.,47,31
17:41,2430,R.J. White Steal.,47,31
17:35,2430,R.J. White made Layup. Assisted by Francis Alonso.,47,33
17:21,154,Bryant Crawford made Jumper.,49,33
17:12,2430,Diante Baldwin made Three Point Jumper.,49,36
16:56,2430,Foul on Diante Baldwin.,49,36
16:34,154,John Collins made Dunk. Assisted by Bryant Crawford.,51,36
16:23,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,51,39
16:04,154,Keyshawn Woods made Three Point Jumper. Assisted by Brandon Childress.,54,39
15:41,154,Foul on Brandon Childress.,54,39
15:41,2430,Official TV Timeout,54,39
15:38,2430,R.J. White made Jumper.,54,41
15:20,154,Brandon Childress made Three Point Jumper. Assisted by John Collins.,57,41
15:10,2430,R.J. White made Jumper.,57,43
14:54,154,Austin Arians made Layup.,59,43
14:35,2430,Francis Alonso missed Three Point Jumper.,59,43
14:35,154,Brandon Childress Defensive Rebound.,59,43
14:28,154,Bryant Crawford missed Three Point Jumper.,59,43
14:28,2430,R.J. White Defensive Rebound.,59,43
14:18,154,Foul on Bryant Crawford.,59,43
14:08,2430,R.J. White made Layup.,59,45
14:07,154,Foul on Doral Moore.,59,45
14:07,2430,R.J. White missed Free Throw.,59,45
14:07,154,Doral Moore Defensive Rebound.,59,45
13:46,2430,Foul on Francis Alonso.,59,45
13:40,154,Doral Moore Turnover.,59,45
