Drexel,2272,High Point,2182
6:52,2182,Foul on Mohamed Bah.,29,21
6:51,2272,Andre Fox missed Three Point Jumper.,29,21
6:51,2182,Mohamed Bah Defensive Rebound.,29,21
6:43,2182,Mohamed Bah missed Jumper.,29,21
6:43,2272,High Point Defensive Rebound.,29,21
6:28,2182,Foul on Kari Jonsson.,29,21
6:28,2272,Jamal Wright made Free Throw.,29,22
6:28,2272,Jamal Wright made Free Throw.,29,23
6:16,2272,Foul on Luke Vargo.,29,23
6:16,2182,Rodney Williams made Free Throw.,30,23
6:16,2182,Rodney Williams missed Free Throw.,30,23
6:16,2272,Austin White Defensive Rebound.,30,23
5:50,2272,Tarique Thompson Turnover.,30,23
5:48,2182,Rodney Williams Steal.,30,23
5:31,2182,Rodney Williams Turnover.,30,23
5:18,2272,Austin White missed Three Point Jumper.,30,23
5:18,2272,Tarique Thompson Offensive Rebound.,30,23
5:15,2272,Tarique Thompson made Layup.,30,25
5:07,2182,Foul on Kurk Lee.,30,25
5:07,2182,Kurk Lee Turnover.,30,25
4:56,2272,Jalen Williams missed Layup.,30,25
4:56,2182,Austin Williams Defensive Rebound.,30,25
4:50,2272,Foul on Luke Vargo.,30,25
4:50,2182,Miles Overton made Free Throw.,31,25
4:50,2182,Miles Overton made Free Throw.,32,25
4:34,2182,Foul on Tyshawn Myles.,32,25
4:34,2272,Miles Bowman Jr. made Free Throw.,32,26
4:34,2272,Miles Bowman Jr. made Free Throw.,32,27
4:31,2182,Kurk Lee missed Jumper.,32,27
4:31,2272,Miles Bowman Jr. Defensive Rebound.,32,27
3:54,2272,Jamal Wright missed Three Point Jumper.,32,27
3:54,2272,Miles Bowman Jr. Offensive Rebound.,32,27
3:50,2272,Miles Bowman Jr. missed Layup.,32,27
3:50,2182,Austin Williams Defensive Rebound.,32,27
3:45,2182,Miles Overton missed Three Point Jumper.,32,27
3:45,2182,Austin Williams Offensive Rebound.,32,27
3:38,2182,Austin Williams Turnover.,32,27
3:36,2272,Miles Bowman Jr. Steal.,32,27
3:16,2272,Miles Bowman Jr. missed Layup.,32,27
3:16,2182,Austin Williams Defensive Rebound.,32,27
3:14,2272,Technical Foul on Miles Bowman Jr..,32,27
3:14,2272,Foul on Miles Bowman Jr..,32,27
3:14,2272,Official TV Timeout,32,27
3:14,2182,Miles Overton made Free Throw.,33,27
3:14,2182,Miles Overton missed Free Throw.,33,27
3:14,2182,Drexel Deadball Team Rebound.,33,27
3:07,2182,Foul on John Moran.,33,27
3:07,2182,John Moran Turnover.,33,27
2:50,2272,Austin White missed Layup.,33,27
2:50,2182,Austin Williams Defensive Rebound.,33,27
2:46,2182,Austin Williams Turnover.,33,27
2:46,2272,Austin White Steal.,33,27
2:46,2182,Foul on Austin Williams.,33,27
2:46,2272,Austin White missed Free Throw.,33,27
2:46,2272,High Point Deadball Team Rebound.,33,27
2:46,2272,Austin White missed Free Throw.,33,27
2:46,2182,Tyshawn Myles Defensive Rebound.,33,27
2:27,2182,John Moran missed Three Point Jumper.,33,27
2:27,2272,Miles Bowman Jr. Defensive Rebound.,33,27
1:57,2272,Austin White made Three Point Jumper. Assisted by Jamal Wright.,33,30
1:47,2182,John Moran Turnover.,33,30
1:46,2272,Jamal Wright Steal.,33,30
1:44,2272,Austin White made Layup. Assisted by Jamal Wright.,33,32
1:40,2182,Drexel  Timeout,33,32
1:29,2182,Rodney Williams missed Layup.,33,32
1:29,2182,Tyshawn Myles Offensive Rebound.,33,32
1:21,2182,Tyshawn Myles missed Two Point Tip Shot.,33,32
1:21,2182,Rodney Williams Offensive Rebound.,33,32
1:17,2182,Rodney Williams made Layup.,35,32
1:10,2272,Jamal Wright made Three Point Jumper. Assisted by Austin White.,35,35
0:55,2182,Miles Overton missed Jumper.,35,35
0:55,2182,Miles Overton Offensive Rebound.,35,35
0:52,2182,Miles Overton missed Layup.,35,35
0:52,2272,Miles Bowman Jr. Defensive Rebound.,35,35
0:33,2272,Jalen Williams missed Three Point Jumper.,35,35
0:33,2182,Tyshawn Myles Defensive Rebound.,35,35
0:04,2182,Kurk Lee missed Layup.,35,35
0:04,2272,Austin White Defensive Rebound.,35,35
0:00,2272,End of 1st half,35,35
19:46,2272,Miles Bowman Jr. missed Jumper.,35,35
19:46,2182,Rodney Williams Defensive Rebound.,35,35
19:33,2182,Kurk Lee Turnover.,35,35
19:31,2272,Jamal Wright Steal.,35,35
19:29,2272,Austin White made Layup. Assisted by Jamal Wright.,35,37
19:16,2182,Rodney Williams made Layup. Assisted by Kurk Lee.,37,37
18:56,2272,Jamal Wright made Layup.,37,39
18:45,2182,Sammy Mojica missed Three Point Jumper.,37,39
18:45,2272,High Point Defensive Rebound.,37,39
18:20,2182,Foul on Kurk Lee.,37,39
18:20,2272,Jamal Wright missed Free Throw.,37,39
18:20,2272,High Point Deadball Team Rebound.,37,39
18:20,2272,Jamal Wright missed Free Throw.,37,39
18:20,2182,Kari Jonsson Defensive Rebound.,37,39
18:20,2272,Foul on Jamal Wright.,37,39
18:01,2182,Sammy Mojica missed Three Point Jumper.,37,39
18:01,2272,Ricky Madison Defensive Rebound.,37,39
17:47,2272,Jalen Williams made Layup.,37,41
17:36,2182,Sammy Mojica missed Layup.,37,41
17:36,2272,Miles Bowman Jr. Defensive Rebound.,37,41
17:18,2182,Foul on Rodney Williams.,37,41
17:18,2272,Miles Bowman Jr. made Free Throw.,37,42
17:18,2272,Miles Bowman Jr. made Free Throw.,37,43
17:02,2182,Kari Jonsson made Three Point Jumper. Assisted by Kurk Lee.,40,43
16:39,2272,Jamal Wright missed Three Point Jumper.,40,43
16:39,2182,Drexel Defensive Rebound.,40,43
16:14,2182,Kurk Lee made Layup.,42,43
15:52,2272,Tarique Thompson Turnover.,42,43
15:52,2272,Official TV Timeout,42,43
15:38,2272,Foul on Tarique Thompson.,42,43
15:38,2182,Rodney Williams made Free Throw.,43,43
15:38,2182,Rodney Williams made Free Throw.,44,43
15:12,2272,Ricky Madison missed Layup.,44,43
15:12,2182,Kurk Lee Defensive Rebound.,44,43
15:06,2182,Kurk Lee missed Layup.,44,43
15:06,2272,Ricky Madison Defensive Rebound.,44,43
15:03,2182,Foul on Austin Williams.,44,43
14:37,2272,Andre Fox missed Jumper.,44,43
14:37,2182,Kari Jonsson Defensive Rebound.,44,43
14:30,2182,Rodney Williams Turnover.,44,43
