Idaho State,2463,CSU Northridge,304
4:15,2463,Kendall Smith Defensive Rebound.,67,70
3:50,2463,Rakim Lubin Turnover.,67,70
3:48,304,Geno Luzcando Steal.,67,70
3:36,2463,Foul on Darin Johnson.,67,70
3:36,304,Idaho State  Timeout,67,70
3:36,304,Ethan Telfair made Free Throw.,68,70
3:36,304,Ethan Telfair made Free Throw.,69,70
3:24,2463,Kendall Smith Turnover.,69,70
3:23,304,Novak Topalovic Steal.,69,70
3:21,304,Ethan Telfair Turnover.,69,70
3:21,2463,Micheal Warren Steal.,69,70
3:10,2463,Reggie Theus Jr. missed Layup.,69,70
3:10,2463,Reggie Theus Jr. Offensive Rebound.,69,70
3:08,2463,Reggie Theus Jr. made Layup.,69,72
2:42,304,Ethan Telfair missed Three Point Jumper.,69,72
2:42,304,Brandon Boyd Offensive Rebound.,69,72
2:38,304,Brandon Boyd made Layup.,71,72
2:18,2463,Micheal Warren Turnover.,71,72
2:18,304,Ethan Telfair Steal.,71,72
2:14,304,Brandon Boyd made Layup. Assisted by Ethan Telfair.,73,72
2:06,2463,Tavrion Dawson Turnover.,73,72
1:57,304,Idaho State  Timeout,73,72
1:44,304,Ethan Telfair missed Jumper.,73,72
1:44,304,Geno Luzcando Offensive Rebound.,73,72
1:15,304,Ethan Telfair missed Layup.,73,72
1:15,2463,Kendall Smith Defensive Rebound.,73,72
0:59,2463,Tavrion Dawson made Layup. Assisted by Darin Johnson.,73,74
0:52,304,Hayes Garrity Turnover.,73,74
0:52,2463,CSU Northridge  Timeout,73,74
0:28,304,Foul on Ethan Telfair.,73,74
0:28,2463,Kendall Smith made Free Throw.,73,75
0:28,2463,Kendall Smith made Free Throw.,73,76
0:21,304,Idaho State  Timeout,73,76
0:08,304,Geno Luzcando made Three Point Jumper.,76,76
0:01,2463,Tavrion Dawson made Three Point Jumper. Assisted by Kendall Smith.,76,79
0:00,2463,End of Game,76,79
