Green Bay,2649,Toledo,2739
3:21,2649,Foul on Zach Garber.,25,34
3:21,2649,Official TV Timeout,25,34
3:21,2739,Trevor Anderson missed Free Throw.,25,34
3:21,2739,Green Bay Deadball Team Rebound.,25,34
3:21,2739,Trevor Anderson made Free Throw.,26,34
3:07,2649,Jaelan Sanford missed Three Point Jumper.,26,34
3:07,2739,Kameron Hankerson Defensive Rebound.,26,34
2:46,2739,Kerem Kanter missed Three Point Jumper.,26,34
2:46,2649,Steve Taylor Jr. Defensive Rebound.,26,34
2:30,2649,Jonathan Williams missed Layup.,26,34
2:30,2739,Tevin Findlay Defensive Rebound.,26,34
2:25,2739,Tevin Findlay missed Layup.,26,34
2:25,2649,Zach Garber Defensive Rebound.,26,34
2:02,2649,Jaelan Sanford Turnover.,26,34
1:50,2739,Kerem Kanter missed Layup.,26,34
1:50,2649,Zach Garber Defensive Rebound.,26,34
1:20,2649,Jonathan Williams missed Three Point Jumper.,26,34
1:20,2739,Turner Botz Defensive Rebound.,26,34
1:08,2739,David Jesperson missed Three Point Jumper.,26,34
1:08,2649,Zach Garber Defensive Rebound.,26,34
0:43,2739,Foul on Kerem Kanter.,26,34
0:43,2649,Jonathan Williams made Free Throw.,26,35
0:43,2649,Jonathan Williams made Free Throw.,26,36
0:34,2649,Foul on Zach Garber.,26,36
0:34,2739,Kerem Kanter made Free Throw.,27,36
0:34,2739,Green Bay  Timeout,27,36
0:34,2739,Kerem Kanter made Free Throw.,28,36
0:12,2649,Jaelan Sanford Turnover.,28,36
0:11,2739,Tevin Findlay Steal.,28,36
0:05,2739,Kerem Kanter made Layup. Assisted by Tevin Findlay.,30,36
0:00,2649,End of 1st half,30,36
19:39,2649,Steve Taylor Jr. missed Three Point Jumper.,30,36
19:39,2739,Trevor Anderson Defensive Rebound.,30,36
19:14,2739,Charles Cooper made Layup.,32,36
19:14,2649,Foul on Luke Knapke.,32,36
19:14,2739,Charles Cooper made Free Throw.,33,36
19:02,2649,Steve Taylor Jr. made Layup. Assisted by Jonathan Williams.,33,38
18:40,2739,Trevor Anderson Turnover.,33,38
18:14,2649,Jaelan Sanford missed Jumper.,33,38
18:14,2649,Jordan Lauf Offensive Rebound.,33,38
18:06,2739,Foul on Kenneth Lowe.,33,38
17:55,2649,Jonathan Williams Turnover.,33,38
17:53,2739,Jamar Hurdle Steal.,33,38
17:46,2739,Jamar Hurdle missed Jumper.,33,38
17:46,2739,Jamar Hurdle Offensive Rebound.,33,38
17:42,2739,Jamar Hurdle made Jumper.,35,38
17:18,2739,Foul on Trevor Anderson.,35,38
17:17,2649,Jonathan Williams missed Three Point Jumper.,35,38
17:17,2739,Charles Cooper Defensive Rebound.,35,38
17:14,2649,Foul on Jordan Lauf.,35,38
16:57,2739,Trevor Anderson missed Three Point Jumper.,35,38
16:57,2649,Jonathan Williams Defensive Rebound.,35,38
16:48,2649,Jonathan Williams missed Layup.,35,38
16:48,2739,Khalil Small Defensive Rebound.,35,38
16:32,2739,Charles Cooper missed Jumper.,35,38
16:32,2649,Steve Taylor Jr. Defensive Rebound.,35,38
16:05,2649,Zach Garber made Layup.,35,40
15:41,2649,Foul on Zach Garber.,35,40
15:41,2649,Official TV Timeout,35,40
15:31,2739,Tevin Findlay made Layup.,37,40
15:02,2649,Jonathan Williams missed Jumper.,37,40
14:55,2739,Khalil Small Defensive Rebound.,37,40
14:52,2739,Khalil Small missed Layup.,37,40
14:52,2649,Taylor Adway Block.,37,40
14:46,2649,Jordan Lauf Defensive Rebound.,37,40
14:42,2649,Steve Taylor Jr. made Layup. Assisted by Jonathan Williams.,37,42
14:42,2739,Foul on Tevin Findlay.,37,42
14:42,2649,Steve Taylor Jr. made Free Throw.,37,43
14:38,2739,Kerem Kanter made Three Point Jumper. Assisted by Charles Cooper.,40,43
14:12,2649,Steve Taylor Jr. missed Jumper.,40,43
14:12,2739,Tevin Findlay Defensive Rebound.,40,43
14:02,2739,Charles Cooper Turnover.,40,43
14:01,2649,Jordan Lauf Steal.,40,43
13:39,2739,Foul on Turner Botz.,40,43
13:28,2649,Jaelan Sanford missed Jumper.,40,43
13:28,2739,Khalil Small Defensive Rebound.,40,43
13:01,2649,Foul on Taylor Adway.,40,43
12:54,2739,Charles Cooper missed Three Point Jumper.,40,43
12:54,2649,Nate Navigato Defensive Rebound.,40,43
12:43,2649,Foul on Taylor Adway.,40,43
12:43,2649,Taylor Adway Turnover.,40,43
