Cal Poly,2065,Bethune-Cookman,13
6:20,13,Josh Martin missed Layup.,21,24
6:20,2065,Soufiyane Diakite Block.,21,24
6:18,2065,Malik Maitland Defensive Rebound.,21,24
6:13,2065,Houston Smith Turnover.,21,24
5:48,13,Donovan Fields missed Three Point Jumper.,21,24
5:48,13,Victor Joseph Offensive Rebound.,21,24
5:43,13,Victor Joseph made Layup.,23,24
5:29,2065,Malik Maitland made Three Point Jumper.,23,27
5:12,13,Victor Joseph missed Three Point Jumper.,23,27
5:12,2065,Malik Maitland Defensive Rebound.,23,27
5:04,2065,Malik Maitland made Layup.,23,29
5:04,13,Foul on Victor Joseph.,23,29
5:04,2065,Malik Maitland made Free Throw.,23,30
4:52,13,Josh Martin made Jumper. Assisted by Victor Joseph.,25,30
4:31,2065,Isaiah Bailey made Layup. Assisted by Malik Maitland.,25,32
4:10,13,Luke Meikle missed Jumper.,25,32
4:10,13,Victor Joseph Offensive Rebound.,25,32
4:05,13,Donovan Fields missed Layup.,25,32
4:05,2065,Shawntrez Davis Block.,25,32
4:03,2065,Soufiyane Diakite Defensive Rebound.,25,32
3:53,2065,Malik Maitland missed Jumper.,25,32
3:53,2065,Shawntrez Davis Offensive Rebound.,25,32
3:49,2065,Shawntrez Davis Turnover.,25,32
3:48,13,Jakub Niziol Steal.,25,32
3:39,13,Josh Martin made Jumper. Assisted by Jakub Niziol.,27,32
3:19,2065,Isaiah Bailey missed Layup.,27,32
3:19,13,Donovan Fields Defensive Rebound.,27,32
3:10,2065,Official TV Timeout,27,32
2:48,13,Josh Martin made Jumper.,29,32
2:21,2065,Shawntrez Davis missed Layup.,29,32
2:21,13,Mark Crowe Block.,29,32
2:18,2065,David Francis Offensive Rebound.,29,32
1:48,2065,Malik Maitland missed Jumper.,29,32
1:48,13,Karlis Garoza Defensive Rebound.,29,32
1:18,13,Karlis Garoza missed Jumper.,29,32
1:18,13,Mark Crowe Offensive Rebound.,29,32
1:15,13,Mark Crowe made Two Point Tip Shot.,31,32
0:48,13,Foul on Karlis Garoza.,31,32
0:48,2065,Shawntrez Davis made Free Throw.,31,33
0:48,2065,Shawntrez Davis missed Free Throw.,31,33
0:48,13,Josh Martin Defensive Rebound.,31,33
0:22,13,Josh Martin missed Jumper.,31,33
0:22,2065,Houston Smith Defensive Rebound.,31,33
0:00,2065,Shawntrez Davis made Layup. Assisted by Malik Maitland.,31,35
0:00,2065,End of 1st half,31,35
19:42,13,Luke Meikle missed Jumper.,31,35
19:42,2065,Shawntrez Davis Defensive Rebound.,31,35
19:30,2065,Isaiah Bailey Turnover.,31,35
19:28,13,Donovan Fields Steal.,31,35
19:14,13,Victor Joseph missed Three Point Jumper.,31,35
19:14,2065,Shawntrez Davis Defensive Rebound.,31,35
18:55,2065,Malik Maitland made Jumper. Assisted by Soufiyane Diakite.,31,37
18:36,13,Victor Joseph missed Three Point Jumper.,31,37
18:36,2065,Houston Smith Defensive Rebound.,31,37
18:27,13,Foul on Victor Joseph.,31,37
18:21,2065,Isaiah Bailey made Layup.,31,39
18:03,13,Marcellus Garrick Turnover.,31,39
17:43,2065,Shawntrez Davis missed Jumper.,31,39
17:43,2065,Soufiyane Diakite Offensive Rebound.,31,39
