North Florida,2050,Ball State,2454
5:03,2454,Ryan Burkhardt Turnover.,22,25
5:01,2050,Tayler Persons Steal.,22,25
5:00,2050,Tayler Persons made Layup.,22,27
4:47,2454,Ivan Gandia-Rosa missed Layup.,22,27
4:47,2050,Trey Moses Defensive Rebound.,22,27
4:39,2050,Tayler Persons missed Layup.,22,27
4:39,2454,J.T. Escobar Defensive Rebound.,22,27
4:25,2454,Ivan Gandia-Rosa missed Three Point Jumper.,22,27
4:25,2050,Jontrell Walker Defensive Rebound.,22,27
4:18,2050,Jontrell Walker made Layup.,22,29
4:00,2050,Foul on Tahjai Teague.,22,29
3:57,2454,J.T. Escobar missed Three Point Jumper.,22,29
3:57,2454,Noah Horchler Offensive Rebound.,22,29
3:54,2454,Noah Horchler missed Layup.,22,29
3:54,2454,J.T. Escobar Offensive Rebound.,22,29
3:50,2454,J.T. Escobar Turnover.,22,29
3:49,2050,Tahjai Teague Steal.,22,29
3:40,2050,Francis Kiapway made Three Point Jumper. Assisted by Kyle Mallers.,22,32
3:39,2454,North Florida  Timeout,22,32
3:22,2454,Osborn Blount missed Jumper.,22,32
3:22,2050,Jeremie Tyler Block.,22,32
3:20,2050,Jeremie Tyler Defensive Rebound.,22,32
3:04,2050,Jeremie Tyler made Jumper. Assisted by Francis Kiapway.,22,34
2:56,2050,Foul on Francis Kiapway.,22,34
2:40,2454,J.T. Escobar missed Three Point Jumper.,22,34
2:40,2050,Jontrell Walker Defensive Rebound.,22,34
2:33,2050,Jeremie Tyler made Dunk. Assisted by Jontrell Walker.,22,36
2:16,2050,Foul on Tahjai Teague.,22,36
1:59,2454,Ivan Gandia-Rosa missed Jumper.,22,36
1:59,2454,Trip Day Offensive Rebound.,22,36
1:55,2454,Trip Day made Jumper.,24,36
1:40,2050,Kyle Mallers made Layup. Assisted by Trey Moses.,24,38
1:40,2454,Foul on Trip Day.,24,38
1:40,2050,Kyle Mallers made Free Throw.,24,39
1:20,2454,Noah Horchler missed Jumper.,24,39
1:20,2454,North Florida Offensive Rebound.,24,39
1:16,2454,Trip Day made Layup. Assisted by Ivan Gandia-Rosa.,26,39
1:00,2050,Kyle Mallers made Layup. Assisted by Trey Moses.,26,41
0:46,2454,Noah Horchler made Jumper. Assisted by Ivan Gandia-Rosa.,28,41
0:30,2454,Foul on Osborn Blount.,28,41
0:21,2050,Tayler Persons made Jumper. Assisted by Jeremie Tyler.,28,43
0:10,2454,Ivan Gandia-Rosa missed Layup.,28,43
0:10,2454,Trip Day Offensive Rebound.,28,43
0:06,2454,Trip Day made Jumper.,30,43
0:05,2050,Ball State  Timeout,30,43
0:01,2050,Tayler Persons missed Three Point Jumper.,30,43
0:01,2050,Trey Moses Offensive Rebound.,30,43
0:00,2050,End of 1st half,30,43
19:51,2454,J.T. Escobar missed Three Point Jumper.,30,43
19:51,2050,Tayler Persons Defensive Rebound.,30,43
19:36,2050,Jontrell Walker made Jumper. Assisted by Trey Moses.,30,45
19:11,2454,Noah Horchler missed Layup.,30,45
19:11,2050,Tayler Persons Defensive Rebound.,30,45
18:58,2050,Trey Moses missed Jumper.,30,45
18:58,2050,Trey Moses Offensive Rebound.,30,45
18:51,2050,Kyle Mallers missed Layup.,30,45
18:51,2050,Trey Moses Offensive Rebound.,30,45
18:48,2050,Trey Moses made Layup.,30,47
18:40,2050,Foul on Tayler Persons.,30,47
18:26,2454,Wajid Aminu Turnover.,30,47
18:25,2050,Sean Sellers Steal.,30,47
18:12,2050,Kyle Mallers made Jumper. Assisted by Jontrell Walker.,30,49
18:08,2454,North Florida  Timeout,30,49
18:08,2050,Official TV Timeout,30,49
17:59,2454,Wajid Aminu missed Jumper.,30,49
17:59,2050,Trey Moses Block.,30,49
17:58,2050,Trey Moses Defensive Rebound.,30,49
17:49,2050,Sean Sellers missed Three Point Jumper.,30,49
17:49,2454,Noah Horchler Defensive Rebound.,30,49
17:37,2454,Ivan Gandia-Rosa made Layup.,32,49
17:14,2050,Trey Moses made Layup. Assisted by Jontrell Walker.,32,51
16:58,2454,Trip Day missed Jumper.,32,51
16:58,2454,Noah Horchler Offensive Rebound.,32,51
16:56,2454,Noah Horchler Turnover.,32,51
16:56,2454,Foul on Noah Horchler.,32,51
16:30,2050,Jontrell Walker Turnover.,32,51
16:28,2454,Ryan Burkhardt Steal.,32,51
16:25,2454,J.T. Escobar made Three Point Jumper. Assisted by Ryan Burkhardt.,35,51
15:57,2050,Sean Sellers missed Three Point Jumper.,35,51
15:57,2454,Noah Horchler Defensive Rebound.,35,51
15:38,2454,Noah Horchler missed Layup.,35,51
15:38,2050,Trey Moses Defensive Rebound.,35,51
15:22,2050,Tayler Persons missed Jumper.,35,51
15:22,2454,Noah Horchler Defensive Rebound.,35,51
15:11,2454,Trip Day missed Three Point Jumper.,35,51
15:11,2050,Kyle Mallers Defensive Rebound.,35,51
15:01,2050,Jontrell Walker Turnover.,35,51
14:59,2454,J.T. Escobar Steal.,35,51
14:57,2454,Ivan Gandia-Rosa made Three Point Jumper. Assisted by J.T. Escobar.,38,51
14:49,2050,Ball State  Timeout,38,51
14:49,2050,Official TV Timeout,38,51
14:30,2050,Francis Kiapway missed Three Point Jumper.,38,51
14:30,2454,Wajid Aminu Defensive Rebound.,38,51
14:24,2454,J.T. Escobar made Three Point Jumper. Assisted by Ivan Gandia-Rosa.,41,51
13:59,2454,Foul on Osborn Blount.,41,51
13:55,2050,Kyle Mallers missed Layup.,41,51
13:55,2454,Trip Day Defensive Rebound.,41,51
13:38,2454,Wajid Aminu made Jumper. Assisted by Osborn Blount.,43,51
13:17,2050,Jeremie Tyler missed Layup.,43,51
13:17,2050,Jeremie Tyler Offensive Rebound.,43,51
13:14,2050,Jeremie Tyler missed Layup.,43,51
13:14,2454,Ivan Gandia-Rosa Defensive Rebound.,43,51
13:09,2454,Ivan Gandia-Rosa missed Three Point Jumper.,43,51
13:09,2050,Ball State Defensive Rebound.,43,51
12:50,2050,Tayler Persons Turnover.,43,51
12:27,2050,Foul on Tayler Persons.,43,51
12:27,2454,Osborn Blount made Free Throw.,44,51
12:27,2454,Osborn Blount missed Free Throw.,44,51
12:27,2050,Tahjai Teague Defensive Rebound.,44,51
12:11,2050,Trey Moses Turnover.,44,51
12:10,2454,J.T. Escobar Steal.,44,51
12:04,2454,Trip Day made Layup. Assisted by Osborn Blount.,46,51
11:49,2050,Jeremie Tyler Turnover.,46,51
11:49,2050,Official TV Timeout,46,51
11:37,2454,Osborn Blount missed Jumper.,46,51
11:37,2050,Jeremie Tyler Block.,46,51
11:34,2050,Tahjai Teague Defensive Rebound.,46,51
11:31,2050,Tahjai Teague made Dunk.,46,53
11:07,2454,Wajid Aminu missed Jumper.,46,53
11:07,2050,Tahjai Teague Defensive Rebound.,46,53
11:00,2050,Jontrell Walker made Jumper. Assisted by Tahjai Teague.,46,55
10:43,2454,Noah Horchler missed Three Point Jumper.,46,55
10:43,2050,Jontrell Walker Defensive Rebound.,46,55
10:34,2050,Francis Kiapway made Three Point Jumper. Assisted by Jeremie Tyler.,46,58
