Towson,219,Pennsylvania,119
4:51,219,Ryan Betley Turnover.,27,23
4:49,119,Mike Morsell Steal.,27,23
4:43,119,Travis Ingram made Jumper.,29,23
4:40,219,Pennsylvania  Timeout,29,23
4:40,119,Foul on Travis Ingram.,29,23
4:22,219,AJ Brodeur missed Layup.,29,23
4:22,119,Justin Gorham Block.,29,23
4:20,119,Brian Starr Defensive Rebound.,29,23
4:15,119,Mike Morsell made Three Point Jumper. Assisted by Brian Starr.,32,23
3:56,219,Max Rothschild Turnover.,32,23
3:56,219,Foul on Max Rothschild.,32,23
3:56,219,Official TV Timeout,32,23
3:28,119,Travis Ingram Turnover.,32,23
3:28,119,Foul on Travis Ingram.,32,23
3:01,219,AJ Brodeur made Jumper.,32,25
2:47,119,Mike Morsell missed Three Point Jumper.,32,25
2:47,219,Antonio Woods Defensive Rebound.,32,25
2:24,219,Ryan Betley made Three Point Jumper. Assisted by Caleb Wood.,32,28
1:56,119,Travis Ingram missed Three Point Jumper.,32,28
1:56,119,Travis Ingram Offensive Rebound.,32,28
1:52,119,Jordan McNeil made Three Point Jumper. Assisted by Brian Starr.,35,28
1:37,219,AJ Brodeur missed Jumper.,35,28
1:37,119,Justin Gorham Defensive Rebound.,35,28
1:17,119,Mike Morsell made Jumper.,37,28
0:53,219,Ryan Betley made Three Point Jumper. Assisted by Caleb Wood.,37,31
0:29,119,Brian Starr missed Three Point Jumper.,37,31
0:29,119,Towson Offensive Rebound.,37,31
0:09,119,Deshaun Morman Turnover.,37,31
0:08,219,Ryan Betley Steal.,37,31
0:04,219,Ryan Betley made Layup.,37,33
0:00,219,End of 1st half,37,33
19:48,119,Mike Morsell made Layup. Assisted by Eddie Keith II.,39,33
19:18,219,Ryan Betley made Jumper.,39,35
19:01,219,Foul on Ryan Betley.,39,35
18:56,119,Mike Morsell made Three Point Jumper. Assisted by Brian Starr.,42,35
18:33,219,AJ Brodeur missed Jumper.,42,35
18:33,119,Alex Thomas Defensive Rebound.,42,35
18:05,119,Mike Morsell Turnover.,42,35
17:57,219,Ryan Betley Turnover.,42,35
17:43,119,Alex Thomas missed Jumper.,42,35
17:43,219,AJ Brodeur Defensive Rebound.,42,35
17:30,219,AJ Brodeur made Layup.,42,37
17:03,219,Foul on Ryan Betley.,42,37
17:03,119,Zane Martin made Free Throw.,43,37
17:03,119,Zane Martin made Free Throw.,44,37
16:39,219,Max Rothschild missed Jumper.,44,37
16:39,219,Max Rothschild Offensive Rebound.,44,37
16:37,219,Max Rothschild made Layup.,44,39
16:16,119,Mike Morsell missed Three Point Jumper.,44,39
16:16,219,Darnell Foreman Defensive Rebound.,44,39
16:07,219,Darnell Foreman made Layup.,44,41
15:43,119,Brian Starr made Three Point Jumper.,47,41
15:19,219,Max Rothschild Turnover.,47,41
15:19,219,Official TV Timeout,47,41
15:07,219,Foul on Ryan Betley.,47,41
15:03,119,Dennis Tunstall made Layup. Assisted by Brian Starr.,49,41
14:49,219,Antonio Woods missed Layup.,49,41
14:49,119,Jordan McNeil Defensive Rebound.,49,41
14:38,119,Deshaun Morman missed Jumper.,49,41
14:38,219,Pennsylvania Defensive Rebound.,49,41
14:19,219,Ryan Betley made Three Point Jumper. Assisted by Caleb Wood.,49,44
13:57,119,Justin Gorham Turnover.,49,44
13:56,219,Darnell Foreman Steal.,49,44
13:55,219,Darnell Foreman made Layup.,49,46
13:34,119,Brian Starr made Three Point Jumper. Assisted by Deshaun Morman.,52,46
13:03,119,Foul on Dennis Tunstall.,52,46
12:50,219,Caleb Wood made Layup. Assisted by AJ Brodeur.,52,48
12:23,119,Eddie Keith II made Three Point Jumper. Assisted by Deshaun Morman.,55,48
11:59,219,Antonio Woods missed Layup.,55,48
11:59,219,AJ Brodeur Offensive Rebound.,55,48
11:55,219,AJ Brodeur made Layup.,55,50
11:34,219,Foul on Caleb Wood.,55,50
11:34,219,Official TV Timeout,55,50
11:34,119,Deshaun Morman missed Free Throw.,55,50
11:34,119,Towson Deadball Team Rebound.,55,50
11:34,119,Deshaun Morman missed Free Throw.,55,50
11:34,219,Max Rothschild Defensive Rebound.,55,50
11:32,219,Max Rothschild Turnover.,55,50
