East-West University,2130,Chicago State,3107
8:29,2130,Deionte Simmons Defensive Rebound.,10,30
8:17,2130,Travon Bell missed Jumper.,10,30
8:17,-1,Brian Ashbury Defensive Rebound.,10,30
8:02,-1,Patrick Rucker missed Layup.,10,30
8:02,2130,Deionte Simmons Defensive Rebound.,10,30
8:01,-1,Foul on Patrick Rucker.,10,30
8:01,2130,Official TV Timeout,10,30
8:01,2130,Deionte Simmons missed Free Throw.,10,30
8:01,-1,Carl Moore Defensive Rebound.,10,30
7:37,-1,Sherman Carter made Layup.,12,30
7:24,2130,Alex Dubovitskiy missed Three Point Jumper.,12,30
7:24,2130,Deionte Simmons Offensive Rebound.,12,30
7:18,2130,Deionte Simmons missed Layup.,12,30
7:18,-1,Markus Johnson Defensive Rebound.,12,30
7:11,-1,Cortland Gillespie missed Jumper.,12,30
7:11,2130,Alex Dubovitskiy Defensive Rebound.,12,30
7:09,-1,Foul on Cortland Gillespie.,12,30
7:09,2130,Alex Dubovitskiy made Free Throw.,12,31
7:09,2130,Alex Dubovitskiy made Free Throw.,12,32
6:58,-1,Brian Ashbury missed Dunk.,12,32
6:58,2130,Deionte Simmons Defensive Rebound.,12,32
6:54,-1,Foul on Carl Moore.,12,32
6:54,2130,Simeon Henton missed Free Throw.,12,32
6:54,2130,Chicago State Deadball Team Rebound.,12,32
6:54,2130,Simeon Henton made Free Throw.,12,33
6:52,-1,Markus Johnson Turnover.,12,33
6:49,2130,Deionte Simmons Steal.,12,33
6:46,2130,Rob Shaw missed Three Point Jumper.,12,33
6:46,-1,Markus Johnson Defensive Rebound.,12,33
6:29,-1,Sherman Carter missed Jumper.,12,33
6:29,2130,Rob Shaw Defensive Rebound.,12,33
6:22,-1,Foul on Markus Johnson.,12,33
6:22,2130,Deionte Simmons made Free Throw.,12,34
6:22,2130,Deionte Simmons missed Free Throw.,12,34
6:22,2130,Rob Shaw Offensive Rebound.,12,34
6:19,2130,Rob Shaw missed Layup.,12,34
6:19,-1,Markus Johnson Block.,12,34
6:18,2130,Chicago State Offensive Rebound.,12,34
6:16,2130,Nathan Townsen Jr. missed Layup.,12,34
6:15,-1,East-West University Defensive Rebound.,12,34
6:15,2130,Foul on Jalen Stephens-Holmes.,12,34
6:14,-1,Markus Johnson missed Free Throw.,12,34
6:13,-1,East-West University Deadball Team Rebound.,12,34
6:12,-1,Markus Johnson missed Free Throw.,12,34
6:11,-1,East-West University Offensive Rebound.,12,34
6:10,-1,Markus Johnson made Layup.,14,34
6:02,2130,Nathan Townsen Jr. missed Three Point Jumper.,14,34
6:02,-1,Markus Johnson Defensive Rebound.,14,34
5:52,-1,Cortland Gillespie missed Layup.,14,34
5:52,2130,Jalen Stephens-Holmes Block.,14,34
5:51,-1,East-West University Offensive Rebound.,14,34
5:50,-1,Markus Johnson made Layup. Assisted by Cortland Gillespie.,16,34
5:29,-1,Foul on Cortland Gillespie.,16,34
5:29,-1,Technical Foul on East-West University.,16,34
5:29,2130,Montana Byrd made Free Throw.,16,35
