Louisiana,2751,Wyoming,309
4:09,2751,Alan Herndon made Free Throw.,19,22
4:09,2751,Alan Herndon missed Free Throw.,19,22
4:09,309,Frank Bartley IV Defensive Rebound.,19,22
3:52,309,Cedric Russell missed Jumper.,19,22
3:52,2751,Louis Adams Defensive Rebound.,19,22
3:43,2751,Official TV Timeout,19,22
3:31,309,Foul on Jerekius Davis.,19,22
3:31,2751,Louis Adams made Free Throw.,19,23
3:31,2751,Louis Adams made Free Throw.,19,24
3:16,309,P.J. Hardy Turnover.,19,24
3:15,2751,Andrew Moemeka Steal.,19,24
3:13,2751,Louis Adams Turnover.,19,24
2:57,309,Cedric Russell missed Three Point Jumper.,19,24
2:57,2751,Wyoming Defensive Rebound.,19,24
2:55,309,Foul on Jerekius Davis.,19,24
2:55,2751,Alan Herndon made Free Throw.,19,25
2:55,2751,Alan Herndon made Free Throw.,19,26
2:40,309,Bryce Washington missed Jumper.,19,26
2:40,2751,Cody Kelley Defensive Rebound.,19,26
2:30,2751,Louis Adams made Jumper.,19,28
2:11,309,Malik Marquetti missed Jumper.,19,28
2:11,2751,Cody Kelley Defensive Rebound.,19,28
1:58,2751,Louis Adams Turnover.,19,28
1:57,309,Frank Bartley IV Steal.,19,28
1:55,2751,Foul on Louis Adams.,19,28
1:53,309,Malik Marquetti Turnover.,19,28
1:52,2751,Cody Kelley Steal.,19,28
1:49,2751,Cody Kelley made Layup.,19,30
1:27,309,Cedric Russell Turnover.,19,30
1:26,2751,Andrew Moemeka Steal.,19,30
1:15,2751,Cody Kelley Turnover.,19,30
1:14,309,Bryce Washington Steal.,19,30
1:09,309,Cedric Russell made Layup. Assisted by Frank Bartley IV.,21,30
0:46,2751,Alexander Aka Gorski made Three Point Jumper. Assisted by Alan Herndon.,21,33
0:29,309,Bryce Washington missed Layup.,21,33
0:29,2751,Hunter Maldonado Defensive Rebound.,21,33
0:07,2751,Cody Kelley missed Layup.,21,33
0:07,2751,Andrew Moemeka Offensive Rebound.,21,33
0:05,2751,Andrew Moemeka made Dunk.,21,35
0:01,2751,Foul on Hunter Maldonado.,21,35
0:01,309,Frank Bartley IV missed Free Throw.,21,35
0:01,309,Louisiana Deadball Team Rebound.,21,35
0:01,309,Frank Bartley IV made Free Throw.,22,35
0:01,309,Frank Bartley IV made Free Throw.,23,35
0:00,2751,End of 1st half,23,35
19:47,309,Foul on Marcus Stroman.,23,35
19:47,309,Marcus Stroman Turnover.,23,35
19:19,2751,Nyaires Redding made Three Point Jumper. Assisted by Alan Herndon.,23,38
19:10,2751,Foul on Nyaires Redding.,23,38
19:08,309,JaKeenan Gant missed Three Point Jumper.,23,38
19:08,309,Bryce Washington Offensive Rebound.,23,38
19:00,2751,Foul on Louis Adams.,23,38
