Santa Clara,238,Vanderbilt,2541
1:06,238,Jeff Roberson missed Free Throw.,23,37
1:06,2541,Henrik Jadersten Defensive Rebound.,23,37
1:04,238,Foul on Nolan Cressler.,23,37
0:47,238,Foul on Djery Baptiste.,23,37
0:30,2541,Henrik Jadersten missed Three Point Jumper.,23,37
0:30,238,Riley LaChance Defensive Rebound.,23,37
0:03,238,Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.,23,40
0:02,2541,Foul on Kai Healy.,23,40
0:02,238,Matthew Fisher-Davis made Free Throw.,23,41
0:01,2541,Matt Hauser missed Three Point Jumper.,23,41
0:00,238,Vanderbilt Defensive Rebound.,23,41
0:00,238,Official TV Timeout,23,41
0:00,238,End of 1st half,23,41
19:40,2541,Matt Hauser missed Jumper.,23,41
19:40,238,Riley LaChance Defensive Rebound.,23,41
19:19,238,Luke Kornet missed Layup.,23,41
19:19,2541,Jarvis Pugh Defensive Rebound.,23,41
19:03,2541,Jared Brownridge missed Three Point Jumper.,23,41
19:03,238,Luke Kornet Defensive Rebound.,23,41
18:41,238,Luke Kornet missed Three Point Jumper.,23,41
18:41,2541,Jarvis Pugh Defensive Rebound.,23,41
18:26,2541,Jared Brownridge made Layup.,25,41
18:26,238,Foul on Jeff Roberson.,25,41
18:26,2541,Jared Brownridge made Free Throw.,26,41
18:04,238,Luke Kornet missed Layup.,26,41
18:04,2541,Matt Hauser Defensive Rebound.,26,41
17:58,2541,Jared Brownridge made Layup.,28,41
17:50,238,Vanderbilt  Timeout,28,41
17:35,238,Jeff Roberson Turnover.,28,41
17:13,2541,Matt Hauser missed Layup.,28,41
17:13,238,Vanderbilt Defensive Rebound.,28,41
17:02,2541,Foul on Henrik Jadersten.,28,41
16:46,238,Jeff Roberson Turnover.,28,41
16:33,238,Foul on Matthew Fisher-Davis.,28,41
16:33,2541,Jared Brownridge missed Free Throw.,28,41
16:33,2541,Santa Clara Deadball Team Rebound.,28,41
16:33,2541,Jared Brownridge made Free Throw.,29,41
16:33,2541,Jared Brownridge made Free Throw.,30,41
16:10,238,Matthew Fisher-Davis missed Layup.,30,41
16:10,238,Payton Willis Offensive Rebound.,30,41
16:03,238,Riley LaChance missed Three Point Jumper.,30,41
16:03,2541,Matt Hauser Defensive Rebound.,30,41
15:55,238,Foul on Riley LaChance.,30,41
15:55,238,Official TV Timeout,30,41
15:55,2541,Jarvis Pugh made Free Throw.,31,41
15:55,2541,Jarvis Pugh made Free Throw.,32,41
15:40,238,Clevon Brown missed Three Point Jumper.,32,41
15:40,2541,Matt Hauser Defensive Rebound.,32,41
15:24,2541,Jarvis Pugh missed Jumper.,32,41
15:24,238,Clevon Brown Defensive Rebound.,32,41
15:07,238,Payton Willis Turnover.,32,41
14:41,2541,Nate Kratch made Layup.,34,41
14:10,238,Payton Willis made Three Point Jumper. Assisted by Riley LaChance.,34,44
13:52,2541,Nate Kratch made Three Point Jumper. Assisted by Matt Hauser.,37,44
13:20,238,Payton Willis missed Three Point Jumper.,37,44
13:20,238,Clevon Brown Offensive Rebound.,37,44
13:15,238,Clevon Brown missed Layup.,37,44
13:15,2541,Nate Kratch Defensive Rebound.,37,44
12:59,2541,Jared Brownridge made Layup.,39,44
12:59,238,Foul on Riley LaChance.,39,44
12:59,2541,Jared Brownridge made Free Throw.,40,44
12:31,238,Matthew Fisher-Davis missed Three Point Jumper.,40,44
12:31,238,Nolan Cressler Offensive Rebound.,40,44
12:12,238,Payton Willis Turnover.,40,44
12:12,238,Vanderbilt  Timeout,40,44
12:12,238,Official TV Timeout,40,44
11:50,2541,Nate Kratch missed Layup.,40,44
11:50,238,Riley LaChance Defensive Rebound.,40,44
11:20,238,Djery Baptiste made Dunk. Assisted by Payton Willis.,40,46
11:10,2541,Matt Hauser made Layup.,42,46
10:50,238,Payton Willis Turnover.,42,46
10:28,2541,Nate Kratch made Layup.,44,46
10:11,238,Jeff Roberson made Three Point Jumper. Assisted by Riley LaChance.,44,49
9:56,2541,Nate Kratch missed Layup.,44,49
9:56,238,Luke Kornet Defensive Rebound.,44,49
9:56,2541,Foul on Nate Kratch.,44,49
9:24,2541,Foul on Matt Hubbard.,44,49
9:24,238,Matthew Fisher-Davis made Free Throw.,44,50
9:24,238,Matthew Fisher-Davis made Free Throw.,44,51
9:04,2541,Jared Brownridge made Three Point Jumper.,47,51
8:45,238,Jeff Roberson made Three Point Jumper. Assisted by Riley LaChance.,47,54
8:36,2541,Foul on Matt Hubbard.,47,54
8:36,2541,Matt Hubbard Turnover.,47,54
8:25,238,Foul on Luke Kornet.,47,54
8:25,238,Luke Kornet Turnover.,47,54
8:06,2541,Jarvis Pugh missed Layup.,47,54
8:06,238,Luke Kornet Defensive Rebound.,47,54
7:43,238,Riley LaChance made Three Point Jumper. Assisted by Jeff Roberson.,47,57
7:25,238,Foul on Matthew Fisher-Davis.,47,57
7:25,238,Official TV Timeout,47,57
7:25,2541,Jared Brownridge made Free Throw.,48,57
7:25,2541,Jared Brownridge made Free Throw.,49,57
7:02,238,Jeff Roberson made Layup.,49,59
6:36,238,Foul on Luke Kornet.,49,59
6:36,2541,Jared Brownridge made Free Throw.,50,59
6:36,2541,Jared Brownridge made Free Throw.,51,59
6:20,2541,Foul on Jarvis Pugh.,51,59
6:07,238,Matthew Fisher-Davis missed Three Point Jumper.,51,59
6:07,2541,Henrik Jadersten Defensive Rebound.,51,59
5:58,2541,Jared Brownridge made Jumper.,53,59
5:25,238,Luke Kornet made Three Point Jumper. Assisted by Riley LaChance.,53,62
5:14,2541,Matt Hauser missed Layup.,53,62
5:14,238,Payton Willis Defensive Rebound.,53,62
4:49,238,Luke Kornet missed Three Point Jumper.,53,62
4:49,2541,Nate Kratch Defensive Rebound.,53,62
4:29,2541,Jarvis Pugh missed Three Point Jumper.,53,62
4:29,238,Luke Kornet Defensive Rebound.,53,62
4:12,238,Matthew Fisher-Davis Turnover.,53,62
3:52,2541,Jarvis Pugh made Jumper. Assisted by Henrik Jadersten.,55,62
3:25,238,Jeff Roberson missed Layup.,55,62
3:25,238,Luke Kornet Offensive Rebound.,55,62
3:24,238,Luke Kornet Turnover.,55,62
3:24,238,Official TV Timeout,55,62
3:14,2541,Nate Kratch missed Three Point Jumper.,55,62
3:14,238,Matthew Fisher-Davis Defensive Rebound.,55,62
2:49,238,Payton Willis made Layup.,55,64
2:42,2541,Jarvis Pugh made Layup.,57,64
2:15,238,Luke Kornet made Layup. Assisted by Payton Willis.,57,66
1:53,2541,Jared Brownridge missed Three Point Jumper.,57,66
1:53,238,Jeff Roberson Defensive Rebound.,57,66
1:21,238,Luke Kornet made Layup.,57,68
1:21,2541,Foul on Henrik Jadersten.,57,68
1:21,238,Luke Kornet made Free Throw.,57,69
1:11,238,Foul on Riley LaChance.,57,69
1:11,2541,Santa Clara  Timeout,57,69
1:11,2541,Jared Brownridge made Free Throw.,58,69
1:11,2541,Jared Brownridge made Free Throw.,59,69
1:01,2541,Foul on Kai Healy.,59,69
1:01,238,Jeff Roberson made Free Throw.,59,70
1:01,238,Jeff Roberson missed Free Throw.,59,70
1:01,2541,Jarvis Pugh Defensive Rebound.,59,70
0:49,238,Foul on Riley LaChance.,59,70
0:49,2541,Jared Brownridge made Free Throw.,60,70
0:49,2541,Jared Brownridge made Free Throw.,61,70
0:45,2541,Foul on Evan Wardlow.,61,70
0:45,238,Luke Kornet made Free Throw.,61,71
0:45,238,Luke Kornet made Free Throw.,61,72
0:37,2541,Jared Brownridge made Jumper.,63,72
0:35,2541,Santa Clara  Timeout,63,72
0:32,2541,Foul on Evan Wardlow.,63,72
0:32,238,Luke Kornet made Free Throw.,63,73
0:32,238,Luke Kornet made Free Throw.,63,74
0:24,2541,Jared Brownridge made Three Point Jumper. Assisted by Matt Hauser.,66,74
0:22,2541,Foul on Kai Healy.,66,74
0:22,238,Luke Kornet made Free Throw.,66,75
0:22,238,Luke Kornet made Free Throw.,66,76
0:16,2541,Henrik Jadersten missed Three Point Jumper.,66,76
0:16,238,Riley LaChance Defensive Rebound.,66,76
0:00,238,Official TV Timeout,66,76
0:00,238,End of Game,66,76
