Bryant,77,Northwestern,2803
3:36,77,Isiah Brown Offensive Rebound.,14,34
3:30,77,Dererk Pardon missed Layup.,14,34
3:30,2803,Bryant Defensive Rebound.,14,34
3:30,77,Foul on Sanjay Lumpkin.,14,34
3:30,77,Official TV Timeout,14,34
3:10,2803,Sabastian Townes made Jumper. Assisted by Ikenna Ndugba.,16,34
2:59,77,Isiah Brown Turnover.,16,34
2:39,2803,Sabastian Townes missed Layup.,16,34
2:39,77,Gavin Skelly Block.,16,34
2:39,77,Northwestern Defensive Rebound.,16,34
2:39,2803,Foul on Sabastian Townes.,16,34
2:39,77,Gavin Skelly made Free Throw.,16,35
2:39,77,Gavin Skelly made Free Throw.,16,36
2:23,77,Foul on Bryant McIntosh.,16,36
2:16,2803,Nisre Zouzoua made Jumper. Assisted by Ikenna Ndugba.,18,36
1:58,77,Gavin Skelly made Layup. Assisted by Scottie Lindsey.,18,38
1:36,2803,Nisre Zouzoua missed Three Point Jumper.,18,38
1:36,77,Vic Law Defensive Rebound.,18,38
1:26,77,Vic Law Turnover.,18,38
1:06,2803,Nisre Zouzoua missed Layup.,18,38
1:06,2803,Marcel Pettway Offensive Rebound.,18,38
1:06,77,Foul on Sanjay Lumpkin.,18,38
0:58,2803,Adam Grant made Jumper. Assisted by Hunter Ware.,20,38
0:45,77,Bryant McIntosh missed Three Point Jumper.,20,38
0:45,77,Northwestern Offensive Rebound.,20,38
0:26,77,Bryant McIntosh Turnover.,20,38
0:24,2803,Hunter Ware Steal.,20,38
0:22,2803,Nisre Zouzoua made Layup.,22,38
0:22,77,Foul on Scottie Lindsey.,22,38
0:22,2803,Nisre Zouzoua made Free Throw.,23,38
0:02,77,Vic Law missed Three Point Jumper.,23,38
0:02,77,Scottie Lindsey Offensive Rebound.,23,38
0:00,77,End of 1st half,23,38
19:52,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Adam Grant.,26,38
19:35,77,Vic Law missed Jumper.,26,38
19:35,2803,Adam Grant Block.,26,38
19:32,2803,Marcel Pettway Defensive Rebound.,26,38
19:28,2803,Ikenna Ndugba made Layup.,28,38
19:15,77,Vic Law missed Layup.,28,38
19:15,2803,Marcel Pettway Block.,28,38
19:15,77,Northwestern Offensive Rebound.,28,38
19:07,77,Bryant McIntosh missed Layup.,28,38
19:07,2803,Dan Garvin Defensive Rebound.,28,38
19:00,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Ikenna Ndugba.,31,38
18:47,77,Northwestern  Timeout,31,38
18:40,2803,Foul on Adam Grant.,31,38
18:36,77,Vic Law made Layup. Assisted by Sanjay Lumpkin.,31,40
18:36,2803,Foul on Adam Grant.,31,40
18:36,77,Vic Law missed Free Throw.,31,40
18:36,2803,Adam Grant Defensive Rebound.,31,40
18:10,2803,Foul on Ikenna Ndugba.,31,40
18:10,2803,Ikenna Ndugba Turnover.,31,40
17:54,77,Dererk Pardon missed Layup.,31,40
17:54,2803,Dan Garvin Defensive Rebound.,31,40
17:40,2803,Marcel Pettway missed Layup.,31,40
17:40,77,Dererk Pardon Defensive Rebound.,31,40
17:33,77,Scottie Lindsey missed Layup.,31,40
17:33,2803,Marcel Pettway Defensive Rebound.,31,40
17:16,2803,Hunter Ware missed Three Point Jumper.,31,40
17:16,77,Bryant McIntosh Defensive Rebound.,31,40
17:08,77,Bryant McIntosh made Jumper.,31,42
16:54,2803,Nisre Zouzoua made Jumper.,33,42
16:35,77,Bryant McIntosh missed Layup.,33,42
16:35,2803,Nisre Zouzoua Block.,33,42
16:35,77,Northwestern Offensive Rebound.,33,42
16:33,77,Isiah Brown missed Jumper.,33,42
16:33,2803,Adam Grant Defensive Rebound.,33,42
16:19,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Adam Grant.,36,42
15:57,77,Vic Law missed Layup.,36,42
15:57,2803,Marcel Pettway Block.,36,42
15:57,77,Northwestern Offensive Rebound.,36,42
15:57,77,Official TV Timeout,36,42
15:44,77,Northwestern  Turnover.,36,42
15:29,2803,Nisre Zouzoua made Three Point Jumper. Assisted by Adam Grant.,39,42
15:07,2803,Foul on Nisre Zouzoua.,39,42
15:01,77,Dererk Pardon made Dunk. Assisted by Gavin Skelly.,39,44
14:47,2803,Marcel Pettway Turnover.,39,44
14:47,77,Scottie Lindsey Steal.,39,44
14:44,77,Scottie Lindsey made Dunk.,39,46
14:29,2803,Adam Grant Turnover.,39,46
14:27,77,Vic Law Steal.,39,46
14:25,77,Scottie Lindsey missed Layup.,39,46
14:25,77,Dererk Pardon Offensive Rebound.,39,46
14:21,77,Dererk Pardon made Layup.,39,48
14:21,2803,Bryant  Timeout,39,48
14:01,2803,Sabastian Townes missed Layup.,39,48
14:01,77,Dererk Pardon Block.,39,48
14:01,2803,Bryant Offensive Rebound.,39,48
13:52,2803,Hunter Ware missed Three Point Jumper.,39,48
13:52,2803,Dan Garvin Offensive Rebound.,39,48
13:47,2803,Dan Garvin missed Layup.,39,48
13:47,77,Scottie Lindsey Block.,39,48
13:46,2803,Dan Garvin Offensive Rebound.,39,48
13:41,2803,Nisre Zouzoua missed Three Point Jumper.,39,48
13:41,77,Vic Law Block.,39,48
13:38,2803,Bryant Offensive Rebound.,39,48
13:33,2803,Gus Riley Turnover.,39,48
13:32,77,Scottie Lindsey Steal.,39,48
13:31,2803,Foul on Hunter Ware.,39,48
13:28,77,Vic Law missed Three Point Jumper.,39,48
13:28,2803,Ikenna Ndugba Defensive Rebound.,39,48
13:11,2803,Dan Garvin made Layup. Assisted by Gus Riley.,41,48
13:00,77,Scottie Lindsey made Three Point Jumper. Assisted by Vic Law.,41,51
12:46,77,Foul on Scottie Lindsey.,41,51
12:37,2803,Gus Riley missed Three Point Jumper.,41,51
12:37,2803,Bryant Offensive Rebound.,41,51
12:35,77,Foul on Dererk Pardon.,41,51
12:31,2803,Gus Riley Turnover.,41,51
12:17,77,Bryant McIntosh made Jumper. Assisted by Scottie Lindsey.,41,53
12:09,2803,Ikenna Ndugba missed Layup.,41,53
12:09,77,Gavin Skelly Defensive Rebound.,41,53
12:05,77,Vic Law made Dunk. Assisted by Scottie Lindsey.,41,55
11:37,2803,Hunter Ware missed Layup.,41,55
11:37,77,Gavin Skelly Block.,41,55
11:36,2803,Bryant Offensive Rebound.,41,55
11:36,77,Official TV Timeout,41,55
11:33,2803,Gus Riley missed Three Point Jumper.,41,55
11:33,77,Scottie Lindsey Defensive Rebound.,41,55
11:22,77,Gavin Skelly missed Jumper.,41,55
11:22,77,Sanjay Lumpkin Offensive Rebound.,41,55
11:16,77,Sanjay Lumpkin missed Layup.,41,55
11:16,2803,Gus Riley Defensive Rebound.,41,55
11:03,2803,Gus Riley Turnover.,41,55
11:01,77,Bryant McIntosh Steal.,41,55
11:00,77,Bryant McIntosh Turnover.,41,55
10:59,2803,Ikenna Ndugba Steal.,41,55
10:57,2803,Nisre Zouzoua missed Three Point Jumper.,41,55
10:57,2803,Gus Riley Offensive Rebound.,41,55
10:43,2803,Nisre Zouzoua missed Three Point Jumper.,41,55
10:43,77,Gavin Skelly Defensive Rebound.,41,55
10:23,77,Vic Law made Layup. Assisted by Scottie Lindsey.,41,57
10:23,2803,Foul on Gus Riley.,41,57
10:23,77,Vic Law made Free Throw.,41,58
10:04,2803,Ikenna Ndugba made Jumper.,43,58
9:35,77,Scottie Lindsey made Jumper.,43,60
9:14,2803,Foul on Dan Garvin.,43,60
9:14,2803,Dan Garvin Turnover.,43,60
9:01,2803,Foul on Nisre Zouzoua.,43,60
9:01,77,Isiah Brown missed Free Throw.,43,60
9:01,77,Northwestern Deadball Team Rebound.,43,60
9:01,77,Isiah Brown made Free Throw.,43,61
8:45,77,Foul on Scottie Lindsey.,43,61
8:45,2803,Adam Grant made Free Throw.,44,61
8:45,2803,Adam Grant made Free Throw.,45,61
8:45,2803,Adam Grant made Free Throw.,46,61
8:32,77,Vic Law made Jumper. Assisted by Gavin Skelly.,46,63
8:16,2803,Adam Grant made Three Point Jumper. Assisted by Sabastian Townes.,49,63
8:00,77,Gavin Skelly missed Jumper.,49,63
8:00,77,Sanjay Lumpkin Offensive Rebound.,49,63
7:51,77,Isiah Brown made Three Point Jumper. Assisted by Gavin Skelly.,49,66
7:38,2803,Adam Grant made Three Point Jumper. Assisted by Ikenna Ndugba.,52,66
7:25,77,Northwestern  Timeout,52,66
7:22,77,Sanjay Lumpkin made Layup. Assisted by Gavin Skelly.,52,68
7:03,2803,Adam Grant missed Three Point Jumper.,52,68
7:03,77,Sanjay Lumpkin Defensive Rebound.,52,68
6:54,77,Bryant McIntosh Turnover.,52,68
6:51,2803,Marcel Pettway Steal.,52,68
6:44,2803,Ikenna Ndugba missed Jumper.,52,68
6:44,77,Sanjay Lumpkin Defensive Rebound.,52,68
6:23,77,Isiah Brown Turnover.,52,68
6:21,2803,Nisre Zouzoua Steal.,52,68
6:17,2803,Nisre Zouzoua missed Layup.,52,68
6:17,77,Bryant McIntosh Block.,52,68
6:15,77,Gavin Skelly Defensive Rebound.,52,68
6:03,77,Gavin Skelly made Layup. Assisted by Isiah Brown.,52,70
6:03,2803,Foul on Dan Garvin.,52,70
6:03,77,Gavin Skelly made Free Throw.,52,71
5:49,2803,Hunter Ware missed Jumper.,52,71
5:49,2803,Marcel Pettway Offensive Rebound.,52,71
5:45,2803,Marcel Pettway missed Layup.,52,71
5:45,77,Dererk Pardon Defensive Rebound.,52,71
5:35,77,Bryant McIntosh made Jumper.,52,73
5:19,2803,Marcel Pettway made Layup. Assisted by Ikenna Ndugba.,54,73
5:02,2803,Foul on Ikenna Ndugba.,54,73
5:02,77,Bryant McIntosh made Free Throw.,54,74
5:02,77,Bryant McIntosh made Free Throw.,54,75
4:53,2803,Sabastian Townes missed Three Point Jumper.,54,75
4:53,2803,Hunter Ware Offensive Rebound.,54,75
4:48,2803,Hunter Ware missed Jumper.,54,75
4:48,2803,Sabastian Townes Offensive Rebound.,54,75
4:45,2803,Sabastian Townes made Jumper. Assisted by Hunter Ware.,56,75
4:10,77,Northwestern  Turnover.,56,75
4:05,2803,Adam Grant made Three Point Jumper. Assisted by Marcel Pettway.,59,75
3:50,77,Vic Law made Three Point Jumper. Assisted by Bryant McIntosh.,59,78
3:29,2803,Nisre Zouzoua missed Jumper.,59,78
3:29,77,Vic Law Block.,59,78
3:27,77,Scottie Lindsey Defensive Rebound.,59,78
3:23,77,Scottie Lindsey made Layup. Assisted by Bryant McIntosh.,59,80
3:23,2803,Foul on Sabastian Townes.,59,80
3:23,77,Official TV Timeout,59,80
3:23,77,Scottie Lindsey made Free Throw.,59,81
3:12,2803,Sabastian Townes missed Jumper.,59,81
3:12,77,Vic Law Defensive Rebound.,59,81
2:47,77,Gavin Skelly missed Jumper.,59,81
2:47,77,Scottie Lindsey Offensive Rebound.,59,81
2:46,2803,Foul on Marcel Pettway.,59,81
2:46,77,Scottie Lindsey made Free Throw.,59,82
2:46,77,Scottie Lindsey made Free Throw.,59,83
2:38,77,Foul on Barret Benson.,59,83
2:32,2803,Ikenna Ndugba Turnover.,59,83
2:14,77,Jordan Ash missed Jumper.,59,83
2:14,77,Barret Benson Offensive Rebound.,59,83
2:11,2803,Foul on Gus Riley.,59,83
2:11,77,Barret Benson missed Free Throw.,59,83
2:11,77,Northwestern Deadball Team Rebound.,59,83
2:11,77,Barret Benson made Free Throw.,59,84
1:58,2803,Sabastian Townes made Three Point Jumper. Assisted by Taylor McHugh.,62,84
1:27,77,Isiah Brown missed Jumper.,62,84
1:27,2803,Taylor McHugh Defensive Rebound.,62,84
1:24,2803,Taylor McHugh Turnover.,62,84
1:24,77,Isiah Brown Steal.,62,84
1:24,2803,Foul on Taylor McHugh.,62,84
1:24,77,Isiah Brown made Free Throw.,62,85
1:24,77,Isiah Brown made Free Throw.,62,86
1:13,2803,Sabastian Townes missed Three Point Jumper.,62,86
1:13,2803,Bosko Kostur Offensive Rebound.,62,86
1:03,2803,Bosko Kostur made Layup.,64,86
0:52,77,Charlie Hall missed Three Point Jumper.,64,86
0:52,2803,Bosko Kostur Defensive Rebound.,64,86
0:34,2803,Sabastian Townes made Layup.,66,86
0:00,77,End of Game,66,86
