Tennessee,2193,East Tennessee State,2633
6:37,2193,T.J. Cromer missed Jumper.,12,12
6:37,2193,A.J. Merriweather Offensive Rebound.,12,12
6:31,2193,David Burrell missed Three Point Jumper.,12,12
6:31,2633,Kyle Alexander Defensive Rebound.,12,12
5:59,2633,Tennessee  Turnover.,12,12
5:35,2193,Tevin Glass Turnover.,12,12
5:19,2193,Foul on T.J. Cromer.,12,12
5:19,2633,Robert Hubbs III made Free Throw.,13,12
5:19,2633,Robert Hubbs III made Free Throw.,14,12
4:55,2193,Isaac Banks made Jumper.,14,14
4:43,2633,Foul on Lew Evans.,14,14
4:43,2633,Lew Evans Turnover.,14,14
4:30,2193,Devontavius Payne missed Layup.,14,14
4:30,2633,Detrick Mostella Defensive Rebound.,14,14
4:22,2633,Detrick Mostella missed Jumper.,14,14
4:22,2633,Kyle Alexander Offensive Rebound.,14,14
4:19,2633,Kyle Alexander missed Layup.,14,14
4:19,2633,Kyle Alexander Offensive Rebound.,14,14
4:12,2633,Lew Evans missed Three Point Jumper.,14,14
4:12,2633,Detrick Mostella Offensive Rebound.,14,14
3:52,2633,Grant Williams made Layup.,16,14
3:31,2193,A.J. Merriweather missed Layup.,16,14
3:31,2633,Robert Hubbs III Defensive Rebound.,16,14
3:21,2633,Kwe Parker made Three Point Jumper. Assisted by Robert Hubbs III.,19,14
3:10,2193,Official TV Timeout,19,14
2:55,2193,Desonta Bradford made Jumper.,19,16
2:33,2633,Detrick Mostella made Layup. Assisted by Grant Williams.,21,16
2:21,2193,Desonta Bradford made Jumper.,21,18
2:04,2633,Detrick Mostella made Jumper.,23,18
1:49,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,23,21
1:35,2633,Detrick Mostella made Three Point Jumper. Assisted by Kwe Parker.,26,21
1:14,2193,Tevin Glass missed Jumper.,26,21
1:14,2633,Detrick Mostella Defensive Rebound.,26,21
0:53,2633,Detrick Mostella made Three Point Jumper. Assisted by Robert Hubbs III.,29,21
0:49,2193,East Tennessee St  Timeout,29,21
0:36,2193,T.J. Cromer missed Three Point Jumper.,29,21
0:36,2193,Desonta Bradford Offensive Rebound.,29,21
0:32,2633,Foul on Grant Williams.,29,21
0:32,2193,Desonta Bradford made Free Throw.,29,22
0:32,2193,Desonta Bradford made Free Throw.,29,23
0:26,2633,Tennessee  Timeout,29,23
0:12,2633,Kwe Parker Turnover.,29,23
0:11,2193,A.J. Merriweather Steal.,29,23
0:08,2193,Isaac Banks Turnover.,29,23
0:08,2633,Grant Williams Steal.,29,23
0:04,2633,Detrick Mostella made Three Point Jumper. Assisted by Lamonte Turner.,32,23
0:00,2193,End of 1st half,32,23
19:50,2193,Desonta Bradford Turnover.,32,23
19:48,2633,Kyle Alexander Steal.,32,23
19:42,2633,Grant Williams Turnover.,32,23
19:31,2193,Tevin Glass made Three Point Jumper. Assisted by Desonta Bradford.,32,26
19:10,2633,Grant Williams missed Layup.,32,26
19:10,2193,Hanner Mosquera-Perea Block.,32,26
19:09,2633,Tennessee Offensive Rebound.,32,26
19:07,2633,Lamonte Turner missed Layup.,32,26
19:07,2633,Lamonte Turner Offensive Rebound.,32,26
19:04,2633,Lamonte Turner missed Layup.,32,26
19:04,2633,Grant Williams Offensive Rebound.,32,26
18:58,2193,Foul on Hanner Mosquera-Perea.,32,26
18:58,2633,Robert Hubbs III made Free Throw.,33,26
18:58,2633,Robert Hubbs III made Free Throw.,34,26
18:40,2193,Desonta Bradford made Three Point Jumper.,34,29
18:31,2633,Foul on Kyle Alexander.,34,29
18:31,2633,Kyle Alexander Turnover.,34,29
18:19,2193,Hanner Mosquera-Perea made Jumper. Assisted by Desonta Bradford.,34,31
18:10,2633,Lamonte Turner Turnover.,34,31
18:09,2193,Tevin Glass Steal.,34,31
18:05,2193,A.J. Merriweather missed Layup.,34,31
18:05,2633,Lamonte Turner Block.,34,31
18:05,2193,East Tennessee St Offensive Rebound.,34,31
18:02,2193,A.J. Merriweather Turnover.,34,31
18:02,2633,Robert Hubbs III Steal.,34,31
17:39,2633,Jordan Bowden missed Three Point Jumper.,34,31
17:39,2193,Tevin Glass Defensive Rebound.,34,31
17:20,2193,Desonta Bradford made Jumper.,34,33
16:54,2633,Robert Hubbs III Turnover.,34,33
16:53,2193,Jermaine Long Steal.,34,33
16:50,2193,T.J. Cromer Turnover.,34,33
16:49,2633,Kwe Parker Steal.,34,33
16:47,2633,Kyle Alexander made Dunk. Assisted by Kwe Parker.,36,33
16:27,2193,Hanner Mosquera-Perea made Layup. Assisted by Tevin Glass.,36,35
16:27,2633,Foul on Kyle Alexander.,36,35
16:27,2193,Hanner Mosquera-Perea made Free Throw.,36,36
16:10,2633,Kwe Parker missed Three Point Jumper.,36,36
16:10,2633,Kwe Parker Offensive Rebound.,36,36
16:07,2633,Kwe Parker made Layup.,38,36
15:44,2193,Jermaine Long missed Three Point Jumper.,38,36
15:44,2633,Lew Evans Defensive Rebound.,38,36
15:31,2633,Robert Hubbs III missed Layup.,38,36
15:31,2633,Lew Evans Offensive Rebound.,38,36
15:27,2633,Lew Evans made Layup.,40,36
15:11,2193,Desonta Bradford missed Jumper.,40,36
15:11,2193,Isaac Banks Offensive Rebound.,40,36
15:03,2193,T.J. Cromer made Layup.,40,38
14:59,2193,Official TV Timeout,40,38
14:48,2633,Detrick Mostella missed Three Point Jumper.,40,38
14:48,2633,Lew Evans Offensive Rebound.,40,38
14:39,2633,Lamonte Turner made Jumper.,42,38
14:16,2193,David Burrell made Dunk. Assisted by Desonta Bradford.,42,40
14:07,2633,Robert Hubbs III made Layup. Assisted by Kwe Parker.,44,40
13:48,2193,Hanner Mosquera-Perea made Layup. Assisted by Desonta Bradford.,44,42
13:33,2633,Robert Hubbs III made Layup. Assisted by Detrick Mostella.,46,42
13:21,2633,Foul on Kwe Parker.,46,42
13:14,2633,Foul on Lew Evans.,46,42
13:14,2193,T.J. Cromer made Free Throw.,46,43
13:14,2193,T.J. Cromer made Free Throw.,46,44
13:01,2633,Lamonte Turner missed Three Point Jumper.,46,44
13:01,2633,Grant Williams Offensive Rebound.,46,44
12:59,2193,Foul on Hanner Mosquera-Perea.,46,44
12:58,2633,Shembari Phillips made Three Point Jumper. Assisted by Lamonte Turner.,49,44
12:39,2633,Foul on Grant Williams.,49,44
12:38,2193,T.J. Cromer missed Jumper.,49,44
12:38,2633,Detrick Mostella Block.,49,44
12:35,2633,Lamonte Turner Defensive Rebound.,49,44
12:27,2633,Grant Williams missed Three Point Jumper.,49,44
12:27,2193,T.J. Cromer Defensive Rebound.,49,44
12:19,2193,T.J. Cromer missed Three Point Jumper.,49,44
12:19,2633,Grant Williams Defensive Rebound.,49,44
12:11,2193,Foul on T.J. Cromer.,49,44
12:04,2633,Detrick Mostella made Jumper.,51,44
11:38,2193,Devontavius Payne missed Layup.,51,44
11:38,2193,A.J. Merriweather Offensive Rebound.,51,44
11:35,2193,A.J. Merriweather made Layup.,51,46
11:07,2193,Foul on Devontavius Payne.,51,46
11:07,2193,Official TV Timeout,51,46
11:07,2633,Shembari Phillips made Free Throw.,52,46
11:07,2633,Shembari Phillips missed Free Throw.,52,46
11:07,2193,Devontavius Payne Defensive Rebound.,52,46
10:59,2193,A.J. Merriweather made Layup. Assisted by Desonta Bradford.,52,48
10:24,2633,Lamonte Turner missed Jumper.,52,48
10:23,2193,A.J. Merriweather Defensive Rebound.,52,48
10:23,2193,East Tennessee St  Timeout,52,48
10:09,2193,Desonta Bradford made Three Point Jumper.,52,51
10:01,2193,Foul on David Burrell.,52,51
10:01,2633,Detrick Mostella made Free Throw.,53,51
10:01,2633,Detrick Mostella made Free Throw.,54,51
9:51,2633,Foul on Kwe Parker.,54,51
9:51,2193,A.J. Merriweather missed Free Throw.,54,51
9:51,2193,East Tennessee St Deadball Team Rebound.,54,51
9:51,2193,A.J. Merriweather made Free Throw.,54,52
9:39,2633,Detrick Mostella missed Three Point Jumper.,54,52
9:39,2193,Hanner Mosquera-Perea Defensive Rebound.,54,52
9:31,2193,David Burrell made Layup. Assisted by Hanner Mosquera-Perea.,54,54
9:31,2633,Foul on Shembari Phillips.,54,54
9:31,2193,David Burrell made Free Throw.,54,55
9:12,2633,Tennessee  Timeout,54,55
9:05,2633,Kwe Parker missed Layup.,54,55
9:05,2193,Hanner Mosquera-Perea Block.,54,55
9:05,2633,Tennessee Offensive Rebound.,54,55
9:00,2633,Shembari Phillips made Three Point Jumper. Assisted by Kwe Parker.,57,55
8:44,2633,Foul on Detrick Mostella.,57,55
8:44,2193,A.J. Merriweather made Free Throw.,57,56
8:44,2193,A.J. Merriweather made Free Throw.,57,57
8:30,2633,Robert Hubbs III missed Jumper.,57,57
8:30,2193,Hanner Mosquera-Perea Defensive Rebound.,57,57
8:21,2193,Desonta Bradford Turnover.,57,57
8:10,2633,Detrick Mostella missed Three Point Jumper.,57,57
8:10,2193,East Tennessee St Defensive Rebound.,57,57
7:56,2193,Desonta Bradford Turnover.,57,57
7:54,2633,Robert Hubbs III Steal.,57,57
7:39,2633,Detrick Mostella made Jumper.,59,57
7:20,2193,A.J. Merriweather made Layup.,59,59
7:20,2633,Foul on Kyle Alexander.,59,59
7:20,2193,Official TV Timeout,59,59
7:20,2193,A.J. Merriweather made Free Throw.,59,60
6:53,2633,Detrick Mostella Turnover.,59,60
6:41,2193,A.J. Merriweather missed Layup.,59,60
6:41,2633,Grant Williams Block.,59,60
6:38,2633,Robert Hubbs III Defensive Rebound.,59,60
6:35,2193,Foul on T.J. Cromer.,59,60
6:35,2633,Kwe Parker missed Free Throw.,59,60
6:35,2633,Tennessee Deadball Team Rebound.,59,60
6:35,2633,Kwe Parker missed Free Throw.,59,60
6:35,2193,Desonta Bradford Defensive Rebound.,59,60
6:17,2193,Hanner Mosquera-Perea missed Jumper.,59,60
6:17,2633,Detrick Mostella Defensive Rebound.,59,60
6:04,2193,Foul on Devontavius Payne.,59,60
6:04,2633,Grant Williams missed Free Throw.,59,60
6:04,2633,Tennessee Deadball Team Rebound.,59,60
6:03,2633,Grant Williams made Free Throw.,60,60
5:52,2193,T.J. Cromer Turnover.,60,60
5:49,2633,Detrick Mostella Steal.,60,60
5:48,2633,Detrick Mostella missed Layup.,60,60
5:48,2193,Desonta Bradford Block.,60,60
5:45,2633,Tennessee Offensive Rebound.,60,60
5:20,2633,Detrick Mostella missed Jumper.,60,60
5:20,2193,Desonta Bradford Defensive Rebound.,60,60
4:53,2193,Desonta Bradford missed Layup.,60,60
4:53,2193,Tevin Glass Offensive Rebound.,60,60
4:51,2193,Tevin Glass made Layup.,60,62
4:45,2193,Foul on Devontavius Payne.,60,62
4:45,2633,Detrick Mostella made Free Throw.,61,62
4:45,2633,Detrick Mostella made Free Throw.,62,62
4:27,2193,T.J. Cromer missed Layup.,62,62
4:27,2633,Grant Williams Block.,62,62
4:25,2193,Hanner Mosquera-Perea Offensive Rebound.,62,62
4:14,2193,East Tennessee St  Turnover.,62,62
4:03,2633,Detrick Mostella Turnover.,62,62
4:03,2193,A.J. Merriweather Steal.,62,62
3:52,2193,Tevin Glass missed Three Point Jumper.,62,62
3:52,2633,Tennessee Defensive Rebound.,62,62
3:49,2193,Official TV Timeout,62,62
3:24,2633,Shembari Phillips Turnover.,62,62
3:23,2193,Hanner Mosquera-Perea Steal.,62,62
3:20,2633,Foul on Lamonte Turner.,62,62
3:20,2193,A.J. Merriweather made Free Throw.,62,63
3:20,2193,A.J. Merriweather missed Free Throw.,62,63
3:20,2633,Grant Williams Defensive Rebound.,62,63
2:58,2633,Grant Williams made Jumper.,64,63
2:37,2193,Jermaine Long missed Layup.,64,63
2:37,2193,A.J. Merriweather Offensive Rebound.,64,63
2:21,2193,Hanner Mosquera-Perea missed Jumper.,64,63
2:21,2633,Grant Williams Block.,64,63
2:19,2193,East Tennessee St Offensive Rebound.,64,63
2:13,2193,Hanner Mosquera-Perea made Layup. Assisted by T.J. Cromer.,64,65
1:49,2193,Foul on Tevin Glass.,64,65
