Liberty,2247,Georgia State,2335
3:58,2335,Scottie James Defensive Rebound.,22,29
3:51,2335,Scottie James made Layup. Assisted by Keegan McDowell.,24,29
3:30,2247,Jordan Session made Layup.,24,31
3:13,2335,Keegan McDowell missed Three Point Jumper.,24,31
3:13,2247,Jeff Thomas Defensive Rebound.,24,31
3:04,2247,Malik Benlevi missed Three Point Jumper.,24,31
3:04,2335,Liberty Deadball Team Rebound.,24,31
2:59,2247,Foul on Jordan Session.,24,31
2:59,2335,Liberty  Timeout,24,31
2:41,2335,Isaiah Williams made Layup. Assisted by Lovell Cabbil.,26,31
2:40,2247,Foul on Jordan Tyson.,26,31
2:40,2335,Isaiah Williams made Free Throw.,27,31
2:28,2247,Devin Mitchell made Jumper. Assisted by D'Marcus Simonds.,27,33
2:10,2335,Keegan McDowell missed Layup.,27,33
2:10,2335,Isaiah Williams Offensive Rebound.,27,33
2:00,2335,Scottie James missed Jumper.,27,33
2:00,2247,Malik Benlevi Defensive Rebound.,27,33
1:47,2247,D'Marcus Simonds Turnover.,27,33
1:44,2335,Caleb Homesley Steal.,27,33
1:41,2335,Lovell Cabbil missed Layup.,27,33
1:41,2247,Georgia State Defensive Rebound.,27,33
1:28,2247,Malik Benlevi missed Three Point Jumper.,27,33
1:28,2335,Ryan Kemrite Defensive Rebound.,27,33
1:13,2335,Scottie James missed Jumper.,27,33
1:13,2247,Jordan Session Defensive Rebound.,27,33
0:49,2247,Jordan Session missed Three Point Jumper.,27,33
0:49,2335,Liberty Deadball Team Rebound.,27,33
0:47,2247,Foul on Malik Benlevi.,27,33
0:31,2335,Caleb Homesley Turnover.,27,33
0:30,2247,Georgia State  Timeout,27,33
0:03,2247,D'Marcus Simonds made Dunk. Assisted by Kane Williams.,27,35
0:00,2247,End of 1st half,27,35
19:50,2247,Jeff Thomas made Jumper.,27,37
19:18,2335,Georgie Pacheco-Ortiz missed Jumper.,27,37
19:18,2247,Jeff Thomas Defensive Rebound.,27,37
19:06,2247,D'Marcus Simonds Turnover.,27,37
18:54,2335,Ryan Kemrite missed Three Point Jumper.,27,37
18:54,2335,Liberty Offensive Rebound.,27,37
18:38,2335,Elijah Cuffee missed Jumper.,27,37
18:38,2247,Malik Benlevi Block.,27,37
18:36,2247,Jordan Session Defensive Rebound.,27,37
18:19,2247,Malik Benlevi made Layup. Assisted by Jordan Session.,27,39
17:54,2247,Foul on Malik Benlevi.,27,39
17:54,2335,Scottie James missed Free Throw.,27,39
17:54,2335,Liberty Deadball Team Rebound.,27,39
17:54,2335,Scottie James made Free Throw.,28,39
17:33,2247,Malik Benlevi made Layup.,28,41
17:17,2335,Lovell Cabbil Turnover.,28,41
17:07,2247,Jeff Thomas missed Three Point Jumper.,28,41
17:07,2335,Lovell Cabbil Defensive Rebound.,28,41
16:41,2335,Lovell Cabbil missed Layup.,28,41
16:41,2247,D'Marcus Simonds Block.,28,41
16:39,2335,Lovell Cabbil Offensive Rebound.,28,41
16:36,2335,Lovell Cabbil missed Layup.,28,41
16:36,2247,Devin Mitchell Defensive Rebound.,28,41
16:29,2247,Devin Mitchell made Three Point Jumper. Assisted by D'Marcus Simonds.,28,44
16:10,2335,Scottie James made Layup.,30,44
16:10,2247,Foul on Jordan Session.,30,44
16:10,2335,Scottie James made Free Throw.,31,44
16:06,2247,D'Marcus Simonds made Layup.,31,46
15:50,2335,Ryan Kemrite missed Three Point Jumper.,31,46
15:50,2247,Malik Benlevi Defensive Rebound.,31,46
15:36,2247,D'Marcus Simonds missed Jumper.,31,46
15:36,2335,Scottie James Defensive Rebound.,31,46
15:26,2335,Georgie Pacheco-Ortiz missed Jumper.,31,46
15:26,2335,Georgie Pacheco-Ortiz Offensive Rebound.,31,46
15:20,2335,Scottie James made Layup. Assisted by Georgie Pacheco-Ortiz.,33,46
15:01,2247,Foul on D'Marcus Simonds.,33,46
15:01,2247,D'Marcus Simonds Turnover.,33,46
14:48,2335,Liberty  Timeout,33,46
14:33,2335,Myo Baxter-Bell made Jumper.,35,46
14:17,2247,Devin Mitchell missed Three Point Jumper.,35,46
14:17,2335,Myo Baxter-Bell Defensive Rebound.,35,46
14:12,2247,Foul on Jordan Session.,35,46
14:05,2335,Liberty  Turnover.,35,46
14:02,2247,D'Marcus Simonds made Layup.,35,48
13:41,2335,Lovell Cabbil made Three Point Jumper. Assisted by Myo Baxter-Bell.,38,48
13:26,2335,Foul on Myo Baxter-Bell.,38,48
13:17,2247,D'Marcus Simonds missed Three Point Jumper.,38,48
13:17,2335,Ryan Kemrite Defensive Rebound.,38,48
12:47,2335,Ryan Kemrite made Three Point Jumper. Assisted by Myo Baxter-Bell.,41,48
12:16,2247,D'Marcus Simonds made Layup.,41,50
11:58,2335,Ryan Kemrite made Three Point Jumper. Assisted by Isaiah Williams.,44,50
11:39,2247,D'Marcus Simonds made Layup.,44,52
11:36,2335,Foul on Caleb Homesley.,44,52
11:36,2247,D'Marcus Simonds missed Free Throw.,44,52
11:36,2335,Scottie James Defensive Rebound.,44,52
11:16,2335,Caleb Homesley made Three Point Jumper. Assisted by Scottie James.,47,52
10:49,2247,D'Marcus Simonds missed Layup.,47,52
10:49,2335,Scottie James Defensive Rebound.,47,52
10:46,2335,Scottie James Turnover.,47,52
10:32,2335,Foul on Lovell Cabbil.,47,52
10:24,2247,D'Marcus Simonds missed Layup.,47,52
10:24,2335,Elijah Cuffee Block.,47,52
10:21,2335,Caleb Homesley Defensive Rebound.,47,52
10:17,2335,Elijah Cuffee missed Layup.,47,52
10:17,2247,Georgia State Defensive Rebound.,47,52
9:58,2247,Devin Mitchell Turnover.,47,52
9:55,2335,Ryan Kemrite Steal.,47,52
9:39,2335,Lovell Cabbil made Three Point Jumper. Assisted by Elijah Cuffee.,50,52
9:03,2247,Kane Williams Turnover.,50,52
9:02,2335,Lovell Cabbil Steal.,50,52
8:57,2247,Foul on Kane Williams.,50,52
8:57,2335,Caleb Homesley made Free Throw.,51,52
8:57,2335,Caleb Homesley made Free Throw.,52,52
8:39,2247,Malik Benlevi made Three Point Jumper. Assisted by Isaiah Williams.,52,55
8:18,2335,Lovell Cabbil missed Jumper.,52,55
8:18,2247,Kane Williams Defensive Rebound.,52,55
8:04,2247,Malik Benlevi made Three Point Jumper. Assisted by Isaiah Williams.,52,58
7:42,2335,Georgie Pacheco-Ortiz made Layup.,54,58
7:39,2247,Foul on Jordan Session.,54,58
7:39,2335,Georgie Pacheco-Ortiz missed Free Throw.,54,58
7:39,2247,Jeff Thomas Defensive Rebound.,54,58
7:21,2247,Foul on Jordan Tyson.,54,58
7:21,2247,Jordan Tyson Turnover.,54,58
7:04,2335,Lovell Cabbil missed Three Point Jumper.,54,58
7:04,2335,Isaiah Williams Offensive Rebound.,54,58
6:56,2335,Myo Baxter-Bell made Layup. Assisted by Isaiah Williams.,56,58
6:25,2247,D'Marcus Simonds missed Layup.,56,58
6:25,2335,Ryan Kemrite Defensive Rebound.,56,58
6:02,2335,Lovell Cabbil made Three Point Jumper. Assisted by Isaiah Williams.,59,58
5:43,2335,Foul on Myo Baxter-Bell.,59,58
5:35,2335,Foul on Myo Baxter-Bell.,59,58
5:30,2247,Devin Mitchell missed Three Point Jumper.,59,58
5:30,2335,Caleb Homesley Defensive Rebound.,59,58
5:11,2335,Isaiah Williams made Layup. Assisted by Lovell Cabbil.,61,58
4:48,2247,D'Marcus Simonds missed Jumper.,61,58
4:48,2247,Jordan Session Offensive Rebound.,61,58
4:45,2247,Jordan Session missed Layup.,61,58
4:45,2335,Caleb Homesley Defensive Rebound.,61,58
4:26,2335,Isaiah Williams missed Layup.,61,58
4:26,2247,Jeff Thomas Block.,61,58
4:23,2247,D'Marcus Simonds Defensive Rebound.,61,58
4:20,2335,Foul on Caleb Homesley.,61,58
4:12,2247,D'Marcus Simonds made Free Throw.,61,59
4:12,2247,D'Marcus Simonds made Free Throw.,61,60
3:54,2335,Ryan Kemrite made Three Point Jumper. Assisted by Caleb Homesley.,64,60
3:50,2335,Liberty  Timeout,64,60
3:34,2247,D'Marcus Simonds made Jumper.,64,62
3:32,2247,Georgia State  Timeout,64,62
3:05,2335,Isaiah Williams missed Layup.,64,62
3:05,2247,Malik Benlevi Block.,64,62
3:04,2247,Kane Williams Defensive Rebound.,64,62
2:58,2247,Jeff Thomas missed Three Point Jumper.,64,62
2:58,2335,Isaiah Williams Defensive Rebound.,64,62
2:41,2335,Lovell Cabbil made Three Point Jumper. Assisted by Isaiah Williams.,67,62
2:12,2335,Foul on Isaiah Williams.,67,62
2:12,2247,D'Marcus Simonds made Free Throw.,67,63
2:12,2247,D'Marcus Simonds missed Free Throw.,67,63
2:12,2335,Scottie James Defensive Rebound.,67,63
1:50,2335,Georgie Pacheco-Ortiz Turnover.,67,63
1:49,2247,D'Marcus Simonds Steal.,67,63
1:48,2335,Foul on Lovell Cabbil.,67,63
1:48,2247,D'Marcus Simonds made Free Throw.,67,64
1:48,2247,D'Marcus Simonds missed Free Throw.,67,64
1:48,2335,Caleb Homesley Defensive Rebound.,67,64
1:39,2335,Liberty  Timeout,67,64
1:27,2335,Ryan Kemrite missed Three Point Jumper.,67,64
1:27,2335,Isaiah Williams Offensive Rebound.,67,64
1:23,2247,Foul on Malik Benlevi.,67,64
1:23,2335,Lovell Cabbil missed Free Throw.,67,64
1:23,2335,Liberty Deadball Team Rebound.,67,64
1:23,2335,Lovell Cabbil made Free Throw.,68,64
1:16,2247,D'Marcus Simonds made Layup.,68,66
1:10,2247,Georgia State  Timeout,68,66
0:51,2335,Georgie Pacheco-Ortiz missed Jumper.,68,66
0:51,2247,Malik Benlevi Defensive Rebound.,68,66
0:41,2247,D'Marcus Simonds made Layup.,68,68
0:12,2335,Lovell Cabbil missed Three Point Jumper.,68,68
0:12,2247,Jeff Thomas Defensive Rebound.,68,68
0:00,2247,D'Marcus Simonds missed Three Point Jumper.,68,68
0:00,2335,Liberty Deadball Team Rebound.,68,68
0:00,2247,End of 2nd half,68,68
4:31,2247,Foul on D'Marcus Simonds.,68,68
4:31,2335,Isaiah Williams made Free Throw.,69,68
4:31,2335,Isaiah Williams made Free Throw.,70,68
