Quinnipiac,171,Columbia,2514
6:52,171,Quinton Adlesh Steal.,29,30
6:51,171,Quinton Adlesh missed Layup.,29,30
6:51,2514,Alain Chigha Defensive Rebound.,29,30
6:38,2514,Rich Kelly missed Layup.,29,30
6:38,171,Jaron Faulds Block.,29,30
6:38,171,Columbia Defensive Rebound.,29,30
6:28,171,Lukas Meisner missed Three Point Jumper.,29,30
6:28,2514,Rich Kelly Defensive Rebound.,29,30
6:18,2514,Cameron Young made Dunk.,31,30
6:17,171,Foul on Lukas Meisner.,31,30
6:17,2514,Cameron Young made Free Throw.,32,30
6:07,171,Quinton Adlesh made Three Point Jumper. Assisted by Jaron Faulds.,32,33
5:36,2514,Alain Chigha made Jumper.,34,33
5:27,171,Mike Smith made Layup.,34,35
5:08,2514,Alain Chigha missed Layup.,34,35
5:08,2514,Abdulai Bundu Offensive Rebound.,34,35
5:06,2514,Abdulai Bundu missed Layup.,34,35
5:04,2514,Abdulai Bundu Offensive Rebound.,34,35
4:43,2514,Rich Kelly made Layup.,36,35
4:22,171,Nate Hickman missed Three Point Jumper.,36,35
4:22,171,Jaron Faulds Offensive Rebound.,36,35
4:22,2514,Foul on Rich Kelly.,36,35
4:22,171,Jaron Faulds made Free Throw.,36,36
4:22,171,Jaron Faulds made Free Throw.,36,37
4:12,2514,Andrew Robinson Turnover.,36,37
4:11,171,Mike Smith Steal.,36,37
4:08,171,Mike Smith made Layup.,36,39
3:42,2514,Cameron Young missed Layup.,36,39
3:42,171,Lukas Meisner Defensive Rebound.,36,39
3:34,171,Lukas Meisner made Layup. Assisted by Quinton Adlesh.,36,41
3:10,2514,Jacob Rigoni made Jumper.,38,41
2:52,171,Mike Smith made Three Point Jumper. Assisted by Lukas Meisner.,38,44
2:33,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,41,44
2:16,171,Lukas Meisner made Layup. Assisted by Mike Smith.,41,46
1:56,2514,Rich Kelly made Three Point Jumper. Assisted by Andrew Robinson.,44,46
1:33,171,Lukas Meisner Turnover.,44,46
1:33,171,Official TV Timeout,44,46
1:23,2514,Andrew Robinson missed Three Point Jumper.,44,46
1:23,171,Nate Hickman Block.,44,46
1:22,171,Rodney Hunter Defensive Rebound.,44,46
1:09,171,Nate Hickman missed Dunk.,44,46
1:09,2514,Aaron Robinson Block.,44,46
1:08,2514,Aaron Robinson Defensive Rebound.,44,46
0:46,171,Foul on Rodney Hunter.,44,46
0:46,2514,Jacob Rigoni made Free Throw.,45,46
0:46,2514,Jacob Rigoni made Free Throw.,46,46
0:27,171,Peter Barba missed Three Point Jumper.,46,46
0:27,171,Quinton Adlesh Offensive Rebound.,46,46
0:24,171,Quinton Adlesh made Layup.,46,48
0:00,171,End of 1st half,46,48
19:49,2514,Chaise Daniels missed Jumper.,46,48
19:49,171,Patrick Tape Defensive Rebound.,46,48
19:29,171,Patrick Tape missed Layup.,46,48
19:29,2514,Cameron Young Defensive Rebound.,46,48
19:13,2514,Rich Kelly Turnover.,46,48
18:57,171,Mike Smith Turnover.,46,48
18:45,2514,Cameron Young made Layup.,48,48
18:23,171,Patrick Tape made Layup.,48,50
18:23,2514,Foul on Alain Chigha.,48,50
18:23,171,Patrick Tape missed Free Throw.,48,50
18:23,2514,Isaiah Washington Defensive Rebound.,48,50
18:13,171,Foul on Nate Hickman.,48,50
18:05,2514,Isaiah Washington made Three Point Jumper. Assisted by Rich Kelly.,51,50
17:47,171,Patrick Tape missed Layup.,51,50
17:47,171,Patrick Tape Offensive Rebound.,51,50
17:37,171,Patrick Tape made Layup.,51,52
