Little Rock,57,Florida,2031
1:49,2031,Lis Shoshi Block.,27,53
1:49,2031,Deondre Burns Defensive Rebound.,27,53
1:42,2031,Deondre Burns Turnover.,27,53
1:42,57,Kevarrius Hayes Steal.,27,53
1:37,57,Canyon Barry missed Three Point Jumper.,27,53
1:37,57,Florida Offensive Rebound.,27,53
1:33,2031,Foul on Deondre Burns.,27,53
1:19,57,Keith Stone Turnover.,27,53
1:19,2031,Jalen Jackson Steal.,27,53
1:01,2031,Andre Jones missed Three Point Jumper.,27,53
1:01,2031,Lis Shoshi Offensive Rebound.,27,53
0:52,2031,Oliver Black Turnover.,27,53
0:52,57,Chris Chiozza Steal.,27,53
0:34,57,Chris Chiozza made Three Point Jumper. Assisted by KeVaughn Allen.,27,56
0:03,2031,Andre Jones missed Three Point Jumper.,27,56
0:03,2031,Little Rock Offensive Rebound.,27,56
0:00,57,End of 1st half,27,56
20:00,2031,Jump Ball won by Little Rock,27,56
19:46,2031,Jalen Jackson made Jumper.,29,56
19:46,57,Foul on Justin Leon.,29,56
19:46,2031,Jalen Jackson made Free Throw.,30,56
19:43,2031,Foul on Kemy Osse.,30,56
19:24,57,KeVaughn Allen made Three Point Jumper. Assisted by Kasey Hill.,30,59
19:01,2031,Kemy Osse missed Three Point Jumper.,30,59
19:01,57,Kevarrius Hayes Defensive Rebound.,30,59
18:42,2031,Foul on Lis Shoshi.,30,59
18:42,57,Kevarrius Hayes made Free Throw.,30,60
18:42,57,Kevarrius Hayes made Free Throw.,30,61
18:27,2031,Kemy Osse missed Layup.,30,61
18:27,57,Kevarrius Hayes Block.,30,61
18:27,57,KeVaughn Allen Defensive Rebound.,30,61
18:06,57,KeVaughn Allen Turnover.,30,61
18:06,2031,Kemy Osse Steal.,30,61
17:48,2031,Lis Shoshi made Layup.,32,61
17:30,2031,Foul on Jalen Jackson.,32,61
17:13,57,Kasey Hill Turnover.,32,61
17:08,2031,Maurius Hill Turnover.,32,61
17:08,57,Justin Leon Steal.,32,61
16:56,57,Justin Leon missed Three Point Jumper.,32,61
16:56,57,KeVaughn Allen Offensive Rebound.,32,61
16:49,57,Devin Robinson made Three Point Jumper. Assisted by KeVaughn Allen.,32,64
16:28,2031,Marcus Johnson Jr. made Layup.,34,64
16:16,57,Devin Robinson missed Layup.,34,64
16:16,57,Kevarrius Hayes Offensive Rebound.,34,64
16:16,57,Kevarrius Hayes made Two Point Tip Shot.,34,66
16:00,2031,Marcus Johnson Jr. missed Layup.,34,66
16:00,57,Justin Leon Block.,34,66
16:00,2031,Lis Shoshi Offensive Rebound.,34,66
15:53,2031,Lis Shoshi made Layup.,36,66
15:34,2031,Foul on Maurius Hill.,36,66
15:34,57,Official TV Timeout,36,66
15:30,57,Devin Robinson made Jumper.,36,68
15:06,2031,Oliver Black missed Jumper.,36,68
15:06,57,Devin Robinson Defensive Rebound.,36,68
15:01,57,Keith Stone Turnover.,36,68
14:45,57,Foul on Keith Stone.,36,68
14:40,2031,Lis Shoshi made Jumper.,38,68
14:30,57,Kasey Hill missed Three Point Jumper.,38,68
14:30,2031,Deondre Burns Defensive Rebound.,38,68
14:19,2031,Jalen Jackson missed Jumper.,38,68
14:19,2031,Jalen Jackson Offensive Rebound.,38,68
13:46,2031,Deondre Burns made Jumper.,40,68
13:25,57,Keith Stone made Three Point Jumper. Assisted by Chris Chiozza.,40,71
13:19,2031,Lis Shoshi missed Jumper.,40,71
13:19,57,Keith Stone Defensive Rebound.,40,71
13:14,57,Canyon Barry made Three Point Jumper. Assisted by Kasey Hill.,40,74
13:09,2031,Jalen Jackson missed Jumper.,40,74
