Texas Southern,239,Baylor,2640
8:00,239,Ishmail Wainright made Three Point Jumper. Assisted by Al Freeman.,9,28
7:47,2640,Derrick Griffin missed Layup.,9,28
7:47,239,Nuni Omot Block.,9,28
7:47,239,Ishmail Wainright Defensive Rebound.,9,28
7:36,239,Al Freeman missed Three Point Jumper.,9,28
7:36,2640,Derrick Griffin Defensive Rebound.,9,28
7:26,2640,Dulani Robinson made Jumper.,11,28
7:10,239,Manu Lecomte Turnover.,11,28
7:10,2640,Dulani Robinson Steal.,11,28
7:10,239,Foul on Manu Lecomte.,11,28
7:09,239,Official TV Timeout,11,28
7:01,2640,Kevin Scott made Three Point Jumper. Assisted by Tyree Bynum.,14,28
6:41,239,Manu Lecomte Turnover.,14,28
6:41,2640,Dulani Robinson Steal.,14,28
6:23,2640,Tyree Bynum made Layup.,16,28
6:15,239,Johnathan Motley missed Jumper.,16,28
6:15,2640,Dulani Robinson Defensive Rebound.,16,28
6:06,2640,Stephan Bennett missed Jumper.,16,28
6:06,239,Jo Lual-Acuil Jr. Defensive Rebound.,16,28
5:42,239,Jo Lual-Acuil Jr. Turnover.,16,28
5:42,2640,Stephan Bennett Steal.,16,28
5:21,239,Foul on Jo Lual-Acuil Jr..,16,28
5:21,2640,Derrick Griffin made Free Throw.,17,28
5:21,2640,Derrick Griffin made Free Throw.,18,28
5:05,239,Johnathan Motley missed Layup.,18,28
5:05,2640,Stephan Bennett Block.,18,28
5:04,239,Johnathan Motley Offensive Rebound.,18,28
5:03,2640,Foul on Stephan Bennett.,18,28
5:03,239,Johnathan Motley made Free Throw.,18,29
5:03,239,Johnathan Motley missed Free Throw.,18,29
5:03,2640,Derrick Griffin Defensive Rebound.,18,29
4:53,2640,Dulani Robinson missed Three Point Jumper.,18,29
4:53,2640,Derrick Griffin Offensive Rebound.,18,29
4:53,239,Foul on King McClure.,18,29
4:53,2640,Tyree Bynum missed Three Point Jumper.,18,29
4:53,239,Jo Lual-Acuil Jr. Defensive Rebound.,18,29
4:09,239,Jo Lual-Acuil Jr. missed Layup.,18,29
4:09,239,Jo Lual-Acuil Jr. Offensive Rebound.,18,29
4:09,239,Jo Lual-Acuil Jr. made Two Point Tip Shot.,18,31
3:38,2640,Kevin Scott made Jumper.,20,31
3:13,239,Jo Lual-Acuil Jr. made Jumper.,20,33
2:52,2640,Kevin Scott made Jumper. Assisted by Demontrae Jefferson.,22,33
2:35,239,Johnathan Motley made Dunk. Assisted by Jo Lual-Acuil Jr..,22,35
2:28,239,Official TV Timeout,22,35
2:18,2640,Stephan Bennett missed Jumper.,22,35
2:18,2640,Texas Southern Offensive Rebound.,22,35
1:41,2640,Kevin Scott Turnover.,22,35
1:24,239,Al Freeman made Three Point Jumper. Assisted by Johnathan Motley.,22,38
1:05,2640,Derrick Griffin Turnover.,22,38
0:53,239,Foul on Jo Lual-Acuil Jr..,22,38
0:53,239,Jo Lual-Acuil Jr. Turnover.,22,38
0:39,2640,Demontrae Jefferson missed Jumper.,22,38
0:39,2640,Kevin Scott Offensive Rebound.,22,38
0:39,2640,Kevin Scott made Two Point Tip Shot.,24,38
0:26,239,Jake Lindsey made Layup.,24,40
0:22,2640,Demontrae Jefferson missed Jumper.,24,40
0:22,2640,Kevin Scott Offensive Rebound.,24,40
0:22,2640,Kevin Scott made Two Point Tip Shot.,26,40
0:01,239,Jake Lindsey missed Jumper.,26,40
0:01,239,Johnathan Motley Offensive Rebound.,26,40
0:01,239,Johnathan Motley missed Two Point Tip Shot.,26,40
0:01,2640,Kevin Scott Defensive Rebound.,26,40
0:00,239,End of 1st half,26,40
20:00,2640,Jump Ball won by Texas Southern,26,40
19:41,2640,Demontrae Jefferson missed Jumper.,26,40
19:41,239,Johnathan Motley Defensive Rebound.,26,40
19:35,239,Johnathan Motley Turnover.,26,40
19:21,2640,Marvin Jones missed Three Point Jumper.,26,40
19:21,239,Al Freeman Defensive Rebound.,26,40
19:09,239,Ishmail Wainright missed Three Point Jumper.,26,40
19:09,239,Jo Lual-Acuil Jr. Offensive Rebound.,26,40
19:09,239,Jo Lual-Acuil Jr. made Two Point Tip Shot.,26,42
18:52,2640,Dulani Robinson Turnover.,26,42
18:52,239,Jo Lual-Acuil Jr. Steal.,26,42
18:34,239,Johnathan Motley missed Jumper.,26,42
18:34,2640,Marvin Jones Defensive Rebound.,26,42
18:23,239,Foul on Al Freeman.,26,42
18:13,2640,Demontrae Jefferson made Three Point Jumper.,29,42
17:41,239,Al Freeman Turnover.,29,42
17:22,2640,Demontrae Jefferson made Layup.,31,42
17:00,239,Manu Lecomte made Jumper. Assisted by Ishmail Wainright.,31,44
16:28,2640,Demontrae Jefferson made Jumper.,33,44
16:18,239,Manu Lecomte made Three Point Jumper.,33,47
15:56,2640,Derrick Griffin made Dunk. Assisted by Marvin Jones.,35,47
15:33,239,Manu Lecomte made Three Point Jumper. Assisted by Al Freeman.,35,50
15:28,2640,Texas Southern  Timeout,35,50
15:19,2640,Demontrae Jefferson Turnover.,35,50
15:19,239,Official TV Timeout,35,50
15:07,2640,Foul on Derrick Griffin.,35,50
14:53,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Jake Lindsey.,35,52
14:30,2640,Tyree Bynum made Jumper. Assisted by Marvin Jones.,37,52
14:13,239,Terry Maston made Jumper. Assisted by Manu Lecomte.,37,54
13:47,239,Foul on Terry Maston.,37,54
13:47,2640,Marvin Jones made Free Throw.,38,54
13:47,2640,Marvin Jones missed Free Throw.,38,54
13:47,2640,Derrick Griffin Offensive Rebound.,38,54
13:44,239,Foul on Jo Lual-Acuil Jr..,38,54
13:41,2640,Demontrae Jefferson missed Three Point Jumper.,38,54
13:41,2640,Zach Lofton Offensive Rebound.,38,54
13:38,2640,Zach Lofton Turnover.,38,54
13:24,239,Manu Lecomte missed Jumper.,38,54
13:24,2640,Derrick Griffin Defensive Rebound.,38,54
13:10,2640,Zach Lofton missed Jumper.,38,54
13:10,239,Johnathan Motley Block.,38,54
13:10,2640,Zach Lofton Offensive Rebound.,38,54
12:52,239,Foul on Johnathan Motley.,38,54
12:52,239,Foul on Jake Lindsey.,38,54
12:36,2640,Tyree Bynum missed Layup.,38,54
12:36,2640,Marvin Jones Offensive Rebound.,38,54
12:36,2640,Marvin Jones made Two Point Tip Shot.,40,54
12:23,239,Terry Maston made Layup. Assisted by Manu Lecomte.,40,56
11:53,2640,Tyree Bynum made Three Point Jumper. Assisted by Demontrae Jefferson.,43,56
11:38,239,Terry Maston made Jumper. Assisted by Manu Lecomte.,43,58
11:20,2640,Marvin Jones made Three Point Jumper. Assisted by Demontrae Jefferson.,46,58
11:02,239,Jake Lindsey made Three Point Jumper. Assisted by Manu Lecomte.,46,61
10:41,239,Foul on Jake Lindsey.,46,61
10:41,239,Official TV Timeout,46,61
10:13,239,Foul on Terry Maston.,46,61
10:13,2640,Tyree Bynum made Free Throw.,47,61
10:13,2640,Tyree Bynum made Free Throw.,48,61
9:57,239,Johnathan Motley made Layup. Assisted by Terry Maston.,48,63
9:57,2640,Foul on Stephan Bennett.,48,63
9:57,239,Johnathan Motley made Free Throw.,48,64
9:38,2640,Demontrae Jefferson missed Three Point Jumper.,48,64
9:38,239,Wendell Mitchell Defensive Rebound.,48,64
9:25,239,Terry Maston missed Jumper.,48,64
9:25,239,Johnathan Motley Offensive Rebound.,48,64
9:25,239,Johnathan Motley made Two Point Tip Shot.,48,66
8:49,2640,Zach Lofton made Layup.,50,66
8:39,2640,Foul on Demontrae Jefferson.,50,66
8:31,2640,Foul on Demontrae Jefferson.,50,66
8:24,239,Ishmail Wainright made Jumper.,50,68
8:01,2640,Marvin Jones Turnover.,50,68
7:42,2640,Foul on Marvin Jones.,50,68
7:42,239,Official TV Timeout,50,68
7:42,239,Johnathan Motley missed Free Throw.,50,68
7:42,239,Baylor Deadball Team Rebound.,50,68
7:42,239,Johnathan Motley missed Free Throw.,50,68
7:42,239,Terry Maston Offensive Rebound.,50,68
7:40,239,Al Freeman missed Three Point Jumper.,50,68
7:40,2640,Zach Lofton Defensive Rebound.,50,68
7:34,2640,Derrick Griffin missed Layup.,50,68
7:34,239,Manu Lecomte Defensive Rebound.,50,68
7:21,239,Ishmail Wainright missed Three Point Jumper.,50,68
7:21,239,Terry Maston Offensive Rebound.,50,68
7:21,239,Terry Maston made Two Point Tip Shot.,50,70
7:05,239,Foul on Ishmail Wainright.,50,70
7:05,2640,Dulani Robinson made Free Throw.,51,70
7:05,2640,Dulani Robinson made Free Throw.,52,70
6:57,239,Terry Maston made Jumper. Assisted by Manu Lecomte.,52,72
6:42,2640,Dulani Robinson Turnover.,52,72
6:42,239,Manu Lecomte Steal.,52,72
6:35,239,Terry Maston made Dunk. Assisted by Ishmail Wainright.,52,74
6:10,2640,Demontrae Jefferson missed Three Point Jumper.,52,74
6:10,2640,Derrick Griffin Offensive Rebound.,52,74
6:01,2640,Marvin Jones missed Jumper.,52,74
6:01,239,Jo Lual-Acuil Jr. Defensive Rebound.,52,74
5:44,239,Manu Lecomte made Jumper.,52,76
5:14,2640,Demontrae Jefferson missed Three Point Jumper.,52,76
5:14,2640,Derrick Griffin Offensive Rebound.,52,76
5:06,239,Foul on Terry Maston.,52,76
5:06,2640,Zach Lofton made Free Throw.,53,76
5:06,2640,Zach Lofton made Free Throw.,54,76
4:59,239,Manu Lecomte missed Three Point Jumper.,54,76
4:59,2640,Zach Lofton Defensive Rebound.,54,76
4:52,2640,Zach Lofton Turnover.,54,76
4:38,239,Jo Lual-Acuil Jr. made Layup. Assisted by Manu Lecomte.,54,78
4:09,2640,Marvin Jones missed Jumper.,54,78
4:09,239,Terry Maston Defensive Rebound.,54,78
4:09,2640,Foul on Zach Lofton.,54,78
3:55,239,Nuni Omot missed Jumper.,54,78
3:55,2640,Marvin Jones Defensive Rebound.,54,78
3:35,2640,Derrick Griffin made Dunk. Assisted by Zach Lofton.,56,78
3:27,2640,Foul on Dulani Robinson.,56,78
3:27,239,Official TV Timeout,56,78
3:27,239,Manu Lecomte made Free Throw.,56,79
3:27,239,Manu Lecomte made Free Throw.,56,80
3:15,2640,Marvin Jones made Dunk. Assisted by Zach Lofton.,58,80
2:48,2640,Foul on Marvin Jones.,58,80
2:48,239,Johnathan Motley made Free Throw.,58,81
2:48,239,Johnathan Motley missed Free Throw.,58,81
2:48,239,Baylor Offensive Rebound.,58,81
2:46,2640,Foul on Derrick Griffin.,58,81
2:46,239,Nuni Omot made Free Throw.,58,82
2:46,239,Nuni Omot made Free Throw.,58,83
2:27,2640,Demontrae Jefferson made Jumper.,60,83
2:00,239,Jo Lual-Acuil Jr. missed Jumper.,60,83
2:00,239,Johnathan Motley Offensive Rebound.,60,83
1:53,239,Johnathan Motley made Dunk.,60,85
1:44,2640,Demontrae Jefferson missed Jumper.,60,85
1:44,239,Jake Lindsey Block.,60,85
1:44,239,Johnathan Motley Defensive Rebound.,60,85
1:38,239,Nuni Omot made Dunk. Assisted by Jake Lindsey.,60,87
1:17,2640,Zach Lofton missed Jumper.,60,87
1:17,239,Jo Lual-Acuil Jr. Defensive Rebound.,60,87
1:09,239,Baylor  Timeout,60,87
0:48,239,Wendell Mitchell made Layup. Assisted by Jake Lindsey.,60,89
0:28,2640,Demontrae Jefferson missed Three Point Jumper.,60,89
0:28,2640,Derrick Griffin Offensive Rebound.,60,89
0:19,2640,Zach Lofton made Three Point Jumper. Assisted by Demontrae Jefferson.,63,89
0:00,239,End of Game,63,89
