Oakland,127,Michigan State,2473
8:11,2473,Stevie Clark Turnover.,17,25
8:11,127,Matt Van Dyk Steal.,17,25
8:11,127,Matt Van Dyk Turnover.,17,25
8:11,2473,Stevie Clark Steal.,17,25
7:49,2473,Stevie Clark made Three Point Jumper.,20,25
7:18,127,Cassius Winston Turnover.,20,25
7:18,127,Official TV Timeout,20,25
7:13,2473,Stevie Clark missed Layup.,20,25
7:13,2473,Brad Brechting Offensive Rebound.,20,25
7:13,2473,Brad Brechting made Dunk.,22,25
6:47,127,Nick Ward made Jumper. Assisted by Matt McQuaid.,22,27
6:22,2473,Martez Walker Turnover.,22,27
6:03,127,Matt McQuaid missed Three Point Jumper.,22,27
6:03,127,Matt Van Dyk Offensive Rebound.,22,27
5:54,2473,Foul on Martez Walker.,22,27
5:54,127,Eron Harris made Free Throw.,22,28
5:54,127,Eron Harris made Free Throw.,22,29
5:40,2473,Foul on Stevie Clark.,22,29
5:40,2473,Stevie Clark Turnover.,22,29
5:27,127,Matt Van Dyk missed Layup.,22,29
5:27,2473,Xavier Hill-Mais Block.,22,29
5:27,2473,Brad Brechting Defensive Rebound.,22,29
5:18,2473,Foul on Stevie Clark.,22,29
5:18,2473,Stevie Clark Turnover.,22,29
5:04,127,Matt McQuaid missed Layup.,22,29
5:04,2473,Xavier Hill-Mais Block.,22,29
5:04,2473,Brad Brechting Defensive Rebound.,22,29
4:55,2473,Stevie Clark made Three Point Jumper. Assisted by Brad Brechting.,25,29
4:29,127,Matt Van Dyk missed Jumper.,25,29
4:29,127,Nick Ward Offensive Rebound.,25,29
4:24,127,Nick Ward Turnover.,25,29
4:24,2473,Martez Walker Steal.,25,29
4:20,127,Foul on Matt Van Dyk.,25,29
4:20,2473,Martez Walker made Free Throw.,26,29
4:20,2473,Martez Walker missed Free Throw.,26,29
4:20,127,Kenny Goins Defensive Rebound.,26,29
3:55,127,Kenny Goins Turnover.,26,29
3:55,2473,Nick Daniels Steal.,26,29
3:51,127,Foul on Alvin Ellis III.,26,29
3:51,127,Official TV Timeout,26,29
3:51,2473,Nick Daniels missed Free Throw.,26,29
3:51,127,Kenny Goins Defensive Rebound.,26,29
3:45,127,Alvin Ellis III missed Three Point Jumper.,26,29
3:45,2473,Xavier Hill-Mais Defensive Rebound.,26,29
3:36,2473,Stevie Clark missed Three Point Jumper.,26,29
3:36,127,Cassius Winston Defensive Rebound.,26,29
3:26,127,Joshua Langford made Three Point Jumper. Assisted by Cassius Winston.,26,32
3:04,2473,Xavier Hill-Mais made Jumper. Assisted by Stevie Clark.,28,32
2:56,127,Joshua Langford Turnover.,28,32
2:56,2473,Brad Brechting Steal.,28,32
2:49,2473,Stevie Clark Turnover.,28,32
2:30,127,Kenny Goins Turnover.,28,32
2:30,2473,Brad Brechting Steal.,28,32
2:00,2473,Stevie Clark missed Jumper.,28,32
2:00,127,Kenny Goins Defensive Rebound.,28,32
1:49,2473,Foul on Stevie Clark.,28,32
1:49,127,Cassius Winston missed Free Throw.,28,32
1:49,127,Michigan St Deadball Team Rebound.,28,32
1:49,127,Cassius Winston missed Free Throw.,28,32
1:49,127,Matt Van Dyk Offensive Rebound.,28,32
1:19,127,Cassius Winston missed Three Point Jumper.,28,32
1:19,2473,Brad Brechting Defensive Rebound.,28,32
1:14,127,Foul on Matt Van Dyk.,28,32
1:14,2473,Brad Brechting made Free Throw.,29,32
1:14,2473,Brad Brechting missed Free Throw.,29,32
1:14,127,Nick Ward Defensive Rebound.,29,32
0:56,2473,Foul on Xavier Hill-Mais.,29,32
0:56,127,Nick Ward made Free Throw.,29,33
0:56,127,Nick Ward made Free Throw.,29,34
0:40,2473,Martez Walker missed Three Point Jumper.,29,34
0:40,127,Nick Ward Defensive Rebound.,29,34
0:21,127,Foul on Joshua Langford.,29,34
0:21,127,Joshua Langford Turnover.,29,34
0:21,2473,Oakland  Timeout,29,34
0:01,2473,Brailen Neely made Three Point Jumper.,32,34
0:00,127,End of 1st half,32,34
20:00,127,Jump Ball won by Michigan St,32,34
19:52,127,Nick Ward missed Layup.,32,34
19:52,2473,Isaiah Brock Defensive Rebound.,32,34
19:50,127,Foul on Matt Van Dyk.,32,34
19:16,2473,Sherron Dorsey-Walker missed Jumper.,32,34
19:16,2473,Jalen Hayes Offensive Rebound.,32,34
19:16,2473,Oakland  Turnover.,32,34
19:06,127,Kyle Ahrens made Jumper. Assisted by Cassius Winston.,32,36
19:06,2473,Foul on Jalen Hayes.,32,36
19:06,127,Kyle Ahrens made Free Throw.,32,37
18:47,2473,Xavier Hill-Mais missed Jumper.,32,37
18:47,2473,Isaiah Brock Offensive Rebound.,32,37
18:42,2473,Isaiah Brock made Dunk.,34,37
18:33,127,Kyle Ahrens made Three Point Jumper. Assisted by Matt McQuaid.,34,40
18:18,2473,Martez Walker made Three Point Jumper. Assisted by Stevie Clark.,37,40
18:00,2473,Foul on Xavier Hill-Mais.,37,40
18:00,127,Nick Ward made Free Throw.,37,41
18:00,127,Nick Ward missed Free Throw.,37,41
18:00,2473,Isaiah Brock Defensive Rebound.,37,41
17:52,2473,Isaiah Brock missed Layup.,37,41
17:52,2473,Xavier Hill-Mais Offensive Rebound.,37,41
17:51,127,Foul on Matt McQuaid.,37,41
17:39,2473,Martez Walker missed Three Point Jumper.,37,41
17:39,127,Alvin Ellis III Block.,37,41
17:39,2473,Xavier Hill-Mais Offensive Rebound.,37,41
17:39,127,Foul on Matt McQuaid.,37,41
17:20,2473,Xavier Hill-Mais made Layup. Assisted by Sherron Dorsey-Walker.,39,41
17:15,127,Cassius Winston made Three Point Jumper.,39,44
16:50,2473,Xavier Hill-Mais Turnover.,39,44
16:43,127,Cassius Winston missed Three Point Jumper.,39,44
16:43,2473,Isaiah Brock Defensive Rebound.,39,44
16:33,2473,Sherron Dorsey-Walker missed Three Point Jumper.,39,44
16:33,127,Cassius Winston Defensive Rebound.,39,44
16:23,127,Cassius Winston made Layup.,39,46
16:05,2473,Xavier Hill-Mais made Layup. Assisted by Sherron Dorsey-Walker.,41,46
15:57,2473,Foul on Xavier Hill-Mais.,41,46
15:57,127,Official TV Timeout,41,46
15:57,127,Nick Ward missed Free Throw.,41,46
15:57,127,Michigan St Deadball Team Rebound.,41,46
15:57,127,Nick Ward made Free Throw.,41,47
15:42,2473,Martez Walker Turnover.,41,47
15:42,127,Eron Harris Steal.,41,47
15:42,2473,Foul on Brad Brechting.,41,47
15:15,127,Kenny Goins missed Jumper.,41,47
15:15,2473,Isaiah Brock Defensive Rebound.,41,47
15:06,2473,Stevie Clark Turnover.,41,47
15:06,127,Eron Harris Steal.,41,47
14:42,127,Eron Harris missed Layup.,41,47
14:42,2473,Brad Brechting Defensive Rebound.,41,47
14:35,127,Foul on Kenny Goins.,41,47
14:30,2473,Sherron Dorsey-Walker missed Three Point Jumper.,41,47
14:30,127,Lourawls Nairn Jr. Defensive Rebound.,41,47
14:12,127,Lourawls Nairn Jr. Turnover.,41,47
14:12,2473,Brad Brechting Steal.,41,47
13:57,2473,Brailen Neely Turnover.,41,47
13:45,127,Eron Harris made Jumper. Assisted by Matt Van Dyk.,41,49
13:21,2473,Martez Walker missed Layup.,41,49
13:21,127,Kenny Goins Block.,41,49
13:21,2473,Oakland Offensive Rebound.,41,49
13:21,2473,Martez Walker missed Three Point Jumper.,41,49
13:21,127,Cassius Winston Defensive Rebound.,41,49
12:54,127,Eron Harris missed Three Point Jumper.,41,49
12:54,2473,Martez Walker Defensive Rebound.,41,49
12:40,2473,Nick Daniels missed Three Point Jumper.,41,49
12:40,127,Kenny Goins Defensive Rebound.,41,49
12:34,2473,Foul on Brad Brechting.,41,49
12:18,2473,Foul on Sherron Dorsey-Walker.,41,49
12:08,127,Cassius Winston missed Jumper.,41,49
12:08,127,Matt Van Dyk Offensive Rebound.,41,49
11:50,127,Matt McQuaid made Three Point Jumper. Assisted by Cassius Winston.,41,52
11:44,127,Foul on Cassius Winston.,41,52
11:44,127,Official TV Timeout,41,52
11:32,2473,Jalen Hayes made Layup. Assisted by Sherron Dorsey-Walker.,43,52
11:02,127,Kenny Goins missed Jumper.,43,52
11:02,2473,Sherron Dorsey-Walker Defensive Rebound.,43,52
10:59,127,Foul on Eron Harris.,43,52
10:41,127,Foul on Matt Van Dyk.,43,52
10:41,2473,Jalen Hayes made Free Throw.,44,52
10:41,2473,Jalen Hayes made Free Throw.,45,52
10:28,127,Foul on Matt McQuaid.,45,52
10:28,127,Matt McQuaid Turnover.,45,52
10:15,2473,Chris Palombizio made Three Point Jumper. Assisted by Stevie Clark.,48,52
10:05,2473,Foul on Brad Brechting.,48,52
10:05,127,Nick Ward made Free Throw.,48,53
10:05,127,Nick Ward made Free Throw.,48,54
9:45,127,Foul on Matt Van Dyk.,48,54
9:45,2473,Jalen Hayes made Free Throw.,49,54
9:45,2473,Jalen Hayes made Free Throw.,50,54
9:26,2473,Foul on Brad Brechting.,50,54
9:26,127,Nick Ward missed Free Throw.,50,54
9:26,2473,Martez Walker Defensive Rebound.,50,54
9:00,2473,Jalen Hayes Turnover.,50,54
9:00,127,Matt McQuaid Steal.,50,54
8:54,127,Matt McQuaid Turnover.,50,54
8:34,2473,Stevie Clark missed Jumper.,50,54
8:34,127,Alvin Ellis III Defensive Rebound.,50,54
8:29,127,Matt McQuaid missed Three Point Jumper.,50,54
8:29,2473,Martez Walker Defensive Rebound.,50,54
8:20,2473,Martez Walker missed Three Point Jumper.,50,54
8:20,127,Kenny Goins Defensive Rebound.,50,54
8:13,127,Nick Ward made Layup. Assisted by Cassius Winston.,50,56
7:47,2473,Jalen Hayes missed Jumper.,50,56
7:47,127,Nick Ward Defensive Rebound.,50,56
7:46,2473,Foul on Jalen Hayes.,50,56
7:46,127,Official TV Timeout,50,56
7:46,127,Nick Ward made Free Throw.,50,57
7:46,127,Nick Ward made Free Throw.,50,58
7:32,2473,Sherron Dorsey-Walker missed Jumper.,50,58
7:32,127,Nick Ward Block.,50,58
7:32,2473,Oakland Offensive Rebound.,50,58
7:20,2473,Stevie Clark Turnover.,50,58
7:20,127,Cassius Winston Steal.,50,58
6:58,127,Eron Harris made Three Point Jumper. Assisted by Alvin Ellis III.,50,61
6:42,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Chris Palombizio.,53,61
6:20,127,Nick Ward missed Layup.,53,61
6:19,127,Nick Ward Offensive Rebound.,53,61
6:08,127,Nick Ward made Layup.,53,63
5:56,2473,Sherron Dorsey-Walker made Layup.,55,63
5:56,127,Foul on Alvin Ellis III.,55,63
5:56,2473,Sherron Dorsey-Walker missed Free Throw.,55,63
5:56,127,Kenny Goins Defensive Rebound.,55,63
5:39,127,Alvin Ellis III made Three Point Jumper. Assisted by Cassius Winston.,55,66
5:14,2473,Stevie Clark missed Jumper.,55,66
5:14,127,Kenny Goins Defensive Rebound.,55,66
4:50,127,Nick Ward missed Layup.,55,66
4:50,127,Nick Ward Offensive Rebound.,55,66
4:50,127,Nick Ward made Two Point Tip Shot.,55,68
4:35,2473,Jaevin Cumberland Turnover.,55,68
4:35,127,Eron Harris Steal.,55,68
4:31,127,Alvin Ellis III Turnover.,55,68
4:31,2473,Sherron Dorsey-Walker Steal.,55,68
4:31,127,Foul on Joshua Langford.,55,68
4:20,2473,Nick Daniels missed Three Point Jumper.,55,68
4:20,127,Michigan St Defensive Rebound.,55,68
4:09,127,Cassius Winston Turnover.,55,68
4:09,2473,Isaiah Brock Steal.,55,68
4:00,2473,Sherron Dorsey-Walker made Three Point Jumper.,58,68
3:38,2473,Foul on Isaiah Brock.,58,68
3:38,127,Official TV Timeout,58,68
3:38,127,Nick Ward missed Free Throw.,58,68
3:38,127,Michigan St Deadball Team Rebound.,58,68
3:38,127,Nick Ward made Free Throw.,58,69
3:28,2473,Sherron Dorsey-Walker made Layup.,60,69
3:08,2473,Foul on Brad Brechting.,60,69
3:08,127,Nick Ward missed Free Throw.,60,69
3:08,127,Michigan St Deadball Team Rebound.,60,69
3:08,127,Nick Ward missed Free Throw.,60,69
3:08,2473,Martez Walker Defensive Rebound.,60,69
3:00,2473,Sherron Dorsey-Walker missed Three Point Jumper.,60,69
3:00,2473,Nick Daniels Offensive Rebound.,60,69
2:51,2473,Nick Daniels Turnover.,60,69
2:51,127,Alvin Ellis III Steal.,60,69
2:30,127,Cassius Winston missed Layup.,60,69
2:30,2473,Isaiah Brock Block.,60,69
2:30,127,Eron Harris Offensive Rebound.,60,69
2:23,127,Matt McQuaid missed Three Point Jumper.,60,69
2:23,2473,Martez Walker Defensive Rebound.,60,69
2:17,2473,Sherron Dorsey-Walker missed Layup.,60,69
2:17,2473,Martez Walker Offensive Rebound.,60,69
2:14,127,Foul on Nick Ward.,60,69
2:14,2473,Martez Walker made Free Throw.,61,69
2:14,2473,Martez Walker made Free Throw.,62,69
2:14,2473,Oakland  Timeout,62,69
1:48,127,Eron Harris made Layup.,62,71
1:40,127,Foul on Eron Harris.,62,71
1:40,2473,Stevie Clark made Free Throw.,63,71
1:40,2473,Stevie Clark made Free Throw.,64,71
1:40,127,Michigan St  Timeout,64,71
1:14,127,Eron Harris missed Three Point Jumper.,64,71
1:14,127,Alvin Ellis III Offensive Rebound.,64,71
1:12,127,Michigan St  Turnover.,64,71
0:56,2473,Xavier Hill-Mais missed Layup.,64,71
0:56,2473,Sherron Dorsey-Walker Offensive Rebound.,64,71
0:39,127,Foul on Kenny Goins.,64,71
0:39,2473,Martez Walker missed Free Throw.,64,71
0:39,2473,Oakland Deadball Team Rebound.,64,71
0:39,2473,Martez Walker made Free Throw.,65,71
0:39,2473,Oakland  Timeout,65,71
0:37,2473,Foul on Sherron Dorsey-Walker.,65,71
0:37,127,Kyle Ahrens missed Free Throw.,65,71
0:37,127,Michigan St Deadball Team Rebound.,65,71
0:37,127,Kyle Ahrens made Free Throw.,65,72
0:29,2473,Martez Walker missed Three Point Jumper.,65,72
0:29,127,Eron Harris Defensive Rebound.,65,72
