Wisc. Lacrosse,270,Milwaukee,2740
3:02,-1,Foul on Jack Kortes.,31,37
3:02,270,Brock Stull made Free Throw.,31,38
3:02,270,Brock Stull made Free Throw.,31,39
2:44,-1,Tanner Bruchs missed Three Point Jumper.,31,39
2:44,270,Milwaukee Defensive Rebound.,31,39
2:42,270,Foul on Bryce Nze.,31,39
2:37,-1,Ben Meinholz missed Jumper.,31,39
2:37,270,Brett Prahl Defensive Rebound.,31,39
2:25,270,Jeremiah Bell missed Three Point Jumper.,31,39
2:25,-1,Nolan Wright Defensive Rebound.,31,39
2:16,-1,Tanner Bruchs missed Three Point Jumper.,31,39
2:16,270,Bryce Barnes Defensive Rebound.,31,39
2:03,270,Brock Stull made Three Point Jumper.,31,42
1:50,270,Foul on Vance Johnson.,31,42
1:50,-1,Brendon Manning missed Free Throw.,31,42
1:50,-1,Wisconsin-Lacrosse Deadball Team Rebound.,31,42
1:50,-1,Brendon Manning made Free Throw.,32,42
1:42,-1,Foul on Brendon Manning.,32,42
1:39,270,Bryce Barnes missed Free Throw.,32,42
1:39,270,Milwaukee Deadball Team Rebound.,32,42
1:39,270,Bryce Barnes made Free Throw.,32,43
1:20,-1,Lane Von Rueden made Jumper. Assisted by Ben Meinholz.,34,43
1:12,-1,Foul on Taulvish McCray.,34,43
1:12,270,Bryce Barnes made Free Throw.,34,44
1:12,270,Bryce Barnes made Free Throw.,34,45
1:01,-1,Lane Von Rueden missed Jumper.,34,45
1:01,270,Vance Johnson Defensive Rebound.,34,45
0:42,270,Carson Warren-Newsome made Three Point Jumper. Assisted by Brett Prahl.,34,48
0:25,-1,Taulvish McCray made Three Point Jumper. Assisted by Lane Von Rueden.,37,48
0:03,270,Bryce Barnes made Layup.,37,50
0:01,-1,Foul on Lane Von Rueden.,37,50
0:01,270,Bryce Barnes made Free Throw.,37,51
0:00,270,End of 1st half,37,51
19:35,-1,Taulvish McCray made Layup. Assisted by Terek Nesheim.,39,51
19:20,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,39,53
18:59,-1,Ben Meinholz made Jumper.,41,53
18:45,270,Brock Stull missed Layup.,41,53
18:45,-1,Ben Meinholz Defensive Rebound.,41,53
18:37,-1,Ben Meinholz missed Three Point Jumper.,41,53
18:37,270,Bryce Barnes Defensive Rebound.,41,53
18:30,270,Brock Stull Turnover.,41,53
18:15,-1,Terek Nesheim missed Three Point Jumper.,41,53
18:15,-1,Terek Nesheim Offensive Rebound.,41,53
17:59,-1,Terek Nesheim missed Three Point Jumper.,41,53
17:59,270,Bryce Nze Defensive Rebound.,41,53
17:41,270,Bryce Barnes missed Layup.,41,53
17:41,-1,Ben Meinholz Block.,41,53
17:39,270,Bryce Nze Offensive Rebound.,41,53
17:29,270,Brock Stull Turnover.,41,53
17:27,-1,Brendon Manning Steal.,41,53
17:17,-1,Ben Meinholz missed Jumper.,41,53
17:17,270,Bryce Nze Defensive Rebound.,41,53
17:12,270,Bryce Barnes made Three Point Jumper. Assisted by Bryce Nze.,41,56
16:48,-1,Tanner Bruchs missed Jumper.,41,56
16:48,270,Jeremiah Bell Defensive Rebound.,41,56
16:40,270,Brock Stull missed Three Point Jumper.,41,56
16:40,-1,Ben Meinholz Block.,41,56
16:37,-1,Taulvish McCray Defensive Rebound.,41,56
16:31,-1,Taulvish McCray missed Three Point Jumper.,41,56
16:31,270,Bryce Nze Defensive Rebound.,41,56
16:26,-1,Foul on Tanner Bruchs.,41,56
16:26,270,Jeremiah Bell made Free Throw.,41,57
16:25,270,Jeremiah Bell made Free Throw.,41,58
16:16,-1,Nolan Wright missed Jumper.,41,58
16:16,270,Bryce Barnes Defensive Rebound.,41,58
15:53,270,Brett Prahl made Layup. Assisted by Bryce Barnes.,41,60
15:41,270,Official TV Timeout,41,60
15:20,-1,Milton Cummings Turnover.,41,60
14:59,270,Jeremiah Bell missed Layup.,41,60
14:59,-1,Nolan Wright Defensive Rebound.,41,60
14:31,270,Foul on Bryce Nze.,41,60
14:18,-1,Lane Von Rueden Turnover.,41,60
14:07,270,Brett Prahl Turnover.,41,60
14:06,-1,Taulvish McCray Steal.,41,60
14:00,-1,Nolan Wright Turnover.,41,60
13:58,270,Brett Prahl Steal.,41,60
13:54,270,Carson Warren-Newsome missed Three Point Jumper.,41,60
13:54,-1,Ben Meinholz Defensive Rebound.,41,60
13:44,270,Foul on Jeremiah Bell.,41,60
13:39,-1,Ben Meinholz made Jumper.,43,60
13:35,-1,Wisconsin-Lacrosse  Timeout,43,60
13:13,-1,Foul on Brendon Manning.,43,60
13:02,270,Carson Warren-Newsome Turnover.,43,60
13:00,-1,Sam Skoyen Steal.,43,60
12:54,270,Foul on August Haas.,43,60
12:47,-1,Taulvish McCray missed Three Point Jumper.,43,60
12:47,270,Brock Stull Defensive Rebound.,43,60
12:39,270,Carson Warren-Newsome made Dunk. Assisted by Brock Stull.,43,62
12:14,270,Foul on Brett Prahl.,43,62
12:08,-1,Brendon Manning Turnover.,43,62
12:01,270,Carson Warren-Newsome Turnover.,43,62
12:00,-1,Brendon Manning Steal.,43,62
11:53,-1,Sam Skoyen missed Three Point Jumper.,43,62
11:53,-1,Ben Meinholz Offensive Rebound.,43,62
11:49,-1,Ben Meinholz missed Layup.,43,62
11:49,-1,Ben Meinholz Offensive Rebound.,43,62
11:46,-1,Sam Skoyen missed Layup.,43,62
11:46,270,Brett Prahl Defensive Rebound.,43,62
11:42,-1,Brendon Manning made Layup.,45,62
11:42,-1,Foul on Nolan Wright.,45,62
11:31,270,Bryce Barnes made Jumper. Assisted by Brett Prahl.,45,64
11:12,-1,Tanner Bruchs missed Three Point Jumper.,45,64
11:12,-1,Ben Meinholz Offensive Rebound.,45,64
11:08,-1,Ben Meinholz missed Jumper.,45,64
11:08,270,Carson Warren-Newsome Defensive Rebound.,45,64
10:48,270,Jeremy Johnson Turnover.,45,64
10:25,-1,Brendon Manning made Layup. Assisted by Ben Meinholz.,47,64
10:11,270,Brock Stull Turnover.,47,64
9:58,270,Foul on Carson Warren-Newsome.,47,64
9:58,-1,Sam Skoyen made Free Throw.,48,64
9:58,-1,Sam Skoyen missed Free Throw.,48,64
9:58,270,Brett Prahl Defensive Rebound.,48,64
9:41,270,Vance Johnson missed Jumper.,48,64
9:41,-1,Nolan Wright Defensive Rebound.,48,64
9:25,-1,Taulvish McCray made Jumper.,50,64
9:01,270,Bryce Barnes made Layup.,50,66
8:43,-1,Tanner Bruchs Turnover.,50,66
8:42,270,Bryce Barnes Steal.,50,66
8:40,270,Bryce Barnes made Layup.,50,68
8:24,270,Foul on Vance Johnson.,50,68
8:09,-1,Nolan Wright made Layup. Assisted by Taulvish McCray.,52,68
7:51,270,Bryce Barnes made Layup.,52,70
7:33,-1,Sam Skoyen made Jumper.,54,70
7:11,270,Brett Prahl Turnover.,54,70
7:10,-1,Sam Skoyen Steal.,54,70
7:06,-1,Taulvish McCray made Jumper.,56,70
6:56,-1,Foul on Sam Skoyen.,56,70
6:56,270,Official TV Timeout,56,70
6:52,-1,Foul on Terek Nesheim.,56,70
6:49,270,Bryce Nze missed Free Throw.,56,70
6:49,270,Milwaukee Deadball Team Rebound.,56,70
6:49,270,Bryce Nze made Free Throw.,56,71
6:34,-1,Terek Nesheim made Three Point Jumper. Assisted by Taulvish McCray.,59,71
6:11,270,Bryce Nze Turnover.,59,71
6:09,-1,Terek Nesheim Steal.,59,71
5:58,-1,Ben Meinholz missed Layup.,59,71
5:58,-1,Ben Meinholz Offensive Rebound.,59,71
5:53,-1,Brendon Manning missed Layup.,59,71
5:53,-1,Taulvish McCray Offensive Rebound.,59,71
5:43,-1,Terek Nesheim missed Jumper.,59,71
5:43,270,Vance Johnson Block.,59,71
5:42,270,Milwaukee Defensive Rebound.,59,71
5:20,270,Vance Johnson Turnover.,59,71
5:19,-1,Brendon Manning Steal.,59,71
5:11,-1,Milton Cummings missed Three Point Jumper.,59,71
5:11,-1,Brendon Manning Offensive Rebound.,59,71
4:57,-1,Taulvish McCray missed Three Point Jumper.,59,71
4:57,-1,Terek Nesheim Offensive Rebound.,59,71
4:55,270,Foul on August Haas.,59,71
4:55,-1,Terek Nesheim missed Free Throw.,59,71
4:55,270,Brock Stull Defensive Rebound.,59,71
4:43,270,Jeremiah Bell made Layup.,59,73
4:30,270,Foul on Jeremiah Bell.,59,73
4:30,-1,Ben Meinholz made Free Throw.,60,73
4:30,-1,Ben Meinholz missed Free Throw.,60,73
4:30,270,Vance Johnson Defensive Rebound.,60,73
4:28,270,Jeremy Johnson made Three Point Jumper. Assisted by August Haas.,60,76
4:18,270,Foul on Jeremy Johnson.,60,76
4:11,-1,Terek Nesheim made Free Throw.,61,76
4:11,-1,Terek Nesheim made Free Throw.,62,76
3:49,-1,Foul on Terek Nesheim.,62,76
3:33,270,Jeremy Johnson missed Three Point Jumper.,62,76
3:33,270,Vance Johnson Offensive Rebound.,62,76
3:20,270,Bryce Nze made Layup. Assisted by Brock Stull.,62,78
3:20,-1,Foul on Nolan Wright.,62,78
3:20,270,Bryce Nze made Free Throw.,62,79
3:15,-1,Nolan Wright made Layup. Assisted by Taulvish McCray.,64,79
3:11,270,Milwaukee  Timeout,64,79
2:59,270,Foul on Vance Johnson.,64,79
2:59,270,Vance Johnson Turnover.,64,79
2:52,-1,Ben Meinholz made Layup.,66,79
2:48,-1,Wisconsin-Lacrosse  Timeout,66,79
2:35,270,Brett Prahl made Layup. Assisted by Bryce Nze.,66,81
2:12,-1,Taulvish McCray made Jumper.,68,81
1:54,270,Bryce Barnes Turnover.,68,81
1:54,-1,Taulvish McCray Steal.,68,81
1:44,-1,Terek Nesheim missed Layup.,68,81
1:44,-1,Wisconsin-Lacrosse Offensive Rebound.,68,81
1:32,-1,Brendon Manning made Layup. Assisted by Ben Meinholz.,70,81
1:03,270,Milwaukee  Turnover.,70,81
0:36,-1,Ben Meinholz made Three Point Jumper.,73,81
0:33,-1,Wisconsin-Lacrosse  Timeout,73,81
0:32,-1,Foul on Taulvish McCray.,73,81
0:32,270,Bryce Barnes made Free Throw.,73,82
0:32,270,Bryce Barnes made Free Throw.,73,83
0:27,-1,Ben Meinholz missed Three Point Jumper.,73,83
0:27,270,August Haas Defensive Rebound.,73,83
0:00,270,End of Game,73,83
