Wright State,2350,Loyola-Chicago,2750
5:49,2750,Justin Mitchell Defensive Rebound.,28,30
5:36,2750,Justin Mitchell missed Jumper.,28,30
5:36,2750,Alan Vest Offensive Rebound.,28,30
5:15,2750,Justin Mitchell Turnover.,28,30
5:13,2350,Clayton Custer Steal.,28,30
4:58,2350,Marques Townes made Layup. Assisted by Aundre Jackson.,28,32
4:26,2750,Alan Vest made Three Point Jumper. Assisted by Mark Hughes.,31,32
4:15,2350,Clayton Custer made Layup.,31,34
3:55,2750,Grant Benzinger made Three Point Jumper.,34,34
3:38,2350,Marques Townes Turnover.,34,34
3:38,2350,Official TV Timeout,34,34
3:26,2750,Everett Winchester made Jumper.,36,34
2:58,2350,Donte Ingram made Jumper. Assisted by Ben Richardson.,36,36
2:45,2750,Foul on Grant Benzinger.,36,36
2:45,2750,Grant Benzinger Turnover.,36,36
2:31,2350,Donte Ingram made Layup. Assisted by Aundre Jackson.,36,38
2:18,2750,Grant Benzinger missed Three Point Jumper.,36,38
2:18,2350,Aundre Jackson Defensive Rebound.,36,38
2:05,2350,Ben Richardson Turnover.,36,38
2:03,2750,Grant Benzinger Steal.,36,38
1:52,2350,Foul on Aundre Jackson.,36,38
1:52,2750,Everett Winchester missed Free Throw.,36,38
1:52,2750,Wright State Deadball Team Rebound.,36,38
1:52,2750,Everett Winchester made Free Throw.,37,38
1:38,2350,Cameron Krutwig made Layup. Assisted by Marques Townes.,37,40
1:20,2750,Everett Winchester missed Jumper.,37,40
1:20,2350,Donte Ingram Defensive Rebound.,37,40
1:09,2350,Cameron Krutwig made Layup. Assisted by Ben Richardson.,37,42
1:07,2350,Loyola-Chicago  Timeout,37,42
0:55,2750,Mark Hughes made Jumper.,39,42
0:38,2350,Donte Ingram made Three Point Jumper. Assisted by Ben Richardson.,39,45
0:04,2750,Justin Mitchell made Layup.,41,45
0:00,2350,End of 1st half,41,45
19:51,2750,Foul on Loudon Love.,41,45
19:51,2750,Loudon Love Turnover.,41,45
19:41,2350,Clayton Custer made Jumper.,41,47
19:26,2750,Grant Benzinger made Jumper.,43,47
19:14,2750,Foul on Grant Benzinger.,43,47
19:10,2750,Foul on Everett Winchester.,43,47
19:04,2350,Marques Townes missed Three Point Jumper.,43,47
19:04,2750,Everett Winchester Defensive Rebound.,43,47
18:52,2750,Justin Mitchell missed Jumper.,43,47
18:52,2350,Marques Townes Defensive Rebound.,43,47
18:30,2750,Foul on Mark Hughes.,43,47
18:30,2350,Marques Townes made Free Throw.,43,48
18:30,2350,Marques Townes missed Free Throw.,43,48
18:30,2750,Everett Winchester Defensive Rebound.,43,48
18:30,2350,Foul on Aundre Jackson.,43,48
18:17,2750,Everett Winchester made Jumper. Assisted by Mark Hughes.,45,48
17:57,2350,Foul on Clayton Custer.,45,48
17:57,2350,Clayton Custer Turnover.,45,48
17:45,2750,Grant Benzinger missed Three Point Jumper.,45,48
17:45,2350,Clayton Custer Defensive Rebound.,45,48
17:39,2350,Marques Townes made Layup. Assisted by Donte Ingram.,45,50
