Tenn-Martin,276,Marshall,2630
0:54,2630,DelFincko Bogan Steal.,44,31
0:50,2630,Jerome Davis made Layup. Assisted by DelFincko Bogan.,46,31
0:22,276,Jarrod West Turnover.,46,31
0:21,2630,Darius Thompson Steal.,46,31
0:14,2630,Jerome Davis missed Layup.,46,31
0:14,2630,Dominique Williams Offensive Rebound.,46,31
0:00,276,End of 1st half,46,31
19:39,276,Jon Elmore made Three Point Jumper. Assisted by C.J. Burks.,46,34
19:28,2630,Matthew Butler Turnover.,46,34
19:27,276,Ajdin Penava Steal.,46,34
19:26,276,Ajdin Penava made Dunk.,46,36
19:02,2630,Fatodd Lewis Turnover.,46,36
18:57,276,Jon Elmore missed Three Point Jumper.,46,36
18:57,2630,Jailen Gill Defensive Rebound.,46,36
18:40,2630,Darius Thompson missed Three Point Jumper.,46,36
18:40,276,Milan Mijovic Defensive Rebound.,46,36
18:32,276,Jarrod West made Jumper. Assisted by Jon Elmore.,46,38
18:08,2630,Jailen Gill missed Jumper.,46,38
18:08,276,Ajdin Penava Defensive Rebound.,46,38
17:57,276,C.J. Burks made Jumper.,46,40
17:43,2630,UT Martin  Timeout,46,40
17:43,276,Official TV Timeout,46,40
17:36,276,Foul on Jarrod West.,46,40
17:26,2630,Dominique Williams made Jumper. Assisted by Mike Fofana.,48,40
17:12,276,Jon Elmore missed Three Point Jumper.,48,40
17:12,2630,UT Martin Defensive Rebound.,48,40
17:10,276,Foul on Ajdin Penava.,48,40
16:44,2630,DelFincko Bogan made Jumper.,50,40
16:34,276,C.J. Burks missed Three Point Jumper.,50,40
16:34,276,Milan Mijovic Offensive Rebound.,50,40
16:22,2630,Foul on Mike Fofana.,50,40
16:20,276,Milan Mijovic Turnover.,50,40
16:19,2630,DelFincko Bogan Steal.,50,40
16:18,2630,DelFincko Bogan Turnover.,50,40
16:05,2630,Foul on Kahari Beaufort.,50,40
16:05,276,Jon Elmore made Free Throw.,50,41
16:05,276,Jon Elmore made Free Throw.,50,42
15:52,2630,DelFincko Bogan Turnover.,50,42
15:51,276,Dani Koljanin Steal.,50,42
15:47,2630,Foul on DelFincko Bogan.,50,42
15:47,276,Official TV Timeout,50,42
15:44,276,Jarrod West missed Three Point Jumper.,50,42
15:44,276,Marshall Offensive Rebound.,50,42
15:24,276,Milan Mijovic made Layup. Assisted by Jon Elmore.,50,44
15:24,2630,Foul on Matthew Butler.,50,44
15:24,276,Milan Mijovic made Free Throw.,50,45
15:16,2630,Terrence Parker missed Dunk.,50,45
15:16,276,C.J. Burks Defensive Rebound.,50,45
15:08,276,C.J. Burks made Three Point Jumper.,50,48
14:42,276,Foul on Milan Mijovic.,50,48
14:33,2630,Matthew Butler made Jumper.,52,48
14:26,2630,Foul on Darius Thompson.,52,48
14:13,276,Foul on C.J. Burks.,52,48
14:13,276,C.J. Burks Turnover.,52,48
13:55,2630,Darius Thompson made Layup.,54,48
13:46,276,C.J. Burks missed Three Point Jumper.,54,48
13:46,2630,Matthew Butler Defensive Rebound.,54,48
13:29,276,Foul on Milan Mijovic.,54,48
13:23,2630,Dominique Williams missed Layup.,54,48
13:23,2630,UT Martin Offensive Rebound.,54,48
13:22,2630,Terrence Parker Turnover.,54,48
13:22,2630,Foul on Terrence Parker.,54,48
13:10,276,Phil Bledsoe missed Layup.,54,48
13:10,276,Dani Koljanin Offensive Rebound.,54,48
13:03,2630,Foul on Darius Thompson.,54,48
13:03,276,Jon Elmore made Free Throw.,54,49
13:03,276,Jon Elmore made Free Throw.,54,50
12:56,2630,DelFincko Bogan Turnover.,54,50
12:53,276,C.J. Burks made Three Point Jumper. Assisted by Dani Koljanin.,54,53
12:31,2630,Matthew Butler made Layup.,56,53
12:12,276,Phil Bledsoe made Layup. Assisted by Jarrod West.,56,55
11:41,2630,Darius Thompson missed Three Point Jumper.,56,55
11:41,2630,Terrence Parker Offensive Rebound.,56,55
11:37,2630,Terrence Parker made Layup.,58,55
11:20,276,Jon Elmore missed Three Point Jumper.,58,55
11:20,2630,DelFincko Bogan Defensive Rebound.,58,55
10:53,2630,Foul on Darius Thompson.,58,55
10:53,2630,Darius Thompson Turnover.,58,55
10:53,276,Official TV Timeout,58,55
10:38,276,Phil Bledsoe made Jumper. Assisted by Ajdin Penava.,58,57
10:14,2630,Matthew Butler missed Three Point Jumper.,58,57
10:14,276,Phil Bledsoe Defensive Rebound.,58,57
9:57,276,Jon Elmore missed Layup.,58,57
9:57,2630,Dominique Williams Defensive Rebound.,58,57
9:51,2630,Parrish Hewitt made Three Point Jumper. Assisted by Matthew Butler.,61,57
9:39,276,C.J. Burks missed Three Point Jumper.,61,57
9:39,276,Ajdin Penava Offensive Rebound.,61,57
9:35,276,Ajdin Penava made Layup.,61,59
9:02,2630,Dominique Williams made Layup.,63,59
8:44,2630,Foul on Jailen Gill.,63,59
8:44,276,Jon Elmore made Free Throw.,63,60
8:44,276,Jon Elmore made Free Throw.,63,61
8:37,2630,Parrish Hewitt missed Three Point Jumper.,63,61
8:37,276,Phil Bledsoe Defensive Rebound.,63,61
8:30,276,Darius George missed Layup.,63,61
8:30,276,Ajdin Penava Offensive Rebound.,63,61
8:23,276,C.J. Burks made Jumper. Assisted by Jarrod West.,63,63
7:47,2630,Matthew Butler missed Three Point Jumper.,63,63
7:47,276,Darius George Defensive Rebound.,63,63
7:42,2630,Foul on DelFincko Bogan.,63,63
7:42,276,Official TV Timeout,63,63
7:42,276,Darius George missed Free Throw.,63,63
7:42,276,Marshall Deadball Team Rebound.,63,63
7:42,276,Darius George missed Free Throw.,63,63
7:42,276,Ajdin Penava Offensive Rebound.,63,63
7:40,2630,Foul on Darius Thompson.,63,63
7:40,276,Ajdin Penava missed Free Throw.,63,63
7:40,276,Marshall Deadball Team Rebound.,63,63
7:40,276,Ajdin Penava made Free Throw.,63,64
7:25,276,Foul on Darius George.,63,64
7:09,2630,Terrence Parker missed Jumper.,63,64
7:09,276,Marshall Defensive Rebound.,63,64
6:52,276,Jarrod West missed Three Point Jumper.,63,64
6:52,2630,Mike Fofana Defensive Rebound.,63,64
6:38,2630,Matthew Butler made Jumper.,65,64
6:23,2630,Foul on Terrence Parker.,65,64
6:23,276,Ajdin Penava missed Free Throw.,65,64
6:23,276,Marshall Deadball Team Rebound.,65,64
6:23,276,Ajdin Penava made Free Throw.,65,65
6:09,2630,Mike Fofana Turnover.,65,65
6:02,276,Jon Elmore made Three Point Jumper. Assisted by Jarrod West.,65,68
5:39,2630,Matthew Butler missed Three Point Jumper.,65,68
5:39,2630,Dominique Williams Offensive Rebound.,65,68
5:34,2630,Dominique Williams made Layup.,67,68
5:21,276,Ajdin Penava Turnover.,67,68
5:04,2630,Mike Fofana missed Jumper.,67,68
5:04,2630,UT Martin Offensive Rebound.,67,68
4:57,2630,Matthew Butler missed Three Point Jumper.,67,68
4:57,2630,Terrence Parker Offensive Rebound.,67,68
4:39,276,Foul on Phil Bledsoe.,67,68
4:39,2630,Terrence Parker made Free Throw.,68,68
4:39,2630,Terrence Parker made Free Throw.,69,68
4:29,276,C.J. Burks missed Three Point Jumper.,69,68
4:29,2630,Mike Fofana Defensive Rebound.,69,68
4:00,2630,DelFincko Bogan missed Three Point Jumper.,69,68
4:00,2630,Terrence Parker Offensive Rebound.,69,68
3:45,2630,Matthew Butler made Three Point Jumper.,72,68
3:36,2630,Foul on Dominique Williams.,72,68
3:36,276,Official TV Timeout,72,68
3:36,276,Jon Elmore made Free Throw.,72,69
3:36,276,Jon Elmore made Free Throw.,72,70
3:22,2630,Terrence Parker Turnover.,72,70
3:15,276,Jon Elmore made Layup.,72,72
2:45,2630,Dominique Williams missed Three Point Jumper.,72,72
2:45,2630,Mike Fofana Offensive Rebound.,72,72
2:38,2630,Dominique Williams made Layup. Assisted by Mike Fofana.,74,72
2:21,276,Jon Elmore missed Three Point Jumper.,74,72
2:21,2630,Matthew Butler Defensive Rebound.,74,72
2:13,2630,Mike Fofana made Jumper.,76,72
2:06,276,Marshall  Timeout,76,72
1:55,276,Jarrod West missed Three Point Jumper.,76,72
1:55,276,Ajdin Penava Offensive Rebound.,76,72
1:51,276,C.J. Burks missed Three Point Jumper.,76,72
1:51,276,C.J. Burks Offensive Rebound.,76,72
1:47,276,Jarrod West made Three Point Jumper. Assisted by C.J. Burks.,76,75
1:45,276,Marshall  Timeout,76,75
1:26,2630,Terrence Parker made Layup. Assisted by Matthew Butler.,78,75
1:16,276,Ajdin Penava made Three Point Jumper. Assisted by Jon Elmore.,78,78
0:42,2630,DelFincko Bogan missed Three Point Jumper.,78,78
0:42,276,Jon Elmore Defensive Rebound.,78,78
0:17,276,Jon Elmore made Layup.,78,80
0:17,2630,Foul on Terrence Parker.,78,80
0:17,276,Marshall  Timeout,78,80
0:17,276,Jon Elmore made Free Throw.,78,81
0:07,276,Foul on Ajdin Penava.,78,81
0:07,2630,Darius Thompson made Free Throw.,79,81
0:07,2630,Darius Thompson made Free Throw.,80,81
0:05,2630,Foul on Darius Thompson.,80,81
0:05,276,Jon Elmore made Free Throw.,80,82
0:05,2630,UT Martin  Timeout,80,82
0:05,276,Jon Elmore made Free Throw.,80,83
0:00,2630,Dominique Williams made Three Point Jumper.,83,83
0:00,276,End of 2nd half,83,83
4:56,276,Jon Elmore made Layup.,83,85
4:28,2630,Matthew Butler Turnover.,83,85
4:10,276,Jon Elmore missed Three Point Jumper.,83,85
4:10,276,Milan Mijovic Offensive Rebound.,83,85
4:04,276,Ajdin Penava made Layup. Assisted by C.J. Burks.,83,87
3:37,2630,Matthew Butler missed Jumper.,83,87
3:37,276,Ajdin Penava Defensive Rebound.,83,87
