South Carolina State,2116,UCF,2569
3:57,2116,A.J. Davis Defensive Rebound.,32,29
3:30,2116,Chance McSpadden missed Three Point Jumper.,32,29
3:30,2116,Tacko Fall Offensive Rebound.,32,29
3:26,2116,Tacko Fall Turnover.,32,29
3:25,2569,Janai Raynor Powell Steal.,32,29
3:22,2569,Donte Wright missed Three Point Jumper.,32,29
3:22,2116,Dayon Griffin Defensive Rebound.,32,29
3:00,2116,Dayon Griffin made Three Point Jumper. Assisted by Tacko Fall.,32,32
2:50,2569,South Carolina State  Timeout,32,32
2:37,2569,Ian Kinard missed Three Point Jumper.,32,32
2:37,2116,Dayon Griffin Defensive Rebound.,32,32
2:21,2116,Tacko Fall made Layup. Assisted by Chance McSpadden.,32,34
2:14,2569,James Richardson missed Three Point Jumper.,32,34
2:14,2116,A.J. Davis Defensive Rebound.,32,34
1:56,2116,Tacko Fall made Dunk. Assisted by Dayon Griffin.,32,36
1:56,2569,Foul on David Bottenberg.,32,36
1:56,2116,Tacko Fall missed Free Throw.,32,36
1:56,2569,Janai Raynor Powell Defensive Rebound.,32,36
1:39,2569,Donte Wright Turnover.,32,36
1:38,2116,Chance McSpadden Steal.,32,36
1:35,2116,Chance McSpadden made Layup.,32,38
1:16,2116,Foul on Tacko Fall.,32,38
1:04,2569,Janai Raynor Powell made Jumper.,34,38
0:47,2569,Foul on Ian Kinard.,34,38
0:47,2116,Chad Brown missed Free Throw.,34,38
0:47,2116,UCF Deadball Team Rebound.,34,38
0:47,2116,Chad Brown made Free Throw.,34,39
0:35,2569,James Richardson missed Jumper.,34,39
0:35,2116,Chance McSpadden Defensive Rebound.,34,39
0:07,2116,Dayon Griffin missed Three Point Jumper.,34,39
0:07,2116,A.J. Davis Offensive Rebound.,34,39
0:02,2116,A.J. Davis Turnover.,34,39
0:01,2569,Janai Raynor Powell Steal.,34,39
0:00,2116,End of 1st half,34,39
20:00,2569,Technical Foul on Justin Jones.,34,39
20:00,2569,Foul on Justin Jones.,34,39
20:00,2116,A.J. Davis made Free Throw.,34,40
20:00,2116,A.J. Davis made Free Throw.,34,41
19:36,2116,UCF  Turnover.,34,41
19:31,2569,Ian Kinard missed Jumper.,34,41
19:31,2116,Tacko Fall Block.,34,41
19:29,2569,Ian Kinard Offensive Rebound.,34,41
19:27,2569,Ian Kinard missed Layup.,34,41
19:27,2116,Tacko Fall Block.,34,41
19:25,2569,Ian Kinard Offensive Rebound.,34,41
19:17,2569,Damani Applewhite missed Jumper.,34,41
19:17,2116,Tacko Fall Defensive Rebound.,34,41
19:09,2116,Tacko Fall Turnover.,34,41
18:49,2116,Foul on Ceasar DeJesus.,34,41
18:36,2569,Ian Kinard made Three Point Jumper. Assisted by Janai Raynor Powell.,37,41
18:11,2116,Terrell Allen missed Jumper.,37,41
18:11,2569,Donte Wright Defensive Rebound.,37,41
18:02,2569,Donte Wright Turnover.,37,41
18:01,2116,Terrell Allen Steal.,37,41
17:54,2116,Chance McSpadden missed Layup.,37,41
17:54,2569,Donte Wright Defensive Rebound.,37,41
17:33,2116,Foul on Ceasar DeJesus.,37,41
17:33,2569,Donte Wright made Free Throw.,38,41
17:33,2569,Donte Wright made Free Throw.,39,41
17:33,2569,Donte Wright made Free Throw.,40,41
17:17,2116,Dayon Griffin made Three Point Jumper. Assisted by Terrell Allen.,40,44
16:58,2569,Ian Kinard made Three Point Jumper. Assisted by Janai Raynor Powell.,43,44
16:36,2116,Tacko Fall made Layup. Assisted by Dayon Griffin.,43,46
16:20,2116,Foul on Chance McSpadden.,43,46
16:20,2116,Foul on Chance McSpadden.,43,46
16:13,2569,Janai Raynor Powell Turnover.,43,46
16:12,2116,Dayon Griffin Steal.,43,46
16:06,2569,Foul on Ian Kinard.,43,46
16:06,2116,A.J. Davis made Free Throw.,43,47
16:06,2116,A.J. Davis made Free Throw.,43,48
15:51,2116,Official TV Timeout,43,48
15:48,2116,Foul on Tacko Fall.,43,48
15:48,2569,Damani Applewhite made Free Throw.,44,48
15:48,2569,Damani Applewhite made Free Throw.,45,48
15:45,2116,Terrell Allen Turnover.,45,48
15:44,2569,Janai Raynor Powell Steal.,45,48
15:41,2569,Janai Raynor Powell missed Layup.,45,48
15:41,2116,Dayon Griffin Defensive Rebound.,45,48
15:15,2116,Chance McSpadden made Jumper.,45,50
15:03,2569,Donte Wright missed Three Point Jumper.,45,50
15:03,2116,Dayon Griffin Block.,45,50
15:01,2116,A.J. Davis Defensive Rebound.,45,50
14:47,2569,Foul on Janai Raynor Powell.,45,50
14:47,2116,A.J. Davis made Free Throw.,45,51
14:47,2116,A.J. Davis made Free Throw.,45,52
14:27,2569,Damani Applewhite missed Three Point Jumper.,45,52
14:27,2116,Chance McSpadden Defensive Rebound.,45,52
14:05,2116,Chad Brown Turnover.,45,52
14:05,2116,Foul on Chad Brown.,45,52
13:53,2569,Janai Raynor Powell Turnover.,45,52
13:52,2116,Chance McSpadden Steal.,45,52
13:49,2116,Chance McSpadden missed Layup.,45,52
13:49,2116,Chad Brown Offensive Rebound.,45,52
13:44,2116,Chad Brown made Layup.,45,54
13:32,2569,Donte Wright missed Three Point Jumper.,45,54
13:32,2569,South Carolina State Deadball Team Rebound.,45,54
13:30,2116,Foul on Terrell Allen.,45,54
13:30,2569,Ozante Fields missed Free Throw.,45,54
13:30,2116,Chad Brown Defensive Rebound.,45,54
13:08,2116,A.J. Davis made Three Point Jumper. Assisted by Chance McSpadden.,45,57
12:47,2569,Damani Applewhite missed Jumper.,45,57
12:47,2116,A.J. Davis Defensive Rebound.,45,57
12:38,2116,Dayon Griffin missed Three Point Jumper.,45,57
12:38,2569,Damani Applewhite Defensive Rebound.,45,57
