Quinnipiac,261,Vermont,2514
7:23,261,Anthony Lamb made Three Point Jumper. Assisted by Cam Ward.,13,23
7:23,2514,Quinnipiac  Timeout,13,23
7:23,261,Official TV Timeout,13,23
7:02,261,Foul on Nate Rohrer.,13,23
7:02,2514,Cameron Young missed Free Throw.,13,23
7:02,2514,Quinnipiac Deadball Team Rebound.,13,23
7:02,2514,Cameron Young made Free Throw.,14,23
6:41,261,Cam Ward missed Three Point Jumper.,14,23
6:41,2514,Isaiah Washington Defensive Rebound.,14,23
6:26,2514,Isaiah Washington missed Jumper.,14,23
6:26,261,Cam Ward Defensive Rebound.,14,23
6:19,261,Anthony Lamb made Three Point Jumper. Assisted by Cam Ward.,14,26
5:45,2514,Jacob Rigoni made Jumper.,16,26
5:28,261,Trae Bell-Haynes missed Layup.,16,26
5:28,2514,Jacob Rigoni Block.,16,26
5:27,261,Trae Bell-Haynes Offensive Rebound.,16,26
5:17,261,Trae Bell-Haynes made Layup.,16,28
4:49,2514,Rich Kelly made Jumper.,18,28
4:25,261,Everett Duncan made Three Point Jumper. Assisted by Anthony Lamb.,18,31
4:01,2514,Rich Kelly missed Layup.,18,31
4:01,261,Ben Shungu Defensive Rebound.,18,31
3:55,2514,Foul on Aaron Robinson.,18,31
3:55,261,Official TV Timeout,18,31
3:51,261,Anthony Lamb made Layup.,18,33
3:20,2514,Cameron Young made Three Point Jumper.,21,33
3:20,261,Foul on Anthony Lamb.,21,33
3:20,2514,Cameron Young made Free Throw.,22,33
3:05,261,Ernie Duncan missed Three Point Jumper.,22,33
3:05,261,Nate Rohrer Offensive Rebound.,22,33
3:03,261,Nate Rohrer missed Layup.,22,33
3:03,2514,Abdulai Bundu Defensive Rebound.,22,33
2:42,2514,Abdulai Bundu missed Layup.,22,33
2:42,261,Anthony Lamb Defensive Rebound.,22,33
2:40,2514,Foul on Cameron Young.,22,33
2:40,261,Trae Bell-Haynes made Free Throw.,22,34
2:40,261,Trae Bell-Haynes missed Free Throw.,22,34
2:40,2514,Cameron Young Defensive Rebound.,22,34
2:28,2514,Aaron Robinson missed Three Point Jumper.,22,34
2:28,261,Anthony Lamb Defensive Rebound.,22,34
2:28,2514,Foul on Abdulai Bundu.,22,34
2:02,261,Anthony Lamb missed Three Point Jumper.,22,34
2:02,261,Samuel Dingba Offensive Rebound.,22,34
1:48,261,Anthony Lamb missed Three Point Jumper.,22,34
1:48,261,Anthony Lamb Offensive Rebound.,22,34
1:26,261,Ben Shungu made Layup.,22,36
1:03,2514,Foul on Cameron Young.,22,36
1:03,2514,Cameron Young Turnover.,22,36
0:45,261,Everett Duncan made Three Point Jumper. Assisted by Anthony Lamb.,22,39
0:35,2514,Andrew Robinson made Three Point Jumper. Assisted by Isaiah Washington.,25,39
0:32,261,Vermont  Timeout,25,39
0:07,261,Anthony Lamb missed Layup.,25,39
0:07,2514,Alain Chigha Defensive Rebound.,25,39
0:02,261,Foul on Anthony Lamb.,25,39
0:02,2514,Isaiah Washington missed Free Throw.,25,39
0:02,2514,Quinnipiac Deadball Team Rebound.,25,39
0:02,2514,Isaiah Washington missed Free Throw.,25,39
0:02,2514,Quinnipiac Deadball Team Rebound.,25,39
0:02,2514,Isaiah Washington made Free Throw.,26,39
0:00,261,End of 1st half,26,39
19:53,2514,Foul on Isaiah Washington.,26,39
19:48,2514,Foul on Jacob Rigoni.,26,39
19:48,261,Anthony Lamb missed Free Throw.,26,39
19:48,261,Vermont Deadball Team Rebound.,26,39
19:48,261,Anthony Lamb made Free Throw.,26,40
19:32,2514,Isaiah Washington missed Jumper.,26,40
19:32,2514,Abdulai Bundu Offensive Rebound.,26,40
19:30,261,Foul on Trae Bell-Haynes.,26,40
19:19,2514,Abdulai Bundu missed Layup.,26,40
19:19,261,Drew Urquhart Block.,26,40
19:14,2514,Rich Kelly Offensive Rebound.,26,40
19:11,2514,Rich Kelly missed Jumper.,26,40
19:11,2514,Quinnipiac Offensive Rebound.,26,40
19:09,2514,Quinnipiac  Turnover.,26,40
18:47,261,Anthony Lamb missed Three Point Jumper.,26,40
18:47,2514,Isaiah Washington Defensive Rebound.,26,40
18:31,2514,Isaiah Washington missed Three Point Jumper.,26,40
18:31,261,Drew Urquhart Defensive Rebound.,26,40
