The Citadel,259,Virginia Tech,2643
7:28,259,Tyrie Jackson Defensive Rebound.,28,38
7:16,259,P.J. Horne made Layup. Assisted by Tyrie Jackson.,28,40
6:56,2643,Zane Najdawi missed Layup.,28,40
6:56,259,P.J. Horne Defensive Rebound.,28,40
6:48,2643,Foul on Zane Najdawi.,28,40
6:48,259,Tyrie Jackson made Free Throw.,28,41
6:48,259,Tyrie Jackson made Free Throw.,28,42
6:37,259,Foul on Wabissa Bede.,28,42
6:37,2643,Quayson Williams missed Free Throw.,28,42
6:37,2643,The Citadel Deadball Team Rebound.,28,42
6:37,2643,Quayson Williams made Free Throw.,29,42
6:36,2643,Foul on Frankie Johnson.,29,42
6:36,259,Wabissa Bede missed Free Throw.,29,42
6:36,2643,Quayson Williams Defensive Rebound.,29,42
6:27,2643,Kaelon Harris missed Layup.,29,42
6:27,259,Block.,29,42
6:26,259,Tyrie Jackson Defensive Rebound.,29,42
6:11,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Wabissa Bede.,29,45
6:05,2643,Quayson Williams missed Three Point Jumper.,29,45
6:05,259,Nickeil Alexander-Walker Defensive Rebound.,29,45
5:56,259,Tyrie Jackson Turnover.,29,45
5:48,2643,Tariq Simmons missed Three Point Jumper.,29,45
5:48,259,Defensive Rebound.,29,45
5:35,259,made Jumper. Assisted by Justin Robinson.,29,47
5:24,2643,Preston Parks made Layup.,31,47
5:24,259,Foul on Tyrie Jackson.,31,47
5:24,2643,Preston Parks made Free Throw.,32,47
5:09,259,made Layup. Assisted by Nickeil Alexander-Walker.,32,49
5:00,2643,Hayden Brown made Layup. Assisted by Tariq Simmons.,34,49
4:44,259,Nickeil Alexander-Walker made Layup.,34,51
4:35,2643,Tariq Simmons made Layup.,36,51
4:27,259,Nickeil Alexander-Walker made Three Point Jumper. Assisted by Tyrie Jackson.,36,54
4:14,2643,Tariq Simmons missed Layup.,36,54
4:14,259,Block.,36,54
4:14,259,Defensive Rebound.,36,54
4:14,2643,Foul on Rob Johnson.,36,54
4:14,259,missed Free Throw.,36,54
4:14,2643,Matt Frierson Defensive Rebound.,36,54
4:01,2643,Preston Parks missed Jumper.,36,54
4:01,259,Defensive Rebound.,36,54
3:53,2643,Foul on Alex Reed.,36,54
3:53,259,Official TV Timeout,36,54
3:53,259,Tyrie Jackson made Free Throw.,36,55
