North Carolina A&amp;T,228,Clemson,2448
5:14,228,Gabe DeVoe Offensive Rebound.,22,33
5:11,228,Gabe DeVoe made Layup.,22,35
4:43,2448,Donte Watson made Three Point Jumper. Assisted by D'Andre Johnson.,25,35
4:30,228,Scott Spencer missed Three Point Jumper.,25,35
4:30,2448,D'Andre Johnson Defensive Rebound.,25,35
4:15,2448,Devonte Boykins missed Three Point Jumper.,25,35
4:15,228,Elijah Thomas Defensive Rebound.,25,35
3:54,228,Shelton Mitchell missed Three Point Jumper.,25,35
3:54,2448,D'Andre Johnson Defensive Rebound.,25,35
3:32,228,Official TV Timeout,25,35
3:26,2448,Japhet Kadji missed Jumper.,25,35
3:26,228,Elijah Thomas Defensive Rebound.,25,35
3:16,228,Aamir Simms made Dunk. Assisted by Elijah Thomas.,25,37
2:53,2448,Femi Olujobi made Jumper.,27,37
2:39,228,Aamir Simms made Layup. Assisted by Gabe DeVoe.,27,39
2:17,2448,Japhet Kadji missed Jumper.,27,39
2:17,228,Elijah Thomas Defensive Rebound.,27,39
2:12,228,Shelton Mitchell Turnover.,27,39
1:53,2448,Femi Olujobi made Jumper.,29,39
1:28,228,Elijah Thomas made Layup.,29,41
1:12,228,Foul on Elijah Thomas.,29,41
1:03,2448,Donte Watson missed Layup.,29,41
1:03,228,Aamir Simms Block.,29,41
1:02,228,Aamir Simms Defensive Rebound.,29,41
0:52,228,Mark Donnal missed Layup.,29,41
0:52,2448,Kwei Lartey Defensive Rebound.,29,41
0:28,2448,Amari Hamilton missed Three Point Jumper.,29,41
0:28,228,Gabe DeVoe Defensive Rebound.,29,41
0:00,228,End of 1st half,29,41
19:38,2448,Femi Olujobi missed Three Point Jumper.,29,41
19:38,228,Marcquise Reed Defensive Rebound.,29,41
19:27,228,Elijah Thomas missed Jumper.,29,41
19:27,228,Gabe DeVoe Offensive Rebound.,29,41
19:09,228,Gabe DeVoe missed Three Point Jumper.,29,41
19:09,228,Elijah Thomas Offensive Rebound.,29,41
19:03,228,Donte Grantham made Layup. Assisted by Elijah Thomas.,29,43
18:37,2448,Japhet Kadji missed Three Point Jumper.,29,43
18:37,228,Donte Grantham Defensive Rebound.,29,43
18:28,228,Elijah Thomas made Dunk. Assisted by Marcquise Reed.,29,45
18:15,2448,Devonte Boykins made Three Point Jumper. Assisted by Kameron Langley.,32,45
18:13,2448,North Carolina A&T  Timeout,32,45
17:55,2448,Foul on Kameron Langley.,32,45
17:55,228,Shelton Mitchell made Free Throw.,32,46
17:55,228,Shelton Mitchell missed Free Throw.,32,46
17:55,2448,Japhet Kadji Defensive Rebound.,32,46
17:32,2448,Kwei Lartey missed Layup.,32,46
17:32,228,Elijah Thomas Defensive Rebound.,32,46
17:29,2448,Foul on Kwei Lartey.,32,46
17:10,228,Donte Grantham made Dunk. Assisted by Marcquise Reed.,32,48
16:43,2448,Amari Hamilton Turnover.,32,48
16:39,228,Gabe DeVoe Steal.,32,48
16:38,228,Gabe DeVoe Turnover.,32,48
16:37,2448,Japhet Kadji Steal.,32,48
16:24,2448,Kwei Lartey Turnover.,32,48
16:23,228,Shelton Mitchell Steal.,32,48
16:22,228,Shelton Mitchell made Dunk.,32,50
15:56,2448,Devonte Boykins missed Jumper.,32,50
15:56,228,Donte Grantham Defensive Rebound.,32,50
15:46,228,Elijah Thomas made Dunk. Assisted by Donte Grantham.,32,52
15:45,2448,Foul on Devonte Boykins.,32,52
15:45,228,Official TV Timeout,32,52
15:45,228,Elijah Thomas made Free Throw.,32,53
15:29,2448,Femi Olujobi made Jumper.,34,53
15:16,228,Anthony Oliver II Turnover.,34,53
15:14,2448,Kameron Langley Steal.,34,53
15:12,2448,Kameron Langley made Layup.,36,53
