Fairleigh Dickinson,213,Penn State,161
6:32,161,Kaleb Bishop Defensive Rebound.,23,30
6:10,161,Pat McNamara missed Three Point Jumper.,23,30
6:10,213,Shep Garner Defensive Rebound.,23,30
5:56,213,Satchel Pierce missed Jumper.,23,30
5:56,213,Penn State Offensive Rebound.,23,30
5:50,213,Tony Carr missed Jumper.,23,30
5:50,213,Josh Reaves Offensive Rebound.,23,30
5:43,213,Lamar Stevens Turnover.,23,30
5:37,161,Jahlil Jenkins made Layup.,25,30
5:20,213,Lamar Stevens made Jumper.,25,32
4:45,161,Darnell Edge missed Three Point Jumper.,25,32
4:45,213,Satchel Pierce Defensive Rebound.,25,32
4:33,213,Satchel Pierce Turnover.,25,32
4:32,161,Pat McNamara Steal.,25,32
4:29,161,Darnell Edge Turnover.,25,32
4:14,213,Lamar Stevens made Jumper. Assisted by Shep Garner.,25,34
3:43,161,Kaleb Bishop Turnover.,25,34
3:43,213,Official TV Timeout,25,34
3:30,213,Tony Carr made Jumper.,25,36
3:30,161,Foul on Darnell Edge.,25,36
3:30,213,Tony Carr made Free Throw.,25,37
3:24,161,Jahlil Jenkins Turnover.,25,37
3:14,161,Foul on Darnell Edge.,25,37
3:14,213,Tony Carr made Free Throw.,25,38
3:14,213,Tony Carr made Free Throw.,25,39
3:07,161,Jahlil Jenkins missed Layup.,25,39
3:07,213,Mike Watkins Defensive Rebound.,25,39
3:03,213,Shep Garner Turnover.,25,39
3:01,161,Mike Holloway Jr. Steal.,25,39
2:58,161,Jahlil Jenkins made Layup. Assisted by Mike Holloway Jr..,27,39
2:45,213,Mike Watkins Turnover.,27,39
2:39,161,Jahlil Jenkins Turnover.,27,39
2:38,213,Mike Watkins Steal.,27,39
2:37,161,Foul on Elyjah Williams.,27,39
2:37,213,Mike Watkins made Free Throw.,27,40
2:37,213,Mike Watkins made Free Throw.,27,41
2:27,161,Mike Schroback Turnover.,27,41
2:27,213,Josh Reaves Steal.,27,41
2:06,213,Mike Watkins missed Jumper.,27,41
2:06,161,Elyjah Williams Defensive Rebound.,27,41
1:50,213,Foul on Jamari Wheeler.,27,41
1:43,161,Mike Schroback Turnover.,27,41
1:42,213,Mike Watkins Steal.,27,41
1:39,213,Mike Watkins Turnover.,27,41
1:19,213,Foul on Jamari Wheeler.,27,41
1:19,161,Elyjah Williams made Free Throw.,28,41
1:19,161,Elyjah Williams missed Free Throw.,28,41
1:19,161,Jahlil Jenkins Offensive Rebound.,28,41
1:09,161,Elyjah Williams Turnover.,28,41
0:55,213,Lamar Stevens missed Three Point Jumper.,28,41
0:55,161,Mike Holloway Jr. Defensive Rebound.,28,41
0:53,213,Foul on Shep Garner.,28,41
0:53,161,Mike Holloway Jr. made Free Throw.,29,41
0:53,161,Mike Holloway Jr. missed Free Throw.,29,41
0:53,213,Lamar Stevens Defensive Rebound.,29,41
0:29,161,Foul on Dondre Rhoden.,29,41
0:29,213,Tony Carr made Free Throw.,29,42
0:29,213,Tony Carr made Free Throw.,29,43
0:17,213,Foul on Josh Reaves.,29,43
0:17,161,Jahlil Jenkins missed Free Throw.,29,43
0:17,213,Lamar Stevens Defensive Rebound.,29,43
0:13,213,Penn State  Timeout,29,43
0:04,213,Tony Carr Turnover.,29,43
0:02,161,Darnell Edge Turnover.,29,43
0:02,213,Tony Carr Steal.,29,43
0:00,213,Tony Carr made Layup.,29,45
0:00,213,End of 1st half,29,43
19:32,161,Jahlil Jenkins missed Layup.,29,45
19:32,213,Mike Watkins Block.,29,45
