Chicago State,2509,Purdue,2130
6:05,2509,Foul on Isaac Haas.,24,40
6:05,2509,Isaac Haas Turnover.,24,40
5:43,2130,Anthony Harris missed Three Point Jumper.,24,40
5:43,2509,Isaac Haas Defensive Rebound.,24,40
5:36,2509,P.J. Thompson made Three Point Jumper. Assisted by Dakota Mathias.,24,43
5:17,2130,Jalen Stephens-Holmes missed Jumper.,24,43
5:17,2130,Jelani Pruitt Offensive Rebound.,24,43
5:12,2130,Fred Sims Jr. missed Jumper.,24,43
5:12,2130,Chicago State Deadball Team Rebound.,24,43
5:11,2509,Foul on Vince Edwards.,24,43
5:11,2130,Jelani Pruitt missed Free Throw.,24,43
5:11,2130,Anthony Harris Offensive Rebound.,24,43
4:51,2130,Jelani Pruitt missed Jumper.,24,43
4:51,2509,Carsen Edwards Defensive Rebound.,24,43
4:35,2130,Foul on Jalen Stephens-Holmes.,24,43
4:34,2509,Isaac Haas missed Free Throw.,24,43
4:34,2130,Jelani Pruitt Defensive Rebound.,24,43
4:20,2130,Rob Shaw missed Jumper.,24,43
4:20,2509,Vince Edwards Defensive Rebound.,24,43
4:12,2509,Carsen Edwards made Three Point Jumper. Assisted by P.J. Thompson.,24,46
3:57,2130,Fred Sims Jr. missed Three Point Jumper.,24,46
3:57,2509,Vince Edwards Defensive Rebound.,24,46
3:49,2509,Vince Edwards missed Three Point Jumper.,24,46
3:49,2509,Purdue Offensive Rebound.,24,46
3:37,2509,Vince Edwards missed Three Point Jumper.,24,46
3:37,2509,Carsen Edwards Offensive Rebound.,24,46
3:33,2509,Dakota Mathias made Three Point Jumper. Assisted by Carsen Edwards.,24,49
3:11,2130,Deionte Simmons missed Jumper.,24,49
3:11,2509,Isaac Haas Defensive Rebound.,24,49
3:04,2509,P.J. Thompson Turnover.,24,49
2:48,2130,Travon Bell Turnover.,24,49
2:48,2130,Foul on Travon Bell.,24,49
2:34,2509,Dakota Mathias made Three Point Jumper. Assisted by Vince Edwards.,24,52
2:17,2130,John Joyce missed Three Point Jumper.,24,52
2:17,2130,Jelani Pruitt Offensive Rebound.,24,52
2:07,2130,Jelani Pruitt made Layup.,26,52
2:05,2509,Dakota Mathias missed Three Point Jumper.,26,52
2:05,2130,Jelani Pruitt Defensive Rebound.,26,52
1:54,2130,Deionte Simmons missed Layup.,26,52
1:54,2509,Vince Edwards Defensive Rebound.,26,52
1:43,2509,P.J. Thompson missed Three Point Jumper.,26,52
1:43,2130,Deionte Simmons Defensive Rebound.,26,52
1:40,2509,Foul on Isaac Haas.,26,52
1:40,2130,Deionte Simmons missed Free Throw.,26,52
1:40,2130,Chicago State Deadball Team Rebound.,26,52
1:40,2130,Deionte Simmons made Free Throw.,27,52
1:31,2509,P.J. Thompson made Three Point Jumper. Assisted by Ryan Cline.,27,55
1:21,2130,Rob Shaw missed Jumper.,27,55
1:21,2130,Cameron Bowles Offensive Rebound.,27,55
0:46,2130,Rob Shaw missed Jumper.,27,55
0:46,2509,Vince Edwards Defensive Rebound.,27,55
0:35,2130,Foul on Rob Shaw.,27,55
0:35,2509,Matt Haarms made Free Throw.,27,56
0:35,2509,Matt Haarms made Free Throw.,27,57
0:31,2509,Foul on Tommy Luce.,27,57
0:31,2130,Rob Shaw missed Free Throw.,27,57
